IKhuroshiya	<i>name</i><br><ol><li>Croatia</li></ol>
bubi|bûbí	<i>noun</i><br><ol><li>badness, evil</li><li>ugliness</li></ol>
bubovu|búbovú	<i>noun</i><br><ol><li>redness</li></ol>
bucatsa|búcâtsa	<i>noun</i><br><ol><li>thickness</li></ol>
bucotfo|búcôtfo	<i>noun</i><br><ol><li>honesty</li></ol>
budvuma|búdvúma	<i>noun</i><br><ol><li>tastelessness</li></ol>
budvuna|búdvúna	<i>noun</i><br><ol><li>maleness</li></ol>
budzala|búdzála	<i>noun</i><br><ol><li>age</li></ol>
budzatja|búdzátja	<i>noun</i><br><ol><li>wild dog</li><li>rabies</li></ol>
budze|búdze	<i>noun</i><br><ol><li>length, height</li></ol>
bufisha|búfísha	<i>noun</i><br><ol><li>shortness</li></ol>
bufundisi|búfúndisi	<i>noun</i><br><ol><li>ministry</li></ol>
bugayiza|búgáyíza	<i>noun</i><br><ol><li>mining</li><li>uncouthness</li></ol>
buhlakani|búhlákani	<i>noun</i><br><ol><li>wisdom</li></ol>
buhlalu|búhlâlu	<i>noun</i><br><ol><li>bead(s)</li></ol>
buhle|búhle	<i>noun</i><br><ol><li>beauty, handsomeness</li></ol>
buhlungu|lobuhlungu|lesibuhlungu|letibuhlungu|abuhlungu|ngibuhlungu|ibuhlungu|kubuhlungu|sibuhlungu|labuhlungu|lokubuhlungu|ubuhlungu|libuhlungu|bubuhlungu|lenibuhlungu|lubuhlungu|tibuhlungu|lebuhlungu|lababuhlungu|lengibuhlungu|nibuhlungu|búhlûngu|lolubuhlungu|babuhlungu|lelibuhlungu|lobubuhlungu	<i>noun</i><br><ol><li>pain</li></ol><br><i>conj</i><br><ol><li>sore, aching, painful</li></ol>
buholeli|búhóleli	<i>noun</i><br><ol><li>bus conductor's work</li></ol>
buka	<i>verb</i><br><ol><li>to look at, to watch</li></ol>
bukhali|bubukhali|lobubukhali|lubukhali|búkhâli|lokubukhali|lolubukhali|babukhali|abukhali|lelibukhali|nibukhali|ngibukhali|tibukhali|kubukhali|lobukhali|lesibukhali|lebukhali|libukhali|lengibukhali|ibukhali|lenibukhali|labukhali|ubukhali|letibukhali|sibukhali|lababukhali	<i>noun</i><br><ol><li>greediness, sharpness</li></ol><br><i>conj</i><br><ol><li>sharp, pointy</li></ol>
bukholwa|búkhólwa	<i>noun</i><br><ol><li>Christianity</li></ol>
bukhosi|búkhôsi	<i>noun</i><br><ol><li>kingship</li></ol>
bukhulu|búkhûlu	<i>noun</i><br><ol><li>greatness, bigness</li></ol>
bukisa	<i>verb</i><br><ol><li>to show, to exhibit, to display</li></ol>
bulala	<i>verb</i><br><ol><li>(transitive) to kill</li></ol>
bulembu|búlembu|émálembu	<i>noun</i><br><ol><li>spider</li></ol>
bulima|búlîma	<i>noun</i><br><ol><li>stupidity</li></ol>
bulimi|búlimi	<i>noun</i><br><ol><li>agriculture</li></ol>
bulongo|émálóngo|búlóngo	<i>noun</i><br><ol><li>cow dung, manure</li></ol>
bulukhuni|búlúkhûni	<i>noun</i><br><ol><li>hardship</li></ol>
bulula|búlûla	<i>noun</i><br><ol><li>lightness, weight</li></ol>
bulwane|búlwane	<i>noun</i><br><ol><li>savagery</li></ol>
bumanti|búmânti	<i>noun</i><br><ol><li>dampness</li></ol>
bumbalwa|búmbalwá	<i>noun</i><br><ol><li>fewness</li></ol>
bumhlophe|búmhlôphe	<i>noun</i><br><ol><li>whiteness</li></ol>
bumnandzi|búmnândzi	<i>noun</i><br><ol><li>pleasantness</li></ol>
bumnyama|búmnyáma	<i>noun</i><br><ol><li>darkness</li></ol>
bumphofu|búmphôfu	<i>noun</i><br><ol><li>poverty</li></ol>
bumphunga|búmphunga	<i>noun</i><br><ol><li>greyness, old age</li></ol>
bumsulwa|búmsulwá	<i>noun</i><br><ol><li>innocence</li></ol>
bumtfubi|búmtfûbi	<i>noun</i><br><ol><li>yellowness</li></ol>
bumunyu|búmûnyu	<i>noun</i><br><ol><li>sourness</li></ol>
buna	<i>verb</i><br><ol><li>to wither</li></ol>
buncama|búncama	<i>noun</i><br><ol><li>thinness</li></ol>
buncane|búncáne	<i>noun</i><br><ol><li>smallness</li></ol>
buncono|búncóno|émáncóno	<i>noun</i><br><ol><li>improvement</li></ol>
bunesi|búnési	<i>noun</i><br><ol><li>nursing profession</li></ol>
bungcunu|búngcunú	<i>noun</i><br><ol><li>nakedness</li></ol>
bungcwele|búngcwêle	<i>noun</i><br><ol><li>holiness</li></ol>
bunsundvu|búnsûndvu	<i>noun</i><br><ol><li>brownness</li></ol>
buntfu|búntfu	<i>noun</i><br><ol><li>humanity, the human race</li><li>human nature</li><li>humaneness, solidarity</li></ol>
buntfwana|búntfwâna	<i>noun</i><br><ol><li>childhood</li></ol>
buntima|búntîma	<i>noun</i><br><ol><li>blackness</li></ol>
bupheki|búpheki	<i>noun</i><br><ol><li>cooking profession</li></ol>
bupholofithi|búphólófithi	<i>noun</i><br><ol><li>prophet's work (biblical)</li></ol>
buphoyisa|búphóyîsá	<i>noun</i><br><ol><li>police work</li></ol>
buphuya|búphuya	<i>noun</i><br><ol><li>poverty</li></ol>
busa	<i>verb</i><br><ol><li>to rule</li></ol>
busela|búséla	<i>noun</i><br><ol><li>thievery</li></ol>
busha|búsha	<i>noun</i><br><ol><li>newness</li></ol>
bushayeli|búsháyeli	<i>noun</i><br><ol><li>driving profession</li></ol>
busika|búsîka	<i>noun</i><br><ol><li>winter</li></ol>
busisa	<i>verb</i><br><ol><li>to bless</li></ol>
busisiteli|búsísíteli	<i>noun</i><br><ol><li>nun's profession</li></ol>
buso|bûsó	<i>noun</i><br><ol><li>face</li></ol>
busoka|búsoka	<i>noun</i><br><ol><li>act of going about with several girlfriends</li></ol>
busuku|búsûku	<i>noun</i><br><ol><li>night</li></ol>
buta	<i>verb</i><br><ol><li>to ask</li></ol>
butfongo|bútfongo	<i>noun</i><br><ol><li>drowsiness, sleepiness</li></ol>
butfukutfuku|lobubutfukutfuku|tibutfukutfuku|ngibutfukutfuku|lolubutfukutfuku|nibutfukutfuku|lebutfukutfuku|lababutfukutfuku|labutfukutfuku|lobutfukutfuku|abutfukutfuku|sibutfukutfuku|lokubutfukutfuku|lenibutfukutfuku|lengibutfukutfuku|lubutfukutfuku|babutfukutfuku|libutfukutfuku|ibutfukutfuku|ubutfukutfuku|lesibutfukutfuku|lelibutfukutfuku|kubutfukutfuku|bubutfukutfuku|letibutfukutfuku	<i>conj</i><br><ol><li>lukewarm</li></ol>
buthishela|búthíshela	<i>noun</i><br><ol><li>teaching profession</li></ol>
butsa|bûtsá	<i>verb</i><br><ol><li>to be damp</li><li>to get together</li></ol><br><i>noun</i><br><ol><li>enmity</li></ol>
buvila|búvila	<i>noun</i><br><ol><li>laziness</li></ol>
buya	<i>verb</i><br><ol><li>to return [+locative = from]</li></ol>
buyela	<i>verb</i><br><ol><li>to return to</li></ol>
cabanga	<i>verb</i><br><ol><li>to think</li></ol>
cala	<i>verb</i><br><ol><li>to begin</li></ol>
calata	<i>verb</i><br><ol><li>to look everywhere</li></ol>
camela	<i>verb</i><br><ol><li>to rest the head</li></ol>
candvula	<i>verb</i><br><ol><li>to hammer</li></ol>
candza	<i>verb</i><br><ol><li>to be freezing cold</li></ol>
catfula	<i>verb</i><br><ol><li>to walk in the fashion of a baby</li></ol>
catsa|lesicatsa|licatsa|kucatsa|ngicatsa|bacatsa|icatsa|lecatsa|lokucatsa|bucatsa|ticatsa|sicatsa|ucatsa|lolucatsa|lucatsa|lacatsa|locatsa|leticatsa|lenicatsa|labacatsa|nicatsa|lengicatsa|lobucatsa|acatsa|lelicatsa	<i>conj</i><br><ol><li>thick</li></ol>
catseka	<i>verb</i><br><ol><li>to give an enema</li></ol>
ceba	<i>verb</i><br><ol><li>to be rich</li></ol>
cedza	<i>verb</i><br><ol><li>to finish</li></ol>
cela	<i>verb</i><br><ol><li>to ask for</li></ol>
cetfuka	<i>verb</i><br><ol><li>to fall over</li></ol>
cetula	<i>verb</i><br><ol><li>to split</li></ol>
cha	<i>intj</i><br><ol><li>no</li></ol>
chacha	<i>verb</i><br><ol><li>to loosen</li></ol>
chaka	<i>verb</i><br><ol><li>to be poor</li></ol>
chamuka	<i>verb</i><br><ol><li>to come from, to appear</li></ol>
chitsa	<i>verb</i><br><ol><li>to waste, to spill, to scatter</li></ol>
chochocho|bóchóchocho	<i>noun</i><br><ol><li>throat</li></ol>
chuba	<i>verb</i><br><ol><li>to drive, to continue with</li></ol>
chuchuza|chuchúza|bóchuchúza	<i>noun</i><br><ol><li>blackjack</li></ol>
cima	<i>verb</i><br><ol><li>to put out, to turn off the light</li></ol>
cimeta	<i>verb</i><br><ol><li>to close (the eyes)</li></ol>
coca	<i>verb</i><br><ol><li>to chat</li></ol>
condza	<i>verb</i><br><ol><li>to go/become straight</li><li>to understand</li></ol>
cosha	<i>verb</i><br><ol><li>to chase off</li></ol>
cotfo|lenicotfo|ngicotfo|acotfo|lacotfo|lokucotfo|icotfo|lolucotfo|lobucotfo|bacotfo|sicotfo|lucotfo|kucotfo|ucotfo|ticotfo|locotfo|lengicotfo|lecotfo|licotfo|leticotfo|bucotfo|nicotfo|lelicotfo|labacotfo|lesicotfo	<i>conj</i><br><ol><li>honest</li></ol>
dala	<i>verb</i><br><ol><li>to create</li></ol>
deka	<i>verb</i><br><ol><li>to set (the table)</li></ol>
dla	<i>verb</i><br><ol><li>to eat</li></ol>
dlala	<i>verb</i><br><ol><li>to play</li></ol>
dledla	<i>verb</i><br><ol><li>to shiver</li></ol>
dokotela|bódókótela|dókótela	<i>noun</i><br><ol><li>doctor, physician</li></ol>
dula	<i>verb</i><br><ol><li>to be expensive</li></ol>
dvonsa	<i>verb</i><br><ol><li>to pull</li></ol>
dvuma|sidvuma|lobudvuma|lenidvuma|lelidvuma|ladvuma|advuma|ludvuma|lokudvuma|ledvuma|budvuma|lodvuma|ngidvuma|letidvuma|lesidvuma|badvuma|idvuma|lidvuma|lengidvuma|nidvuma|udvuma|tidvuma|loludvuma|kudvuma|labadvuma	<i>verb</i><br><ol><li>to roar, to thunder</li><li>to be famous</li></ol><br><i>conj</i><br><ol><li>tasteless</li></ol>
dvuna|loludvuna|badvuna|lomdvuna|sibadvuna|nibadvuna|lamadvuna|lengimdvuna|lobudvuna|umdvuna|midvuna|lelidvuna|kudvuna|tindvuna|lesibadvuna|madvuna|ngimdvuna|labadvuna|lenibadvuna|budvuna|letindvuna|lemidvuna|ludvuna|lidvuna|lokudvuna|sidvuna|lendvuna|mdvuna|lesidvuna|indvuna	<i>adj</i><br><ol><li>male</li></ol>
dvwa	<i>adv</i><br><ol><li>(with quantitative concord) alone, only</li></ol>
dvwala	<i>verb</i><br><ol><li>to be conceited</li></ol>
dzabuka	<i>verb</i><br><ol><li>to be torn</li><li>to be sad, to be sorry</li></ol>
dzadze|dzádze|bódzádze	<i>noun</i><br><ol><li>sister</li></ol>
dzala|sibadzala|mdzala|ludzala|lokudzala|lenibadzala|labadzala|budzala|indzala|kudzala|lesibadzala|badzala|lomdzala|lelidzala|midzala|tindzala|nibadzala|lamadzala|letindzala|madzala|lengimdzala|lendzala|lemidzala|lidzala|sidzala|lobudzala|lesidzala|umdzala|loludzala|ngimdzala	<i>adj</i><br><ol><li>old</li></ol>
dze|sidze|labadze|sibadze|ludze|lendze|lelidze|nibadze|lokudze|lenibadze|badze|ngimudze|tindze|umudze|lamadze|lobudze|lesibadze|loludze|letindze|lengimudze|lemidze|lesidze|madze|mudze|indze|lomudze|midze|kudze|lidze|budze	<i>adj</i><br><ol><li>tall</li></ol>
dzinwa	<i>verb</i><br><ol><li>to be tired</li></ol>
eSwatini|eSwátini	<i>name</i><br><ol><li>Eswatini / Swaziland</li></ol>
eboleka	<i>verb</i><br><ol><li>to borrow, to lend</li></ol>
ebula	<i>verb</i><br><ol><li>to peel</li></ol>
eca	<i>verb</i><br><ol><li>to jump</li></ol>
edlula	<i>verb</i><br><ol><li>to pass by</li></ol>
ehla	<i>verb</i><br><ol><li>to go down, to descend</li></ol>
ehlula	<i>verb</i><br><ol><li>to defeat</li><li>to conquer</li></ol>
elula	<i>verb</i><br><ol><li>to straighten, to stretch</li></ol>
eluleka	<i>verb</i><br><ol><li>to advise</li></ol>
elusa	<i>verb</i><br><ol><li>to herd</li></ol>
emafinyila|émáfínyila	<i>noun</i><br><ol><li>mucus</li></ol>
emafutsa|émáfûtsa	<i>noun</i><br><ol><li>fat</li></ol>
emahewu|émáhéwu	<i>noun</i><br><ol><li>liquid, sour porridge</li></ol>
emahhunga|émáhhunga	<i>noun</i><br><ol><li>madness</li></ol>
emakhata|émákhâta	<i>noun</i><br><ol><li>cold (temperature)</li></ol>
emakhe|émakhé	<i>noun</i><br><ol><li>perfume</li></ol>
emana	<i>verb</i><br><ol><li>to be stingy</li></ol>
emandla|émándla	<i>noun</i><br><ol><li>strength</li></ol>
emanga|émánga	<i>noun</i><br><ol><li>lies</li></ol>
emanti|émânti	<i>noun</i><br><ol><li>water</li></ol>
emantjintjiwane|émántjíntjíwane	<i>noun</i><br><ol><li>mumps</li></ol>
emaphisi|émáphîsi	<i>noun</i><br><ol><li>peas</li></ol>
emasi|émasí	<i>noun</i><br><ol><li>curdled milk</li></ol>
emasimba|émásimba	<i>noun</i><br><ol><li>feces</li></ol>
ematolo|émátolo	<i>noun</i><br><ol><li>dew</li></ol>
ematse|ématsé	<i>noun</i><br><ol><li>saliva</li></ol>
emitsa	<i>verb</i><br><ol><li>to be pregnant</li></ol>
emuka	<i>verb</i><br><ol><li>to drown</li><li>to deprive</li></ol>
enama	<i>verb</i><br><ol><li>to be happy</li></ol>
endlala	<i>verb</i><br><ol><li>to make a bed</li></ol>
endlula	<i>verb</i><br><ol><li>to surpass</li></ol>
endza	<i>verb</i><br><ol><li>to marry</li></ol>
endzisa	<i>verb</i><br><ol><li>to marry</li></ol>
eneka	<i>verb</i><br><ol><li>to hang up the laundry</li></ol>
engca	<i>verb</i><br><ol><li>to pass</li></ol>
enta	<i>verb</i><br><ol><li>to do, to make</li></ol>
enyanya	<i>verb</i><br><ol><li>to dislike</li></ol>
ephuka	<i>verb</i><br><ol><li>to get broken, to break</li></ol>
ephula	<i>verb</i><br><ol><li>to break</li><li>to remove from the fire</li></ol>
esutsa	<i>verb</i><br><ol><li>to be satiated</li></ol>
etama	<i>verb</i><br><ol><li>to try</li></ol>
etayela	<i>verb</i><br><ol><li>to be accustomed</li><li>to be friendly</li></ol>
etela	<i>verb</i><br><ol><li>to become drowsy</li></ol>
fa	<i>verb</i><br><ol><li>(intransitive) to die</li></ol>
fagolweni|bófágólwéni|fágólwéni	<i>noun</i><br><ol><li>half-crown</li></ol>
faka	<i>verb</i><br><ol><li>to put into</li><li>to put on</li></ol>
fanekisa	<i>verb</i><br><ol><li>to give an example, to make a likeness</li></ol>
fecele|bófecéle|fecéle	<i>noun</i><br><ol><li>scorpion</li></ol>
fika	<i>verb</i><br><ol><li>to arrive</li></ol>
fisa	<i>verb</i><br><ol><li>to wish, to desire</li></ol>
fisela	<i>verb</i><br><ol><li>to wish for</li></ol>
fisha|lufisha|lenibafisha|lesifisha|kufisha|umfisha|lesibafisha|lifisha|lamafisha|sibafisha|lemifisha|bufisha|letimfisha|sifisha|bafisha|lemfisha|lengimfisha|mifisha|mafisha|ngimfisha|mfisha|lobufisha|labafisha|lelifisha|imfisha|lolufisha|lomfisha|timfisha|lokufisha|nibafisha	<i>adj</i><br><ol><li>short</li></ol>
fishane|lokufishane|labafishane|ngimfishane|lamafishane|imfishane|lolufishane|bufishane|lemfishane|lobufishane|lomfishane|mifishane|sifishane|letimfishane|sibafishane|mfishane|lenibafishane|bafishane|nibafishane|timfishane|kufishane|lengimfishane|lesifishane|lelifishane|lufishane|lemifishane|umfishane|lifishane|lesibafishane|mafishane	<i>adj</i><br><ol><li>short</li></ol>
foma	<i>verb</i><br><ol><li>to sweat, to perspire</li></ol>
fulawa|fúláwa|bófúláwa	<i>noun</i><br><ol><li>flour</li></ol>
funa	<i>verb</i><br><ol><li>to want</li><li>to look for</li><li>to search</li></ol>
fundza	<i>verb</i><br><ol><li>to learn</li><li>to read</li></ol>
fundzisa	<i>verb</i><br><ol><li>to teach</li></ol>
futfumala	<i>verb</i><br><ol><li>to be warm</li></ol>
futsi|fútsi	<i>adv</i><br><ol><li>again, once more</li></ol><br><i>conj</i><br><ol><li>and (linking clauses)</li></ol>
fuya	<i>verb</i><br><ol><li>to breed (animals)</li></ol>
gadza	<i>verb</i><br><ol><li>to watch, to keep an eye on</li></ol>
gadzi|bógádzi|gádzi	<i>noun</i><br><ol><li>guard</li></ol>
galela	<i>verb</i><br><ol><li>to contribute</li></ol>
gana	<i>verb</i><br><ol><li>to take/accept a lover (only said of a girl)</li></ol>
ganga	<i>verb</i><br><ol><li>to be naughty, to be mischievous</li></ol>
gcilata	<i>verb</i><br><ol><li>to enslave</li></ol>
gcina	<i>verb</i><br><ol><li>to end</li></ol>
gciza	<i>verb</i><br><ol><li>to put on a bracelet</li></ol>
gcoka	<i>verb</i><br><ol><li>to put on clothes, to dress, to wear</li></ol>
gcolotela	<i>verb</i><br><ol><li>to stare</li></ol>
gcumugcumu|gcumugcúmu|bógcumugcúmu	<i>noun</i><br><ol><li>gooseberry</li></ol>
gcwala	<i>verb</i><br><ol><li>to be full</li></ol>
gebenga	<i>verb</i><br><ol><li>to assault</li></ol>
geca	<i>verb</i><br><ol><li>to chop, to cut</li></ol>
geza	<i>verb</i><br><ol><li>to wash</li></ol>
gibela	<i>verb</i><br><ol><li>to ride</li></ol>
gidza	<i>verb</i><br><ol><li>to dance</li></ol>
gijima	<i>verb</i><br><ol><li>to run</li></ol>
gilonki|bógilonkí|gilonkí	<i>noun</i><br><ol><li>flamingo</li></ol>
goba	<i>verb</i><br><ol><li>to bend</li></ol>
gogo|bógógo|gógo	<i>noun</i><br><ol><li>grandmother</li></ol>
golikhipha|bógolikhípha|golikhípha	<i>noun</i><br><ol><li>goalkeeper</li></ol>
guca	<i>verb</i><br><ol><li>to kneel</li></ol>
guga	<i>verb</i><br><ol><li>to be old</li></ol>
gula	<i>verb</i><br><ol><li>to be sick/ill</li></ol>
gwegwa	<i>verb</i><br><ol><li>to be crooked, to be bent</li></ol>
habula	<i>verb</i><br><ol><li>to take a sip</li></ol>
hamba	<i>verb</i><br><ol><li>to go, to walk, to move</li><li>to travel</li></ol>
hayita	<i>verb</i><br><ol><li>to taste peculiar</li></ol>
hhayi	<i>intj</i><br><ol><li>no</li></ol>
hhayita	<i>verb</i><br><ol><li>to stop someone by shouting</li></ol>
hhedla	<i>verb</i><br><ol><li>to file</li><li>to scratch</li></ol>
hhema	<i>verb</i><br><ol><li>to talk in one's sleep, to talk nonsense</li></ol>
hheyi	<i>intj</i><br><ol><li>hey</li></ol>
hhoba	<i>verb</i><br><ol><li>to cut down in great quantities</li><li>to mow down</li></ol>
hhula	<i>verb</i><br><ol><li>to give a haircut</li></ol>
hhumba	<i>verb</i><br><ol><li>to pluck</li></ol>
hlabela	<i>verb</i><br><ol><li>to dance</li></ol>
hlabelela	<i>verb</i><br><ol><li>to sing (in a group)</li></ol>
hlakanipha	<i>verb</i><br><ol><li>to be wise</li></ol>
hlala	<i>verb</i><br><ol><li>(intransitive) to sit, to stay</li></ol>
hlangabeta	<i>verb</i><br><ol><li>to meet (a traveller)</li></ol>
hlangana	<i>verb</i><br><ol><li>to meet</li></ol>
hlanta	<i>verb</i><br><ol><li>to vomit</li><li>to wash, to cleanse</li></ol>
hlanu|lomhlanu|ngimhlanu|umhlanu|lenibahlanu|lelihlanu|buhlanu|luhlanu|nibahlanu|mhlanu|sihlanu|lenhlanu|lengimhlanu|lesibahlanu|tinhlanu|lobuhlanu|lokuhlanu|sibahlanu|lemihlanu|mahlanu|lesihlanu|letinhlanu|mihlanu|labahlanu|lihlanu|lamahlanu|bahlanu|loluhlanu|inhlanu|kuhlanu	<i>adj</i><br><ol><li>five</li></ol>
hlanya	<i>verb</i><br><ol><li>to be mad, to be crazy</li></ol>
hlanyela	<i>verb</i><br><ol><li>to sow, to plant</li><li>to disseminate, to propagate</li></ol>
hle|lelihle|luhle|lokuhle|lesibahle|letinhle|nibahle|sihle|lesihle|ngimuhle|mahle|inhle|lenibahle|lobuhle|bahle|buhle|lengimuhle|tinhle|lamahle|labahle|mihle|kuhle|lenhle|loluhle|sibahle|lomuhle|lemihle|lihle|muhle|umuhle	<i>adj</i><br><ol><li>beautiful, handsome</li></ol>
hleba	<i>verb</i><br><ol><li>to whisper</li><li>to backbite</li></ol>
hlehla	<i>verb</i><br><ol><li>to dance</li><li>to hop, to skip</li></ol>
hleka	<i>verb</i><br><ol><li>(intransitive) to laugh</li><li>(transitive) to laugh at</li></ol>
hlela	<i>verb</i><br><ol><li>to put in order</li><li>to edit, to sort, to filter</li></ol>
hlindza	<i>verb</i><br><ol><li>to operate</li><li>to skin (an animal)</li></ol>
hlohla	<i>verb</i><br><ol><li>to load a gun</li></ol>
hlola	<i>verb</i><br><ol><li>to peep</li><li>to inspect</li></ol>
hlonipha	<i>verb</i><br><ol><li>to respect</li></ol>
hlupha	<i>verb</i><br><ol><li>to give trouble</li></ol>
hlwa	<i>verb</i><br><ol><li>(intransitive) to become dark</li></ol>
hola	<i>verb</i><br><ol><li>to get paid</li></ol>
holela	<i>verb</i><br><ol><li>to collect into</li><li>to pay wages</li></ol>
hona	<i>verb</i><br><ol><li>to snore</li></ol>
hulumende|huluménde|bóhuluménde	<i>noun</i><br><ol><li>government</li></ol>
