adùbiʼíne|adùbiʼíne III.6	<i>noun</i><br><ol><li>adobe</li></ol>
cìyúna|cíyuną|cìyúna I.1	<i>noun</i><br><ol><li>mouse (mammal)</li></ol>
cìʼíne|cìʼíne III.6	<i>noun</i><br><ol><li>knot</li></ol>
cínemą|cíne|cínemą II.4	<i>noun</i><br><ol><li>(anatomy) eye</li></ol>
cíwena|cíwena I.2|cìwénemą	<i>noun</i><br><ol><li>eagle (bird)</li></ol>
cíłoʼȕ	<i>noun</i><br><ol><li>(proper name) Little Big-Eye (Trager); Little Bleary-Eye (Parsons)</li></ol>
còhəoʼóna|cóhəoną|còhəoʼóna I.1	<i>noun</i><br><ol><li>witch</li></ol>
cùloʼóna|cùloʼóna I.1|cúloną	<i>noun</i><br><ol><li>dog (mammal)</li></ol>
cùpána|cùpáną|cùpána I.1	<i>noun</i><br><ol><li>judge</li></ol>
cúsǐen	<i>num</i><br><ol><li>seven hundred</li></ol>
cúsǐeną	<i>num</i><br><ol><li>seven hundred</li></ol>
cûdena|cûdena III.5 cȕdéne	<i>noun</i><br><ol><li>shirt</li></ol>
cą̀pienéna|cą̀píenene|cą̀pienéna III.5	<i>noun</i><br><ol><li>yeast</li></ol>
cȅdéna|cȅdéne|cȅdéna III.5	<i>noun</i><br><ol><li>(anatomy) anus</li></ol>
cʼìpána|cʼìpána I.1|cʼípaną	<i>noun</i><br><ol><li>doll</li></ol>
cʼòwowoʼóna|cʼòwowoʼóne|cʼòwowoʼóna III.5	<i>noun</i><br><ol><li>(anatomy) ankle</li></ol>
cʼóne|cʼóne III.6	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
cʼùwalaʼána|cʼùwalaʼána I.1|cʼúwalaną	<i>noun</i><br><ol><li>squirrel (mammal)</li></ol>
cʼúnena|cʼúnene|cʼúnena III.5	<i>noun</i><br><ol><li>deerhide strip</li></ol>
cʼȁwéna|cʼȁwéna I.2|cʼȁwénemą	<i>noun</i><br><ol><li>bluejay</li></ol>
cʼȕnéna|cʼȕnéna I.1|cʼȕnéną	<i>noun</i><br><ol><li>coyote (mammal)</li></ol>
cʼə́olena	<i>noun</i><br><ol><li>buffalo (mammal) yearling (little and yellowish)</li></ol>
cʼə́otho	<i>postp</i><br><ol><li>in front of</li></ol>
c’ìliyoʼóna|cʼíliyoną|c’ìliyoʼóna I.1	<i>noun</i><br><ol><li>bat (mammal)</li></ol>
gosulínene|gosulínene III.6	<i>noun</i><br><ol><li>gasoline</li></ol>
gòyuʼúna|gòyuʼúna I.1|góyuną	<i>noun</i><br><ol><li>rooster</li></ol>
hálgoną|hàlgo’óne|hálgoną II.3	<i>noun</i><br><ol><li>rug, carpet</li></ol>
hìwkwíalto	<i>particle</i><br><ol><li>Stone Fence (place name)</li></ol>
híli	<i>pron</i><br><ol><li>(interrogative) what</li></ol>
hóbo	<i>particle</i><br><ol><li>also</li></ol>
hónxu	<i>particle</i><br><ol><li>so then</li></ol>
húki	<i>particle</i><br><ol><li>whether</li></ol>
húoloną	<i>noun</i><br><ol><li>(botany) wire weeds (genus Rigiopappus)</li></ol>
húoną	<i>particle</i><br><ol><li>then</li></ol>
húwi	<i>particle</i><br><ol><li>whew!</li></ol>
húxu	<i>particle</i><br><ol><li>and so</li></ol>
hûmo	<i>particle</i><br><ol><li>the north side (of the pueblo)</li></ol>
hûokwimo	<i>particle</i><br><ol><li>the south side (of the pueblo)</li></ol>
hûtho	<i>particle</i><br><ol><li>on the north side (of the pueblo)</li></ol>
hą	<i>particle</i><br><ol><li>yes</li></ol>
hų́łoliną|hų̀łolíne|hų́łoliną II.3	<i>noun</i><br><ol><li>weapon</li></ol>
hų̂nemą|hų̂nemą II.4|hų̂ne	<i>noun</i><br><ol><li>cedar (tree)</li></ol>
hų̏pʼôhaną|hų̏pʼôhaną II.3|hų̏pʼôhane	<i>noun</i><br><ol><li>juniper (tree)</li></ol>
hǫ́lpʼȍno	<i>particle</i><br><ol><li>Santa Fe</li></ol>
hǫ́luną|hǫ̀lu’úne|hǫ́luną II.3	<i>noun</i><br><ol><li>(anatomy) lung</li></ol>
hȕolóna|hȕolóna I.1	<i>noun</i><br><ol><li>quail</li></ol>
hȕthóna|hûthoną|hȕthóna I.1	<i>noun</i><br><ol><li>northsider (i.e. person from north side of the pueblo)</li></ol>
hə́olene|hə́olene III.6	<i>noun</i><br><ol><li>sickness</li></ol>
hə̏olune|hə̏olune III.6	<i>noun</i><br><ol><li>arroyo, canyon</li></ol>
kayúnena|kayúnena III.5|local|kayúnene	<i>noun</i><br><ol><li>canyon</li></ol>
komòlto’óna|komòlto’óna III.5|komòlto’óne|local	<i>noun</i><br><ol><li>bed frame, bedstead</li></ol>
kophà’ąsíne|kophà’ąsíne III.6	<i>noun</i><br><ol><li>commercial sugar</li></ol>
kopháne|kopháne III.6	<i>noun</i><br><ol><li>coffee</li></ol>
kumpàyli’ína|kumpàyli’ína I.1|kumpáyliną	<i>noun</i><br><ol><li>godfather</li></ol>
kumàyli’ína|kumàyli’ína I.1|kumáyliną	<i>noun</i><br><ol><li>godmother</li></ol>
kuyúna	<i>noun</i><br><ol><li>(religion, botany) sacred corn</li></ol>
kwiléna|kwiléna I	<i>noun</i><br><ol><li>girl</li></ol>
kwìawìp’į́ęna|kwìawìp’į́ęne|kwìawìp’į́ęna III.5	<i>noun</i><br><ol><li>racetrack</li></ol>
kwìawíne	<i>noun</i><br><ol><li>race</li></ol>
kwíamena|kwíamena I	<i>noun</i><br><ol><li>(archaic) young woman</li></ol>
kwíanena|kwíanena I.2|kwíanenemą	<i>noun</i><br><ol><li>bitch (mammal)</li></ol>
kwíltoną|kwíltoną II.3|kwìlto’óne	<i>noun</i><br><ol><li>quilt</li></ol>
kwònéne|kwònéne III.6	<i>noun</i><br><ol><li>arrival</li></ol>
kwóna|kwóna III.5|kwóne	<i>noun</i><br><ol><li>axe</li></ol>
kwę̀mų́na|kwę̀mų́na III.5|kwę́mųne	<i>noun</i><br><ol><li>carpenter's apron</li></ol>
kwę̀xòci’ína|kwę̀xòci’ína III.5|kwę̀xòci’íne	<i>noun</i><br><ol><li>bracelet</li></ol>
kwę́na|kwę́nemą|kwę́na I.2	<i>noun</i><br><ol><li>Mexican, Spanish-speaking person</li></ol>
kwę́łoną|kwę́łoną II.3|kwę̀łóne	<i>noun</i><br><ol><li>oak (tree)</li></ol>
kwę́’ogą	<i>particle</i><br><ol><li>among the Mexicans (i.e. Taos city, Taos village)</li></ol>
kwə́lena|kwə́lenemą|kwə́lena I.2	<i>noun</i><br><ol><li>maiden, girl</li></ol>
kw’àyána|kw’àyána I.1|kw’áyaną	<i>noun</i><br><ol><li>magpie</li></ol>
kàsu’úna|kàsu’úna III.5|kàsu’úne	<i>noun</i><br><ol><li>cheese</li></ol>
kàyi’ína|kàyi’ína III.5|kàyi’íne|local	<i>noun</i><br><ol><li>street</li></ol>
kàyúna|káyuną|kàyúna I.1	<i>noun</i><br><ol><li>maternal aunt, mother's sister</li></ol>
ká|form|ká vocative	<i>noun</i><br><ol><li>(diminutive) mommy (used by very young children to mother)</li></ol>
kána|form|ká|kánemą|kána I.2|ká vocative	<i>noun</i><br><ol><li>mother, mother-in-law</li><li>wife (used by husband when speaking to wife)</li><li>mother (used by husband to refer to wife when speaking to his children)</li></ol>
ká’ȕ|ká’ȕ vocative	<i>noun</i><br><ol><li>(diminutive) mommy (used by children to mother)</li><li>(diminutive) wifey (used by husband to wife)</li><li>(diminutive) relatively older woman (by younger speaker to show friendly respect but less common in this sense than łá’ȕ)</li></ol>
kèke’éna|kèke’éne|kèke’éna III.5	<i>noun</i><br><ol><li>cake, cracker</li></ol>
kìłu’úna|kìłu’úna I.1|kíłuną	<i>noun</i><br><ol><li>nephew, niece, younger cousin</li></ol>
kínemą|kíne|kínemą II.4	<i>noun</i><br><ol><li>blanket</li></ol>
kòki’ína	<i>noun</i><br><ol><li>crow (crow)</li></ol>
kòlno’óna|kòlno’óna I.1|kólnoną	<i>noun</i><br><ol><li>badger (mammal)</li></ol>
kòléna|kòléna I.2|kólenemą	<i>noun</i><br><ol><li>wolf (mammal)</li></ol>
kòmpu’úna|kòmpu’úne|kòmpu’úna III.5	<i>noun</i><br><ol><li>camp</li></ol>
kònk’ə́obo	<i>particle</i><br><ol><li>placename for a place where a buffalo turned into stone in ancient times about 0.5 miles east of Taos</li></ol>
kònéna|kònénemą|kònéna I.2	<i>noun</i><br><ol><li>buffalo (mammal)</li></ol>
kòsi’ína|kósiną|kòsi’ína I.1	<i>noun</i><br><ol><li>buffalo cow, cow (mammal)</li></ol>
kòwmą̏celéna|kòwmą̏celéne|kòwmą̏celéna III.5	<i>noun</i><br><ol><li>(anatomy) hoof</li></ol>
kòw’ȕ’úna|kòw’ȕ’úna I.1|ków’uną	<i>noun</i><br><ol><li>colt (young horse)</li></ol>
kò’óne|kò’óne III.6	<i>noun</i><br><ol><li>washing</li></ol>
kówena|kówena I.2|kòwénema	<i>noun</i><br><ol><li>horse (mammal)</li></ol>
kóywona|kóywoną|kóywona I.1	<i>noun</i><br><ol><li>Kiowa Indian</li></ol>
kùcitúone|kùcitúone III.6	<i>noun</i><br><ol><li>pork</li></ol>
kùci’ína|kúciną|kùci’ína I.1	<i>noun</i><br><ol><li>pig (mammal)</li></ol>
kùku’úne|kùku’úne III.6	<i>noun</i><br><ol><li>cocoa</li></ol>
kùli’ína|kùli’ína III.5|kùli’íne	<i>noun</i><br><ol><li>cabbage</li></ol>
kùti’ína|kùti’íne|kùti’ína III.5	<i>noun</i><br><ol><li>coat</li></ol>
kùylulúna|kùylúluną|kùylulúna I.1	<i>noun</i><br><ol><li>skunk (mammal)</li></ol>
kǫyxwę́kimą	<i>verb</i><br><ol><li>you have a tail</li></ol>
kǫ̏wéna|kǫ̏wéna I.2|kǫ̏wénemą	<i>noun</i><br><ol><li>owl</li></ol>
kȕphúone|kȕphúone III.6	<i>noun</i><br><ol><li>act of dropping</li></ol>
kə̀nénemą|kə̀nénemą II.4|kə̀néne	<i>noun</i><br><ol><li>cradle</li></ol>
kə̀obénemą|kə̀obénemą II.4|kə̀obéne	<i>noun</i><br><ol><li>shoe, moccasin</li></ol>
kə́na|kə́ne|kə́na III.5	<i>noun</i><br><ol><li>(anatomy) vulva</li></ol>
kə́ona|kə́ona I.2|kə́onemą	<i>noun</i><br><ol><li>bear (mammal)</li></ol>
kə̏dénemą|kə̏déne|kə̏dénemą II.4	<i>noun</i><br><ol><li>door</li></ol>
k’òwa’ána|k’òwa’ána I.1|k’ówaną	<i>noun</i><br><ol><li>relative</li></ol>
k’ùopána	<i>noun</i><br><ol><li>wool dress</li></ol>
k’ùowoxə́na	<i>noun</i><br><ol><li>(botany) spruce seed</li></ol>
k’ùoxwį́wna	<i>noun</i><br><ol><li>chipmunk (mammal)</li></ol>
k’ùołàxenlo’óna	<i>noun</i><br><ol><li>lizard, horned toad</li></ol>
k’ùo’ȕ’úna|k’ùo’ȕ’úna I.1	<i>noun</i><br><ol><li>lamb (young sheep)</li></ol>
k’úona|k’úona I	<i>noun</i><br><ol><li>sheep (mammal)</li></ol>
k’ȍ’óna	<i>noun</i><br><ol><li>corncob</li></ol>
k’ə́onemą|k’ə́one|k’ə́onemą II.4	<i>noun</i><br><ol><li>(anatomy) neck</li></ol>
k’ə́otho	<i>postp</i><br><ol><li>up on top (as a hill)</li></ol>
lecùgoʼóne|lecùgoʼóne III.6	<i>noun</i><br><ol><li>lettuce</li></ol>
láyna|láyne|láyna III.5|láyną|láyna I.1	<i>noun</i><br><ol><li>king</li><li>law</li></ol>
lìlúna|lìlúna I.1|líluną	<i>noun</i><br><ol><li>chicken; hen</li></ol>
lìmunéna|lìmunéne|lìmunéna III.5	<i>noun</i><br><ol><li>lemon (fruit)</li></ol>
lílena|lìléne|lílena III.5	<i>noun</i><br><ol><li>belt</li></ol>
lúnąsi|lúnąsi uninflected	<i>noun</i><br><ol><li>Monday</li></ol>
moltìyu’úna|moltìyu’úna III.5|moltìyu’úne	<i>noun</i><br><ol><li>hammer</li></ol>
monsònu’úna|monsònu’úne|monsònu’úna III.5	<i>noun</i><br><ol><li>apple tree</li></ol>
mèstu’úna|mèstu’úna I.1|méstuną	<i>noun</i><br><ol><li>teacher</li></ol>
mètu’úna|mètu’úna I.1	<i>noun</i><br><ol><li>teacher</li></ol>
míalkulisi|míalkulisi uninflected	<i>noun</i><br><ol><li>Wednesday</li></ol>
míalnąsi|míalnąsi uninflected	<i>noun</i><br><ol><li>Friday</li></ol>
mílą|míl	<i>num</i><br><ol><li>thousand</li></ol>
móltəsi|móltəsi uninflected	<i>noun</i><br><ol><li>Tuesday</li></ol>
móxwoluną	<i>noun</i><br><ol><li>Wheeler Peak, Taos Peak (highest point in New Mexico)</li></ol>
mùldu’úna|múlduną|mùldu’úna I.1	<i>noun</i><br><ol><li>donkey, burro (mammal)</li></ol>
mùlo’óna|mùlo’óna I.1|múloną	<i>noun</i><br><ol><li>mule (mammal)</li></ol>
mùlso’óna|mùlso’óna III.5|local|mùlso’óne	<i>noun</i><br><ol><li>pocket, purse</li></ol>
mùoli’íne|mùoli’íne III.6	<i>noun</i><br><ol><li>return</li></ol>
mùoya’ána|mùoya’ána I.1|múoyaną	<i>noun</i><br><ol><li>ox, steer (mammal)</li></ol>
múluną	<i>noun</i><br><ol><li>drum, box, jar</li></ol>
múoli	<i>verb</i><br><ol><li>return</li></ol>
mąkìno’óna|mąkìno’óna III.5|mąkìno’óne|local	<i>noun</i><br><ol><li>machine</li></ol>
mą̀kupòpóna|mą̀kupòpóna I.1	<i>noun</i><br><ol><li>wife's elder brother (elder brother-in-law related to wife), younger sister's husband (brother-in-law from younger sister's marriage)</li></ol>
mą́kuna|mą́kuna I.1|mą́ku|mą́kuną	<i>noun</i><br><ol><li>grandchild</li></ol>
mą́wįęna	<i>noun</i><br><ol><li>(botany) corn pollen</li></ol>
mą́łi	<i>num</i><br><ol><li>six</li></ol>
mą́łisǐen	<i>num</i><br><ol><li>six hundred</li></ol>
mą́łisǐeną	<i>num</i><br><ol><li>six hundred</li></ol>
mą̂nmųną|mą̂nmųną II.3|mą̏nmų́ne	<i>noun</i><br><ol><li>glove</li></ol>
mą̏c’élena|mą̏c’élena III.5|mą̏c’élene	<i>noun</i><br><ol><li>(anatomy) fingernail</li></ol>
mą̏nénemą|mą̏nénemą II.4|mą̏néne	<i>noun</i><br><ol><li>(anatomy) hand</li></ol>
mę̀diaxų̀ci’ína|mę̀diaxų̀ci’ína III.5|mę̀diaxų̀ci’íne|local	<i>noun</i><br><ol><li>garter</li></ol>
mę̀sotu’úna|mę̀sotu’úna III.5|alternate duoplural: mę́sotune|mę̀sotu’úne	<i>noun</i><br><ol><li>(religion) church</li></ol>
mę̀so’óna|mę̀so’óna III.5|mę̀so’óne	<i>noun</i><br><ol><li>(religion) (Catholic) mass, church</li></ol>
mę́dianą|mę̀dia’áne|mę́dianą II.3	<i>noun</i><br><ol><li>stocking</li></ol>
mę́soną|mę́soną II.3|mę̀so’óną	<i>noun</i><br><ol><li>table</li></ol>
mį̀yo’óna|mį̀yo’óne|mį̀yo’óna III.5	<i>noun</i><br><ol><li>mile</li></ol>
mį̏mína|mį̏mína I.1|mį̏míną	<i>noun</i><br><ol><li>maternal uncle, mother's brother</li></ol>
mųstúnena|mųstúnene|mųstúnena III.5	<i>noun</i><br><ol><li>button</li></ol>
mų̀si’ína|mų́siną|mų̀si’ína I.1	<i>noun</i><br><ol><li>cat (mammal)</li></ol>
mǫ̀tunéna	<i>noun</i><br><ol><li>button</li></ol>
nábahuna|nábahuną|nábahuna I.1	<i>noun</i><br><ol><li>Navajo Indian</li></ol>
nòdu’úna|nòdu’úna I.1|nóduną	<i>noun</i><br><ol><li>soldier</li></ol>
ną	<i>pron</i><br><ol><li>(first person) I, we</li></ol>
nąłàcit’ə́otuna	<i>noun</i><br><ol><li>thunder</li></ol>
ną̀méne|ną̀méne III.6	<i>noun</i><br><ol><li>soil</li></ol>
ną̀phę́tho	<i>particle</i><br><ol><li>Sandia Pueblo (folk etymological meaning: “place of the cloud hills”, a reference to the sand dunes in the area)</li></ol>
ną̀xù’úna|ną̀xù’úna III.5|ną̀xù’úne	<i>noun</i><br><ol><li>adobe brick</li></ol>
ną́nemą	<i>noun</i><br><ol><li>hill</li></ol>
nų̀tòke’éna|nų̀tòke’éna I	<i>noun</i><br><ol><li>nighthawk</li></ol>
obènu’úne|obènu’úne III.6	<i>noun</i><br><ol><li>oats (wild and domestic)</li></ol>
oxènti’ína|oxènti’ína I.1|oxéntiną	<i>noun</i><br><ol><li>agent, superintendent of Indian agency</li></ol>
phonsàytų’úne|phonsàytų’úne III.6	<i>noun</i><br><ol><li>English (language)</li></ol>
phonsáyna|phonsáyną|phonsáyna I.1	<i>noun</i><br><ol><li>non-Spanish-speaking white man, American</li></ol>
phrútona|phrútona III.5|local	<i>noun</i><br><ol><li>(botany) fruit</li></ol>
phàc’íene	<i>noun</i><br><ol><li>lightning</li></ol>
phà’áne|phà’áne III.6	<i>noun</i><br><ol><li>fire</li></ol>
pháywi	<i>verb</i><br><ol><li>be red</li></ol>
phìayána|phíayaną|phìayána I.1	<i>noun</i><br><ol><li>louse, flea</li></ol>
phìstuléna|phìstuléne|phìstuléna III.5	<i>noun</i><br><ol><li>pin</li></ol>
phò’ína|phò’ína III.5|phò’íne	<i>noun</i><br><ol><li>peach (fruit)</li></ol>
phóna|phóna III.5|phóne	<i>noun</i><br><ol><li>(anatomy) hair</li></ol>
phùolénemą|phùoléne|phùolénemą II.4	<i>noun</i><br><ol><li>yucca</li></ol>
phę́na|phę́ne|phę́na III.5	<i>noun</i><br><ol><li>cloud</li></ol>
phų̀yu’úna|phų̀yu’úna I.1|phų́yuną	<i>noun</i><br><ol><li>fly (insect)</li></ol>
phȉwéna|phȉwéna I.2|phȉwénemą	<i>noun</i><br><ol><li>daughter, daughter-in-law</li><li>any female child or younger female person</li></ol>
phə́yna|phə́yna III.5|phə́yne	<i>noun</i><br><ol><li>(anatomy) nose</li></ol>
piakə̀nénemą|piakə́nene|piakə̀nénemą II.4	<i>noun</i><br><ol><li>(anatomy) chest, heart</li></ol>
pisóloną|pisóloną II.3|pisòlo’óne	<i>noun</i><br><ol><li>blanket</li></ol>
plòso’óna|plòso’óne|plòso’óna III.5	<i>noun</i><br><ol><li>city, town</li><li>the town of Taos</li></ol>
prìmu’úna|prìmu’úna I.1|prímuną	<i>noun</i><br><ol><li>cousin</li></ol>
pulísena|pulísena I.2|pulísenemą	<i>noun</i><br><ol><li>policeman</li></ol>
pànąthóna|pànąthóne|pànąthóna III.5	<i>noun</i><br><ol><li>underwear</li></ol>
páne|páne III.6|pána	<i>noun</i><br><ol><li>clothing</li></ol>
pènku’úna|pénkuną|pènku’úna I.1	<i>noun</i><br><ol><li>orphan</li></ol>
pèro’óna|pèro’óna III.5|pèro’óne	<i>noun</i><br><ol><li>pear (fruit)</li></ol>
pìa’ąsíne|pìa’ąsíne I.1 duoplural	<i>noun</i><br><ol><li>sweethearts</li></ol>
pìwcìayána	<i>noun</i><br><ol><li>tale, story, "dump-telling" (translated thus because the dead were buried in dumps, i.e. refuse mounds in early times)</li></ol>
píana|píane|píana III.5	<i>noun</i><br><ol><li>(anatomy) heart, breast</li></ol>
pòmų́na|pòmų́ne|pòmų́na III.5	<i>noun</i><br><ol><li>trouser leg, trousers/pants</li></ol>
pòpóna|pòpó|póponą|pòpóna I.1	<i>noun</i><br><ol><li>elder brother, elder brother-in-law, elder half-brother, elder stepbrother</li><li>friendly greeting to a man of same or greater age of speaker (mostly used by male speakers)</li></ol>
pòstaléna|pòstaléna III.5	<i>noun</i><br><ol><li>pastry, pie</li></ol>
pòwdo’óne|pòwdo’óne III.6	<i>noun</i><br><ol><li>baking powder</li></ol>
pòxə̀phialúna	<i>noun</i><br><ol><li>pumpkin seed earring</li></ol>
póna|póne|póna III.5	<i>noun</i><br><ol><li>pumpkin</li></ol>
póyuo|form for noun class I|póyuoną	<i>num</i><br><ol><li>three</li></ol>
póyuosǐen	<i>num</i><br><ol><li>three hundred</li></ol>
póyuosǐeną	<i>num</i><br><ol><li>three hundred</li></ol>
pôb’ȕ	<i>noun</i><br><ol><li>(proper name) Little Flower</li></ol>
pùlulúna|pùlulúne|pùlulúna III.5	<i>noun</i><br><ol><li>plum (fruit)</li></ol>
pùohóna|pùohóna III.5|pùohóne	<i>noun</i><br><ol><li>ball</li><li>squawberry ?</li></ol>
pùot’ę́ną|pùot’ę́ną II.3|pùot’ę́ne	<i>noun</i><br><ol><li>basket</li></ol>
pùru’úna|pùru’úne|pùru’úna III.5	<i>noun</i><br><ol><li>cigar</li></ol>
púeloną|púeloną II.3|pùelo’óne	<i>noun</i><br><ol><li>frying pan</li></ol>
púyena|púyena I.2|pùyénemą	<i>noun</i><br><ol><li>friend</li></ol>
pę̀cu’úna|pę̀cu’úna I.1|pę́cuną	<i>noun</i><br><ol><li>rattlesnake</li></ol>
pę̀łȉwéna	<i>noun</i><br><ol><li>doe (mammal)</li></ol>
pę́na|pę́na I.2|pę́nemą	<i>noun</i><br><ol><li>deer (mammal)</li></ol>
pį́ęna|pį́ęne|pį́ęna III.5	<i>noun</i><br><ol><li>road</li></ol>
pį̏ę’éna|pį̏ę’éna III.5|pį̏ę’éne|local	<i>noun</i><br><ol><li>(with local place prefix) bed</li><li>(without local place prefix) mattress, sleeping mat</li></ol>
pų̏’úne	<i>noun</i><br><ol><li>(botany) tall white plants resembling willows</li></ol>
pǫ̀’óne	<i>noun</i><br><ol><li>earth</li></ol>
pǫ̂to	<i>particle</i><br><ol><li>on the earth, on the plains</li></ol>
pǫ̏’óna|pǫ̏’óne|pǫ̏’óna III.5	<i>noun</i><br><ol><li>land, country, the earth</li></ol>
pȉléna	<i>noun</i><br><ol><li>summer</li></ol>
pȉwéna|pȉwénemą|pȉwéna I.2	<i>noun</i><br><ol><li>rabbit (mammal)</li></ol>
pȍbénemą|pȍbénemą II.4|pȍbéne	<i>noun</i><br><ol><li>(botany) flower</li></ol>
pəolénemą	<i>noun</i><br><ol><li>Hopi blanket</li></ol>
pə̏’ə́na|pə̏’ə́nemą|pə̏’ə́na I.2	<i>noun</i><br><ol><li>fish</li></ol>
pʼìtąmúluną	<i>noun</i><br><ol><li>skull</li></ol>
p’àyu’úna|p’àyu’úna I.1|p’áyuną	<i>noun</i><br><ol><li>younger sister</li></ol>
p’ìanwílaną	<i>noun</i><br><ol><li>Picuris Indians</li></ol>
p’íanenemą|p’íanenemą II.4|p’íanene	<i>noun</i><br><ol><li>mountain</li></ol>
p’ínemą|p’ínemą II.4|p’íne	<i>noun</i><br><ol><li>(anatomy) head</li></ol>
p’óna|p’óna III.5|p’óne	<i>noun</i><br><ol><li>moon</li></ol>
p’óyona|p’òyóną|p’óyona I.1	<i>noun</i><br><ol><li>beaver (mammal)</li></ol>
p’ą́nyuo|form for noun class I|p’ą́nyuoną	<i>num</i><br><ol><li>five</li></ol>
p’ą́nyuosǐen	<i>num</i><br><ol><li>five hundred</li></ol>
p’ą́nyuosǐeną	<i>num</i><br><ol><li>five hundred</li></ol>
p’į́wna|p’į́wnemą|p’į́wna I.2	<i>noun</i><br><ol><li>sparrow</li></ol>
p’į́ęna|p’į́ęne|p’į́ęna III.5	<i>noun</i><br><ol><li>road</li></ol>
p’ų́	<i>pron</i><br><ol><li>(interrogative) who</li></ol>
p’ǫ́yna|p’ǫ́yna I.2|p’ǫ́ynemą	<i>noun</i><br><ol><li>younger brother, younger brother-in-law, half-brother, stepbrother</li><li>friendly greeting to younger male</li></ol>
p’ȍcákana	<i>noun</i><br><ol><li>wild goose</li></ol>
p’ȍcíane|p’ȍcíane III.6	<i>noun</i><br><ol><li>ice</li></ol>
p’ȍkúna|p’ȍkúna III.5|p’ȍkúne	<i>noun</i><br><ol><li>loaf of bread</li></ol>
p’ȍk’úowoną|p’ȍk’úowoną II.3	<i>noun</i><br><ol><li>fir, spruce (tree)</li></ol>
p’ȍpíaną	<i>noun</i><br><ol><li>ducks</li></ol>
p’ȍpə́na|p’ȍpə́na III.5|p’ȍpə́ne	<i>noun</i><br><ol><li>sky</li></ol>
p’ȍsį́wną	<i>noun</i><br><ol><li>wild celery (?), watercress (?), wild asparagus (?)</li></ol>
p’ȍtukw’ilóna|p’ȍtukw’ilóne|p’ȍtukw’ilóna III.5	<i>noun</i><br><ol><li>(botany) mint</li></ol>
p’ȍwàya’ána|p’ȍwàya’ána I.1|p’ȍwáyaną	<i>noun</i><br><ol><li>worm</li></ol>
p’ȍxwìli’ína	<i>noun</i><br><ol><li>glass</li></ol>
p’ȍxwíana|p’ȍxwíana I.1|p’ȍxwíaną	<i>noun</i><br><ol><li>egg</li></ol>
p’ȍxúone|p’ȍxúone III.6	<i>noun</i><br><ol><li>steam</li></ol>
p’ȍxəłóna|p’ȍxəłóne|p’ȍxəłóna III.5	<i>noun</i><br><ol><li>star</li></ol>
p’ȍxə̀t’į́ęnemą	<i>noun</i><br><ol><li>abalone bowl</li></ol>
p’ȍłìlap’ȍ’óne	<i>noun</i><br><ol><li>hot springs</li></ol>
p’ȍ’óne|p’ȍ’óne|p’ȍ’óne III.5|p’ȍ’óne III.6	<i>noun</i><br><ol><li>water</li><li>drop of water; river, stream, body of water</li></ol>
p’ȍ’ǫ́yona|p’ȍ’ǫ́yoną|p’ȍ’ǫ́yona I.1	<i>noun</i><br><ol><li>spider</li></ol>
p’ȍ’ȕ’úna	<i>noun</i><br><ol><li>corn mash</li></ol>
p’ə̀o’óne	<i>noun</i><br><ol><li>(botany) fruit, ripe seeds, ripe corn</li></ol>
