Alemania	<i>name</i><br><ol><li>Germany</li></ol>
bon	<i>adj</i><br><ol><li>good</li></ol>
bonchi	<i>noun</i><br><ol><li>bean</li><li>haricot</li></ol>
bonochi	<i>intj</i><br><ol><li>good night</li><li>good evening</li></ol>
boso	<i>pron</i><br><ol><li>you, second person plural.</li></ol>
botika	<i>noun</i><br><ol><li>pharmacy; drugstore</li></ol>
boto	<i>noun</i><br><ol><li>boat, ship, vessel</li></ol>
boutismo	<i>noun</i><br><ol><li>baptism</li></ol>
brasa	<i>noun</i><br><ol><li>arm (limb)</li></ol><br><i>verb</i><br><ol><li>to embrace</li><li>to hug</li></ol>
brel	<i>noun</i><br><ol><li>spectacles</li><li>glasses</li></ol>
bringa	<i>verb</i><br><ol><li>to fight</li></ol>
bruin	<i>adj</i><br><ol><li>brown</li></ol>
brùg	<i>noun</i><br><ol><li>bridge</li></ol>
brùit	<i>noun</i><br><ol><li>bride</li></ol>
buelo	<i>noun</i><br><ol><li>flight</li></ol>
buki	<i>noun</i><br><ol><li>book</li></ol>
bula	<i>verb</i><br><ol><li>to fly</li><li>to jump</li></ol>
buriku	<i>noun</i><br><ol><li>donkey</li></ol>
buska	<i>verb</i><br><ol><li>to seek, to search, to look for</li><li>to fetch, to get</li></ol>
buta	<i>verb</i><br><ol><li>to put, to place</li><li>to lay, to lay down</li></ol>
bèrdat	<i>noun</i><br><ol><li>truth</li><li>true, truly</li></ol>
bèrdè	<i>adj</i><br><ol><li>green</li></ol>
bòt	<i>adj</i><br><ol><li>dull (as a knife)</li></ol>
bòter	<i>noun</i><br><ol><li>bottle</li></ol>
chikitu	<i>adj</i><br><ol><li>small</li></ol>
chikí	<i>adj</i><br><ol><li>small</li></ol>
chogogo	<i>noun</i><br><ol><li>flamingo</li></ol>
chukulati	<i>noun</i><br><ol><li>chocolate</li></ol>
chupa	<i>verb</i><br><ol><li>to suck</li></ol>
chupachupa	<i>noun</i><br><ol><li>leech</li></ol>
cunucu	<i>noun</i><br><ol><li>farm</li><li>field</li><li>countryside</li></ol>
cushina	<i>noun</i><br><ol><li>kitchen</li></ol>
dal	<i>verb</i><br><ol><li>to hit</li><li>to beat</li></ol>
dal abou	<i>verb</i><br><ol><li>to fall</li></ol>
danki	<i>intj</i><br><ol><li>thanks</li><li>thank you</li></ol>
dede	<i>noun</i><br><ol><li>finger</li></ol>
deklarashon	<i>noun</i><br><ol><li>statement</li><li>declaration</li></ol>
delegá	<i>adj</i><br><ol><li>thin</li></ol>
den	<i>prep</i><br><ol><li>in</li><li>inside</li><li>below</li></ol>
densidat	<i>noun</i><br><ol><li>density</li></ol>
derecho	<i>noun</i><br><ol><li>the right to</li><li>(civil) right</li><li>claim</li><li>tax</li></ol>
desayuno	<i>noun</i><br><ol><li>breakfast</li></ol>
desishon	<i>noun</i><br><ol><li>decision</li></ol>
despues	<i>adv</i><br><ol><li>after</li><li>later</li></ol>
desuyuná	<i>verb</i><br><ol><li>to breakfast</li></ol>
desèmber	<i>noun</i><br><ol><li>December</li></ol>
di	<i>conj</i><br><ol><li>of, of the</li><li>from, from the</li></ol>
di kon	<i>adv</i><br><ol><li>why</li></ol>
dia	<i>noun</i><br><ol><li>day</li></ol>
dies	<i>num</i><br><ol><li>ten (10)</li></ol>
diesdos	<i>num</i><br><ol><li>twelve (12)</li></ol>
diestres	<i>num</i><br><ol><li>thirteen (13)</li></ol>
diesun	<i>num</i><br><ol><li>eleven (11)</li></ol>
diki	<i>adj</i><br><ol><li>thick</li></ol>
dilanti	<i>adv</i><br><ol><li>before</li><li>in front of</li></ol>
dirèkt	<i>adj</i><br><ol><li>straight, direct</li><li>immediate</li></ol>
dividi	<i>adv</i><br><ol><li>divided</li></ol>
dividivi	<i>noun</i><br><ol><li>divi-divi tree</li><li>Caesalpinia coriaria tree</li><li>Libidibia coriaria tree</li></ol>
divishon	<i>noun</i><br><ol><li>division</li></ol>
djabièrna	<i>noun</i><br><ol><li>Friday</li></ol>
djabièrnè	<i>noun</i><br><ol><li>Friday</li></ol>
djadomingo	<i>noun</i><br><ol><li>Sunday</li></ol>
djadumingu	<i>noun</i><br><ol><li>Sunday</li></ol>
djaka	<i>noun</i><br><ol><li>rat</li></ol>
djaluna	<i>noun</i><br><ol><li>Monday</li></ol>
djamars	<i>noun</i><br><ol><li>Tuesday</li></ol>
djarason	<i>noun</i><br><ol><li>Wednesday</li></ol>
djasabra	<i>noun</i><br><ol><li>Saturday</li></ol>
djaweps	<i>noun</i><br><ol><li>Thursday</li></ol>
dje	<i>pron</i><br><ol><li>his, hers</li><li>of him, of her</li></ol>
djente	<i>noun</i><br><ol><li>tooth</li></ol>
djis	<i>adv</i><br><ol><li>just, only</li><li>soon, later</li></ol>
djus	<i>noun</i><br><ol><li>juice</li><li>fruit juice</li></ol>
djòin	<i>verb</i><br><ol><li>to join</li><li>to unite</li></ol>
doló	<i>noun</i><br><ol><li>pain</li></ol>
dos	<i>num</i><br><ol><li>two (2)</li></ol>
drai	<i>verb</i><br><ol><li>(intransitive) to turn</li></ol>
drechi	<i>adj</i><br><ol><li>right (hand, side)</li></ol>
drenta	<i>verb</i><br><ol><li>to enter</li></ol>
drif	<i>verb</i><br><ol><li>to float</li></ol>
drumi	<i>verb</i><br><ol><li>to sleep</li></ol>
duna	<i>verb</i><br><ol><li>to give</li></ol>
duru	<i>adj</i><br><ol><li>tough, rough</li><li>hard</li></ol>
dushi	<i>adj</i><br><ol><li>very enjoyable or pleasing</li><li>sweet, delicious, tasty</li><li>dear, regarded with affection or love</li></ol><br><i>noun</i><br><ol><li>sweetheart, baby, darling, dear, beloved</li></ol>
dòlfein	<i>noun</i><br><ol><li>dolphin</li></ol>
dòlò	<i>noun</i><br><ol><li>dollar</li></ol>
dùim	<i>noun</i><br><ol><li>(anatomy) thumb</li></ol>
e	<i>pron</i><br><ol><li>he, she, third person singular.</li></ol><br><i>article</i><br><ol><li>the (definite article)</li></ol>
ei|einan	<i>pron</i><br><ol><li>there</li></ol>
einan	<i>pron</i><br><ol><li>that, those</li><li>there</li></ol>
eis	<i>noun</i><br><ol><li>ice</li></ol>
ekonomia	<i>noun</i><br><ol><li>economy</li></ol>
eksakto	<i>adj</i><br><ol><li>exact</li><li>accurate, precise</li><li>correct</li></ol>
eksterno	<i>adj</i><br><ol><li>external</li></ol>
emperadó	<i>noun</i><br><ol><li>emperor</li></ol>
esaki	<i>pron</i><br><ol><li>this</li><li>these</li></ol>
esaya	<i>pron</i><br><ol><li>that</li><li>those</li></ol>
esei	<i>pron</i><br><ol><li>that</li></ol>
eskoho	<i>noun</i><br><ol><li>choice</li></ol>
eskohé	<i>adj</i><br><ol><li>chosen</li><li>elected</li></ol>
esposa	<i>noun</i><br><ol><li>wife</li></ol>
esposo	<i>noun</i><br><ol><li>husband</li><li>man</li></ol>
fabor	<i>noun</i><br><ol><li>favour</li><li>pleasure</li></ol>
falta	<i>verb</i><br><ol><li>to lack</li><li>to miss</li></ol>
fasilidat	<i>noun</i><br><ol><li>easiness</li><li>comfort</li></ol>
febrüari	<i>noun</i><br><ol><li>February</li></ol>
fis	<i>adj</i><br><ol><li>dirty</li></ol>
flaku	<i>adj</i><br><ol><li>thin</li></ol>
flor	<i>noun</i><br><ol><li>flower</li></ol>
forsa	<i>noun</i><br><ol><li>force, power</li></ol>
foya	<i>noun</i><br><ol><li>leaf</li><li>sheet of paper</li></ol>
frega	<i>verb</i><br><ol><li>to rub</li></ol>
fresku	<i>adj</i><br><ol><li>fresh, recent</li><li>insolent</li></ol>
fris	<i>verb</i><br><ol><li>to freeze</li></ol>
friu	<i>adj</i><br><ol><li>cold</li></ol>
fruminga	<i>noun</i><br><ol><li>ant</li></ol>
fruta	<i>noun</i><br><ol><li>fruit</li></ol>
funchi	<i>noun</i><br><ol><li>polenta</li><li>porridge made of corn flour</li><li>mush made of maize flour</li></ol>
fundashon	<i>noun</i><br><ol><li>foundation, beginning, establishment</li></ol>
futuro	<i>noun</i><br><ol><li>future</li></ol>
fèrfdó	<i>noun</i><br><ol><li>painter</li></ol>
fòrki	<i>noun</i><br><ol><li>fork</li></ol>
gai	<i>noun</i><br><ol><li>rooster</li></ol>
galiña	<i>noun</i><br><ol><li>hen</li><li>chicken</li><li>girl</li></ol>
gana	<i>noun</i><br><ol><li>desire</li><li>wish</li><li>appetite</li></ol>
garganta	<i>noun</i><br><ol><li>neck</li><li>throat</li></ol>
gobernashon	<i>noun</i><br><ol><li>government</li></ol>
gordo	<i>adj</i><br><ol><li>thick</li><li>fat</li></ol>
grandi	<i>adj</i><br><ol><li>big</li><li>great</li></ol>
gritamentu	<i>noun</i><br><ol><li>yelling</li><li>clamor</li></ol>
guera	<i>noun</i><br><ol><li>war</li></ol>
habitante	<i>noun</i><br><ol><li>inhabitant</li></ol>
habon	<i>noun</i><br><ol><li>soap</li></ol>
haf	<i>noun</i><br><ol><li>harbour</li><li>port</li></ol>
hala	<i>noun</i><br><ol><li>wing</li></ol><br><i>verb</i><br><ol><li>to pull</li><li>to take</li></ol>
hala rosea	<i>verb</i><br><ol><li>to breathe</li></ol>
hamber	<i>noun</i><br><ol><li>hunger</li></ol>
hanchu	<i>adj</i><br><ol><li>wide</li></ol>
hari	<i>verb</i><br><ol><li>to laugh</li></ol>
hasa	<i>verb</i><br><ol><li>to bake</li><li>to roast</li></ol>
hasi	<i>verb</i><br><ol><li>to do</li><li>to make</li></ol>
hel	<i>adj</i><br><ol><li>yellow</li></ol>
hende	<i>noun</i><br><ol><li>man (human being)</li><li>person</li><li>someone</li></ol>
heru	<i>noun</i><br><ol><li>iron</li></ol>
higra	<i>noun</i><br><ol><li>liver</li></ol>
hincha	<i>verb</i><br><ol><li>to swell</li></ol>
hinka	<i>verb</i><br><ol><li>to stab</li></ol>
homber	<i>noun</i><br><ol><li>man</li></ol>
hopi	<i>pron</i><br><ol><li>much</li><li>many</li><li>a lot of</li></ol>
hulandes	<i>adj</i><br><ol><li>Dutch</li></ol><br><i>noun</i><br><ol><li>Dutch language</li><li>Dutchman</li></ol>
huma	<i>noun</i><br><ol><li>smoke</li></ol>
hunga	<i>verb</i><br><ol><li>to play</li></ol>
huntu	<i>adv</i><br><ol><li>together, jointly</li></ol>
huña	<i>verb</i><br><ol><li>to scratch</li></ol>
hòfi	<i>noun</i><br><ol><li>garden</li></ol>
hòmber	<i>noun</i><br><ol><li>man</li></ol>
hür	<i>noun</i><br><ol><li>rent</li></ol>
i	<i>conj</i><br><ol><li>and</li></ol>
idioma	<i>noun</i><br><ol><li>language</li></ol>
iglesia	<i>noun</i><br><ol><li>church</li></ol>
imperio	<i>noun</i><br><ol><li>empire</li></ol>
independensia	<i>noun</i><br><ol><li>independence</li></ol>
informashon	<i>noun</i><br><ol><li>information</li><li>inquiry</li></ol>
isla	<i>noun</i><br><ol><li>island</li></ol>
kabai	<i>noun</i><br><ol><li>horse</li></ol>
kabaron	<i>noun</i><br><ol><li>shrimp</li><li>Caridea</li></ol>
kabei	<i>noun</i><br><ol><li>hair</li></ol>
kabes	<i>noun</i><br><ol><li>head</li></ol>
kabritu	<i>noun</i><br><ol><li>goat</li></ol>
kabuya	<i>noun</i><br><ol><li>rope</li></ol>
kachu	<i>noun</i><br><ol><li>horn</li></ol>
kachó	<i>noun</i><br><ol><li>dog</li></ol>
kadushi	<i>noun</i><br><ol><li>cereus cactus, breba cactus, columnar cactus</li><li>soup made of the inside of the kadushi cactus.</li></ol>
kai	<i>verb</i><br><ol><li>to fall</li></ol>
kalkulá	<i>verb</i><br><ol><li>to calculate</li><li>to compute</li></ol>
kalor	<i>noun</i><br><ol><li>heat</li><li>warmth</li></ol><br><i>adj</i><br><ol><li>hot</li><li>warm</li></ol>
kama	<i>noun</i><br><ol><li>bed</li></ol>
kamber	<i>noun</i><br><ol><li>bedroom</li></ol>
kaminata	<i>noun</i><br><ol><li>walk, hike</li></ol>
kaminda	<i>noun</i><br><ol><li>road, way</li></ol>
kampeonato	<i>noun</i><br><ol><li>championship</li></ol>
kana	<i>verb</i><br><ol><li>to walk</li><li>to go</li></ol>
kandela	<i>noun</i><br><ol><li>fire</li></ol>
kansá	<i>adj</i><br><ol><li>tired</li></ol>
kanta	<i>verb</i><br><ol><li>to sing</li></ol>
kapital	<i>noun</i><br><ol><li>capital (money)</li><li>capital (head city)</li></ol>
kareda	<i>noun</i><br><ol><li>queue</li><li>row</li><li>line</li></ol>
karetera	<i>noun</i><br><ol><li>road</li></ol>
karkó	<i>noun</i><br><ol><li>great edible sea snail</li><li>queen conch, rooster conch</li><li>Lobatus gigas, Strombus gigas</li></ol>
karni	<i>noun</i><br><ol><li>meat</li></ol>
karné	<i>noun</i><br><ol><li>sheep</li></ol>
karson	<i>noun</i><br><ol><li>trousers, pants</li></ol>
kas	<i>noun</i><br><ol><li>A house</li><li>A home.</li></ol>
kashi	<i>noun</i><br><ol><li>cupboard</li><li>closet</li><li>cabinet</li></ol>
kashi di paña	<i>noun</i><br><ol><li>wardrobe</li><li>cupboard for storing clothes</li></ol>
kasi	<i>adv</i><br><ol><li>almost</li><li>nearly</li></ol>
kaska	<i>noun</i><br><ol><li>bark of a tree</li></ol>
kasá	<i>noun</i><br><ol><li>wife</li><li>husband</li></ol>
kaya	<i>noun</i><br><ol><li>street, road</li></ol>
kayente	<i>adj</i><br><ol><li>warm</li><li>hot</li></ol>
ke	<i>verb</i><br><ol><li>to want, to wish</li><li>to love, to like</li></ol>
keda	<i>verb</i><br><ol><li>to lie (as in a bed)</li></ol>
keinta	<i>verb</i><br><ol><li>to heat</li></ol>
ken	<i>pron</i><br><ol><li>who</li></ol>
kende	<i>pron</i><br><ol><li>who</li></ol>
kere	<i>verb</i><br><ol><li>to believe, to suppose</li><li>to think</li></ol>
kerki	<i>noun</i><br><ol><li>church</li><li>protestant church</li></ol>
keshi	<i>noun</i><br><ol><li>cheese</li></ol>
ketu	<i>adj</i><br><ol><li>quiet, calm, still</li></ol>
ki	<i>pron</i><br><ol><li>what</li></ol>
ki dia	<i>pron</i><br><ol><li>when?</li><li>what day?</li></ol>
ki ora	<i>pron</i><br><ol><li>when?</li><li>how late?</li><li>what time?</li></ol>
kier	<i>verb</i><br><ol><li>to want, to wish</li><li>to love, to like</li></ol>
kiko	<i>pron</i><br><ol><li>what</li></ol>
kima	<i>verb</i><br><ol><li>to burn</li></ol>
kinipí	<i>verb</i><br><ol><li>to squeeze</li></ol>
kisas	<i>adv</i><br><ol><li>maybe, perhaps</li></ol>
kita	<i>verb</i><br><ol><li>to remove, to take away</li><li>to subtract</li></ol>
koalishon	<i>noun</i><br><ol><li>coalition</li></ol>
koba	<i>verb</i><br><ol><li>to dig</li></ol>
kolebra	<i>noun</i><br><ol><li>snake</li></ol>
kolo	<i>noun</i><br><ol><li>cabbage</li></ol>
kome	<i>verb</i><br><ol><li>to eat</li></ol>
komo	<i>adv</i><br><ol><li>as</li><li>since</li><li>because</li><li>like</li></ol>
kon	<i>adv</i><br><ol><li>how</li><li>why</li></ol>
koncha	<i>noun</i><br><ol><li>great edible sea snail</li><li>queen conch, rooster conch</li><li>lobatus gigas, strombus gigas</li></ol>
konsehá	<i>verb</i><br><ol><li>to advise</li><li>to counsel</li></ol>
konstitushon	<i>noun</i><br><ol><li>constitution</li></ol>
konta	<i>verb</i><br><ol><li>to count</li></ol>
kontestá	<i>verb</i><br><ol><li>to answer, to reply</li></ol>
konvoi	<i>noun</i><br><ol><li>line bus</li><li>bus</li></ol>
konènchi	<i>noun</i><br><ol><li>rabbit</li></ol>
korant	<i>noun</i><br><ol><li>newspaper</li></ol>
kore	<i>verb</i><br><ol><li>to flow</li><li>to run</li></ol>
korekto	<i>adj</i><br><ol><li>correct</li></ol>
kos	<i>noun</i><br><ol><li>thing</li></ol>
kose	<i>verb</i><br><ol><li>to sew</li></ol>
kovenshon	<i>noun</i><br><ol><li>convention</li></ol>
koño	<i>noun</i><br><ol><li>(slang) (vulgar) pussy, cunt</li></ol><br><i>intj</i><br><ol><li>(slang) (vulgar) damn!, fuck!, shit!</li></ol>
krioyo	<i>noun</i><br><ol><li>creole</li><li>Antillean</li><li>person of African descent, born in the Americas</li><li>classic Antillean food of African origin</li><li>group of languages, grown as a mixture of other languages (pidgin).</li><li>ethnic group developed locally from immigrant communities</li></ol><br><i>adj</i><br><ol><li>creole</li><li>Antillean</li></ol>
ku	<i>conj</i><br><ol><li>with</li><li>plus</li><li>and</li></ol><br><i>adv</i><br><ol><li>than</li><li>that</li><li>which</li></ol>
kua	<i>pron</i><br><ol><li>which</li></ol>
kuadrá	<i>noun</i><br><ol><li>square</li></ol>
kuantor	<i>pron</i><br><ol><li>how late?</li></ol>
kuantu	<i>adv</i><br><ol><li>how many</li><li>how much</li></ol>
kuarenta	<i>num</i><br><ol><li>forty (40)</li></ol>
kuater	<i>num</i><br><ol><li>four 4</li></ol>
kuchara	<i>noun</i><br><ol><li>spoon</li></ol>
kuchú	<i>noun</i><br><ol><li>knife</li></ol>
kueru	<i>noun</i><br><ol><li>skin</li></ol>
kuida	<i>verb</i><br><ol><li>to take care</li><li>to watch out</li><li>to look after</li></ol>
kuminda	<i>noun</i><br><ol><li>food</li><li>meal</li></ol>
kumindá	<i>verb</i><br><ol><li>to greet</li></ol>
kuminsamentu	<i>noun</i><br><ol><li>beginning</li></ol>
kumpra	<i>verb</i><br><ol><li>to buy</li><li>to purchase</li></ol>
kunuku	<i>noun</i><br><ol><li>farm</li><li>field</li><li>countryside</li><li>former slave house</li></ol>
kurason	<i>noun</i><br><ol><li>heart</li></ol>
kurpa	<i>noun</i><br><ol><li>body</li></ol>
kushina	<i>noun</i><br><ol><li>kitchen</li></ol>
kèts	<i>noun</i><br><ol><li>sneakers.</li><li>sport shoes.</li><li>Keds sports shoes.</li></ol>
kòl	<i>verb</i><br><ol><li>to call, to phone</li></ol>
kòrda	<i>verb</i><br><ol><li>to remember</li></ol>
kòrta	<i>verb</i><br><ol><li>to cut</li></ol>
kòrtiku	<i>adj</i><br><ol><li>short</li></ol>
kòrá	<i>adj</i><br><ol><li>red</li></ol>
kódigo	<i>noun</i><br><ol><li>code</li></ol>
laba	<i>verb</i><br><ol><li>to wash</li></ol>
lagadishi	<i>noun</i><br><ol><li>lizard</li></ol>
lago	<i>noun</i><br><ol><li>lake</li></ol>
lama	<i>noun</i><br><ol><li>sea</li><li>ocean</li><li>beach</li></ol>
laman	<i>noun</i><br><ol><li>sea</li><li>ocean</li><li>beach</li></ol>
landa	<i>verb</i><br><ol><li>to swim</li></ol>
lanthùis	<i>noun</i><br><ol><li>country house</li><li>manor</li><li>plantation house</li></ol>
lantèrno	<i>noun</i><br><ol><li>lantern</li></ol>
largu	<i>adj</i><br><ol><li>long</li></ol>
lenga	<i>noun</i><br><ol><li>tongue</li><li>language</li></ol>
leon	<i>noun</i><br><ol><li>lion</li></ol>
lesa	<i>verb</i><br><ol><li>to read</li></ol>
lesadó	<i>noun</i><br><ol><li>reader</li></ol>
leu	<i>adj</i><br><ol><li>far</li></ol>
lihé	<i>adv</i><br><ol><li>quick, fast</li><li>light (in weight)</li></ol>
lisimbein	<i>noun</i><br><ol><li>centipede</li></ol>
lizu	<i>adj</i><br><ol><li>smooth</li></ol>
liña	<i>noun</i><br><ol><li>rope, string</li><li>line</li></ol>
lo	<i>verb</i><br><ol><li>shall</li><li>will</li></ol>
logá	<i>noun</i><br><ol><li>place</li><li>location</li></ol>
lomba	<i>noun</i><br><ol><li>back</li></ol>
