Abril|Abríl	<i>noun</i><br><ol><li>April</li></ol>
abu|abú	<i>noun</i><br><ol><li>ash (solid remains of a fire)</li></ol>
abukadu|abukádu	<i>noun</i><br><ol><li>avocado</li></ol>
abut|ábut	<i>verb</i><br><ol><li>to reach</li></ol>
addua	<i>num</i><br><ol><li>two</li></ol>
agad|agád	<i>adv</i><br><ol><li>immediately, straightaway</li></ol>
aglahi	<i>verb</i><br><ol><li>to incite; to provoke</li></ol>
agpang kang	<i>prep</i><br><ol><li>according to (used with named persons)</li></ol>
agpang king	<i>prep</i><br><ol><li>according to (used with non-human objects)</li></ol>
aguman|ágúman	<i>noun</i><br><ol><li>association; fellowship; club; society</li></ol>
akasya|akásya	<i>noun</i><br><ol><li>acacia tree</li></ol>
akbung	<i>verb</i><br><ol><li>to explode, to blow up</li><li>(volcanic) to erupt</li></ol>
akmul	<i>noun</i><br><ol><li>swallow; act of swallowing</li></ol>
akmulan	<i>noun</i><br><ol><li>(anatomy) throat</li></ol>
aku	<i>pron</i><br><ol><li>I (personal pronoun)</li><li>me (direct object of a verb)</li><li>me (object of a preposition)</li><li>me (indirect object of a verb)</li><li>my (belonging to me)</li></ol>
alakdan	<i>noun</i><br><ol><li>scorpion</li></ol>
alalan	<i>noun</i><br><ol><li>election</li></ol>
alaya|aláya	<i>noun</i><br><ol><li>dawn</li><li>east</li><li>Metaphysics; the intangible, the metaphysical, the universal, the infinite, the divine, the life force or spirit.</li></ol>
albug	<i>noun</i><br><ol><li>flood</li></ol>
albugan|albúgan	<i>noun</i><br><ol><li>west</li></ol>
aldo|aldó|aldaw	<i>noun</i><br><ol><li>sun</li><li>day</li></ol>
aldo-aldo	<i>adj</i><br><ol><li>daily; everyday</li></ol><br><i>adv</i><br><ol><li>daily; everyday</li></ol>
alduk|aldúk	<i>noun</i><br><ol><li>swallow; act of swallowing</li></ol>
ali	<i>intj</i><br><ol><li>no</li></ol>
alili|alíli	<i>verb</i><br><ol><li>to take someone's place</li></ol>
alimasag	<i>noun</i><br><ol><li>flower crab (Portunus pelagicus)</li></ol>
alimpuyu|alimpúyû	<i>noun</i><br><ol><li>(anatomy) mole</li></ol>
alipatpat|alipatpát	<i>noun</i><br><ol><li>firefly</li></ol>
alipugpug	<i>noun</i><br><ol><li>dust</li></ol>
aliwa	<i>adj</i><br><ol><li>other, another</li><li>different</li></ol>
alubebe	<i>noun</i><br><ol><li>fish paste</li></ol>
alun|álun	<i>noun</i><br><ol><li>wave</li></ol>
amanu|amánu	<i>noun</i><br><ol><li>word</li><li>(by extension) language</li></ol>
amanung sisuan|amánung sísuan	<i>noun</i><br><ol><li>mother tongue</li><li>(Pampanga) Kapampangan language</li></ol>
ambun	<i>noun</i><br><ol><li>dew</li><li>drizzle</li></ol>
amian|amían	<i>noun</i><br><ol><li>cold dry season between October and February</li><li>(by extension) winter</li></ol>
amlat	<i>noun</i><br><ol><li>history</li></ol>
anak|anák	<i>noun</i><br><ol><li>child (a female or male child, a daughter or son)</li></ol>
anam	<i>num</i><br><ol><li>six</li></ol>
angin|ángin	<i>noun</i><br><ol><li>wind (movement of air)</li></ol>
anluagi	<i>noun</i><br><ol><li>(archaic) carpenter</li></ol>
antak	<i>noun</i><br><ol><li>(anatomy) vagina</li></ol>
apalya|apalyá	<i>noun</i><br><ol><li>bitter melon</li></ol>
api	<i>noun</i><br><ol><li>fire (oxidation reaction)</li></ol>
apu|ápu	<i>noun</i><br><ol><li>grandparent</li><li>Term of address for one's grandparents</li><li>Term of reference for one's grandmother</li><li>Title added to saint's names</li><li>grandchild</li></ol>
apulu	<i>noun</i><br><ol><li>ten</li></ol>
arobu|aróbu	<i>noun</i><br><ol><li>adobo (Philippine dish), usually substituting salt for soy sauce</li></ol>
arsobispo	<i>noun</i><br><ol><li>(Christianity) archbishop</li></ol>
arung	<i>noun</i><br><ol><li>(anatomy) nose</li></ol>
asan|asán	<i>noun</i><br><ol><li>fish</li><li>viand (any dish eaten with cooked rice)</li></ol>
asbuk|asbúk	<i>noun</i><br><ol><li>mouth</li></ol>
aslagan|aslágan	<i>noun</i><br><ol><li>east</li></ol><br><i>verb</i><br><ol><li>to illuminate, to light upon</li></ol>
asu|ásu	<i>noun</i><br><ol><li>dog (animal)</li></ol>
asuk	<i>noun</i><br><ol><li>smoke</li></ol>
atbu|átbu	<i>noun</i><br><ol><li>sugarcane</li></ol>
atdu|atdú	<i>noun</i><br><ol><li>gall; bile</li><li>(anatomy) gall bladder</li></ol>
ate|até	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
atian|atyan	<i>noun</i><br><ol><li>stomach</li></ol>
atin	<i>verb</i><br><ol><li>there is; to have</li></ol>
atin kung kutang	<i>phrase</i><br><ol><li>I have a question</li></ol>
atlu	<i>num</i><br><ol><li>three</li></ol>
atsi	<i>noun</i><br><ol><li>an elder sister</li><li>a respectful title or form of address for an older woman</li></ol>
atup	<i>noun</i><br><ol><li>roof</li></ol>
awang	<i>noun</i><br><ol><li>window</li></ol>
awus	<i>noun</i><br><ol><li>To call</li></ol>
ayama	<i>noun</i><br><ol><li>crab</li></ol>
ayun	<i>noun</i><br><ol><li>earthquake</li></ol>
ayungin	<i>noun</i><br><ol><li>the silver perch (Leiopotherapon plumbeus)</li></ol>
ayup	<i>noun</i><br><ol><li>bird</li></ol>
babagwa|babagwá	<i>noun</i><br><ol><li>spider</li></ol>
babai|babái	<i>noun</i><br><ol><li>woman</li><li>sister</li></ol>
babo	<i>noun</i><br><ol><li>the surface</li><li>the top</li></ol><br><i>adj</i><br><ol><li>upper</li></ol><br><i>adv</i><br><ol><li>above</li></ol>
baboy	<i>noun</i><br><ol><li>pig (mammal of genus Sus)</li></ol>
badlo|badlò	<i>noun</i><br><ol><li>phlegm</li></ol>
bagang|bágang	<i>noun</i><br><ol><li>(anatomy) molar</li></ol>
bakulaw|bakúlaw	<i>noun</i><br><ol><li>small monkey or ape</li></ol>
bakulud	<i>noun</i><br><ol><li>hillside fortress fenced from lowlands</li></ol>
balakat	<i>noun</i><br><ol><li>Ziziphus talanai (a species of tree endemic to the Philippines)</li></ol>
balas|balás	<i>noun</i><br><ol><li>sand</li></ol>
balasenas|balasénas	<i>noun</i><br><ol><li>eggplant; aubergine</li></ol>
balbal	<i>adj</i><br><ol><li>broken into pieces (of glassware, earthenware, etc.)</li></ol><br><i>noun</i><br><ol><li>shattered pieces (of glassware, earthenware, etc.)</li></ol>
balbas|balbás	<i>noun</i><br><ol><li>beard</li></ol>
bale|balé	<i>noun</i><br><ol><li>house</li></ol>
balen|balén	<i>noun</i><br><ol><li>town</li></ol>
balibago	<i>noun</i><br><ol><li>The sea hibiscus, cottonwood hibiscus (Talipariti tiliaceum, syn. Hibiscus tiliaceus)</li></ol>
baliti	<i>noun</i><br><ol><li>various species of Philippine ficus trees, a number of which are strangler figs</li></ol>
balubad	<i>noun</i><br><ol><li>cashew (tree, fruit, and nut)</li></ol>
balugbug	<i>noun</i><br><ol><li>(anatomy) ear (organ of hearing)</li></ol>
baluk	<i>noun</i><br><ol><li>birthmark on the body; blotch; a livid spot on the skin</li><li>a medicinal potion</li></ol>
banal|banál	<i>adj</i><br><ol><li>holy; sacred</li></ol>
bangke|bangké	<i>noun</i><br><ol><li>cadaver; corpse</li></ol>
bangku|bangkû	<i>noun</i><br><ol><li>bench</li><li>chair; stool</li></ol>
banlik|banlík	<i>noun</i><br><ol><li>silt; silt deposit</li></ol>
banua|bánua	<i>noun</i><br><ol><li>(Bacolor, Samson, old Guagua orthography) Alternative form of banwa</li></ol>
banwa|bánwa	<i>noun</i><br><ol><li>sky</li><li>heaven</li><li>glory</li><li>year</li></ol>
banyaga|banyága	<i>noun</i><br><ol><li>trade</li><li>foreigner</li></ol>
bapa	<i>noun</i><br><ol><li>uncle</li></ol>
baril|baríl	<i>noun</i><br><ol><li>gun; firearm</li></ol><br><i>verb</i><br><ol><li>to shoot; to fire</li></ol>
barog	<i>noun</i><br><ol><li>spank</li></ol>
basa	<i>adj</i><br><ol><li>wet (of an object: covered with or impregnated with liquid)</li></ol>
basan|basán	<i>noun</i><br><ol><li>rag</li><li>burlap</li></ol>
bastagan	<i>noun</i><br><ol><li>a frame or a wooden mount to stretch a fabric for sewing, embroidering or weaving of fishnets or mats</li></ol>
batiauan|batiáuan	<i>noun</i><br><ol><li>watchtower; turret; sentry</li></ol>
batikan|batikán	<i>adj</i><br><ol><li>adept; skilled; versed</li></ol>
batis|bátis	<i>noun</i><br><ol><li>brook; stream</li></ol>
batu	<i>noun</i><br><ol><li>stone (substance)</li><li>stone (small piece of stone)</li></ol>
batuin|batuín|batwin|batwín	<i>noun</i><br><ol><li>star</li></ol>
bauang|bawang|báuang|báwang	<i>noun</i><br><ol><li>garlic</li></ol>
bawal|báwal	<i>verb</i><br><ol><li>not allowed; prohibited; forbidden</li></ol>
bayat	<i>adj</i><br><ol><li>heavy</li></ol><br><i>noun</i><br><ol><li>weight</li></ol>
bayki|báyki	<i>noun</i><br><ol><li>(pathology) mumps</li></ol>
bayu|báyu	<i>adj</i><br><ol><li>new (recently made or created)</li></ol><br><i>prep</i><br><ol><li>before; prior to</li></ol>
bebai|bebái	<i>noun</i><br><ol><li>seashore</li><li>riverbank</li><li>mountainside</li></ol>
bengi|béngi	<i>noun</i><br><ol><li>evening; night</li></ol>
betis|bétis	<i>noun</i><br><ol><li>(anatomy) foot</li></ol>
bie|bié	<i>noun</i><br><ol><li>life</li></ol><br><i>verb</i><br><ol><li>to give</li></ol>
bigoti|bigóti	<i>noun</i><br><ol><li>moustache</li></ol>
bihag|bíhag	<i>verb</i><br><ol><li>to capture; to take prisoner</li></ol>
bihira|bihírâ	<i>adj</i><br><ol><li>rare</li></ol>
bilad	<i>adj</i><br><ol><li>exposed to the air as to dry</li></ol>
bintang	<i>noun</i><br><ol><li>false accusation</li></ol>
bitis|bitís	<i>noun</i><br><ol><li>(anatomy) foot</li></ol>
biyai|biyái	<i>noun</i><br><ol><li>life</li></ol>
bubug	<i>noun</i><br><ol><li>glass</li></ol>
bugbug	<i>noun</i><br><ol><li>bruise</li></ol>
buis|buís	<i>noun</i><br><ol><li>tax</li></ol><br><i>verb</i><br><ol><li>to pay tax</li></ol>
bukul	<i>noun</i><br><ol><li>lump</li></ol>
bulag|bulág	<i>adj</i><br><ol><li>blind</li></ol>
bulan|búlan	<i>noun</i><br><ol><li>moon (largest natural satellite of planet Earth)</li><li>moon (any substantially sized natural satellite of a planet)</li><li>month (period into which a year is divided)</li></ol>
buldit|buldít	<i>noun</i><br><ol><li>(anatomy) buttocks; butt</li></ol>
bulung	<i>noun</i><br><ol><li>leaf</li></ol>
bulutung	<i>noun</i><br><ol><li>smallpox</li></ol>
bulyaw|bulyáw	<i>noun</i><br><ol><li>scold</li></ol>
bumbunan	<i>noun</i><br><ol><li>fontanelle</li></ol>
bunduk	<i>noun</i><br><ol><li>mountain</li></ol>
bunsu|bunsú	<i>noun</i><br><ol><li>baby</li><li>youngest or lastborn child</li></ol>
bunyi	<i>verb</i><br><ol><li>to acclaim</li><li>to celebrate</li></ol>
buri daka	<i>phrase</i><br><ol><li>I like you.</li></ol>
butu	<i>noun</i><br><ol><li>penis</li></ol>
buwak	<i>noun</i><br><ol><li>hair, fur</li></ol>
buyaw	<i>verb</i><br><ol><li>to shoo away animals, especially crows.</li></ol>
calangay|calángay	<i>noun</i><br><ol><li>(Bacolor, Samson) Alternative form of kalangay</li></ol>
calauang	<i>noun</i><br><ol><li>(Bacolor spelling) Alternative form of kalawang</li></ol>
cha	<i>noun</i><br><ol><li>tea</li></ol>
dagis	<i>noun</i><br><ol><li>mouse (rodent)</li></ol>
dagul|dágul	<i>noun</i><br><ol><li>magnitude; greatness</li></ol><br><i>verb</i><br><ol><li>to grow (bigger)</li></ol>
dakal|dákal	<i>adj</i><br><ol><li>many; much</li></ol><br><i>verb</i><br><ol><li>to increase</li></ol>
dalaga	<i>noun</i><br><ol><li>unmarried young woman</li></ol>
dalan|dálan	<i>noun</i><br><ol><li>road; way</li><li>group of a hundred</li></ol>
damulag|damúlag	<i>noun</i><br><ol><li>carabao; water buffalo</li></ol>
danum|danúm	<i>noun</i><br><ol><li>water</li></ol>
dapu	<i>noun</i><br><ol><li>crocodile, alligator</li></ol>
dara	<i>noun</i><br><ol><li>aunt</li></ol>
datang	<i>verb</i><br><ol><li>to come</li></ol>
dau	<i>noun</i><br><ol><li>dao (Dracontomelon dao).</li></ol>
daya	<i>noun</i><br><ol><li>blood</li></ol>
dayami	<i>noun</i><br><ol><li>straw; hay</li></ol>
dayat	<i>noun</i><br><ol><li>rice field; seeding ground</li></ol>
de Jesus|de Jesús	<i>name</i><br><ol><li>a common religious-origin surname from Spanish</li></ol>
dimla	<i>noun</i><br><ol><li>coldness</li></ol>
dinat	<i>noun</i><br><ol><li>dirt</li><li>feces</li></ol>
ditak	<i>adj</i><br><ol><li>few, little, not much</li></ol>
duldul	<i>noun</i><br><ol><li>thunder</li></ol>
dulubasa|dulubásâ	<i>noun</i><br><ol><li>expert</li><li>interpreter</li></ol>
durian	<i>noun</i><br><ol><li>durian</li></ol>
dutung	<i>noun</i><br><ol><li>wood</li><li>lumber</li></ol>
duwala|duwalà	<i>noun</i><br><ol><li>mystery</li></ol>
e ka lulub	<i>phrase</i><br><ol><li>do not enter</li></ol>
ebun	<i>noun</i><br><ol><li>egg</li></ol>
eran	<i>noun</i><br><ol><li>stairs</li></ol>
gagdia	<i>noun</i><br><ol><li>elephant</li></ol>
galang|gálang	<i>noun</i><br><ol><li>veneration</li><li>respect; reverence (to God, one's parents, superiors, etc.)</li></ol><br><i>verb</i><br><ol><li>to honor; to respect</li></ol>
gamat	<i>noun</i><br><ol><li>hand</li></ol>
gaspang|gaspáng	<i>noun</i><br><ol><li>roughness; coarseness</li></ol>
gatas|gátas	<i>noun</i><br><ol><li>milk</li></ol>
gatpanapun|gatpanápun	<i>noun</i><br><ol><li>afternoon</li></ol>
gayuma|gayúma	<i>noun</i><br><ol><li>(folklore, magic) love potion</li></ol>
gigi	<i>noun</i><br><ol><li>(formal, rare) tooth</li></ol>
gintu	<i>noun</i><br><ol><li>gold</li></ol>
gubat	<i>noun</i><br><ol><li>forest</li></ol>
gule	<i>noun</i><br><ol><li>vegetable</li></ol>
gulut	<i>noun</i><br><ol><li>(anatomy) back</li><li>rear; back</li></ol>
gunting	<i>noun</i><br><ol><li>scissors</li></ol>
guyabnan	<i>noun</i><br><ol><li>handrail</li></ol>
hilo|hilô	<i>noun</i><br><ol><li>thread; silk; twine; filament</li><li>poison; venom</li></ol>
ibpa	<i>noun</i><br><ol><li>father</li></ol>
igat	<i>noun</i><br><ol><li>black eel</li></ol>
ilug	<i>noun</i><br><ol><li>river</li></ol>
imi	<i>noun</i><br><ol><li>urine, pee</li></ol>
impu	<i>noun</i><br><ol><li>grandmother</li><li>old woman</li></ol>
indu|indú	<i>noun</i><br><ol><li>mother</li></ol>
infiernu	<i>noun</i><br><ol><li>hell</li></ol>
ini	<i>pron</i><br><ol><li>this (the thing, item, etc. being pointed)</li></ol>
inunlan	<i>noun</i><br><ol><li>placenta; afterbirth</li></ol>
ipan	<i>noun</i><br><ol><li>tooth</li></ol>
ipas	<i>noun</i><br><ol><li>cockroach</li></ol>
ipis	<i>noun</i><br><ol><li>playing cards; deck of cards</li></ol>
ipu-ipu	<i>noun</i><br><ol><li>tornado</li></ol>
isa	<i>num</i><br><ol><li>one</li></ol>
isulud	<i>verb</i><br><ol><li>to put on a clothing</li></ol>
iwis	<i>noun</i><br><ol><li>hiss made by cats</li></ol>
kabalen|kabalén	<i>noun</i><br><ol><li>countryman or someone from the same town.</li></ol>
kabaung|kabáung	<i>noun</i><br><ol><li>coffin</li></ol>
kaburi	<i>verb</i><br><ol><li>like, adore</li></ol>
kabuti|kabutí	<i>noun</i><br><ol><li>mushroom</li></ol>
kadayatmalatan	<i>noun</i><br><ol><li>ocean</li></ol>
kaka|kákâ	<i>noun</i><br><ol><li>older brother</li></ol>
kakaq|kákaq	<i>noun</i><br><ol><li>older brother</li></ol>
kakewan	<i>noun</i><br><ol><li>forest</li></ol>
kakialung	<i>noun</i><br><ol><li>playmate</li></ol>
kalamansi|kalamánsi	<i>noun</i><br><ol><li>calamondin; calamansi (Citrus × microcarpa, syn. ×Citrofortunella mitis)</li></ol>
kalamunding|kalamundíng	<i>noun</i><br><ol><li>calamondin</li></ol>
kalangay|kalángay	<i>noun</i><br><ol><li>Philippine cockatoo (Cacatua haematuropygia)</li></ol>
kalauang|kaláuang	<i>noun</i><br><ol><li>(Wawa) Alternative form of kalawang</li></ol>
kalawang|kaláwang	<i>noun</i><br><ol><li>rust</li></ol>
kaligkig	<i>noun</i><br><ol><li>goose bumps</li></ol>
kalma|kalmâ	<i>noun</i><br><ol><li>fate; fortune</li></ol>
kaluguran daka	<i>phrase</i><br><ol><li>I love you</li></ol>
kamandag|kamandág	<i>noun</i><br><ol><li>venom</li></ol>
kamantigi	<i>noun</i><br><ol><li>The plant Impatiens balsamina.</li></ol>
kamatsile	<i>noun</i><br><ol><li>Pithecellobium dulce, a species of legume originally from Central America.</li></ol>
kamau|kamaú	<i>noun</i><br><ol><li>hand</li></ol>
kambal	<i>noun</i><br><ol><li>twin</li></ol>
kambing|kambíng	<i>noun</i><br><ol><li>goat</li></ol>
kandung	<i>verb</i><br><ol><li>to bring or put in the lap.</li></ol>
kanlas	<i>noun</i><br><ol><li>future</li></ol>
kapatad	<i>noun</i><br><ol><li>sibling</li></ol>
kapaya	<i>noun</i><br><ol><li>papaya</li></ol>
kapilan	<i>pron</i><br><ol><li>(interrogative) when</li></ol>
karat|karát	<i>noun</i><br><ol><li>(noun) coitus, sexual intercourse</li></ol><br><i>verb</i><br><ol><li>(vulgar) to fuck, to copulate</li></ol>
karayatmalatan	<i>noun</i><br><ol><li>ocean</li></ol>
karayum|karáyum	<i>noun</i><br><ol><li>needle</li></ol>
kartun	<i>noun</i><br><ol><li>box</li></ol>
kasalukuyan	<i>adv</i><br><ol><li>currently; now</li></ol>
kastuli|kastulì	<i>noun</i><br><ol><li>abelmosk; musk mallow (Abelmoschus moschatus)</li></ol>
katauan|katáwan|katawan|katáuan	<i>noun</i><br><ol><li>body</li></ol>
kataya	<i>noun</i><br><ol><li>word</li></ol>
katulunan|katulúnan	<i>noun</i><br><ol><li>seer or shaman who communicates with supernatural beings such as gods and spirits through dreams or visions</li></ol>
kayarian|kayarián	<i>noun</i><br><ol><li>kingdom; domain</li></ol>
kayi	<i>noun</i><br><ol><li>so-and-so, whatchamacallit (placeholder name for a person or thing)</li></ol>
kayud	<i>verb</i><br><ol><li>to mop up, especially with a knife</li></ol>
kayukut	<i>noun</i><br><ol><li>(anatomy) coccyx</li></ol>
kebaitan	<i>noun</i><br><ol><li>(medicine) birth (The act of being born)</li><li>birth (beginning; start)</li></ol>
kedayatmalatan	<i>noun</i><br><ol><li>ocean</li></ol>
kematayan	<i>noun</i><br><ol><li>death</li></ol>
kera|kerə	<i>noun</i><br><ol><li>lying down,</li><li>time of going to bed</li></ol><br><i>verb</i><br><ol><li>To lie down.</li></ol>
kerayatmalatan	<i>noun</i><br><ol><li>ocean</li></ol>
kildap	<i>noun</i><br><ol><li>lightning</li></ol>
kile|kilé	<i>noun</i><br><ol><li>eyebrow</li></ol>
kilikili	<i>noun</i><br><ol><li>(anatomy) armpit</li></ol>
kiling|kilíng	<i>noun</i><br><ol><li>common bamboo (Bambusa vulgaris)</li><li>mane of a horse</li></ol>
king	<i>prep</i><br><ol><li>indirect object marker; of, to, at, on, in, into, onto, among, around, for</li></ol>
kirut	<i>noun</i><br><ol><li>shocked, surprised, startled, pain, ache, sting</li></ol>
kiyak|kiyák	<i>noun</i><br><ol><li>cry; crying (shedding of tears)</li></ol>
klasi	<i>noun</i><br><ol><li>classroom</li></ol>
koya|kóya	<i>noun</i><br><ol><li>an elder brother</li><li>a respectful title or form of address for an older man</li></ol>
kuintas|kuintás	<i>noun</i><br><ol><li>necklace</li></ol>
kuldas	<i>verb</i><br><ol><li>to go down</li></ol>
kuliglig|kuliglíg	<i>noun</i><br><ol><li>cicada</li></ol>
kulung	<i>verb</i><br><ol><li>to lock up</li><li>to jail</li></ol>
kupit|kupít	<i>noun</i><br><ol><li>filching; pilferage</li><li>anything pilfered</li></ol><br><i>verb</i><br><ol><li>to pilfer; to filch</li></ol>
kutsara	<i>noun</i><br><ol><li>spoon</li></ol>
kutsarita	<i>noun</i><br><ol><li>teaspoon</li></ol>
kutu|kútu	<i>noun</i><br><ol><li>louse</li></ol>
kuwaho	<i>noun</i><br><ol><li>a kind of card game</li></ol>
laban	<i>noun</i><br><ol><li>fight; struggle</li></ol>
labi|lábi	<i>noun</i><br><ol><li>(anatomy) lip</li><li>excess</li><li>leftovers</li><li>survivor</li></ol>
labno|lábno	<i>noun</i><br><ol><li>thinness of liquid due to excess water</li></ol>
labung	<i>noun</i><br><ol><li>young leaf</li><li>bamboo shoot</li></ol>
labwad	<i>noun</i><br><ol><li>region</li></ol>
lagari	<i>noun</i><br><ol><li>saw (tool)</li></ol>
lagnat	<i>noun</i><br><ol><li>fever</li></ol>
lagu	<i>noun</i><br><ol><li>beauty</li></ol>
lagyu	<i>noun</i><br><ol><li>name; appellation</li></ol>
lakanbalen	<i>noun</i><br><ol><li>city</li></ol>
lalaki	<i>noun</i><br><ol><li>man</li></ol>
lalam	<i>noun</i><br><ol><li>(measurement) depth</li><li>(linguistics) archaic</li></ol>
lambut	<i>noun</i><br><ol><li>softness</li></ol>
landi	<i>noun</i><br><ol><li>floor</li></ol>
langaw|lángaw	<i>noun</i><br><ol><li>fly (insect)</li></ol><br><i>verb</i><br><ol><li>for something to be plagued or swarmed by flies</li></ol>
langib	<i>noun</i><br><ol><li>scar</li></ol>
lango|lángo	<i>noun</i><br><ol><li>fly (insect)</li></ol>
lansangan	<i>noun</i><br><ol><li>street</li></ol>
lapis	<i>noun</i><br><ol><li>pencil</li></ol>
lapnus	<i>noun</i><br><ol><li>flayed skin due to a burn</li></ol>
lara|lárâ	<i>noun</i><br><ol><li>Capsicum; a genus of flowering plants in the nightshade family Solanaceae</li><li>the fruit of these plants; a chili pepper or bell pepper</li></ol>
larawan	<i>noun</i><br><ol><li>image</li><li>picture</li></ol>
lasuna|lasúna	<i>noun</i><br><ol><li>onion</li></ol>
lau|láwû|lawu|láû	<i>noun</i><br><ol><li>eclipse (usually of the moon)</li></ol>
laut	<i>noun</i><br><ol><li>gulf</li><li>deep sea</li></ol>
laya|láya	<i>noun</i><br><ol><li>ginger</li></ol>
lelut|lélut	<i>noun</i><br><ol><li>rice porridge</li></ol>
libu|líbu	<i>noun</i><br><ol><li>thousand</li></ol>
likas|likás|líkas	<i>adj</i><br><ol><li>natural (all senses)</li></ol><br><i>noun</i><br><ol><li>evacuation</li></ol><br><i>verb</i><br><ol><li>to evacuate</li></ol>
lintik	<i>noun</i><br><ol><li>(weather) drizzle</li></ol>
lipaktung	<i>noun</i><br><ol><li>grasshopper</li></ol>
lodyon|lódyon	<i>intj</i><br><ol><li>an exclamation expressing happiness, excitement, etc.</li></ol>
lua	<i>noun</i><br><ol><li>tear; teardrop</li></ol>
lubug	<i>verb</i><br><ol><li>to submerge</li><li>to sink</li></ol>
lugaw|lúgaw	<i>noun</i><br><ol><li>rice porridge</li></ol>
lugud	<i>noun</i><br><ol><li>love</li></ol>
luid	<i>intj</i><br><ol><li>Long live!</li></ol><br><i>noun</i><br><ol><li>conservation; prolongation</li></ol>
lukluk	<i>verb</i><br><ol><li>to sit</li><li>(politics) to take office</li></ol>
luklukan	<i>noun</i><br><ol><li>chair</li></ol>
lukung	<i>adj</i><br><ol><li>concave</li></ol>
lulud|lulúd	<i>noun</i><br><ol><li>(anatomy) shinbone</li></ol>
lumut|lúmut	<i>noun</i><br><ol><li>moss (plants of the division Bryophyta)</li></ol>
