a	<i>romanization</i><br><ol><li>Romanization of 𒀀 (a)</li></ol>
bul5	<i>romanization</i><br><ol><li>Romanization of 𒇡 (bul₅)</li></ol>
bulug	<i>romanization</i><br><ol><li>Romanization of 𒁑 (bulug)</li></ol>
bulug2	<i>romanization</i><br><ol><li>Romanization of 𒁔 (bulug₂)</li></ol>
bulug4	<i>romanization</i><br><ol><li>Romanization of 𒉄 (bulug₄)</li></ol>
bun	<i>romanization</i><br><ol><li>Romanization of 𒇌 (bun)</li></ol>
bun2	<i>romanization</i><br><ol><li>Romanization of 𒅮 (bun₂)</li></ol>
bur	<i>romanization</i><br><ol><li>Romanization of 𒁓 (bur)</li></ol>
bur2	<i>romanization</i><br><ol><li>Romanization of 𒁔 (bur₂)</li></ol>
bur3	<i>romanization</i><br><ol><li>Romanization of 𒌋 (bur₃)</li></ol>
bur5	<i>romanization</i><br><ol><li>Romanization of 𒉅 (bur₅)</li></ol>
buru9	<i>romanization</i><br><ol><li>Romanization of 𒅃 (buru₉)</li></ol>
da	<i>romanization</i><br><ol><li>Romanization of 𒁕 (da)</li></ol>
da13	<i>romanization</i><br><ol><li>Romanization of 𒋺 (da₁₃)</li></ol>
da2	<i>romanization</i><br><ol><li>Romanization of 𒋫 (da₂)</li></ol>
dab	<i>romanization</i><br><ol><li>Romanization of 𒁳 (dab)</li></ol>
dab2	<i>romanization</i><br><ol><li>Romanization of 𒋰 (dab₂)</li></ol>
dab5	<i>romanization</i><br><ol><li>Romanization of 𒆪 (dab₅)</li></ol>
dab6	<i>romanization</i><br><ol><li>Romanization of 𒍏 (dab₆)</li></ol>
dabX	<i>romanization</i><br><ol><li>Romanization of 𒇆 (dabₓ(LAGAB×GUD))</li></ol>
dajal	<i>romanization</i><br><ol><li>Romanization of 𒂼 (dag̃al)</li></ol>
dal	<i>romanization</i><br><ol><li>Romanization of 𒊑 (dal)</li></ol>
dalhamun5	<i>romanization</i><br><ol><li>Romanization of 𒀰 (dalḫamun₅)</li></ol>
dalhamun6	<i>romanization</i><br><ol><li>Romanization of 𒅐 (dalḫamun₆)</li></ol>
dalhamun7	<i>romanization</i><br><ol><li>Romanization of 𒉃 (dalḫamun₇)</li></ol>
dam	<i>romanization</i><br><ol><li>Romanization of 𒁮 (dam)</li></ol>
dan2	<i>romanization</i><br><ol><li>Romanization of 𒃞 (dan₂)</li></ol>
dan3	<i>romanization</i><br><ol><li>Romanization of 𒃩 (dan₃)</li></ol>
dan4	<i>romanization</i><br><ol><li>Romanization of 𒃋 (dan₄)</li></ol>
dan6	<i>romanization</i><br><ol><li>Romanization of 𒍕 (dan₆)</li></ol>
dara3	<i>romanization</i><br><ol><li>Romanization of 𒁰 (dara₃)</li></ol>
dara4	<i>romanization</i><br><ol><li>Romanization of 𒁱 (dara₄)</li></ol>
de2	<i>romanization</i><br><ol><li>Romanization of 𒌤 (de₂)</li></ol>
de3	<i>romanization</i><br><ol><li>Romanization of 𒉈 (de₃)</li></ol>
de6	<i>romanization</i><br><ol><li>Romanization of 𒁺 (de₆)</li></ol>
dema	<i>romanization</i><br><ol><li>Romanization of 𒅗𒄭 (dema)</li></ol>
di	<i>romanization</i><br><ol><li>Romanization of 𒁲 (di)</li></ol>
di3	<i>romanization</i><br><ol><li>Romanization of 𒋾 (di₃)</li></ol>
dib	<i>romanization</i><br><ol><li>Romanization of 𒁳 (dib)</li></ol>
dib2	<i>romanization</i><br><ol><li>Romanization of 𒆪 (dib₂)</li></ol>
dib5	<i>romanization</i><br><ol><li>Romanization of 𒇆 (dib₅)</li></ol>
didli	<i>romanization</i><br><ol><li>Romanization of 𒐀 (didli)</li></ol>
dijir	<i>romanization</i><br><ol><li>Romanization of 𒀭 (dig̃ir)</li></ol>
dili	<i>romanization</i><br><ol><li>Romanization of 𒀸 (dili)</li></ol>
dim	<i>romanization</i><br><ol><li>Romanization of 𒁴 (dim)</li></ol>
dim2	<i>romanization</i><br><ol><li>Romanization of 𒁶 (dim₂)</li></ol>
dim3	<i>romanization</i><br><ol><li>Romanization of 𒈕 (dim₃)</li></ol>
dima	<i>romanization</i><br><ol><li>Romanization of 𒅗𒄭 (dima)</li></ol>
dimma	<i>romanization</i><br><ol><li>Romanization of 𒅗𒄭 (dimma)</li></ol>
diri	<i>romanization</i><br><ol><li>Romanization of 𒋛𒀀 (diri)</li></ol>
dirig	<i>romanization</i><br><ol><li>Romanization of 𒋛𒀀 (dirig)</li></ol>
disz	<i>romanization</i><br><ol><li>Romanization of 𒁹 (diš)</li></ol>
du	<i>romanization</i><br><ol><li>Romanization of 𒁺 (du)</li></ol>
du10	<i>romanization</i><br><ol><li>Romanization of 𒄭 (du₁₀)</li></ol>
du11	
du12	<i>romanization</i><br><ol><li>Romanization of 𒌇 (du₁₂)</li></ol>
du2	<i>romanization</i><br><ol><li>Romanization of 𒌅 (du₂)</li></ol>
du3	<i>romanization</i><br><ol><li>Romanization of 𒆕 (du₃)</li></ol>
du5	<i>romanization</i><br><ol><li>Romanization of 𒂅 (du₅)</li></ol>
du6	<i>romanization</i><br><ol><li>Romanization of 𒇯 (du₆)</li></ol>
du7	<i>romanization</i><br><ol><li>Romanization of 𒌌 (du₇)</li></ol>
du8	<i>romanization</i><br><ol><li>Romanization of 𒂃 (du₈)</li></ol>
dub	<i>romanization</i><br><ol><li>Romanization of 𒁾 (dub)</li></ol>
dub2	<i>romanization</i><br><ol><li>Romanization of 𒂀 (dub₂)</li></ol>
dub3	<i>romanization</i><br><ol><li>Romanization of 𒄭 (dub₃)</li></ol>
dug	<i>romanization</i><br><ol><li>Romanization of 𒂁 (dug)</li></ol>
dug3	<i>romanization</i><br><ol><li>Romanization of 𒄭 (dug₃)</li></ol>
dug4	<i>romanization</i><br><ol><li>Romanization of 𒅗 (dug₄)</li></ol>
dugud	<i>romanization</i><br><ol><li>Romanization of 𒂂 (dugud)</li></ol>
dugud2	<i>romanization</i><br><ol><li>Romanization of 𒈪 (dugud₂)</li></ol>
duh	<i>romanization</i><br><ol><li>Romanization of 𒂃 (duḫ)</li></ol>
dul	<i>romanization</i><br><ol><li>Romanization of 𒌋𒌆 (dul)</li></ol>
dul4	<i>romanization</i><br><ol><li>Romanization of 𒂈 (dul₄)</li></ol>
dul5	<i>romanization</i><br><ol><li>Romanization of 𒌆 (dul₅)</li></ol>
dul6	<i>romanization</i><br><ol><li>Romanization of 𒇯 (dul₆)</li></ol>
dul9	<i>romanization</i><br><ol><li>Romanization of 𒌪 (dul₉)</li></ol>
dumu	<i>romanization</i><br><ol><li>Romanization of 𒌉 (dumu)</li></ol>
dun4	<i>romanization</i><br><ol><li>Romanization of 𒂈 (dun₄)</li></ol>
dur10	<i>romanization</i><br><ol><li>Romanization of 𒊿 (dur₁₀)</li></ol>
dur2	<i>romanization</i><br><ol><li>Romanization of 𒂉 (dur₂)</li></ol>
dur5	<i>romanization</i><br><ol><li>Romanization of 𒀀 (dur₅)</li></ol>
dur7	<i>romanization</i><br><ol><li>Romanization of 𒁍 (dur₇)</li></ol>
durah	<i>romanization</i><br><ol><li>Romanization of 𒁰 (duraḫ)</li></ol>
durah2	<i>romanization</i><br><ol><li>Romanization of 𒁱 (duraḫ₂)</li></ol>
duru5	<i>romanization</i><br><ol><li>Romanization of 𒀀 (duru₅)</li></ol>
e	<i>romanization</i><br><ol><li>Romanization of 𒂊 (e)</li></ol>
e11	<i>romanization</i><br><ol><li>Romanization of 𒇯𒁺 (e₁₁)</li></ol>
e14	<i>romanization</i><br><ol><li>Romanization of 𒊬 (e₁₄)</li></ol>
e2	<i>romanization</i><br><ol><li>Romanization of 𒂍 (e₂)</li></ol>
e3	<i>romanization</i><br><ol><li>Romanization of 𒌓𒁺 (e₃)</li></ol>
e4	<i>romanization</i><br><ol><li>Romanization of 𒀀 (e₄)</li></ol>
e5	<i>romanization</i><br><ol><li>Romanization of 𒎏 (e₅)</li></ol>
eX	<i>romanization</i><br><ol><li>Romanization of 𒇯𒁺 (eₓ(DU₆+DU))</li></ol>
eb	<i>romanization</i><br><ol><li>Romanization of 𒅁 (eb)</li></ol>
ed3	<i>romanization</i><br><ol><li>Romanization of 𒇯𒁺 (ed₃)</li></ol>
eden	<i>romanization</i><br><ol><li>Romanization of 𒂔 (eden)</li></ol>
edin	<i>romanization</i><br><ol><li>Romanization of 𒂔 (edin)</li></ol>
eduru	<i>romanization</i><br><ol><li>Romanization of 𒀁 (eduru)</li></ol>
eg2	<i>romanization</i><br><ol><li>Romanization of 𒂊 (eg₂)</li></ol>
egarX	<i>romanization</i><br><ol><li>Romanization of 𒋞 (egarₓ(SIG₄))</li></ol>
eger	<i>romanization</i><br><ol><li>Romanization of 𒂕 (eger)</li></ol>
eger4	<i>romanization</i><br><ol><li>Romanization of 𒌈 (eger₄)</li></ol>
eger5	<i>romanization</i><br><ol><li>Romanization of 𒈝 (eger₅)</li></ol>
eger6	<i>romanization</i><br><ol><li>Romanization of 𒋞 (eger₆)</li></ol>
egir	<i>romanization</i><br><ol><li>Romanization of 𒂕 (egir)</li></ol>
egir4	<i>romanization</i><br><ol><li>Romanization of 𒌈 (egir₄)</li></ol>
egir5	<i>romanization</i><br><ol><li>Romanization of 𒈝 (egir₅)</li></ol>
egir6	<i>romanization</i><br><ol><li>Romanization of 𒋞 (egir₆)</li></ol>
eh	<i>romanization</i><br><ol><li>Romanization of 𒄴 (eḫ)</li></ol>
elam	<i>romanization</i><br><ol><li>Romanization of 𒉏 (elam)</li></ol>
eme	<i>romanization</i><br><ol><li>Romanization of 𒅴 (eme)</li></ol>
eme2	<i>romanization</i><br><ol><li>Romanization of 𒎘 (eme₂)</li></ol>
emesz2	<i>romanization</i><br><ol><li>Romanization of 𒉊 (emeš₂)</li></ol>
en	<i>romanization</i><br><ol><li>Romanization of 𒂗 (en)</li></ol>
en3	<i>romanization</i><br><ol><li>Romanization of 𒇷 (en₃)</li></ol>
en4	<i>romanization</i><br><ol><li>Romanization of 𒅗 (en₄)</li></ol>
en6	<i>romanization</i><br><ol><li>Romanization of 𒅔 (en₆)</li></ol>
en8	<i>romanization</i><br><ol><li>Romanization of 𒊭 (en₈)</li></ol>
engar	<i>romanization</i><br><ol><li>Romanization of 𒀳 (engar)</li></ol>
engur	<i>romanization</i><br><ol><li>Romanization of 𒇉 (engur)</li></ol>
enmen	<i>romanization</i><br><ol><li>Romanization of 𒆉 (enmen)</li></ol>
enmen2	<i>romanization</i><br><ol><li>Romanization of 𒅘 (enmen₂)</li></ol>
ensi2	<i>romanization</i><br><ol><li>Romanization of 𒉺𒋼𒋛 (ensi₂)</li></ol>
ensi3	<i>romanization</i><br><ol><li>Romanization of 𒂚𒇷 (ensi₃)</li></ol>
er3	<i>romanization</i><br><ol><li>Romanization of 𒀴 (er₃)</li></ol>
ereX	<i>romanization</i><br><ol><li>Romanization of 𒁺𒁺 (ereₓ(DU.DU))</li></ol>
eren	<i>romanization</i><br><ol><li>Romanization of 𒂞 (eren)</li></ol>
eridu	<i>romanization</i><br><ol><li>Romanization of 𒉣 (eridu)</li></ol>
eridug	<i>romanization</i><br><ol><li>Romanization of 𒉣 (eridug)</li></ol>
erim2	<i>romanization</i><br><ol><li>Romanization of 𒉈𒊒 (erim₂)</li></ol>
erin	<i>romanization</i><br><ol><li>Romanization of 𒂞 (erin)</li></ol>
erin2	<i>romanization</i><br><ol><li>Romanization of 𒂟 (erin₂)</li></ol>
esir	<i>romanization</i><br><ol><li>Romanization of 𒀀𒇒 (esir)</li></ol>
esir2	<i>romanization</i><br><ol><li>Romanization of 𒇒 (esir₂)</li></ol>
esz16	<i>romanization</i><br><ol><li>Romanization of 𒀼 (eš₁₆) (Unicode Cuneiform block)</li><li>Romanization of 𒐺 (eš₁₆) (Unicode Cuneiform Numbers and Punctuation block)</li></ol>
esz2	<i>romanization</i><br><ol><li>Romanization of 𒂠 (eš₂)</li></ol>
esz21	<i>romanization</i><br><ol><li>Romanization of 𒐻 (eš₂₁)</li></ol>
esz22	<i>romanization</i><br><ol><li>Romanization of 𒇵 (eš₂₂)</li></ol>
esz3	
esz4	<i>romanization</i><br><ol><li>Romanization of 𒁹 (eš₄)</li></ol>
esz5	<i>romanization</i><br><ol><li>Romanization of 𒐈 (eš₅)</li></ol>
esz6	<i>romanization</i><br><ol><li>Romanization of 𒐁 (eš₆)</li></ol>
eszX	<i>romanization</i><br><ol><li>Romanization of 𒇴 (ešₓ(LAM))</li></ol>
ezem	<i>romanization</i><br><ol><li>Romanization of 𒂡 (ezem)</li></ol>
ezen	<i>romanization</i><br><ol><li>Romanization of 𒂡 (ezen)</li></ol>
ga	<i>romanization</i><br><ol><li>Romanization of 𒂵 (ga)</li></ol>
gab2	<i>romanization</i><br><ol><li>Romanization of 𒆏 (gab₂)</li></ol>
gab3	<i>romanization</i><br><ol><li>Romanization of 𒅘 (gab₃)</li></ol>
gaba	<i>romanization</i><br><ol><li>Romanization of 𒃮 (gaba)</li></ol>
gabu2	<i>romanization</i><br><ol><li>Romanization of 𒆏 (gabu₂)</li></ol>
gada	<i>romanization</i><br><ol><li>Romanization of 𒃰 (gada)</li></ol>
gal	<i>romanization</i><br><ol><li>Romanization of 𒃲 (gal)</li></ol>
gal4	<i>romanization</i><br><ol><li>Romanization of 𒊩 (gal₄)</li></ol>
gal5	<i>romanization</i><br><ol><li>Romanization of 𒋼 (gal₅)</li></ol>
galX	<i>romanization</i><br><ol><li>Romanization of 𒋼𒋽 (galₓ(TEᵍ))</li></ol>
gala	<i>romanization</i><br><ol><li>Romanization of 𒍑𒆪 (gala)</li></ol>
gala10	<i>romanization</i><br><ol><li>Romanization of 𒇽𒁹 (gala₁₀)</li></ol>
galam	<i>romanization</i><br><ol><li>Romanization of 𒃴 (galam)</li></ol>
gallaX	<i>romanization</i><br><ol><li>Romanization of 𒋼 (gallaₓ(TE))</li><li>Romanization of 𒄴𒈨 (gallaₓ(ḪI×NUN.ME))</li></ol>
gam	<i>romanization</i><br><ol><li>Romanization of 𒃵 (gam)</li></ol>
gamX	<i>romanization</i><br><ol><li>Romanization of 𒄧 (gamₓ(GURUN))</li></ol>
gan	<i>romanization</i><br><ol><li>Romanization of 𒃶 (gan)</li></ol>
gan2	<i>romanization</i><br><ol><li>Romanization of 𒃷 (gan₂)</li></ol>
gar3	<i>romanization</i><br><ol><li>Romanization of 𒃼 (gar₃)</li></ol>
gar5	<i>romanization</i><br><ol><li>Romanization of 𒈖 (gar₅)</li></ol>
gar6	<i>romanization</i><br><ol><li>Romanization of 𒉣 (gar₆)</li></ol>
gar8	<i>romanization</i><br><ol><li>Romanization of 𒋞 (gar₈)</li><li>Romanization of 𒈝 (gar₈(LUM))</li></ol>
gaszan	<i>romanization</i><br><ol><li>Romanization of 𒃽 (gašan)</li></ol>
gaz	<i>romanization</i><br><ol><li>Romanization of 𒄤 (gaz)</li></ol>
ge	<i>romanization</i><br><ol><li>Romanization of 𒄀 (ge)</li></ol>
ge14	<i>romanization</i><br><ol><li>Romanization of 𒌋 (ge₁₄)</li></ol>
ge15	<i>romanization</i><br><ol><li>Romanization of 𒀸 (ge₁₅)</li></ol>
ge2	<i>romanization</i><br><ol><li>Romanization of 𒆤 (ge₂)</li></ol>
ge22	<i>romanization</i><br><ol><li>Romanization of 𒀺 (ge₂₂)</li></ol>
ge23	<i>romanization</i><br><ol><li>Romanization of 𒀹 (ge₂₃)</li></ol>
ge3	<i>romanization</i><br><ol><li>Romanization of 𒁹 (ge₃)</li></ol>
ge4	<i>romanization</i><br><ol><li>Romanization of 𒄄 (ge₄)</li></ol>
ge7	<i>romanization</i><br><ol><li>Romanization of 𒂠 (ge₇)</li></ol>
geme2	<i>romanization</i><br><ol><li>Romanization of 𒊩𒆳 (geme₂)</li></ol>
gen7	<i>romanization</i><br><ol><li>Romanization of 𒁶 (gen₇)</li></ol>
gi	<i>romanization</i><br><ol><li>Romanization of 𒄀 (gi)</li></ol>
gi16	<i>romanization</i><br><ol><li>Romanization of 𒄃 (gi₁₆)</li></ol>
gi2	<i>romanization</i><br><ol><li>Romanization of 𒆤 (gi₂)</li></ol>
gi4	<i>romanization</i><br><ol><li>Romanization of 𒄄 (gi₄)</li></ol>
gi7	<i>romanization</i><br><ol><li>Romanization of 𒂠 (gi₇)</li></ol>
gi8	<i>romanization</i><br><ol><li>Romanization of 𒅆 (gi₈)</li></ol>
gib	<i>romanization</i><br><ol><li>Romanization of 𒄃 (gib)</li></ol>
gibil	<i>romanization</i><br><ol><li>Romanization of 𒉋 (gibil)</li></ol>
gibil2	<i>romanization</i><br><ol><li>Romanization of 𒋙𒀾 (gibil₂)</li></ol>
gibil3	<i>romanization</i><br><ol><li>Romanization of 𒆠𒉈 (gibil₃)</li></ol>
gibil4	<i>romanization</i><br><ol><li>Romanization of 𒉈 (gibil₄)</li></ol>
gid2	<i>romanization</i><br><ol><li>Romanization of 𒁍 (gid₂)</li></ol>
gidim	<i>romanization</i><br><ol><li>Romanization of 𒄇 (gidim)</li></ol>
gidim2	<i>romanization</i><br><ol><li>Romanization of 𒈦𒌋 (gidim₂)</li></ol>
gidim4	<i>romanization</i><br><ol><li>Romanization of 𒌜 (gidim₄)</li></ol>
gig	<i>romanization</i><br><ol><li>Romanization of 𒍼 (gig)</li></ol>
gig2	<i>romanization</i><br><ol><li>Romanization of 𒈪 (gig₂)</li></ol>
giggi	<i>romanization</i><br><ol><li>Romanization of 𒈪 (giggi)</li></ol>
gigi2	<i>romanization</i><br><ol><li>Romanization of 𒈪 (gigi₂)</li></ol>
gigir	<i>romanization</i><br><ol><li>Romanization of 𒇀 (gigir)</li></ol>
gigir2	<i>romanization</i><br><ol><li>Romanization of 𒇥 (gigir₂)</li></ol>
gigir3	<i>romanization</i><br><ol><li>Romanization of 𒇕 (gigir₃)</li></ol>
giguru	<i>romanization</i><br><ol><li>Romanization of 𒌋 (giguru)</li></ol>
giguru3	<i>romanization</i><br><ol><li>Romanization of 𒆂 (giguru₃)</li></ol>
gij4	<i>romanization</i><br><ol><li>Romanization of 𒂅 (gig̃₄)</li></ol>
gil2	<i>romanization</i><br><ol><li>Romanization of 𒆸 (gil₂)</li></ol>
gilgamesz	<i>romanization</i><br><ol><li>Romanization of 𒄑𒂆𒈦 (gilgameš)</li></ol>
