AFU	<i>adj</i><br><ol><li>half</li></ol>
abrasei	<i>noun</i><br><ol><li>the other side, the opposite side</li></ol>
afdaki	<i>noun</i><br><ol><li>shelter</li><li>hut, shack</li></ol>
afersi	<i>noun</i><br><ol><li>issue, matter</li><li>subject, theme, topic</li></ol>
afkati	<i>noun</i><br><ol><li>lawyer, barrister</li><li>avocado, butter pear</li></ol>
afo	<i>noun</i><br><ol><li>ancestor</li><li>great-grandparent</li></ol>
afu	<i>noun</i><br><ol><li>half</li></ol><br><i>adj</i><br><ol><li>half</li></ol><br><i>verb</i><br><ol><li>to halve</li><li>must, to have to (auxiliary verb)</li></ol>
afèn	<i>intj</i><br><ol><li>OK (said in resignation)</li></ol>
agama	<i>noun</i><br><ol><li>any of several small iguana species</li></ol>
agra	<i>noun</i><br><ol><li>bullet</li><li>shot (metal balls used as ammunition)</li></ol>
agri	<i>verb</i><br><ol><li>to agree</li></ol><br><i>noun</i><br><ol><li>agreement, contract</li></ol>
agu	<i>noun</i><br><ol><li>pig</li></ol>
aguti	<i>noun</i><br><ol><li>agouti</li></ol>
ai|ay	<i>noun</i><br><ol><li>eye</li></ol><br><i>intj</i><br><ol><li>yes</li></ol>
aiti|ayti	<i>num</i><br><ol><li>eight</li></ol>
aka	<i>noun</i><br><ol><li>hook</li><li>medium to large bird of prey; hawk, eagle, etc.</li></ol>
akata	<i>noun</i><br><ol><li>cotton headpad for carrying loads</li></ol>
aksi	<i>verb</i><br><ol><li>to ask</li><li>to request</li></ol><br><i>noun</i><br><ol><li>question</li><li>request</li><li>axe</li></ol>
ala	<i>pron</i><br><ol><li>everything</li></ol>
alamala	<i>pron</i><br><ol><li>everything</li><li>everyone</li></ol>
alanya	<i>noun</i><br><ol><li>bitter orange (Citrus aurantium)</li><li>sweet orange (Citrus sinensis)</li></ol><br><i>adj</i><br><ol><li>orange (colour)</li></ol>
alape	<i>adv</i><br><ol><li>everywhere</li></ol>
alasortu	<i>adj</i><br><ol><li>all kinds of.</li></ol>
alata	<i>noun</i><br><ol><li>rat</li></ol>
alen	<i>noun</i><br><ol><li>(Atmospheric phenomena) rain</li></ol>
alenbo	<i>noun</i><br><ol><li>rainbow</li></ol>
alesi	<i>noun</i><br><ol><li>rice, food</li></ol>
alobi	<i>noun</i><br><ol><li>loved</li><li>beloved</li></ol>
amaka	<i>noun</i><br><ol><li>hammock</li></ol>
ambesi	<i>noun</i><br><ol><li>anvil</li></ol>
ambeyri	<i>noun</i><br><ol><li>hand axe</li></ol>
ambisi	<i>noun</i><br><ol><li>ambition</li></ol>
ameti	<i>noun</i><br><ol><li>smoked ham</li></ol>
amra	<i>noun</i><br><ol><li>hammer</li></ol>
anansi	<i>noun</i><br><ol><li>spider</li></ol>
anbegi	<i>verb</i><br><ol><li>To worship.</li><li>To adore.</li></ol>
anga	<i>noun</i><br><ol><li>to hang</li></ol>
angri	<i>noun</i><br><ol><li>hunger</li><li>desire, craving</li></ol><br><i>verb</i><br><ol><li>to be hungry</li><li>to desire, to crave</li></ol><br><i>adj</i><br><ol><li>eager, desirous</li></ol>
angribere	<i>noun</i><br><ol><li>empty stomach</li></ol><br><i>adj</i><br><ol><li>hungry</li></ol>
ankra	<i>noun</i><br><ol><li>anchor</li></ol><br><i>verb</i><br><ol><li>to anchor</li><li>to found</li><li>to settle, to stay</li><li>to settle in</li></ol>
anu	<i>noun</i><br><ol><li>hand, arm</li></ol>
apresina	<i>noun</i><br><ol><li>orange (fruit)</li></ol>
apuku	<i>noun</i><br><ol><li>forest spirit</li></ol>
arki	<i>verb</i><br><ol><li>to listen</li><li>to obey</li></ol>
asaw	<i>noun</i><br><ol><li>elephant</li></ol>
asema	<i>noun</i><br><ol><li>A vampire who has the appearance of an elderly person during the day and hides his or her skin at night when out for blood.</li></ol>
asi	<i>noun</i><br><ol><li>horse</li><li>ace (playing card marked with "A", having one icon)</li></ol>
ati	<i>noun</i><br><ol><li>hat</li></ol>
awege	<i>noun</i><br><ol><li>(dated, derogatory) male homosexual, effeminate man</li></ol>
ayun	<i>noun</i><br><ol><li>onion</li></ol>
bai	<i>verb</i><br><ol><li>to buy</li></ol>
baisigri|baysigri	<i>noun</i><br><ol><li>bicycle</li></ol>
baka	<i>prep</i><br><ol><li>after</li><li>behind</li></ol><br><i>adj</i><br><ol><li>back</li></ol><br><i>adv</i><br><ol><li>back, in return</li><li>again</li></ol><br><i>noun</i><br><ol><li>back</li></ol><br><i>verb</i><br><ol><li>to bake, to fry</li></ol>
bakabaka	<i>adj</i><br><ol><li>underhanded, sneaky, secretive</li></ol><br><i>adv</i><br><ol><li>afterwards</li></ol>
bakasey	<i>noun</i><br><ol><li>ass</li><li>behind</li></ol>
bakawan	<i>noun</i><br><ol><li>rear, last one</li></ol>
bakba	<i>noun</i><br><ol><li>banana (Musa sapentium)</li></ol>
baki	<i>noun</i><br><ol><li>container, tray, tub</li></ol>
bakra	<i>noun</i><br><ol><li>white person</li><li>Dutch person</li><li>high-ranking official or civil servant</li></ol><br><i>adj</i><br><ol><li>relating to a white person</li><li>Dutch</li></ol>
bakru	<i>noun</i><br><ol><li>An evil forest spirit represented as a ghost-like little man with a big head</li></ol>
baksis	<i>noun</i><br><ol><li>extra amount (as a gift in addition to an amount bought)</li><li>discount, rebate</li></ol>
balata	<i>noun</i><br><ol><li>latex, rubber (material)</li><li>waistbelt</li><li>bullwhip, rubber baton</li></ol><br><i>verb</i><br><ol><li>to bullwhip</li></ol>
bambusi	<i>noun</i><br><ol><li>bamboo</li></ol>
bana	<i>noun</i><br><ol><li>plantain (cooking banana)</li><li>(colloquial) penis</li></ol>
bangi	<i>noun</i><br><ol><li>bank (financial institution)</li><li>stool, bench</li><li>sandbank</li></ol>
banku	<i>noun</i><br><ol><li>(Netherlands) fifty euro</li></ol>
banti	<i>noun</i><br><ol><li>tire (around a wheel)</li><li>wheel</li><li>tape</li><li>belt, strap</li></ol><br><i>verb</i><br><ol><li>to tie, to fasten</li><li>to be too tight, to pinch</li></ol>
barba	<i>noun</i><br><ol><li>beard</li></ol>
barki	<i>noun</i><br><ol><li>beam, rafter, bolt</li><li>boat, barque</li><li>conspiracy, plot, agreement, scheme</li><li>(before 1865, obsolete) 100 Dutch guilders</li><li>(1865 to 2004, obsolete) 100 Surinamese guilders</li><li>(after 2004) 100 Surinamese dollars</li></ol>
basya	<i>noun</i><br><ol><li>Maroon or Amerindian assistant village chief; the lowest tier in the hierarchy of tribal authority</li><li>(historical) enslaved person charged with overseeing work at a plantation and administering corporal punishment</li></ol>
batra	<i>noun</i><br><ol><li>bottle</li></ol>
batyaw	<i>noun</i><br><ol><li>salt cod</li></ol>
bedi	<i>noun</i><br><ol><li>bed</li></ol>
begi	<i>verb</i><br><ol><li>to beg</li><li>to pray</li></ol><br><i>noun</i><br><ol><li>prayer</li></ol>
beiri	<i>noun</i><br><ol><li>axe</li></ol>
beki	<i>noun</i><br><ol><li>washtub</li><li>salad bowl</li></ol>
ben	<i>particle</i><br><ol><li>Verbal marker for the past tense.</li></ol>
beni	<i>noun</i><br><ol><li>bend</li></ol><br><i>verb</i><br><ol><li>to bend</li><li>to make a turn (change direction)</li></ol><br><i>adj</i><br><ol><li>bent, crooked, curved (not straight)</li></ol>
bere	<i>noun</i><br><ol><li>belly, stomach</li><li>womb</li></ol>
berebanti	<i>noun</i><br><ol><li>abdominal support belt</li></ol>
bereman	<i>noun</i><br><ol><li>pregnant woman</li></ol>
bergi	<i>noun</i><br><ol><li>hill, mountain</li></ol>
beri	<i>verb</i><br><ol><li>to bury</li></ol>
beti	<i>verb</i><br><ol><li>to bite</li></ol><br><i>noun</i><br><ol><li>bite</li><li>bait</li></ol>
betre	<i>adj</i><br><ol><li>better</li></ol><br><i>adv</i><br><ol><li>rather, preferentially</li></ol><br><i>verb</i><br><ol><li>to heal, to get well</li></ol>
bifo	<i>prep</i><br><ol><li>before</li></ol><br><i>adv</i><br><ol><li>before</li></ol><br><i>conj</i><br><ol><li>before (earlier than)</li></ol>
bigi|moro bigi	<i>adj</i><br><ol><li>big</li></ol>
bigi-ay	<i>noun</i><br><ol><li>greediness</li></ol>
bigin	<i>verb</i><br><ol><li>begin, start</li></ol><br><i>noun</i><br><ol><li>beginning, start</li></ol>
bika	<i>conj</i><br><ol><li>because</li></ol>
bikasi	<i>conj</i><br><ol><li>because</li></ol><br><i>prep</i><br><ol><li>because of</li></ol>
bimba	<i>noun</i><br><ol><li>elephantiasis</li></ol>
biri	<i>noun</i><br><ol><li>beer</li></ol>
bita	<i>adj</i><br><ol><li>bitter</li></ol><br><i>noun</i><br><ol><li>bile</li><li>a type of strong liquor</li></ol>
blaka	<i>adj</i><br><ol><li>black</li></ol><br><i>verb</i><br><ol><li>blacken</li><li>defame, rat on</li></ol>
blaw	<i>adj</i><br><ol><li>blue</li></ol>
blesi	<i>verb</i><br><ol><li>to bless</li></ol><br><i>noun</i><br><ol><li>blessing</li></ol><br><i>adj</i><br><ol><li>blessed</li></ol>
bo	<i>particle</i><br><ol><li>Marker for the irrealis mood.</li></ol><br><i>noun</i><br><ol><li>bow, arch</li></ol>
bobi	<i>noun</i><br><ol><li>breast, boob</li></ol>
bobimofo	<i>noun</i><br><ol><li>nipple</li></ol>
bobo	<i>noun</i><br><ol><li>dolt, dweeb, wimp</li></ol><br><i>adj</i><br><ol><li>doltish, sluggish</li></ol><br><i>verb</i><br><ol><li>to behave like a dolt</li></ol>
boda	<i>noun</i><br><ol><li>wedding</li><li>party</li></ol>
bogobogo	<i>adj</i><br><ol><li>abundant</li><li>chubby</li></ol><br><i>noun</i><br><ol><li>abundance</li></ol>
boi	<i>noun</i><br><ol><li>boy</li><li>son</li><li>(colloquial) thing (compare similar use of English guy)</li></ol>
boiti	<i>adv</i><br><ol><li>outside</li></ol><br><i>prep</i><br><ol><li>outside</li><li>except, save for</li></ol>
bokoboko	<i>noun</i><br><ol><li>buck, billy goat</li></ol>
bokun	<i>noun</i><br><ol><li>smoked herring</li></ol>
bon	<i>noun</i><br><ol><li>tree</li></ol>
bonboni	<i>noun</i><br><ol><li>Guianan squirrel (Sciurus aestuans)</li></ol>
bonki	<i>noun</i><br><ol><li>bean</li></ol>
bonkoro	<i>noun</i><br><ol><li>A black person with a (relatively) light skin.</li></ol>
bonu	<i>noun</i><br><ol><li>ritual magic, used by a bonuman (medicine man)</li><li>(religion) idolatry</li></ol><br><i>verb</i><br><ol><li>(religion) to practice winti</li></ol>
bonuman	<i>noun</i><br><ol><li>healer</li><li>priest</li></ol>
bori	<i>verb</i><br><ol><li>to cook or boil</li></ol>
boro	<i>verb</i><br><ol><li>to bore</li><li>to cut in line</li><li>to intrude (on a party) uninvited</li></ol><br><i>noun</i><br><ol><li>drill (instrument)</li><li>bore</li><li>hole, leak</li></ol><br><i>adj</i><br><ol><li>having holes, leaky</li><li>(of a guest) uninvited</li></ol>
boru	<i>noun</i><br><ol><li>bread roll, bun</li></ol><br><i>adj</i><br><ol><li>bulging</li></ol>
bosi	<i>noun</i><br><ol><li>kiss</li></ol><br><i>verb</i><br><ol><li>to kiss</li></ol>
boskopu	<i>noun</i><br><ol><li>message, report</li></ol>
bosu	<i>noun</i><br><ol><li>bundle, bunch</li><li>(of animals) group, herd, flock, swarm, school</li><li>(of people) group, bunch</li></ol><br><i>verb</i><br><ol><li>to group</li></ol>
boto	<i>noun</i><br><ol><li>boat</li></ol>
botri	<i>noun</i><br><ol><li>kitchen</li></ol>
botro	<i>noun</i><br><ol><li>butter</li></ol>
bow	<i>verb</i><br><ol><li>to build</li><li>(figuratively, with tapu) to trust, to depend on</li></ol>
boy	<i>noun</i><br><ol><li>(unofficial spelling) boy</li></ol>
boyo	<i>noun</i><br><ol><li>a sweet cake made of grated cassava (manioc) and cocos</li></ol>
brada	<i>noun</i><br><ol><li>brother</li></ol>
bradi	<i>adj</i><br><ol><li>broad, wide</li></ol><br><i>adv</i><br><ol><li>wide</li></ol><br><i>noun</i><br><ol><li>width</li></ol><br><i>verb</i><br><ol><li>to broaden, to widen</li><li>to be wide or broad</li></ol>
bradyari	<i>adj</i><br><ol><li>loud, noisy</li></ol>
brai	<i>verb</i><br><ol><li>to roast</li></ol>
brantmiri	<i>noun</i><br><ol><li>fireplace</li></ol>
brasa	<i>noun</i><br><ol><li>embrace, hug, cuddle</li></ol><br><i>verb</i><br><ol><li>to embrace, to hug, to cuddle</li></ol>
brede	<i>noun</i><br><ol><li>bread</li></ol>
brei	<i>verb</i><br><ol><li>to knit</li><li>to braid</li><li>to weave</li></ol>
breiti	<i>adj</i><br><ol><li>happy, glad</li></ol><br><i>noun</i><br><ol><li>joy, happiness</li></ol><br><i>verb</i><br><ol><li>to rejoice, to be glad</li></ol>
bri	<i>verb</i><br><ol><li>Contraction of bribi.</li></ol>
bribi	<i>verb</i><br><ol><li>To believe</li></ol>
bro	<i>verb</i><br><ol><li>To blow, to produce air currents.</li><li>To breathe.</li></ol><br><i>noun</i><br><ol><li>breath</li></ol>
broin	<i>adj</i><br><ol><li>brown</li></ol>
broko	<i>adj</i><br><ol><li>broken</li></ol><br><i>verb</i><br><ol><li>To break, to break down</li><li>to break</li></ol>
bromki	<i>noun</i><br><ol><li>flower</li></ol>
bron	<i>verb</i><br><ol><li>to burn</li></ol>
bruku	<i>noun</i><br><ol><li>pair of trousers, pair of pants</li></ol>
buba	<i>noun</i><br><ol><li>skin</li><li>fur</li><li>fleece</li><li>peel</li><li>shell</li><li>husk</li><li>crust</li><li>bark</li><li>sapwood</li><li>sheath</li></ol>
bubu	<i>noun</i><br><ol><li>bogeyman, bugbear, monster</li></ol>
bugru	<i>noun</i><br><ol><li>bullet</li></ol>
bui	<i>noun</i><br><ol><li>bracelet</li><li>fetter, bond</li></ol>
buku	<i>noun</i><br><ol><li>book</li><li>fungus, mould</li></ol>
bulu	<i>noun</i><br><ol><li>bull</li></ol>
bun	<i>adj</i><br><ol><li>good</li></ol><br><i>adv</i><br><ol><li>very, rather</li></ol>
bun-ay	<i>noun</i><br><ol><li>eye of luck</li></ol>
bun-ede	<i>noun</i><br><ol><li>luck</li></ol>
bunkopu	<i>adj</i><br><ol><li>cheap, inexpensive</li></ol>
buriki	<i>noun</i><br><ol><li>donkey, ass</li></ol>
buru	<i>noun</i><br><ol><li>farmer</li><li>A white Surinamese person of Dutch descent, in particular a descendant of nineteenth-century agricultural settlers.</li></ol>
busi	<i>noun</i><br><ol><li>forest, woods</li></ol>
butu	<i>noun</i><br><ol><li>fine, punishment</li></ol><br><i>verb</i><br><ol><li>to pay by way of punishment</li><li>to fine</li></ol>
bwasi	<i>adj</i><br><ol><li>leprous</li></ol>
bèl	<i>verb</i><br><ol><li>to make a telephone call</li></ol>
dagu	<i>noun</i><br><ol><li>dog</li></ol>
daki	<i>noun</i><br><ol><li>roof</li></ol>
dala	<i>noun</i><br><ol><li>dollar</li><li>a coin or banknote worth 250 cents</li></ol>
dalèk	<i>adv</i><br><ol><li>right away, at once</li><li>soon, any minute</li></ol>
danki	<i>intj</i><br><ol><li>thanks, thank you</li></ol>
dansi|pasensie|dansie	<i>noun</i><br><ol><li>dance</li><li>dance party</li></ol><br><i>verb</i><br><ol><li>to dance</li></ol>
dati	<i>pron</i><br><ol><li>that</li></ol><br><i>det</i><br><ol><li>that, those (postpositive)</li></ol>
datra	<i>noun</i><br><ol><li>medical doctor</li></ol>
de	<i>verb</i><br><ol><li>(copula) to be.</li></ol><br><i>particle</i><br><ol><li>(dated) Alternative form of e.</li></ol>
dede	<i>adj</i><br><ol><li>dead</li></ol><br><i>verb</i><br><ol><li>to die</li></ol>
degedege	<i>adj</i><br><ol><li>unstable, shaky</li><li>rickety</li></ol><br><i>verb</i><br><ol><li>to waver, to wobble</li><li>to falter</li></ol>
dei	<i>noun</i><br><ol><li>day</li></ol>
deinen	<i>noun</i><br><ol><li>day name (ritual name of Ashanti origin, given to a child born on a given day of the week; e.g., Kwaku for a boy born on a Wednesday)</li></ol>
deiten	<i>adv</i><br><ol><li>during daytime</li></ol>
dekati	<i>adj</i><br><ol><li>daring</li></ol>
deki	<i>adj</i><br><ol><li>fat, obese, thick</li></ol>
dekta	<i>noun</i><br><ol><li>detective</li><li>secret police</li></ol>
den	<i>pron</i><br><ol><li>they</li><li>them</li></ol><br><i>det</i><br><ol><li>their (possessive pronoun)</li></ol><br><i>article</i><br><ol><li>the (plural definite article)</li></ol>
denki	<i>verb</i><br><ol><li>to think</li></ol>
desko	<i>noun</i><br><ol><li>discrimination</li></ol><br><i>verb</i><br><ol><li>to discriminate</li></ol>
dia	<i>noun</i><br><ol><li>deer</li></ol>
didbrikondre	<i>name</i><br><ol><li>hell</li></ol>
didon	<i>verb</i><br><ol><li>to lie, to lie down</li></ol>
diki	<i>verb</i><br><ol><li>to dig</li></ol>
dinari	<i>noun</i><br><ol><li>church servant</li><li>corpse washer</li></ol>
dipi	<i>adj</i><br><ol><li>deep</li></ol><br><i>verb</i><br><ol><li>to dip</li></ol>
dipi bere	<i>adj</i><br><ol><li>mysterious</li></ol>
disi	<i>pron</i><br><ol><li>this</li></ol><br><i>det</i><br><ol><li>this, these (postpositive)</li></ol>
distrikti	<i>noun</i><br><ol><li>district</li></ol>
dobru	<i>adj</i><br><ol><li>double</li></ol>
dofu	<i>adj</i><br><ol><li>deaf</li></ol><br><i>noun</i><br><ol><li>a deaf person</li></ol>
doi	<i>noun</i><br><ol><li>thumb</li></ol>
doifi	<i>noun</i><br><ol><li>pigeon, dove</li></ol>
doksi	<i>noun</i><br><ol><li>duck</li></ol>
dokun	<i>noun</i><br><ol><li>a sweet treat made of grated cassava (manioc) and cocos, wrapped in a banana leaf and then steamed</li></ol>
don	<i>adj</i><br><ol><li>stupid</li></ol><br><i>noun</i><br><ol><li>stupidity</li></ol>
dopu	<i>noun</i><br><ol><li>(Christianity) baptism</li></ol><br><i>verb</i><br><ol><li>(Christianity) to baptise</li><li>to dip</li></ol>
doro	<i>noun</i><br><ol><li>door</li></ol><br><i>prep</i><br><ol><li>through</li></ol><br><i>adv</i><br><ol><li>continually, on and on, again and again</li></ol><br><i>verb</i><br><ol><li>to arrive</li><li>to come, to dawn (of time)</li><li>to find out, to arrive at a conclusion</li><li>to sieve</li></ol>
dorodoro	<i>noun</i><br><ol><li>sieve</li></ol><br><i>adv</i><br><ol><li>again and again, incessantly</li></ol>
dorpu	<i>noun</i><br><ol><li>village</li></ol>
dosi	<i>noun</i><br><ol><li>cassava bread with a sweet cocos filling</li></ol>
dosu	<i>noun</i><br><ol><li>box</li></ol>
doti	<i>noun</i><br><ol><li>earth, soil, ground</li><li>dirt, rubbish</li></ol><br><i>adj</i><br><ol><li>dirty</li></ol>
dow	<i>noun</i><br><ol><li>dew</li></ol>
dragi	<i>noun</i><br><ol><li>bier</li></ol>
drai|dray	<i>noun</i><br><ol><li>turn</li><li>bend</li></ol><br><i>verb</i><br><ol><li>to turn</li></ol>
drape|dape	<i>adv</i><br><ol><li>there</li></ol>
draydray	<i>verb</i><br><ol><li>To hesitate.</li></ol>
drei	<i>adj</i><br><ol><li>dry</li></ol>
dren	<i>noun</i><br><ol><li>dream</li></ol><br><i>verb</i><br><ol><li>to dream</li><li>to imagine</li></ol><br><i>adj</i><br><ol><li>imaginary</li></ol>
dresi	<i>noun</i><br><ol><li>Medicine, cure</li><li>Insecticide, rodenticide</li></ol><br><i>verb</i><br><ol><li>To dress or treat a wound, or wounded person; to heal.</li></ol>
dri	<i>num</i><br><ol><li>three</li></ol>
dringi	<i>verb</i><br><ol><li>to drink</li></ol>
droifi	<i>noun</i><br><ol><li>grape</li></ol>
dron	<i>noun</i><br><ol><li>drum</li></ol>
dropu	<i>noun</i><br><ol><li>drop, droplet</li></ol><br><i>verb</i><br><ol><li>to drip</li></ol>
drungu	<i>adj</i><br><ol><li>drunk</li></ol>
du	<i>verb</i><br><ol><li>to do</li></ol><br><i>noun</i><br><ol><li>deed, action</li><li>(archaic) dance performance</li></ol>
dukrun	<i>verb</i><br><ol><li>to dive</li></ol>
duku	<i>noun</i><br><ol><li>cloth</li><li>(slang) money</li></ol>
duman	<i>noun</i><br><ol><li>doer</li><li>winti priest</li></ol>
dungru	<i>adj</i><br><ol><li>dark</li></ol>
dusun	<i>num</i><br><ol><li>thousand</li></ol>
dyaranti	<i>noun</i><br><ol><li>guarantee</li></ol><br><i>verb</i><br><ol><li>To guarantee.</li></ol>
dyari	<i>noun</i><br><ol><li>garden, yard</li></ol>
dyarusu	<i>noun</i><br><ol><li>jealousy</li></ol>
dyinipi	<i>noun</i><br><ol><li>guinea pig</li></ol>
dyodyo	<i>noun</i><br><ol><li>soul, spirit</li></ol>
dyogo	<i>noun</i><br><ol><li>A jug.</li><li>A beer bottle with a volume of one litre.</li></ol>
dyompo	<i>verb</i><br><ol><li>to jump</li></ol>
dyonko	<i>verb</i><br><ol><li>to slumber, to doze off, to nod off, to drowse</li></ol><br><i>noun</i><br><ol><li>(slang) a joint, a marijuana cigarette</li></ol>
dyugudyugu	<i>noun</i><br><ol><li>Uproar, unrest, turmoil, commotion, crowdedness</li></ol><br><i>adj</i><br><ol><li>Uproarious, restless, troublesome, crowded</li></ol><br><i>verb</i><br><ol><li>To be restless or troublesome</li><li>To cause an uproar, commotion or unrest</li></ol>
e	<i>particle</i><br><ol><li>Verbal marker for continuous aspect.</li></ol>
ede|hede	<i>noun</i><br><ol><li>head</li></ol>
edeman	<i>noun</i><br><ol><li>leader</li></ol>
efu|efi	<i>conj</i><br><ol><li>if, whether</li></ol>
eigi	<i>adj</i><br><ol><li>own</li></ol>
eilanti	<i>noun</i><br><ol><li>island</li></ol>
eksi	<i>noun</i><br><ol><li>egg</li></ol>
empi	<i>noun</i><br><ol><li>shirt</li></ol>
en	<i>pron</i><br><ol><li>Third-person singular possessive determiner/pronoun; his, her, its</li><li>Third-person singular object pronoun; him, her, it</li><li>Contrastive variant of a; he, she, it.</li></ol>
er'esi	<i>adv</i><br><ol><li>soon</li><li>quick</li></ol>
erfu	<i>num</i><br><ol><li>eleven</li></ol>
eri	<i>noun</i><br><ol><li>whole</li></ol>
esde|esrede	<i>adv</i><br><ol><li>yesterday</li></ol>
esi	<i>adj</i><br><ol><li>fast, quick</li></ol><br><i>adv</i><br><ol><li>fast, soon</li></ol>
fa	<i>adv</i><br><ol><li>how</li></ol><br><i>conj</i><br><ol><li>as soon as</li></ol><br><i>intj</i><br><ol><li>hi; how are you?; how's it going?</li></ol>
fa a e go	<i>phrase</i><br><ol><li>how are you?</li></ol>
fa a waka	<i>phrase</i><br><ol><li>how are you?</li></ol>
fa fu yu	<i>phrase</i><br><ol><li>how are you?</li></ol>
fa yu de	<i>phrase</i><br><ol><li>how are you?</li></ol>
fa yu tan	<i>phrase</i><br><ol><li>how are you?</li></ol>
fadon	<i>verb</i><br><ol><li>(intransitive) to fall, to fall down</li></ol>
faki	<i>noun</i><br><ol><li>compartment, cell of a grid, box (e.g. a tick box)</li></ol>
fala	<i>verb</i><br><ol><li>to fell</li><li>to ebb</li></ol>
fals	<i>adj</i><br><ol><li>vicious</li><li>angry</li></ol><br><i>verb</i><br><ol><li>to be angry</li></ol>
famiri	<i>noun</i><br><ol><li>family</li></ol>
famirman	<i>noun</i><br><ol><li>family member</li></ol>
fanga	<i>verb</i><br><ol><li>to catch</li></ol><br><i>noun</i><br><ol><li>catch</li></ol>
fanowdu	<i>adj</i><br><ol><li>necessary</li></ol>
fara	<i>adj</i><br><ol><li>far</li></ol>
farawe	<i>adj</i><br><ol><li>far</li></ol>
fasi	<i>verb</i><br><ol><li>To touch.</li></ol>
fasti	<i>adj</i><br><ol><li>stuck, tight, secured</li><li>fixed, unwavering</li></ol>
fatu	<i>adj</i><br><ol><li>fat, obese</li></ol><br><i>noun</i><br><ol><li>fat (lipid matter)</li><li>a joke</li></ol>
faya	<i>adj</i><br><ol><li>hot</li></ol><br><i>noun</i><br><ol><li>fire</li></ol>
faya watra	<i>noun</i><br><ol><li>a vaginal steam bath</li></ol>
feni	<i>verb</i><br><ol><li>to find (to come across, possibly by searching)</li><li>(copula) to consider, to judge</li></ol>
ferdwal	<i>verb</i><br><ol><li>to lose one's way, to get lost</li></ol>
ferferi	<i>verb</i><br><ol><li>to bore, to annoy, to tease</li><li>to get bored</li></ol>
feri	<i>verb</i><br><ol><li>To tease.</li></ol>
feryari	<i>verb</i><br><ol><li>To have your birthday.</li></ol>
fesa	<i>noun</i><br><ol><li>party</li></ol>
feti	<i>verb</i><br><ol><li>to fight, to combat</li><li>to fight, to bicker</li></ol><br><i>noun</i><br><ol><li>fight, strife</li></ol>
feyfi	<i>num</i><br><ol><li>five</li></ol>
fiadu	<i>noun</i><br><ol><li>a sweet fluffy cake filled with rum-soaked raisins, almonds and succade</li></ol>
figa	<i>noun</i><br><ol><li>fig (fruit of the fig tree)</li></ol>
figi	<i>verb</i><br><ol><li>to sweep, to brush</li><li>to wipe</li></ol>
