0.	<i>adj</i><br><ol><li>0th</li></ol>
Altarið|Altarisins|Altaris|Altari|Altarinu	<i>name</i><br><ol><li>Ara (constellation)</li></ol>
Altaðardóttir	<i>name</i><br><ol><li>A patronymic.</li></ol>
Alþingi|Alþingis	<i>name</i><br><ol><li>The elected parliament of Iceland, first formed in 930 AD by the most powerful leaders of Iceland. Anglicised as Althingi.</li></ol>
Alþingishúsið|Alþingishús|Alþingishússins|Alþingishúsi|Alþingishúss|Alþingishúsinu	<i>noun</i><br><ol><li>the Icelandic parliament house</li></ol>
Ameríka|Ameríku	<i>name</i><br><ol><li>(less common) the Americas</li><li>America (the United States)</li></ol>
Ameríkani|Ameríkaninn|Ameríkananna|Ameríkönum|Ameríkanarnir|Ameríkanar|Ameríkanans|Ameríkananum|Ameríkanana|Ameríkanann|Ameríkana|Ameríkönunum	<i>noun</i><br><ol><li>(somewhat informal) American (person from the United States)</li></ol>
Amsterdam	<i>name</i><br><ol><li>Amsterdam (the capital of the Netherlands)</li></ol>
Andorra	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Andorramaður|Andorramanns|Andorramaðurinn|Andorramenn|Andorramannsins|Andorramanninn|Andorramannanna|Andorramönnum|Andorramönnunum|Andorramennina|Andorramennirnir|Andorramann|Andorramanninum|Andorramanna|Andorramanni	<i>noun</i><br><ol><li>Andorran (person from Andorra)</li></ol>
Andradóttir	<i>name</i><br><ol><li>A patronymic.</li></ol>
Andrés|Andrésa|Andrésinn|Andrésum|Andrésunum|Andrési|Andrésana|Andrésanna|Andrésarins|Andrésinum|Andrésarnir|Andrésar	<i>name</i><br><ol><li>Andrew. (biblical character)</li></ol>
Andrés Önd|Andrésar Andar	<i>name</i><br><ol><li>Donald Duck (one of the Disney characters)</li></ol>
Andrésína|Andrésínuna|Andrésínum|Andrésínunnar|Andrésínanna|Andrésínu|Andrésínunum|Andrésínunni|Andrésínur|Andrésínurnar|Andrésínan	<i>name</i><br><ol><li>Daisy Duck</li></ol>
Angvilla	<i>name</i><br><ol><li>Anguilla</li></ol>
Angóla	<i>name</i><br><ol><li>Angola (a country in Southern Africa)</li></ol>
Angóli|Angólar|Angólans|Angólana|Angólanna|Angólum|Angólinn|Angólarnir|Angólunum|Angólann|Angólanum|Angóla	<i>noun</i><br><ol><li>Angolan (person from Angola)</li></ol>
Antarktíka|Antarktíku	<i>name</i><br><ol><li>Antarctica (southernmost continent)</li></ol>
Antíokkía	<i>name</i><br><ol><li>Antioch</li></ol>
Anúbis|Anúbisar	<i>name</i><br><ol><li>Anubis</li></ol>
Arabía|Arabíu	<i>name</i><br><ol><li>Arabia</li></ol>
Argentína|Argentínu	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Argentínumaður|Argentínumönnunum|Argentínumannsins|Argentínumönnum|Argentínumenn|Argentínumanni|Argentínumanninn|Argentínumanns|Argentínumanninum|Argentínumanna|Argentínumaðurinn|Argentínumennina|Argentínumann|Argentínumannanna|Argentínumennirnir	<i>noun</i><br><ol><li>Argentine (person from Argentina)</li></ol>
Aristóteles|Aristótelesi|Aristótelesar	<i>name</i><br><ol><li>Aristotle</li></ol>
Arktúrus	<i>name</i><br><ol><li>Arcturus (star)</li></ol>
Armeni|Armenar|Armenunum|Armenanna|Armenum|Armenarnir|Armeninn|Armenann|Armenans|Armenana|Armenanum|Armena	<i>noun</i><br><ol><li>Armenian (person from Armenia)</li></ol>
Armenía	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Arnarsdóttir	<i>name</i><br><ol><li>A patronymic.</li></ol>
Aron|Arons|Aroni	<i>name</i><br><ol><li>Aaron (biblical figure)</li></ol>
Aserbaídsjan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Aseri|Aserunum|Asera|Aserarnir|Aserar|Aserann|Aserans|Aseranna|Aserum|Aserinn|Aseranum|Aserana	<i>noun</i><br><ol><li>Azeri (person from Azerbaijan)</li></ol>
Asgabat	<i>name</i><br><ol><li>Ashgabat (the capital city of Turkmenistan)</li></ol>
Asía|Asíu	<i>name</i><br><ol><li>Asia</li></ol>
Atlantshaf	<i>name</i><br><ol><li>Atlantic (an ocean)</li></ol>
Atlantshafshryggur	<i>noun</i><br><ol><li>Atlantic Ocean Ridge</li></ol>
Austur-Þýskaland|Austur-Þýskalands|Austur-Þýskalandi	<i>name</i><br><ol><li>(historical, 1949–1990) East Germany</li></ol>
Austurey|Austureyjar	<i>name</i><br><ol><li>Eysturoy (an island in the Faroe Islands)</li></ol>
Austurland|Austurlandi|Austurlands	<i>name</i><br><ol><li>The Eastern Region of Iceland</li></ol>
Austurríki|Austurríkis	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Austurríkismaður|Austurríkismanna|Austurríkismannanna|Austurríkismönnunum|Austurríkismanns|Austurríkismann|Austurríkismennina|Austurríkismannsins|Austurríkismanni|Austurríkismennirnir|Austurríkismenn|Austurríkismönnum|Austurríkismanninum|Austurríkismaðurinn|Austurríkismanninn	<i>noun</i><br><ol><li>Austrian (person from Austria)</li></ol>
Auðmundur|Auðmundarnir|Auðmundarins|Auðmundinn|Auðmunda|Auðmundi|Auðmundinum|Auðmundanna|Auðmundana|Auðmundum|Auðmundunum|Auðmundar|Auðmund|Auðmundurinn	<i>name</i><br><ol><li>(rare) A translation of English Edmund.</li></ol>
Aþena|Aþenanna|Aþenunum|Aþenu|Aþenunni|Aþenurnar|Aþenunnar|Aþenum|Aþenuna|Aþenan|Aþenur	<i>name</i><br><ol><li>(Greek mythology) Athena</li><li>Athens (the capital city of Greece)</li></ol>
Aþeningur|Aþeningsins|Aþeningurinn|Aþeningarnir|Aþeninganna|Aþeningum|Aþeningi|Aþeningunum|Aþenings|Aþeninga|Aþeninginn|Aþeningana|Aþening|Aþeningnum|Aþeningar	<i>noun</i><br><ol><li>Athenian (inhabitant of Athens)</li></ol>
BNA	<i>name</i><br><ol><li>USA (a country in North America); initialism of Bandaríki Norður-Ameríku (“United States of America”)</li></ol>
Bahamaeyjar|Bahamaeyja|Bahamaeyjum	<i>name</i><br><ol><li>Bahamas (an archipelago and country in the Caribbean)</li></ol>
Bakkus|Bakkusar|Bakkusi	<i>name</i><br><ol><li>(Roman mythology) Bacchus</li></ol>
Baldur|Baldri|Baldurs	<i>name</i><br><ol><li>Baldur, one of the Norse gods, son of Odin and Frigg, known for his beauty and near-invulnerability.</li></ol>
Bandaríkin|Bandaríkjanna|Bandaríkjunum|Bandaríkja|Bandaríki|Bandaríkjum	<i>name</i><br><ol><li>the United States (a country in North America)</li></ol>
Bandaríkjamaður|Bandaríkjamenn|Bandaríkjamann|Bandaríkjamanninn|Bandaríkjamönnum|Bandaríkjamanninum|Bandaríkjamennina|Bandaríkjamönnunum|Bandaríkjamaðurinn|Bandaríkjamennirnir|Bandaríkjamannsins|Bandaríkjamanns|Bandaríkjamanna|Bandaríkjamanni|Bandaríkjamannanna	<i>noun</i><br><ol><li>American (person from the United States)</li></ol>
Bangladess	<i>name</i><br><ol><li>Bangladesh (a country in Asia)</li></ol>
Bangladessi|Bangladessar|Bangladessann|Bangladessanna|Bangladessans|Bangladessum|Bangladessana|Bangladessa|Bangladessunum|Bangladessanum|Bangladessarnir|Bangladessinn	<i>noun</i><br><ol><li>Bangladeshi (person from Bangladesh)</li></ol>
Barein	<i>name</i><br><ol><li>Bahrain (a country in the Middle East)</li></ol>
Bareini|Bareininn|Bareinarnir|Bareinum|Bareinans|Bareinunum|Bareinann|Bareinar|Bareinana|Bareinanum|Bareina|Bareinanna	<i>noun</i><br><ol><li>Bahraini (person from Bahrain)</li></ol>
Belgi|Belgans|Belgar|Belginn|Belgann|Belgunum|Belganna|Belganum|Belgana|Belga|Belgarnir|Belgum	<i>noun</i><br><ol><li>Belgian</li></ol>
Belgrad	<i>name</i><br><ol><li>Belgrade (the capital of Serbia)</li></ol>
Belgía|Belgíu	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Belís	<i>name</i><br><ol><li>Belize (a country in Central America)</li></ol>
Benín	<i>name</i><br><ol><li>Benin (a country in West Africa)</li></ol>
Berlín|Berlínar	<i>name</i><br><ol><li>Berlin (the capital and largest city of Germany)</li></ol>
Bern	<i>name</i><br><ol><li>Bern (the capital of Switzerland)</li></ol>
Betelgás|Betelgásar	<i>name</i><br><ol><li>Betelgeuse (star)</li></ol>
Björgvin|Björgvinjar	<i>name</i><br><ol><li>Bergen (a city in Norway)</li></ol>
Björnsdóttir|Björnsdætrunum|Björnsdætrum|Björnsdóttirin|Björnsdætra|Björnsdætur|Björnsdótturina|Björnsdótturinni|Björnsdæturnar|Björnsdóttur|Björnsdótturinnar|Björnsdætranna	<i>name</i><br><ol><li>A patronymic.</li></ol>
Bogga|Boggu	<i>name</i><br><ol><li>A diminutive of Borghildur.</li></ol>
Bogmaðurinn	<i>name</i><br><ol><li>Sagittarius (constellation)</li></ol>
Borgarnes	<i>name</i><br><ol><li>Borgarnes (a city in Vesturland, Iceland)</li></ol>
Borgundarhólmur|Borgundarhólmi|Borgundarhólms|Borgundarhólm	<i>name</i><br><ol><li>Bornholm</li></ol>
Borðey|Borðeyjar	<i>name</i><br><ol><li>Borðoy (an island in the Faroe Islands)</li></ol>
Bosnía|Bosníu	<i>name</i><br><ol><li>Bosnia</li></ol>
Bosníumaður|Bosníumann|Bosníumönnum|Bosníumenn|Bosníumanna|Bosníumennina|Bosníumanninn|Bosníumanninum|Bosníumaðurinn|Bosníumannanna|Bosníumönnunum|Bosníumanns|Bosníumennirnir|Bosníumannsins|Bosníumanni	<i>noun</i><br><ol><li>Bosnian (person from Bosnia)</li></ol>
Brasilía|Brasilíu	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Brasilíumaður|Brasilíumönnum|Brasilíumönnunum|Brasilíumann|Brasilíumaðurinn|Brasilíumennirnir|Brasilíumanninum|Brasilíumanna|Brasilíumanninn|Brasilíumenn|Brasilíumennina|Brasilíumannsins|Brasilíumannanna|Brasilíumanni|Brasilíumanns	<i>noun</i><br><ol><li>Brazilian (person from Brazil)</li></ol>
Bratislava	<i>name</i><br><ol><li>Bratislava (the capital of Slovakia)</li></ol>
Breiðalsvík|Breiðalsvíkur	<i>name</i><br><ol><li>A city in Austurland, Iceland.</li></ol>
Breti|Bretum|Breta|Bretans|Bretunum|Bretann|Bretanum|Bretar|Bretanna|Bretinn|Bretarnir|Bretana	<i>noun</i><br><ol><li>Briton</li></ol>
Bretland|Bretlands|Bretlandi	<i>name</i><br><ol><li>Britain</li></ol>
Bretlandseyjar|Bretlandseyjum|Bretlandseyja	<i>name</i><br><ol><li>the British Isles</li></ol>
Brussel	<i>name</i><br><ol><li>Brussels (the capital city of Belgium)</li></ol>
Brynjarsdóttir	<i>name</i><br><ol><li>A patronymic.</li></ol>
Brúnei	<i>name</i><br><ol><li>Brunei</li></ol>
Bæheimur|Bæheimi|Bæheim|Bæheims	<i>name</i><br><ol><li>Bohemia (Czech region)</li></ol>
Bæjaraland|Bæjaralands|Bæjaralandi	<i>name</i><br><ol><li>Bavaria</li></ol>
Bólivía|Bólivíu	<i>name</i><br><ol><li>Bolivia (a country in South America)</li></ol>
Búdapest	<i>name</i><br><ol><li>Budapest (the capital of Hungary)</li></ol>
Búkarest	<i>name</i><br><ol><li>Bucharest (the capital city of Romania)</li></ol>
Búkolla	<i>name</i><br><ol><li>Búkolla, a magical talking cow from an Icelandic folk tale</li></ol>
Búlgari|Búlgarar|Búlgaranna|Búlgara|Búlgörunum|Búlgararnir|Búlgarinn|Búlgörum|Búlgarana|Búlgarans|Búlgaranum|Búlgarann	<i>noun</i><br><ol><li>Bulgarian (person from Bulgaria)</li></ol>
Búlgaría|Búlgaríu	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Búrkína Fasó	<i>name</i><br><ol><li>Burkina Faso (a country in West Africa)</li></ol>
Búrma	<i>name</i><br><ol><li>Burma</li></ol>
Bútan	<i>name</i><br><ol><li>Bhutan</li></ol>
C-dúr|C-dúrs|C-dúrinn|C-dúrnum|C-dúrsins	<i>noun</i><br><ol><li>C major</li></ol>
D-dúr|D-dúrnum|D-dúrinn|D-dúrs|D-dúrsins	<i>noun</i><br><ol><li>D major</li></ol>
Dabbi|Dabba	<i>name</i><br><ol><li>A pet form of Davíð.</li></ol>
Dalmatía|Dalmatíu	<i>name</i><br><ol><li>Dalmatia</li></ol>
Dalvík|Dalvíkur	<i>name</i><br><ol><li>A city in Norðurland eystra, Iceland.</li></ol>
Dalvíkingur|Dalvíkingum|Dalvíkingi|Dalvíkingarnir|Dalvíkinginn|Dalvíkingurinn|Dalvíkingar|Dalvíkingnum|Dalvíkingunum|Dalvíkings|Dalvíking|Dalvíkinganna|Dalvíkinga|Dalvíkingana|Dalvíkingsins	<i>noun</i><br><ol><li>an inhabitant of Dalvík</li></ol>
Danalög|Danalögum|Danalaga	<i>name</i><br><ol><li>Danelaw</li></ol>
Dani|Dana|Danir	<i>noun</i><br><ol><li>Dane (person from Denmark or of Danish descent)</li></ol>
Danmörk|Danmerkur|Danmörku	<i>name</i><br><ol><li>Denmark</li></ol>
Djíbútí	<i>name</i><br><ol><li>Djibouti (Republic of Djibouti)</li></ol>
Drottinn|Drottins	<i>noun</i><br><ol><li>Lord (as in God)</li></ol>
Dyflinn|Dyflinnar|Dyflinni	<i>name</i><br><ol><li>Dublin (the capital city of Ireland)</li></ol>
Dína|Dínum|Dínan|Dínurnar|Dínunni|Dínur|Dínu|Dínunum|Dínanna|Dínunnar|Dínuna	<i>name</i><br><ol><li>(biblical) Dinah (daughter of Jacob)</li></ol>
Dísa|Dísanna|Dísunni|Dísurnar|Dísan|Dísum|Dísuna|Dísunum|Dísu|Dísunnar|Dísur	<i>name</i><br><ol><li>Pet form of Þórdís, Vigdís, and other names ending in -dís.</li></ol>
Dómarabókin|Dómarabókina|Dómarabók|Dómarabókar|Dómarabókarinnar|Dómarabókinni	<i>name</i><br><ol><li>Judges (book of the Bible)</li></ol>
Dóminíka|Dóminíku	<i>name</i><br><ol><li>Dominica (an island and country in the Caribbean)</li></ol>
Dóná|Dónárinnar|Dónáin|Dónána|Dónár|Dónánni	<i>name</i><br><ol><li>the river Danube</li></ol>
Edinborg|Edinborgar|Edinborginni|Edinborgin|Edinborgarinnar|Edinborgina	<i>name</i><br><ol><li>Edinburgh (the capital city of Scotland)</li></ol>
Egyptaland|Egyptalandi|Egyptalands	<i>name</i><br><ol><li>Egypt</li></ol>
Egypti|Egypta|Egyptinn|Egyptanna|Egyptanum|Egyptunum|Egyptann|Egyptana|Egyptar|Egyptarnir|Egyptum|Egyptans	<i>noun</i><br><ol><li>Egyptian (person from Egypt)</li></ol>
Eisti|Eistarnir|Eistanna|Eista|Eistum|Eistann|Eistana|Eistunum|Eistar|Eistans|Eistanum|Eistinn	<i>noun</i><br><ol><li>Estonian (person from Estonia)</li></ol>
Eistland|Eistlands|Eistlandi	<i>name</i><br><ol><li>Estonia</li></ol>
Eistlendingur|Eistlendinginn|Eistlendingnum|Eistlending|Eistlendingana|Eistlendingi|Eistlendingarnir|Eistlendingar|Eistlendinga|Eistlendingunum|Eistlendings|Eistlendingsins|Eistlendinganna|Eistlendingum|Eistlendingurinn	<i>noun</i><br><ol><li>Estonian (person from Estonia)</li></ol>
Ekvador	<i>name</i><br><ol><li>Ecuador (a country in South America)</li></ol>
Elli|Ellarnir|Ellinn|Ellum|Ellana|Ellunum|Ellar|Ellanna|Ellann|Ellanum|Elli|Ellans|Ella	<i>name</i><br><ol><li>(Norse mythology) The personification of old age as an old woman, who defeats Thor in a wrestling match.</li></ol>
Elía	<i>name</i><br><ol><li>Elijah (biblical figure)</li></ol>
England|Englandi|Englands	<i>name</i><br><ol><li>England</li></ol>
Englendingur|Englendingarnir|Englendinganna|Englendingana|Englendingnum|Englendingar|Englendinga|Englendinginn|Englendingunum|Englending|Englendingurinn|Englendings|Englendingsins|Englendingi|Englendingum	<i>noun</i><br><ol><li>A man or woman from England: an English person.</li></ol>
Erlingsson|Erlingssynir|Erlingssonum|Erlingssonanna|Erlingssynirnir|Erlingssonarins|Erlingssoninn|Erlingssynina|Erlingssyninum|Erlingssonunum|Erlingssyni|Erlingssona|Erlingssonar	<i>name</i><br><ol><li>A patronymic.</li></ol>
Ermarsund	<i>name</i><br><ol><li>the English Channel</li></ol>
Erítrea|Erítreu	<i>name</i><br><ol><li>Eritrea (a country in eastern Africa)</li></ol>
Esóp|Esóps	<i>name</i><br><ol><li>Aesop</li></ol>
Eva|Evu	<i>name</i><br><ol><li>Eve (biblical character).</li></ol>
Evklíð|Evklíðs	<i>name</i><br><ol><li>Euclid</li></ol>
Evrópa|Evrópu	<i>name</i><br><ol><li>Europe</li><li>Europa (moon of Jupiter)</li></ol>
Evrópusambandið	<i>name</i><br><ol><li>European Union</li></ol>
Eyjafjallajökull|Eyjafjallajökli|Eyjafjallajökul|Eyjafjallajökuls	<i>name</i><br><ol><li>Eyjafjallajökull (glacier and volcano in Iceland)</li></ol>
Eyjaálfa|Eyjaálfu	<i>name</i><br><ol><li>Oceania</li></ol>
Eyland|Eylands|Eylandi	<i>name</i><br><ol><li>Öland (Swedish island in the Baltic Sea)</li></ol>
Eyrarsund|Eyrarsund (n)	<i>name</i><br><ol><li>the Sound (strait that separates Zealand from Scania)</li></ol>
Eystrasalt	<i>noun</i><br><ol><li>the Baltic sea</li></ol>
Eystrasaltsland|Eystrasaltslöndunum|Eystrasaltslandið|Eystrasaltslöndin|Eystrasaltslandsins|Eystrasaltslöndum|Eystrasaltslandi|Eystrasaltslands|Eystrasaltslönd|Eystrasaltslanda|Eystrasaltslandanna|Eystrasaltslandinu	<i>noun</i><br><ol><li>a Baltic state (Estonia, Latvia, or Lithuania)</li></ol>
Eystrasaltslöndin	<i>noun</i><br><ol><li>the Baltic states (Estonia, Latvia, and Lithuania); definite plural of Eystrasaltsland</li></ol>
Eþíópía|Eþíópíu	<i>name</i><br><ol><li>Ethiopia (a country in eastern Africa)</li></ol>
Falstur|Falstri|Falsturs	<i>name</i><br><ol><li>Falster (Danish island)</li></ol>
Feneyjar	<i>name</i><br><ol><li>Venice (the capital city of Veneto, Italy)</li><li>Venice (a metropolitan city of Veneto, Italy)</li></ol>
Filippseyjar|Filippseyjum|Filippseyja	<i>name</i><br><ol><li>the Philippines</li></ol>
Finni|Finninn|Finnunum|Finnanum|Finnarnir|Finnans|Finna|Finnum|Finnana|Finnar|Finnann|Finnanna	<i>noun</i><br><ol><li>Finn (a person from Finland)</li></ol>
Finnland|Finnlands|Finnlandi	<i>name</i><br><ol><li>Finland</li></ol>
Fiskarnir	<i>name</i><br><ol><li>Pisces (constellation)</li></ol>
Fjón|Fjóns|Fjóni	<i>name</i><br><ol><li>Funen (Danish island)</li></ol>
Flensborg|Flensborgarinnar|Flensborgar|Flensborginni|Flensborgin|Flensborgina	<i>name</i><br><ol><li>Flensburg (an independent town in Schleswig-Holstein, Germany)</li></ol>
Flæmingjaland|Flæmingjalandi|Flæmingjalands	<i>name</i><br><ol><li>Flanders</li></ol>
Flórens	<i>name</i><br><ol><li>Florence (the capital city of Tuscany, Italy)</li><li>Florence (a metropolitan city of Tuscany, Italy)</li></ol>
Flórída	<i>name</i><br><ol><li>Florida</li></ol>
Folinn|Folans|Folann|Folanum|Fola|Foli	<i>name</i><br><ol><li>Equuleus (constellation)</li></ol>
Frakki|Frökkunum|Frakkinn|Frakkans|Frakkanna|Frakkar|Frakkana|Frökkum|Frakkann|Frakka|Frakkanum|Frakkarnir	<i>noun</i><br><ol><li>a person from France; Frenchman</li></ol>
Frakkland|Frakklands|Frakklandi	<i>name</i><br><ol><li>France (a country in western Europe)</li></ol>
Fransmaður|Fransmönnum|Fransmannsins|Fransmönnunum|Fransmennirnir|Fransmannanna|Fransmanns|Fransmann|Fransmennina|Fransmenn|Fransmanninn|Fransmanni|Fransmanna|Fransmaðurinn|Fransmanninum	<i>noun</i><br><ol><li>(informal, old-fashioned, today mildly humorous or mildly derogatory) a person from France; Frenchman</li></ol>
Frelsisstyttan|Frelsisstyttunnar	<i>name</i><br><ol><li>the Statue of Liberty (a very large statue in New York harbor considered emblematic of the United States and its attractiveness to voluntary immigrants)</li></ol>
Freyja|Freyjur|Freyjunni|Freyjurnar|Freyjunnar|Freyjanna|Freyjum|Freyjuna|Freyjan|Freyju|Freyjunum	<i>name</i><br><ol><li>(Norse mythology) Freyja or Freya, a goddess associated with sex, death, and magic</li></ol>
Freyr|Freys|Frey	<i>name</i><br><ol><li>(Norse mythology) Freyr, a god associated with kingship and virility</li></ol>
Frigg|Friggjar	<i>name</i><br><ol><li>Frigg</li></ol>
Frísland|Fríslands|Fríslandi	<i>name</i><br><ol><li>Frisia</li></ol>
Frón|Frónið|Fróni|Fróns|Frónsins|Fróninu	<i>name</i><br><ol><li>(poetic) Iceland</li></ol>
Fugley|Fugleyjar	<i>name</i><br><ol><li>Fugloy (an island in the Faroe Islands)</li></ol>
Fulltrúadeild|Fulltrúadeildir|Fulltrúadeildin|Fulltrúadeildar|Fulltrúadeildina|Fulltrúadeildunum|Fulltrúadeildanna|Fulltrúadeildinni|Fulltrúadeildum|Fulltrúadeilda|Fulltrúadeildarinnar|Fulltrúadeildirnar	<i>name</i><br><ol><li>House of Representatives</li></ol>
Færeyingur|Færeyingnum|Færeyings|Færeying|Færeyingarnir|Færeyinganna|Færeyingunum|Færeyingana|Færeyinga|Færeyingum|Færeyingsins|Færeyingar|Færeyinginn|Færeyingi	<i>noun</i><br><ol><li>Faroe Islander, Faroese (person from the Faroe Islands)</li></ol>
Færeyjar	<i>name</i><br><ol><li>the Faroe Islands</li></ol>
Fésbók|Fésbókina|Fésbókar|Fésbókarinnar|Fésbókinni|Fésbókin	<i>name</i><br><ol><li>(humorous, neologism) Facebook (social networking site)</li></ol>
Fílabeinsströndin	<i>name</i><br><ol><li>Ivory Coast, Côte d'Ivoire (a country in West Africa)</li></ol>
Fíladelfía|Fíladelfíu	<i>name</i><br><ol><li>Philadelphia (a large city in Pennsylvania, United States)</li></ol>
Fönikía|Fönikíu	<i>name</i><br><ol><li>Phoenicia</li></ol>
G-dúr|G-dúrnum|G-dúrinn|G-dúrsins|G-dúrs	<i>noun</i><br><ol><li>G major</li></ol>
GMT	<i>phrase</i><br><ol><li>(slang) Initialism of "gera mig til" ("making myself ready"), referring to putting on clothes and makeup to make oneself presentable, usually for a night out.</li></ol>
GSM-sími|GSM-símanna|GSM-símunum|GSM-símana|GSM-símar|GSM-símum|GSM-síma|GSM-símans|GSM-símanum|GSM-símann|GSM-símarnir|GSM-síminn	<i>noun</i><br><ol><li>mobile phone</li></ol>
Gabríela|Gabríelu	<i>name</i><br><ol><li>A mare given name</li></ol>
Galílea|Galíleu	<i>name</i><br><ol><li>Galilee</li></ol>
Gana	<i>name</i><br><ol><li>Ghana (a country in West Africa)</li></ol>
Ganamaður|Ganamönnunum|Ganamennina|Ganamann|Ganamennirnir|Ganamaðurinn|Ganamanns|Ganamannanna|Ganamanna|Ganamannsins|Ganamanninn|Ganamenn|Ganamanni|Ganamönnum|Ganamanninum	<i>noun</i><br><ol><li>Ghanaian (person from Ghana)</li></ol>
Ganýmedes	<i>name</i><br><ol><li>Ganymede (moon of Jupiter)</li></ol>
Gaupan|Gaupunnar	<i>noun</i><br><ol><li>(astronomy) the faint constellation Lynx</li></ol>
Gautaborg|Gautaborgar	<i>name</i><br><ol><li>Gothenburg (a city in Sweden)</li></ol>
Gautelfur|Gautelfarinnar|Gautelfinni|Gautelfina|Gautelfar|Gautelfurin|Gautelfi	<i>name</i><br><ol><li>Göta älv (river in western Sweden)</li></ol>
