'di ba|diba|dibá	<i>phrase</i><br><ol><li>Contraction of hindi ba: isn't it; isn't that</li></ol>
Aklan|Aklán	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Aklan (a province of the Philippines)</li><li>Aklan River (a river in northern Panay island).</li></ol>
Ala|Alá|ᜀᜎ	<i>name</i><br><ol><li>(Islam) Allah</li></ol>
Alabama	<i>name</i><br><ol><li>Alabama (a state of the United States)</li></ol>
Alabat|Alabát	<i>name</i><br><ol><li>Alabat (an island in eastern Quezon, Philippines, divided between the municipalities of Alabat, Perez and Quezon)</li><li>Alabat (a municipality of Quezon, Philippines, occupying the middle of Alabat island)</li></ol>
Alaminos	<i>name</i><br><ol><li>Alaminos (a city in Pangasinan, Philippines).</li><li>Alaminos (a municipality of Laguna, Philippines).</li></ol>
Alaska	<i>name</i><br><ol><li>Alaska (a state of the United States)</li></ol>
Albanya	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Albay|Albáy	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Albay (a province of the Philippines)</li></ol>
Alcala	<i>name</i><br><ol><li>A municipality of Cagayan, Philippines.</li></ol>
Alcantara	<i>name</i><br><ol><li>A municipality of Cebu, Philippines.</li></ol>
Aleman|Alemán|Alemana	<i>noun</i><br><ol><li>German (inhabitant of Germany or person from German descent)</li></ol><br><i>name</i><br><ol><li>German (language)</li></ol>
Alemanya	<i>name</i><br><ol><li>Germany</li></ol>
Aliaga	<i>name</i><br><ol><li>A municipality of Nueva Ecija, Philippines.</li></ol>
Alimango	<i>noun</i><br><ol><li>(astronomy) Cancer (constellation)</li><li>(astrology) Cancer (zodiac)</li></ol>
Aling	<i>noun</i><br><ol><li>(colloquial) honorific used before the name of a woman, one is not familiar with: Miss</li></ol>
Ama Namin|ama namin|Amá Namin|ᜀᜋ ᜈᜋᜒᜈ᜔	<i>name</i><br><ol><li>(Christianity) Lord's Prayer</li></ol>
Amansinaya|Amansinayà	<i>name</i><br><ol><li>(mythology) ancient pagan god of fishermen</li></ol>
Amerika|Amériká	<i>name</i><br><ol><li>America, United States of America (a country in North America)</li><li>America (the continents of North America and South America)</li></ol>
Amerikano|Amerikana	<i>noun</i><br><ol><li>American (native of the United States)</li><li>(archaic) American (native of the Americas)</li></ol><br><i>adj</i><br><ol><li>American (pertaining to the United States)</li><li>(archaic) American (pertaining to the Americas)</li></ol>
Amos|Amós	<i>name</i><br><ol><li>(religion) Amos</li></ol>
Amun Jadid|Amun Jadíd|Amún Jadíd|ᜀᜋᜓᜈ᜔ ᜇ᜔ᜌᜇᜒᜇ᜔	<i>name</i><br><ol><li>(Islam) Islamic New Year; Al Hijrah, a holiday in Mindanao</li></ol>
Andora	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Andres	<i>name</i><br><ol><li>(Bibilical) Andrew</li></ol>
Angat	<i>name</i><br><ol><li>Angat (a municipality of Bulacan, Philippines)</li></ol>
Angeles|Ángeles	<i>name</i><br><ol><li>Angeles (the largest city in Pampanga, Philippines)</li></ol>
Angono	<i>name</i><br><ol><li>Angono (a municipality of Rizal, Philippines).</li></ol>
Anilao	<i>name</i><br><ol><li>A barangay of Mabini, Batangas, Philippines.</li><li>(metonymically) Mabini (a municipality of Batangas, Philippines, especially the areas containing beach resorts)</li></ol>
Antigua at Barbuda	<i>name</i><br><ol><li>Antigua and Barbuda (a country in the Caribbean)</li></ol>
Antipolo	<i>name</i><br><ol><li>Antipolo (the capital city of Rizal, Philippines)</li></ol>
Antique	<i>name</i><br><ol><li>Antique (a province of the Philippines; capital: San Jose de Buenavista)</li></ol>
Apayao|Apayáo	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Apayao (a province of the Philippines)</li><li>(historical) Apayao (subprovince of Mountain Province)</li></ol>
Apganistan|Apganistán	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Apokripos|Apókripós	<i>noun</i><br><ol><li>Apocrypha (writings recognized by some Christians)</li></ol>
Apolo	<i>name</i><br><ol><li>(Greek mythology, Roman mythology) Apollo (the son of Zeus)</li></ol>
Aprika|apdika|ᜀᜉ᜔ᜇᜒᜃ|Áprika	<i>name</i><br><ol><li>Africa</li></ol>
Aprikano|Aprikana	<i>noun</i><br><ol><li>African (native of Africa)</li></ol><br><i>adj</i><br><ol><li>African (pertaining to Africa)</li></ol>
Aquiles	<i>name</i><br><ol><li>Achilles</li></ol>
Arabe|arabé	<i>noun</i><br><ol><li>Arab (person of Arab descent)</li><li>Arabic (language)</li></ol><br><i>adj</i><br><ol><li>Arab (of or pertaining to Arabs and their nations)</li></ol>
Arabia	<i>name</i><br><ol><li>Arabia (peninsula)</li></ol>
Arabo	<i>noun</i><br><ol><li>Arab (person of Arab descent)</li><li>Arabic (language)</li><li>(colloquial, loosely) Middle Eastern person (or resembling one)</li></ol><br><i>adj</i><br><ol><li>Arab (of or pertaining to Arabs and their nations)</li><li>(colloquial, loosely) with Middle Eastern features (of a person)</li></ol>
Arabya	<i>name</i><br><ol><li>Arabia</li></ol>
Aragon|Aragón	<i>name</i><br><ol><li>Aragon (an autonomous community of Spain)</li></ol>
Araw ng Kagitingan	<i>noun</i><br><ol><li>Bataan Day (a national holiday in the Philippines on April 9th, equivalent to Veterans Day in the United States and Remembrance Day in many Commonwealth countries)</li></ol>
Araw ng Kalayaan	<i>name</i><br><ol><li>Independence Day (a national holiday in the Philippines on June 12th)</li></ol>
Araw ng Kasarinlan|Araw ng Kasarinlán	<i>name</i><br><ol><li>Independence Day (holiday in the Philippines, held at June 12)</li></ol>
Araw ng Paghuhukom|Araw ng Paghuhukóm	<i>noun</i><br><ol><li>Judgment Day</li></ol>
Araw ng mga Bayani	<i>noun</i><br><ol><li>National Heroes' Day (a national holiday in the Philippines on the last Monday of August)</li></ol>
Araw ng mga Manggagawa|Araw ng mga Manggagawà	<i>noun</i><br><ol><li>Labor Day (on May 1st)</li></ol>
Araw ng mga Patay|Araw ng mga Patáy	<i>name</i><br><ol><li>(Christianity) All Saints' Day</li></ol>
Araw ng mga Puso|Araw ng mga Pusò	<i>name</i><br><ol><li>Valentine's Day</li></ol>
Araw ni Bonifacio	<i>noun</i><br><ol><li>Bonifacio Day (a national holiday in the Philippines celebrating the birth of Andrés Bonifacio)</li></ol>
Araw ni Rizal|Araw ni Rizál	<i>noun</i><br><ol><li>Rizal Day (a national holiday in the Philippines celebrating the heroism of José Rizal)</li></ol>
Arhentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Aristoteles|Aristótelés	<i>name</i><br><ol><li>Aristotle</li></ol>
Armenya	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Arnaiz	<i>name</i><br><ol><li>A street in Pasay, Philippines.</li></ol>
Aserbayan|Aserbayán	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Asuncion	<i>name</i><br><ol><li>A municipality of Davao Del Norte, Philippines.</li></ol>
Asya|ᜀᜐ᜔ᜌ|asya	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Asyano	<i>noun</i><br><ol><li>Asian (person)</li></ol><br><i>adj</i><br><ol><li>Asian (pertaining to Asia)</li></ol>
Ate	<i>noun</i><br><ol><li>(colloquial) honorific used before the name of an elder sister or young female senior: Sister; Miss</li></ol>
Atenas	<i>name</i><br><ol><li>Athens (the capital city of Greece)</li></ol>
Atlantiko|Atlántikó	<i>noun</i><br><ol><li>Atlantic</li></ol>
Atsi	<i>noun</i><br><ol><li>(Chinese Filipino, colloquial) honorific used before the name of an eldest sister or elder sister or young female senior: Sister; Miss</li></ol>
Aurora	<i>name</i><br><ol><li>Aurora (a province of the Philippines; capital: Baler)</li><li>Aurora (a municipality of Isabela)</li><li>Aurora (a municipality of Zamboanga del Sur)</li></ol>
Awit ng mga Awit|ᜀᜏᜒᜆ᜔ ᜈᜅ᜔ ᜋᜅ ᜀᜏᜒᜆ᜔|awit nang manga awit	<i>name</i><br><ol><li>Song of Songs</li></ol>
Awit ni Solomon|Awit ni Solomón	<i>name</i><br><ol><li>Song of Solomon; Song of Songs (book of the Bible)</li></ol>
Awstralya|Australya	<i>name</i><br><ol><li>Australia (a country in Oceania)</li></ol>
Awstriya|Austriya|Áustria|Áwstriya	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
BI	<i>noun</i><br><ol><li>(slang) bad influence (Referring to something or someone that teaches others to do wrong or encourages wrong actions and thoughts by example.)</li></ol>
BMP	<i>name</i><br><ol><li>Initialism of Bukluran ng Manggagawang Pilipino.</li></ol>
BRP	<i>noun</i><br><ol><li>(nautical, military) Initialism of Barko ng Republika ng Pilipinas (ship prefix for the Philippine Navy)</li></ol>
BSP	<i>name</i><br><ol><li>Initialism of Bangko Sentral ng Pilipinas.</li></ol>
Bacarra|Bacarrá	<i>name</i><br><ol><li>Bacarra (a municipality of Ilocos Norte, Philippines)</li></ol>
Baclaran	<i>name</i><br><ol><li>A barangay of Parañaque, Philippines</li><li>A barangay of Cabuyao, Laguna, Philippines</li></ol>
Bacoor|Bacoór	<i>name</i><br><ol><li>Bacoor (a city in Cavite, Philippines).</li></ol>
Bagong Daigdig|Bagong Daigdíg	<i>name</i><br><ol><li>New World</li></ol>
Bagong Taon|Bagong Taón	<i>name</i><br><ol><li>New Year; New Year's Day</li></ol>
Bagong Tipan|Bagong Tipán	<i>noun</i><br><ol><li>(Christianity) New Testament</li></ol>
Baguio	<i>name</i><br><ol><li>Baguio (an independent city in Benguet, Philippines)</li></ol>
Bahasa	<i>noun</i><br><ol><li>(colloquial) Malay-Indonesian language</li></ol>
Bahay Toro|Báhay Tóro	<i>name</i><br><ol><li>A barangay of Quezon City.</li></ol>
Bailen|Bailén	<i>name</i><br><ol><li>Bailen (a municipality of Cavite; modern General Emilio Aguinaldo)</li></ol>
Balagtas|Balagtás	<i>name</i><br><ol><li>Francisco Balagtas, Filipino poet (1788-1862)</li><li>Balagtas (a municipality of Bulacan, Philippines)</li><li>Balagtas (a barangay of Batangas City, Batangas, Philippines)</li></ol>
Balatik|ᜊᜎᜆᜒᜃ᜔	<i>noun</i><br><ol><li>(astronomy) Orion (particularly around the region of the Orion's belt that looks like a balatik)</li><li>(astronomy) Sagittarius</li></ol>
Balete	<i>name</i><br><ol><li>Balete (a municipality of Batangas, Philippines, on the eastern coast of Taal Lake)</li></ol>
Balingit	<i>name</i><br><ol><li>Balingit (later Pedro Balinguit), Rajah of Pandakan, and participator on the Conspiracy of the Maharlikas</li></ol>
Baliuag|Baliwag	<i>name</i><br><ol><li>Baliuag (a municipality of Bulacan, Philippines)</li></ol>
Ballesteros	<i>name</i><br><ol><li>Ballesteros (a municipality of Cagayan, Philippines).</li></ol>
Baltazar	<i>name</i><br><ol><li>Balthazar (one of the possible names of the Magi)</li></ol>
Banal na Mag-anak|Banál na Mag-anak	<i>noun</i><br><ol><li>(Christianity) holy family (Jesus Christ, the Virgin Mary, and Joseph)</li></ol>
Banal na Pamilya|Banál na Pamilya	<i>noun</i><br><ol><li>(Christianity) holy family (Jesus Christ, the Virgin Mary, and Joseph)</li></ol>
Bangkal	<i>name</i><br><ol><li>A barangay of Makati.</li></ol>
Bangkok|Bangkók	<i>name</i><br><ol><li>Bangkok (the capital city of Thailand)</li></ol>
Barbie	<i>noun</i><br><ol><li>(slang) homosexual man, effeminate</li></ol>
Barcelona	<i>name</i><br><ol><li>Barcelona (the capital city of Catalonia, Spain)</li><li>Barcelona (a province of Catalonia, Spain)</li><li>Barcelona (a municipality of the province of Sorsogon, Philippines)</li></ol>
Bartolome|Bartolomé	<i>name</i><br><ol><li>(biblical) Bartholomew</li></ol>
Basco	<i>name</i><br><ol><li>Basco (a municipality, the provincial capital of Batanes, Philippines)</li></ol>
Basilan	<i>name</i><br><ol><li>Basilan (an island in southern Philippines)</li><li>Basilan (a province of Autonomous Region of Muslim Mindanao, Philippines)</li></ol>
Bataan|Bataán	<i>name</i><br><ol><li>Bataan (a province of the Philippines; capital and largest city: Balanga)</li></ol>
Batac|Batác	<i>name</i><br><ol><li>Batac (a city in Ilocos Norte, Philippines).</li></ol>
Batanes	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Batanes (a province of the Philippines)</li></ol>
Batangas	<i>name</i><br><ol><li>Batangas (a province of the Philippines)</li><li>Batangas (a city, the provincial capital of Batangas, Philippines; a former municipality)</li></ol>
Batangueño|Batangueña|Batangenyo	<i>adj</i><br><ol><li>Batangueño (pertaining to Batangas)</li></ol><br><i>noun</i><br><ol><li>Batangueño (person)</li><li>Batangas Tagalog (Tagalog dialect spoken in Batangas)</li></ol>
Bataraza	<i>name</i><br><ol><li>A municipality of Palawan</li></ol>
Batasang Pambansa|Batasang Pambansâ	<i>name</i><br><ol><li>(historical) the unicameral legislature of the Philippines from 1978 to 1986, as an interim body between 1978 and 1984, and as an official body from 1984 to 1986</li></ol>
Bathala|Bathalà	<i>noun</i><br><ol><li>(poetic) God</li><li>(historical, folklore) supreme deity of the Tagalog people</li></ol>
Batikano|Vaticano	<i>adj</i><br><ol><li>Vatican</li></ol><br><i>name</i><br><ol><li>Vatican; Vatican City</li></ol>
Batino	<i>name</i><br><ol><li>A barangay of Calamba, Laguna.</li></ol>
Bayagra	<i>name</i><br><ol><li>(informal) Viagra</li></ol>
Baybayin|baybayin|ᜊᜌ᜔ᜊᜌᜒᜈ᜔	<i>noun</i><br><ol><li>Baybayin (Philippine script)</li></ol>
Belarus|Belarús	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Belhika|Bélhika	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Belhiko|Bélhikó|Belhika|Bélhika	<i>adj</i><br><ol><li>Belgian</li></ol><br><i>noun</i><br><ol><li>Belgian (native of Belgium)</li></ol>
Beneswela	<i>name</i><br><ol><li>Venezuela (a country in South America)</li></ol>
Benguet|Benguét	<i>name</i><br><ol><li>Benguet (a province of the Philippines)</li><li>(historical) Benguet (subprovince of Mountain Province)</li></ol>
Benin|Benín	<i>name</i><br><ol><li>Benin (a country in West Africa)</li></ol>
Benus	<i>name</i><br><ol><li>(astronomy) Venus (planet)</li><li>(Greek mythology) Venus</li></ol>
Bernabe|Bernabé	<i>name</i><br><ol><li>(biblical) Barnabas</li></ol>
Bibliya|ᜊᜒᜊ᜔ᜎᜒᜌ|Bíbliyá	<i>name</i><br><ol><li>(Christianity) Bible</li></ol>
Bikol	<i>noun</i><br><ol><li>Bicolano (language)</li><li>Bicol Region</li></ol>
Bikolano|Bikolana	<i>noun</i><br><ol><li>Bicolano (person)</li><li>Bicolano (language)</li></ol><br><i>adj</i><br><ol><li>Bicolano (pertaining to Bicol)</li></ol>
Biliran	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Biliran (a province of the Philippines)</li></ol>
Binibini|Bb.	<i>noun</i><br><ol><li>(formal) honorific used before the name of an unmarried woman: Miss; Ms.</li></ol>
Binondo	<i>name</i><br><ol><li>Binondo (a district of Manila, Philippines)</li></ol>
Bisaya|Bisayà|ᜊᜒᜐᜌ	<i>noun</i><br><ol><li>Visayan (person from the Visayan region)</li><li>Visayan (dialect continuum)</li><li>Cebuano (speaker of Cebuano)</li><li>(specifically) Cebuano language</li></ol><br><i>adj</i><br><ol><li>Visayan (pertaining to Visayas)</li></ol>
Bisperas ng Bagong Taon|Bísperás ng Bagong Taón	<i>name</i><br><ol><li>New Year's Eve</li></ol>
Bisperas ng Pasko|Bísperás ng Paskó	<i>name</i><br><ol><li>Christmas Eve</li></ol>
Biyernes|ᜊᜒᜌᜒᜇ᜔ᜈᜒᜐ᜔|biyidnis	<i>noun</i><br><ol><li>Friday</li></ol>
Biyernes Santo	<i>noun</i><br><ol><li>(Christianity) Good Friday</li></ol>
Biyetnam|Biyetnám	<i>name</i><br><ol><li>Vietnam</li></ol>
Biñan|Biñán	<i>name</i><br><ol><li>Biñan (a city in Laguna, Philippines)</li></ol>
Boac	<i>noun</i><br><ol><li>Boac (the capital of Marinduque)</li></ol>
Bocaue	<i>name</i><br><ol><li>Bocaue (a municipality of Bulacan, Philippines)</li></ol>
Bogota|Bogotá	<i>name</i><br><ol><li>Bogota (the capital city of Colombia)</li></ol>
Bohol|Bohól	<i>name</i><br><ol><li>Bohol (a province of the Philippines; capital and largest city: Tagbilaran)</li></ol>
Bolivar	<i>name</i><br><ol><li>A province of la Libertad, Peru</li></ol>
Bombay|Bombáy	<i>noun</i><br><ol><li>(colloquial, sometimes offensive) Indian (a person of Indian ancestry, or resembling one)</li></ol><br><i>adj</i><br><ol><li>Indian (of or pertaining to India)</li><li>(colloquial, loosely) with South Asian features (of a person)</li></ol><br><i>name</i><br><ol><li>Bombay (the capital of Maharashtra, India)</li></ol>
Bonbon	<i>name</i><br><ol><li>(historical) Taal Lake</li><li>(historical) A province of the Philippines; modern Batangas</li></ol>
Bongabong	<i>name</i><br><ol><li>A municipality of Oriental Mindoro.</li></ol>
Bonifacio	<i>name</i><br><ol><li>Andrés Bonifacio (1863–1897, Filipino revolutionary and politician)</li></ol>
Bosniya|Bósniyá|Bosnya	<i>name</i><br><ol><li>Bosnia</li></ol>
Bosniya at Ersegobina	<i>name</i><br><ol><li>Bosnia and Herzegovina (a country in Europe)</li></ol>
Botswana	<i>name</i><br><ol><li>Botswana (a country in Africa)</li></ol>
Brasil|Brasíl	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Breslavia	<i>name</i><br><ol><li>Wroclaw (a city in Poland)</li></ol>
Bretanya	<i>name</i><br><ol><li>Brittany (a region in northwestern France)</li></ol>
Britanya|Bretanya	<i>name</i><br><ol><li>Great Britain (island)</li><li>United Kingdom</li><li>(loosely) British Isles</li><li>(historical) British Empire</li></ol>
Bruselas	<i>name</i><br><ol><li>Brussels (a city in Belgium)</li></ol>
Buan	<i>name</i><br><ol><li>a Central Luzon Tagalog surname from Tagalog</li></ol>
Buda	<i>name</i><br><ol><li>Buddha</li></ol>
Budismo	<i>noun</i><br><ol><li>Buddhism</li></ol>
Budista	<i>noun</i><br><ol><li>Buddhist</li></ol>
Bugallon|Bugallón	<i>name</i><br><ol><li>Bugallon (a municipality of Pangasinan, Philippines)</li></ol>
Bukidnon|Bukidnón	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Bukidnon (a province of the Philippines)</li><li>(historical) Bukidnon (a subprovince of Agusan)</li></ol>
Bulacan|Bulacán	<i>name</i><br><ol><li>Bulacan (a province of the Philippines)</li></ol>
Bulakan|Bulakán	<i>name</i><br><ol><li>Bulacan (a municipality of Bulacan, Philippines)</li><li>(proscribed, see usage notes) Alternative form of Bulacan</li></ol>
Bulakenyo|Bulakenya	<i>adj</i><br><ol><li>Bulaqueño (pertaining to Bulacan)</li></ol><br><i>noun</i><br><ol><li>Bulaqueño (native of Bulacan)</li></ol>
Bulalacao	<i>name</i><br><ol><li>A municipality of Oriental Mindoro.</li></ol>
Bulgaro|Bulgara|Bulgaró	<i>noun</i><br><ol><li>Bulgarian (native of Bulgaria)</li></ol>
Bulgarya	<i>name</i><br><ol><li>Bulgaria (a country in Eastern Europe)</li></ol>
Burgos	<i>name</i><br><ol><li>Burgos (a municipality of Ilocos Norte, Philippines)</li><li>Burgos (a municipality of La Union, Philippines)</li><li>Burgos (a municipality of Isabela, Philippines)</li><li>Burgos (a city in Castile and León, Spain)</li></ol>
Burias	<i>name</i><br><ol><li>Burias (an island in Masbate, Philippines)</li></ol>
Burma	<i>name</i><br><ol><li>Burma (a country in Asia)</li></ol>
Burundi	<i>name</i><br><ol><li>Burundi (a country in Africa)</li></ol>
COVID-19	<i>noun</i><br><ol><li>COVID-19</li></ol>
CPP	<i>name</i><br><ol><li>Initialism of Communist Party of the Philippines.</li></ol>
Cabanatuan|Cabanatuán	<i>name</i><br><ol><li>Cabanatuan (the largest city, the former provincial capital of Nueva Ecija, Philippines)</li></ol>
Cabatuan	<i>name</i><br><ol><li>A municipality in west-central Isabela, Philippines.</li></ol>
Cabiao	<i>name</i><br><ol><li>Cabiao (a municipality of Nueva Ecija, Philippines)</li></ol>
Cabuyao	<i>name</i><br><ol><li>Cabuyao (a city in Laguna, Philippines)</li></ol>
Cagayan|Cagayán	<i>name</i><br><ol><li>Cagayan (a province of the Philippines)</li><li>Cagayan (a river in Cagayan Valley, Philippines)</li><li>Cagayan (a river in Northern Mindanao, Philippines)</li></ol>
Cagayan de Oro|Cagayán de Oro	<i>name</i><br><ol><li>Cagayan de Oro (a city in Misamis Oriental, Philippines)</li></ol>
Cainta|Caintâ	<i>name</i><br><ol><li>Cainta (a municipality of Rizal, Philippines)</li></ol>
Calamba|Calambá|Calambâ	<i>name</i><br><ol><li>Calamba (the largest city in Laguna, Philippines)</li><li>Calamba (a municipality of Misamis Occidental, Philippines)</li></ol>
Calasiao	<i>name</i><br><ol><li>Calasiao (a municipality of Pangasinan, Philippines)</li></ol>
Calauag	<i>name</i><br><ol><li>Calauag (a municipality of Quezon, Philippines)</li></ol>
Calauan	<i>name</i><br><ol><li>Calauan (a municipality of Laguna, Philippines)</li></ol>
Calayan	<i>name</i><br><ol><li>An island off the northern coast of Cagayan, Philippines.</li></ol>
Callao	<i>name</i><br><ol><li>Ellipsis of Yungib ng Callao.; A cave in Luzon, Philippines</li></ol>
Caloocan|Kalookan	<i>name</i><br><ol><li>Caloocan (a city in Metro Manila, Philippines)</li></ol>
Calumpang|Calumpáng	<i>name</i><br><ol><li>Calumpang (a river in Batangas, Philippines)</li><li>A barangay of Marikina, Philippines</li></ol>
Caluya	<i>name</i><br><ol><li>A municipality of Antique</li></ol>
Camarines	<i>name</i><br><ol><li>Camarines (a former province of the Philippines, composed of modern-day Camarines Norte and Camarines Sur)</li></ol>
Camarines Norte	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Camarines Norte (a province of the Philippines)</li></ol>
Camarines Sur	<i>name</i><br><ol><li>Camarines Sur (a province of the Philippines; capital: Pili; largest city: Naga)</li></ol>
Camiguin|Camiguín	<i>name</i><br><ol><li>Camiguin (a province of the Philippines)</li><li>Camiguin (an island in the Philippines)</li></ol>
Candelaria	<i>name</i><br><ol><li>Candelaria (a municipality of Quezon, Philippines)</li><li>Candelaria (a municipality of Zambales, Philippines)</li></ol>
Caniogan	<i>name</i><br><ol><li>A barangay of Pasig, Philippines</li></ol>
Capiz	<i>name</i><br><ol><li>Capiz (a province of the Philippines, on northern Panay island; capital and largest city: Roxas)</li><li>Capiz (a historical province of the Philippines; modern Capiz and Aklan; capital: Capiz)</li><li>Capiz (a historical municipality, the provincial capital of Capiz, Philippines; modern Roxas)</li></ol>
Capulong	<i>name</i><br><ol><li>Kapulong (later baptized as Dionisio Capolo), Rajah of Candaba, and participant on the Conspiracy of the Maharlikas</li></ol>
Cardona	<i>name</i><br><ol><li>Cardona (a municipality of Rizal, Philippines)</li></ol>
Carmona	<i>name</i><br><ol><li>Carmona (a municipality of Cavite, Philippines)</li></ol>
Casiguran	<i>name</i><br><ol><li>A municipality of Aurora, Philippines.</li><li>A municipality of Sorsogon, Philippines.</li></ol>
Catacutan	<i>name</i><br><ol><li>a native surname</li></ol>
Catanauan	<i>name</i><br><ol><li>Catanauan (a municipality of Quezon, Philippines)</li></ol>
Catanduanes	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Catanduanes (a province of the Philippines)</li></ol>
Cavite	<i>name</i><br><ol><li>Cavite (a province of the Philippines)</li><li>Cavite (a city in Cavite, Philippines)</li></ol>
Cavite el Viejo	<i>name</i><br><ol><li>Cavite el Viejo (a municipality of Cavite, Philippines; modern Kawit)</li></ol>
Cayco	<i>name</i><br><ol><li>a Filipino-Chinese surname from Min Nan</li></ol>
Cebu|Cebú	<i>name</i><br><ol><li>Cebu (the provincial capital of Cebu, Philippines)</li><li>Cebu (a province of the Philippines)</li><li>Cebu (an island in the Philippines)</li></ol>
Chedeng|Chedéng	<i>noun</i><br><ol><li>(informal) Mercedes-Benz car</li></ol>
