Kroasya	<i>name</i><br><ol><li>Croatia</li></ol>
anyaw|anyáw	<i>noun</i><br><ol><li>neighbor</li></ol>
apadong|apadóng	<i>noun</i><br><ol><li>hard fist blow</li></ol>
apal	<i>noun</i><br><ol><li>old maid</li></ol>
apan|apán	<i>noun</i><br><ol><li>grasshopper</li></ol>
apdo|apdó	<i>noun</i><br><ol><li>gall; bile</li><li>(anatomy) gall bladder</li></ol>
aping	<i>noun</i><br><ol><li>(anatomy) cheek</li></ol>
apo|apó	<i>noun</i><br><ol><li>grandchild</li></ol>
apog	<i>noun</i><br><ol><li>lime</li></ol>
apot|apót	<i>adj</i><br><ol><li>pressed for time; short of time allowance</li></ol>
apoy|apóy	<i>noun</i><br><ol><li>grandparent</li></ol>
aragway|aragwáy	<i>noun</i><br><ol><li>scuffle; quarrel; trouble</li></ol>
aranyaw|aranyáw	<i>noun</i><br><ol><li>neighbor</li></ol>
aringit|aringít	<i>adj</i><br><ol><li>angry; in a bad mood or temper</li></ol>
arom	<i>noun</i><br><ol><li>(anatomy) mole</li></ol>
arsobispo	<i>noun</i><br><ol><li>(Christianity) archbishop</li></ol>
asawa	<i>noun</i><br><ol><li>spouse; husband; wife</li></ol>
asin|asín	<i>noun</i><br><ol><li>salt</li></ol>
aso|asó	<i>noun</i><br><ol><li>smoke</li></ol>
asukar	<i>noun</i><br><ol><li>sugar</li></ol>
atay|atáy	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
atipunga	<i>noun</i><br><ol><li>(medicine) athlete's foot</li></ol>
atuli|atulí	<i>noun</i><br><ol><li>earwax</li></ol>
away	<i>noun</i><br><ol><li>fight; quarrel; altercation; trouble</li></ol>
ayam	<i>noun</i><br><ol><li>dog</li></ol>
babaye	<i>noun</i><br><ol><li>woman</li></ol>
baboy	<i>noun</i><br><ol><li>pig; hog; swine</li></ol>
bado|badò	<i>noun</i><br><ol><li>clothes; shirt; coat</li></ol>
baduya|baduyà	<i>noun</i><br><ol><li>banana fritter</li></ol>
bagol|bagól	<i>noun</i><br><ol><li>coconut shell</li></ol>
bagting|bagtíng	<i>noun</i><br><ol><li>sound of the bell; chime; tolling or ringing of the bell</li></ol>
bagtingan	<i>noun</i><br><ol><li>bell</li></ol>
bagyo	<i>noun</i><br><ol><li>typhoon, tropical cyclone, storm</li></ol>
baha|bahâ	<i>noun</i><br><ol><li>flood</li></ol>
bahin|bahín	<i>noun</i><br><ol><li>share; portion; part</li></ol>
baka	<i>noun</i><br><ol><li>cow</li></ol>
baktin|baktín	<i>noun</i><br><ol><li>hog; pig</li></ol>
bakunawa	<i>noun</i><br><ol><li>eclipse (solar or lunar)</li></ol>
bakya|bakyâ	<i>noun</i><br><ol><li>wooden shoes</li></ol>
balangaw|balangáw	<i>noun</i><br><ol><li>rainbow</li></ol>
balanghoy|balanghóy	<i>noun</i><br><ol><li>cassava</li></ol>
balaod	<i>noun</i><br><ol><li>law; ordinance</li></ol>
balaw-ang|balaw-áng	<i>noun</i><br><ol><li>(anatomy) waist; waistline</li></ol>
balawak	<i>noun</i><br><ol><li>(anatomy) clavicle</li></ol>
balay|baláy	<i>noun</i><br><ol><li>house</li></ol>
balhas|balhás	<i>noun</i><br><ol><li>sweat</li></ol>
balighot|balighót	<i>noun</i><br><ol><li>knot; tie</li></ol>
balinghoy	<i>noun</i><br><ol><li>cassava (Manihot esculenta)</li></ol>
bana	<i>noun</i><br><ol><li>husband</li></ol>
banak	<i>noun</i><br><ol><li>mudfish, esp. Channa striata</li></ol>
banawag	<i>noun</i><br><ol><li>ray (of the sun)</li></ol>
banay|banáy	<i>noun</i><br><ol><li>clan</li></ol>
banga|bangâ	<i>noun</i><br><ol><li>earthen jar</li></ol>
bangin	<i>adv</i><br><ol><li>perhaps; possibly; probably</li></ol>
bangka|bangkâ	<i>noun</i><br><ol><li>cockroach</li><li>(colloquial) banker in a gambling game</li></ol>
bangkaw|bangkáw	<i>noun</i><br><ol><li>lance; spear</li></ol>
bangros|bangrós	<i>noun</i><br><ol><li>milkfish</li></ol>
banig|baníg	<i>noun</i><br><ol><li>mat; sleeping mat</li></ol>
banog|banóg	<i>noun</i><br><ol><li>hawk</li></ol>
bansil|bansíl	<i>noun</i><br><ol><li>gold teeth filling</li></ol>
bantol|bantól	<i>noun</i><br><ol><li>jellyfish</li></ol>
banwa|banwá	<i>noun</i><br><ol><li>grass; weed; bush</li></ol>
bao|baó	<i>noun</i><br><ol><li>turtle; tortoise</li></ol>
baog|baóg	<i>adj</i><br><ol><li>sterile; impotent</li></ol>
barang	<i>noun</i><br><ol><li>witchcraft</li></ol>
barangan	<i>noun</i><br><ol><li>witch</li></ol>
barato	<i>adj</i><br><ol><li>cheap; inexpensive</li></ol>
bayad	<i>noun</i><br><ol><li>payment</li><li>act of paying</li></ol>
bayaw|bayáw	<i>noun</i><br><ol><li>brother-in-law</li><li>part of the Mass when the Host is consecrated by a priest</li></ol>
baybay|baybáy	<i>noun</i><br><ol><li>seashore; coast; beach</li></ol>
bayhon|bayhón	<i>noun</i><br><ol><li>(anatomy) face</li></ol>
bilas	<i>noun</i><br><ol><li>co-sister-in-law</li><li>co-brother-in-law</li><li>co-sibling-in-law</li></ol>
biray|biráy	<i>noun</i><br><ol><li>curtain</li></ol><br><i>verb</i><br><ol><li>to hang up curtains</li></ol>
bitiis	<i>noun</i><br><ol><li>(anatomy) leg</li></ol>
bitok	<i>noun</i><br><ol><li>pinworm</li></ol>
biyolin|biyolín	<i>noun</i><br><ol><li>(music) violin</li></ol>
bubot|bubót	<i>noun</i><br><ol><li>(anatomy) buttocks</li><li>(anatomy) anus</li></ol>
budo	<i>noun</i><br><ol><li>fish preserved with salt</li></ol>
bugkot|bugkót	<i>noun</i><br><ol><li>enchantment; charm</li></ol>
bugoy|bugóy	<i>noun</i><br><ol><li>vagabond; vagrant; tramp</li></ol>
bugsay|bugsáy	<i>noun</i><br><ol><li>oar; paddle</li><li>paddling</li></ol>
bugsok|bugsók	<i>noun</i><br><ol><li>deer</li></ol>
bugto|bugtô	<i>noun</i><br><ol><li>sibling</li></ol>
buhawi|buhawì	<i>noun</i><br><ol><li>cyclone; tornado</li></ol>
buhis|buhís	<i>noun</i><br><ol><li>(historical) a tribute</li><li>tax</li></ol>
bukad|bukád	<i>noun</i><br><ol><li>flower</li></ol>
bukid	<i>noun</i><br><ol><li>mountain</li></ol>
bulakbol|bulakból	<i>noun</i><br><ol><li>truant</li></ol><br><i>verb</i><br><ol><li>to play truant</li></ol>
bulhot	<i>noun</i><br><ol><li>hole; orifice; perforation</li></ol>
bulkan	<i>noun</i><br><ol><li>volcano</li></ol>
bulong|bulóng	<i>noun</i><br><ol><li>medicine; cure</li></ol>
bunay	<i>noun</i><br><ol><li>egg</li></ol>
burabod	<i>noun</i><br><ol><li>spring; fountain</li></ol>
buta|butá	<i>adj</i><br><ol><li>blind</li></ol><br><i>noun</i><br><ol><li>blind</li></ol>
butkon	<i>noun</i><br><ol><li>(anatomy) arm</li></ol>
buwas|buwás	<i>adv</i><br><ol><li>tomorrow</li></ol>
buyon|buyón	<i>noun</i><br><ol><li>thief</li></ol>
buyong	<i>noun</i><br><ol><li>hernia</li></ol>
dabal	<i>noun</i><br><ol><li>punch; blow with the fist</li></ol>
dagami	<i>noun</i><br><ol><li>hay; straw</li></ol>
dagat	<i>noun</i><br><ol><li>ocean; sea</li></ol>
dako	<i>adj</i><br><ol><li>big</li></ol>
dampog|dampóg	<i>noun</i><br><ol><li>cloud</li></ol>
danaw	<i>noun</i><br><ol><li>lake</li></ol>
diri	<i>adv</i><br><ol><li>no</li></ol><br><i>intj</i><br><ol><li>no</li></ol>
dugo|dugô	<i>noun</i><br><ol><li>blood</li></ol>
duha|duhá	<i>num</i><br><ol><li>two</li></ol>
edro|idro|edró|idró	<i>noun</i><br><ol><li>airplane, aeroplane, plane</li></ol>
elepante	<i>noun</i><br><ol><li>elephant</li></ol>
entonses	<i>adv</i><br><ol><li>then, therefore, thus</li></ol>
epistemolohiya	<i>noun</i><br><ol><li>epistemology</li></ol>
eroplano	<i>noun</i><br><ol><li>airplane, aeroplane, plane</li></ol>
gapas	<i>noun</i><br><ol><li>cotton</li></ol>
gatas	<i>noun</i><br><ol><li>milk</li></ol>
gatos|gatós	<i>num</i><br><ol><li>hundred</li></ol>
gunting	<i>noun</i><br><ol><li>scissors</li></ol>
gutiay	<i>adj</i><br><ol><li>small</li></ol>
gutom	<i>adj</i><br><ol><li>hungry</li></ol>
hadi|hadì|hadí	<i>adv</i><br><ol><li>before, previously, the last time</li></ol><br><i>noun</i><br><ol><li>king</li></ol><br><i>verb</i><br><ol><li>to reign</li></ol>
halaba	<i>adj</i><br><ol><li>long</li></ol>
halaga	<i>noun</i><br><ol><li>price</li><li>value</li></ol>
halas	<i>noun</i><br><ol><li>snake; serpent</li></ol>
hamot	<i>noun</i><br><ol><li>aroma, fragrance</li></ol>
hamtik	<i>noun</i><br><ol><li>large red ant</li></ol>
hangin	<i>noun</i><br><ol><li>wind (movement of air)</li></ol>
hantak	<i>noun</i><br><ol><li>yardlong bean</li></ol>
harok	<i>noun</i><br><ol><li>kiss</li></ol>
haromigas	<i>noun</i><br><ol><li>ant</li></ol>
higda	<i>verb</i><br><ol><li>to lie down</li></ol>
higdaan	<i>noun</i><br><ol><li>bed</li></ol>
hin-o	<i>pron</i><br><ol><li>(interrogative) who</li></ol>
hiya	<i>pron</i><br><ol><li>him</li><li>her</li><li>he</li><li>she</li></ol>
hubog|hubóg	<i>adj</i><br><ol><li>drunk; intoxicated</li></ol>
hubya|hubyâ	<i>adj</i><br><ol><li>lazy; indolent; slothful</li></ol>
hugpo|hugpô	<i>noun</i><br><ol><li>group; assemblage; cluster</li></ol>
hukbot|hukbót	<i>adj</i><br><ol><li>naked; undressed; nude; bare</li></ol>
hulas	<i>noun</i><br><ol><li>sweat; perspiration</li></ol>
hultok|hultók	<i>adj</i><br><ol><li>drunk; intoxicated; drunken</li></ol>
humog|humóg	<i>adj</i><br><ol><li>wet</li></ol>
hut-ong|hut-óng	<i>noun</i><br><ol><li>flask</li></ol>
ibid|ibíd	<i>noun</i><br><ol><li>a kind of snake</li></ol>
ibingan	<i>noun</i><br><ol><li>house snake</li></ol>
ido|idô	<i>noun</i><br><ol><li>young dog; puppy</li></ol>
idro|edro|edró|idró	<i>noun</i><br><ol><li>airplane, aeroplane, plane</li></ol>
ihalas	<i>adj</i><br><ol><li>wild</li></ol>
ihayop	<i>adj</i><br><ol><li>tamed; undomesticated</li></ol>
ihi	<i>noun</i><br><ol><li>urine; pee</li></ol>
ikaw|ikáw	<i>pron</i><br><ol><li>you</li></ol>
ikog	<i>noun</i><br><ol><li>tail</li></ol>
ila|ilâ	<i>noun</i><br><ol><li>birthmark; black spot on skin</li></ol>
ilo	<i>noun</i><br><ol><li>orphan</li></ol>
im-im|im-ím	<i>noun</i><br><ol><li>(anatomy) lips</li></ol>
inding|indíng	<i>noun</i><br><ol><li>appellation for elder sister</li></ol>
ini|iní	<i>pron</i><br><ol><li>this</li></ol>
inulnan|inulnán	<i>noun</i><br><ol><li>(anatomy) placenta</li></ol>
inultan|inultán	<i>noun</i><br><ol><li>boundary; border</li></ol>
irok	<i>noun</i><br><ol><li>armpit</li></ol>
irong	<i>noun</i><br><ol><li>(anatomy) nose</li></ol>
iroy|iróy	<i>noun</i><br><ol><li>mother</li></ol>
iroy-iroy	<i>noun</i><br><ol><li>stepmother</li></ol>
isda|isdâ	<i>noun</i><br><ol><li>fish</li></ol>
iti|ití	<i>noun</i><br><ol><li>excreta of ducks or fowls</li></ol>
itik	<i>noun</i><br><ol><li>duck; drake</li></ol>
itom|itóm	<i>adj</i><br><ol><li>black</li></ol>
kaaway	<i>noun</i><br><ol><li>enemy; opponent; foe</li></ol>
kabal|kabál	<i>noun</i><br><ol><li>potion; talisman</li></ol>
kabayo	<i>noun</i><br><ol><li>horse</li></ol>
kabog|kabóg	<i>noun</i><br><ol><li>bat (animal)</li></ol>
kagab-i|kagab-í	<i>adv</i><br><ol><li>last night</li></ol>
kakablasan	<i>noun</i><br><ol><li>poverty; destitution</li></ol>
kakulop|kakulóp	<i>adv</i><br><ol><li>yesterday</li></ol>
kalayo	<i>noun</i><br><ol><li>fire; flame</li></ol>
kalibutan	<i>noun</i><br><ol><li>world</li></ol>
kamatis	<i>noun</i><br><ol><li>tomato</li></ol>
kamo|kamó	<i>pron</i><br><ol><li>(in the plural) you</li><li>(honorific singular) you</li></ol>
kanding|kandíng	<i>noun</i><br><ol><li>goat</li></ol>
kapay|kapáy	<i>noun</i><br><ol><li>fin (of a fish)</li></ol>
kape|kapé	<i>noun</i><br><ol><li>coffee</li></ol>
karabaw	<i>noun</i><br><ol><li>carabao; water buffalo</li></ol>
kasagingan|kasagingán	<i>noun</i><br><ol><li>banana plantation</li></ol>
kasili	<i>noun</i><br><ol><li>water snake</li></ol>
kasulya	<i>noun</i><br><ol><li>(Christianity) chasuble</li></ol>
kataw|katáw	<i>noun</i><br><ol><li>mermaid; siren</li></ol>
katig	<i>noun</i><br><ol><li>bamboo outrigger of boat or canoe</li></ol>
katol|katól	<i>noun</i><br><ol><li>itch</li></ol>
katotnga|katotngá	<i>noun</i><br><ol><li>midnight</li></ol>
katunggan|katunggán	<i>noun</i><br><ol><li>marsh; swamp</li></ol>
kaupay	<i>intj</i><br><ol><li>well done</li></ol>
kawad	<i>noun</i><br><ol><li>wire</li></ol>
kawatan|kawatán	<i>noun</i><br><ol><li>thief; robber; looter; brigand</li></ol>
kawayan	<i>noun</i><br><ol><li>bamboo</li></ol>
kawil|kawíl	<i>noun</i><br><ol><li>fish hook</li></ol>
keso	<i>noun</i><br><ol><li>cheese</li></ol>
kibal|kibál	<i>noun</i><br><ol><li>(anatomy) callus</li></ol>
kidlat|kidlát	<i>noun</i><br><ol><li>lightning</li></ol>
kigol|kigól	<i>noun</i><br><ol><li>(anatomy) coccyx</li></ol>
kikik|kikík	<i>noun</i><br><ol><li>lightning</li></ol>
kikilat|kikilát	<i>noun</i><br><ol><li>lightning</li></ol>
kingki|kingkí	<i>noun</i><br><ol><li>oil lamp; petroleum lamp</li></ol>
kinis|kinís	<i>noun</i><br><ol><li>small crab</li></ol>
kucing	<i>noun</i><br><ol><li>(literary) cat</li></ol>
kulo|kuló	<i>noun</i><br><ol><li>(anatomy) fingernail</li></ol>
kulod	<i>noun</i><br><ol><li>the leatherback turtle (Dermochelys coriacea)</li></ol>
kulop|kulóp	<i>noun</i><br><ol><li>afternoon</li></ol>
kusina	<i>noun</i><br><ol><li>kitchen</li></ol>
kuto	<i>noun</i><br><ol><li>louse (insect)</li></ol>
kutsara	<i>noun</i><br><ol><li>spoon</li></ol>
kutsarita	<i>noun</i><br><ol><li>teaspoon</li></ol>
kuying	<i>noun</i><br><ol><li>cat</li><li>kitten</li></ol>
labog	<i>verb</i><br><ol><li>to throw</li></ol>
lagadi|lagadí	<i>noun</i><br><ol><li>saw (tool)</li></ol>
lagay|lagáy	<i>noun</i><br><ol><li>mud; mire</li></ol>
lagos|lagós	<i>noun</i><br><ol><li>(anatomy) gum</li></ol>
lako|lakò	<i>noun</i><br><ol><li>phlegm</li></ol>
lalaki	<i>noun</i><br><ol><li>male; man</li></ol>
langit	<i>noun</i><br><ol><li>sky</li></ol>
lantap|lantáp	<i>noun</i><br><ol><li>scum; thin layer that floats on surface of liquid</li></ol>
lantawan	<i>noun</i><br><ol><li>tower</li></ol>
lapak	<i>noun</i><br><ol><li>mud; mire</li></ol>
lapinig	<i>noun</i><br><ol><li>wasp</li></ol>
lapis	<i>noun</i><br><ol><li>pencil</li></ol>
lapsok|lapsók	<i>noun</i><br><ol><li>blister; sore</li></ol>
lasona|lasoná	<i>noun</i><br><ol><li>garlic</li></ol>
lat-ag|lat-ág	<i>noun</i><br><ol><li>trap; snare</li></ol>
lato|latô	<i>noun</i><br><ol><li>edible alga growing in rocky and sandy beaches</li></ol>
lawa|lawà	<i>noun</i><br><ol><li>spider</li></ol>
lawas	<i>noun</i><br><ol><li>(anatomy) body; torso</li></ol>
laway	<i>noun</i><br><ol><li>saliva; sputum; spittle</li></ol>
lawin	<i>noun</i><br><ol><li>hawk</li></ol>
lawlaw|lawláw	<i>noun</i><br><ol><li>salted fish</li></ol>
lawod|lawód	<i>noun</i><br><ol><li>midsea; high seas</li></ol>
layag	<i>noun</i><br><ol><li>sail</li></ol>
libaong	<i>noun</i><br><ol><li>pool; spring</li></ol>
libat|libát	<i>adj</i><br><ol><li>cross-eyed, squint-eyed</li></ol>
libong	<i>noun</i><br><ol><li>yard; courtyard</li></ol>
libro|libró	<i>noun</i><br><ol><li>book</li></ol>
lima|limá	<i>num</i><br><ol><li>five</li></ol>
limatok	<i>noun</i><br><ol><li>leech</li></ol>
limonsito	<i>noun</i><br><ol><li>calamondin (Citrus × microcarpa, syn. ×Citrofortunella mitis)</li></ol>
lindong|lindóng	<i>noun</i><br><ol><li>shade; shadow</li></ol>
lingkod	<i>verb</i><br><ol><li>to sit</li></ol>
linog	<i>noun</i><br><ol><li>earthquake</li></ol>
linop	<i>noun</i><br><ol><li>dizziness; dizzy spell; fainting spell</li></ol>
linti|lintî	<i>noun</i><br><ol><li>lightning</li></ol>
liog	<i>noun</i><br><ol><li>(anatomy) neck</li></ol>
lisik|lisík	<i>noun</i><br><ol><li>(anatomy) penis; male sex organ</li></ol>
lubi	<i>noun</i><br><ol><li>coconut</li></ol>
lubid	<i>noun</i><br><ol><li>rope</li></ol>
lubnganan	<i>noun</i><br><ol><li>cemetery; graveyard</li></ol>
lubog	<i>noun</i><br><ol><li>sediment; residue; scum</li></ol>
lubot|lubót	<i>noun</i><br><ol><li>buttocks</li></ol>
lugad|lugád	<i>noun</i><br><ol><li>river; creek; stream</li></ol>
lugas|lugás	<i>noun</i><br><ol><li>grain; kernel</li></ol>
lugaw	<i>noun</i><br><ol><li>rice porridge</li></ol>
lugit	<i>noun</i><br><ol><li>copra</li></ol>
luha|luhà	<i>noun</i><br><ol><li>tear</li></ol>
luho|luhô	<i>noun</i><br><ol><li>hole; opening; perforation</li></ol>
lukag	<i>noun</i><br><ol><li>cavity; hole</li><li>tooth cavity</li></ol>
lukay|lukáy	<i>noun</i><br><ol><li>palm leaf</li></ol>
lumalangyaw	<i>noun</i><br><ol><li>foreigner</li></ol>
lumod|lumód	<i>noun</i><br><ol><li>dolphin</li></ol>
lumot|lúmot	<i>noun</i><br><ol><li>moss (plants of the division Bryophyta)</li></ol>
lumoton	<i>adj</i><br><ol><li>mossy</li></ol>
lungag|lungág	<i>noun</i><br><ol><li>cavity; hole</li></ol>
lungib|lungíb	<i>noun</i><br><ol><li>cave; cavern</li></ol>
lungon|lungón	<i>noun</i><br><ol><li>coffin; bier; casket</li></ol>
luparan	<i>noun</i><br><ol><li>airport</li></ol>
lurong	<i>noun</i><br><ol><li>crazy, insane</li></ol>
luwag	<i>noun</i><br><ol><li>ladle</li></ol>
maarom	<i>adj</i><br><ol><li>full of moles</li></ol>
maaslom	<i>adj</i><br><ol><li>sour</li></ol>
maawod	<i>adj</i><br><ol><li>shy; bashful</li></ol>
mabug-at|mabug-át	<i>adj</i><br><ol><li>heavy; weighty</li></ol>
madampog|madampóg	<i>adj</i><br><ol><li>cloudy; hazy; murky</li></ol>
mago	<i>noun</i><br><ol><li>Philippine tarsier (Carlito syrichta)</li></ol>
magsidiray	<i>noun</i><br><ol><li>poet</li></ol>
magurang	<i>noun</i><br><ol><li>parent</li></ol>
mahal|mahál	<i>adj</i><br><ol><li>expensive</li></ol>
mahalaga	<i>adj</i><br><ol><li>valuable</li></ol>
mahamot|mahamót	<i>adj</i><br><ol><li>fragrant; aromatic</li></ol>
mais|maís	<i>noun</i><br><ol><li>corn, the grain from Zea mays</li></ol>
makuyaw|makuyáw	<i>adj</i><br><ol><li>dizzy; whirling; giddy</li></ol>
malanhod|malanhód	<i>adj</i><br><ol><li>lukewarm; tepid</li></ol>
malantap|malantáp	<i>adj</i><br><ol><li>scummy; full of scum</li></ol>
malanyog|malanyóg	<i>adj</i><br><ol><li>high; towering; tall</li></ol>
malaw-ay|malaw-áy	<i>adj</i><br><ol><li>immoral; indecent; obscene</li></ol>
malon|malón	<i>noun</i><br><ol><li>part; share; portion</li></ol>
manok|manók	<i>noun</i><br><ol><li>chicken</li></ol>
mapait|mapaít	<i>adj</i><br><ol><li>bitter</li></ol>
masag|maság	<i>noun</i><br><ol><li>small crab</li></ol>
masyado	<i>adv</i><br><ol><li>very</li></ol>
mata	<i>noun</i><br><ol><li>eye (organ)</li></ol>
maul-ol|maul-ól	<i>adj</i><br><ol><li>painful; aching</li></ol>
mika|mikâ	<i>noun</i><br><ol><li>(colloquial) American</li></ol>
misa	<i>noun</i><br><ol><li>mass (church)</li></ol>
momya	<i>noun</i><br><ol><li>mummy</li></ol>
mulay|muláy	<i>noun</i><br><ol><li>act of playing</li></ol>
mulayan	<i>noun</i><br><ol><li>toy</li></ol>
multa|multá	<i>noun</i><br><ol><li>fine (a fee levied as punishment for breaking the law)</li></ol>
muya|muyâ	<i>adj</i><br><ol><li>blue</li></ol>
nana|nanà	<i>noun</i><br><ol><li>pus; abscess</li></ol>
nanay	<i>noun</i><br><ol><li>mother; mom; mommy</li></ol>
napulo|napulò	<i>num</i><br><ol><li>ten</li></ol>
natad	<i>noun</i><br><ol><li>yard; backyard; home yard</li></ol>
nati	<i>noun</i><br><ol><li>calf; young of quadruped animal</li></ol>
nawong|nawóng	<i>noun</i><br><ol><li>(anatomy) face</li><li>(anatomy) cheek</li></ol>
nipa|nipà	<i>noun</i><br><ol><li>nipa palm</li></ol>
niyan|niyán	<i>adv</i><br><ol><li>a moment later; later on; afterwards; after a short while</li></ol>
nuka	<i>noun</i><br><ol><li>(anatomy) scab</li></ol>
nuos|nuós	<i>noun</i><br><ol><li>squid</li></ol>
nuwaytuway	<i>noun</i><br><ol><li>(noun) kneecap</li></ol>
pakla|paklá	<i>noun</i><br><ol><li>frog</li></ol>
pako|pakô	<i>noun</i><br><ol><li>sleeve (of a shirt)</li><li>wing</li></ol>
pal-og|pal-óg	<i>adj</i><br><ol><li>silly; crazy</li></ol>
palanas|palanás	<i>noun</i><br><ol><li>stream; rivulet; runnel; streamlet</li></ol>
palanggana	<i>noun</i><br><ol><li>washbowl; wash basin</li></ol>
pamahaw	<i>noun</i><br><ol><li>breakfast</li></ol>
paminta	<i>noun</i><br><ol><li>The plant Piper nigrum.</li><li>Black pepper; the dried, unripe berries (peppercorns) of the Piper nigrum plant which are commonly used as a spice and seasoning. They are either used whole, or in a ground or crushed form.</li></ol>
pampam|pampám	<i>noun</i><br><ol><li>prostitute; harlot; whore</li></ol>
pampang|pampáng	<i>noun</i><br><ol><li>riverbank</li></ol>
panagang|panagáng	<i>noun</i><br><ol><li>shield; protective or defensive armor</li></ol>
panagna|panagnâ	<i>noun</i><br><ol><li>prophecy</li></ol>
panahon|panahón	<i>noun</i><br><ol><li>period of time; age</li><li>weather</li><li>tense</li></ol>
panay|panáy	<i>noun</i><br><ol><li>washtub; washbowl</li></ol>
panday|pandáy	<i>noun</i><br><ol><li>blacksmith</li></ol>
pandayan	<i>noun</i><br><ol><li>blacksmith's shop; smithy</li></ol>
pandok|pandók	<i>noun</i><br><ol><li>(pathology) smallpox</li></ol>
papel	<i>noun</i><br><ol><li>paper</li><li>role</li><li>document</li></ol>
parahubog	<i>noun</i><br><ol><li>drunkard; alcoholic</li></ol>
parakpak	<i>noun</i><br><ol><li>applause</li></ol>
paraw|paráw	<i>noun</i><br><ol><li>sailboat</li></ol>
pasas	<i>noun</i><br><ol><li>raisin</li></ol>
pasayan	<i>noun</i><br><ol><li>shrimp</li></ol>
pasikaran|pasikarán	<i>noun</i><br><ol><li>basis; foundation</li></ol>
pating	<i>noun</i><br><ol><li>shark</li></ol>
payong	<i>noun</i><br><ol><li>umbrella</li></ol>
pedagohiya	<i>noun</i><br><ol><li>pedagogy</li></ol>
pika|piká	<i>noun</i><br><ol><li>fist blow</li></ol>
pikoy|pikóy	<i>noun</i><br><ol><li>parrot</li></ol>
pilo|pilô	<i>noun</i><br><ol><li>fold; pleat</li></ol>
pingak|pingák	<i>adj</i><br><ol><li>snub-nose; flat-nose</li></ol>
pingga|pinggá	<i>noun</i><br><ol><li>bamboo carrying pole</li></ol>
pinggan|pinggán	<i>noun</i><br><ol><li>plate</li></ol>
pingkit|pingkít	<i>adj</i><br><ol><li>slit-eyed</li></ol>
pinuno|pinunò	<i>noun</i><br><ol><li>chief; head; leader</li></ol>
pinya|pinyá	<i>noun</i><br><ol><li>pineapple</li></ol>
pipi|pipî	<i>noun</i><br><ol><li>vagina; female sex organ</li></ol>
piraw|piráw	<i>adj</i><br><ol><li>sleepy; drowsy; lethargic</li></ol>
pisi|pisì	<i>noun</i><br><ol><li>rope</li></ol>
pitad|pitád	<i>noun</i><br><ol><li>step; stride; pace</li></ol>
pito|pitó	<i>num</i><br><ol><li>seven</li></ol>
piyano	<i>noun</i><br><ol><li>(music) piano</li></ol>
piyos|piyós	<i>adj</i><br><ol><li>uncircumcised</li></ol>
puday	<i>noun</i><br><ol><li>(anatomy) female sexual organ</li></ol>
pudong|pudóng	<i>noun</i><br><ol><li>shawl; bandanna</li><li>headdress</li></ol>
pugo	<i>noun</i><br><ol><li>quail</li></ol>
