pitötu	<i>num</i><br><ol><li>one</li></ol>
す|sitari|semu|せず|すれど|sureba|sedo|siki|sa|しつ|seyo|せよ|sazu|su|しけり|せり|せむ|sezu|suredo|す|si|しき|せど|する|situ|せ|すれ|seba|sikeri|さず|se|sinu|sure|saba|し|したり|さむ|すれば|さ|しぬ|せば|suru|samu|seri|さば	<i>verb</i><br><ol><li>to do</li><li>to happen, occur</li><li>to be in a state of something</li><li>indicates light respect and slight affection</li></ol><br><i>suffix</i><br><ol><li>representing birds</li></ol>
そほど|so₂podo₂	<i>noun</i><br><ol><li>a scarecrow</li></ol>
た|ta	<i>pron</i><br><ol><li>interrogative personal pronoun: who</li></ol><br><i>noun</i><br><ol><li>a sake, reason</li></ol><br><i>prefix</i><br><ol><li>prefixed to a verb, adjective, or adverb to indicate an adjusting tone</li></ol>
たごのうら|Tago₁-no₂-ura	<i>name</i><br><ol><li>田兒の浦:</li></ol>
ちはやひと|tipaya-pi₁to₂	<i>noun</i><br><ol><li>千早人: allusion to 宇治 (Udi, “a placename, especially of a river crossing”)</li></ol>
とと|to₂to₂	<i>particle</i><br><ol><li>(regional, Central Eastern Old Japanese) while, as... [verb]-ing</li></ol>
とりよろふ|toryorofitari|toryorofazu|toryorofitu|とりよろひけり|toryorofamu|toryorofi|とりよろはば|toryorofikeri|toryorofinu|とりよろひぬ|toryorofeba|とりよろへり|とりよろへば|toryorofiki|toryorofaba|とりよろへ|toryorofedo|toryorofu|to₂riyo₂ro₂pu|とりよろひき|とりよろはず|toryorofa|とりよろはむ|toryorofe|とりよろひつ|とりよろは|とりよろひたり|toryoroferi|とりよろへど|とりよろひ	<i>verb</i><br><ol><li>The meaning of this term is uncertain. Possibilities include: to dress with greenery; to equip with the beauties of nature (peaks, rocks, trees, valleys, etc.); to go around and secure (land, mountain, etc.)</li></ol>
な|na	<i>noun</i><br><ol><li>any sharp and thin cutting implement: a blade, edge</li><li>名: name</li><li>字: written character</li><li>肴, 魚, 菜: side dish, especially fish, greens, etc.</li></ol><br><i>pron</i><br><ol><li>汝: first-person singular pronoun: I, me; second-person singular pronoun: you, thou</li><li>己, 汝: third-person reflexive pronoun: one, oneself, itself</li></ol>
なも|namo	<i>particle</i><br><ol><li>binding particle</li><li>sentence-ending particle</li></ol><br><i>suffix</i><br><ol><li>(regional, Eastern Old Japanese) auxiliary verb indicating conjecture or speculation</li></ol>
なりけり|narike₁ri	<i>phrase</i><br><ol><li>auxiliary verb indicating one's personal recollection about something heard before: it was, it is said</li></ol>
にはつとり|nipa tu to₂ri	<i>noun</i><br><ol><li>庭つ鳥: chicken; bird kept in a garden, allusion to 鷄 (kake₁, “chicken”)</li></ol>
ぬ|neba|nedo|nu|na|ねど|な|ne|ni|ね|ねば|に	<i>suffix</i><br><ol><li>(following the irrealis stem of verbs)</li><li>expresses negation; not</li></ol>
の|no₂|no₁	<i>particle</i><br><ol><li>indicates possession: of, -'s</li><li>indicates identity or apposition</li><li>a noun, adverb, or phrase modifier</li></ol><br><i>noun</i><br><ol><li>野: plain, field</li></ol>
のつとり|no₁ tu to₂ri	<i>noun</i><br><ol><li>野つ鳥: bird in the field, allusion to 雉 (ki₁gi₁si, “pheasant”)</li></ol>
のど|のどに|のどならば|のどなる|nodo naraba|のどなら|nodo naredo|no₂do₂|のどなりき|nodo naru|のどなれば|のどなれ|のどならず|nodo nare|nodo nariki|nodo ni|nodo nari|nodo narazu|nodo nara|nodo nareba|のどなれど|のどなり|nodo narikeri|のどなりけり	<i>adj</i><br><ol><li>calm, relaxing, tranquil</li><li>calm, peaceful</li></ol>
ひなもり|pi₁namo₁ri	<i>noun</i><br><ol><li>夷守: co-chieftain in ancient Japan who protected distant lands</li></ol>
ひのもとの|pi₁ no₂ moto₂ no₂	<i>phrase</i><br><ol><li>日の本の: rising sun, allusion to 大和 (Yamato₂, “ancient Japan”)</li></ol>
ひめなそび|pi₁me₁naso₁bi₁	<i>noun</i><br><ol><li>姬遊び: flirting with girls</li></ol>
ふるさと|purusato₁	<i>noun</i><br><ol><li>a homeland, hometown (place one was born and/or raised)</li><li>an ancient city, usually crumbling or already in ruins, that once prospered</li></ol>
ほとけ	<i>noun</i><br><ol><li>佛: a carving, image, statue, or other likeness of a buddha</li></ol>
ほととぎす|poto₂to₂gi₁su	<i>noun</i><br><ol><li>the lesser cuckoo, Cuculus poliocephalus</li><li>(poetic) allusion to 飛幡 (To₁bata, a placename)</li></ol>
みちゆき|mi₁tiyuki₁	<i>noun</i><br><ol><li>道行き: travel, journey</li></ol>
みまし|mi₂masi	<i>pron</i><br><ol><li>汝: second-person singular personal pronoun: you, thou</li><li>御座: emperor's or other nobleman's coming; emperor's seat or throne; nobleman's position or office</li></ol>
むだく|mudaku	<i>verb</i><br><ol><li>抱く: hug, embrace</li></ol>
も	<i>particle</i><br><ol><li>non-unique topic marker: also, even</li></ol><br><i>suffix</i><br><ol><li>(regional, Eastern Old Japanese) Used to form the conjectural form of verbs, equivalent to modern う (-u)/よう (-yō)</li></ol>
もこ	<i>noun</i><br><ol><li>a companion, fellow</li></ol>
もみつ|momi₁tu	<i>verb</i><br><ol><li>紅葉つ, 黄葉つ: to color in autumn, said of leaves</li></ol>
ゆ|ゆれど|𛀁ず|𛀁む|ゆる|𛀁けり|𛀁つ|𛀁よ|𛀁き|𛀁たり|𛀁ば|yu|ゆれば|𛀁|ゆれ|𛀁ぬ	<i>suffix</i><br><ol><li>expresses passiveness</li><li>expresses possibility</li><li>expresses natural, spontaneous occurrence</li></ol><br><i>particle</i><br><ol><li>since</li><li>through</li><li>by (means of)</li><li>from</li></ol><br><i>noun</i><br><ol><li>湯: hot water, hot spring</li></ol>
ゆふなみちどり|yupunami₁ tido₂ri	<i>noun</i><br><ol><li>夕浪千鳥: plover flying over the evening waves</li></ol>
よごと|yo₂go₂to₂	<i>noun</i><br><ol><li>善事, 吉事: good thing, good fortune</li><li>壽詞, 吉言: celebratory speech, congratulatory words</li></ol>
よし|yoshi	<i>particle</i><br><ol><li>indicates admiration or exclamation</li></ol>
をさぎ|wosagi₁	<i>noun</i><br><ol><li>(regional, Eastern Old Japanese) a rabbit</li></ol>
一人|pi₁to₂ri|pi₁dari|ひとり|ひだり	<i>noun</i><br><ol><li>one person</li><li>an unmarried person, single</li><li>(rare, possibly regional, Eastern Old Japanese) one person</li></ol>
一昨日|をとつひ|woto₂tupi₁	<i>noun</i><br><ol><li>the day before yesterday, two days ago</li></ol>
一月|pi₁to₂tuki₂|ひとつき	<i>noun</i><br><ol><li>one month</li></ol>
七|nana	<i>num</i><br><ol><li>seven, 7</li></ol>
三日月|mi₁kaduki₂|みかづき	<i>noun</i><br><ol><li>a crescent moon on the third day of a lunar month</li><li>(by extension) a crescent moon in general</li></ol>
下|しも|した|sita	<i>noun</i><br><ol><li>looking down</li><li>a place</li><li>the lower part</li></ol>
下方|したへ|sitape₁	<i>noun</i><br><ol><li>the land of the dead, underworld</li></ol>
串|kusi|くし	<i>noun</i><br><ol><li>any slender object that can pierce other objects</li></ol>
佛|ほとけ|poto₂ke₂	<i>noun</i><br><ol><li>(Buddhism) a carving, image, statue, or other likeness of a buddha</li></ol>
來|こよ|kosi|くれば|來たり|komu|ko|來けり|こば|來つ|きし|kikeri|く|來る|來ぬ|きぬ|きけり|來む|くる|來ば|來ず|こ|kuru|くれ|kuredo|け|koba|kitari|こず|koyo|來よ|kitu|來し|來れば|きたり|ki|kozu|くれど|kureba|來れ|kisi|kinu|き|ke₁|kure|こし|きつ|ku|來れど|こむ	<i>verb</i><br><ol><li>to come (towards the speaker), approach</li><li>to go (to a direction or place far from the speaker but near the listener)</li><li>(suffixed to the 連用形 (ren'yōkei, “stem form”) of a verb) to gradually begin to [verb]</li></ol><br><i>adv</i><br><ol><li>(regional, Southern Eastern Old Japanese)</li></ol>
保止|poto₂	<i>noun</i><br><ol><li>male genitalia</li></ol>
俣海松|matami₁ru|またみる	<i>noun</i><br><ol><li>Synonym of 海松 (mi₁ru): green sea or dead man's fingers (Codium fragile)</li></ol>
光|ひかり|pi₁kari	<i>noun</i><br><ol><li>a light</li></ol>
光る|ひかれ|fikaritari|ひかり|ひかりつ|光らず|光りけり|ひかりき|fikara|光りつ|ひかりけり|fikareba|fikarikeri|fikari|ひかりぬ|光りたり|fikarinu|fikaru|fikare|光らむ|光りき|fikaramu|pi₁karu|ひからず|fikaredo|ひかれば|光ら|光らば|光れば|fikaritu|fikareri|光り|光りぬ|ひからば|ひから|fikaraba|光れ|光れり|ひからむ|fikariki|ひかる|光れど|ひかれり|fikarazu|ひかりたり|ひかれど	<i>verb</i><br><ol><li>to shine, gleam, glitter</li></ol>
公卿|まへつきみ|matiki₁mi₁|まちきみ|mape₁tuki₁mi₁	<i>noun</i><br><ol><li>(honorific) a senior court official</li><li>(honorific, rare) a senior court official</li></ol>
出づ|いづれど|いづ|出づれど|idekeri|いで|出でぬ|idenu|出づる|idureba|出でつ|出づれば|出でけり|いでぬ|いでき|出でたり|iduredo|出でき|ideba|idemu|ideki|idetu|いでつ|いでたり|ide|出でよ|いでず|出で|idezu|idetari|iduru|出でむ|いづれ|出でず|ideyo|いでば|いでむ|いでよ|いでけり|いづる|idu|出づれ|idure|出でば|いづれば	<i>verb</i><br><ol><li>(intransitive) to come out, go out</li><li>(intransitive) to leave, depart</li><li>(intransitive) to show up</li><li>(intransitive) to become apparent</li><li>(transitive) to produce, pull out</li><li>(transitive) to make apparent</li><li>(transitive, suffixed to stem or continuative form of verbs) to appear doing [verb]</li></ol>
刃|pa|は	<i>noun</i><br><ol><li>any sharp and thin cutting implement: a blade, edge</li></ol>
初|はつ	<i>prefix</i><br><ol><li>the first..., initial..., new...</li></ol>
初春|patuparu|はつはる	<i>noun</i><br><ol><li>early spring</li></ol>
千|ち|ti	<i>num</i><br><ol><li>a thousand, 1000</li></ol>
千早ぶ|千早ぶる|千早びたり|ちはやびたり|ちはやぶる|ちはやびき|ちはやぶれど|千早びば|tifayabureba|ちはやびけり|tifayabikeri|tifayabure|tifayabi|tifayabu|千早びよ|千早びぬ|千早びき|千早び|ちはやびば|tifayaburedo|千早びつ|千早ぶれ|ちはやぶれば|千早びけり|tifayabiba|千早ぶれど|ちはやびつ|千早ぶれば|ちはやびぬ|ちはやびよ|tipayabu|ちはやぶ|tifayabinu|tifayabitari|ちはやぶれ|ちはやびむ|ちはやびず|tifayabiki|千早びず|ちはやび|tifayabimu|tifayabiyo|tifayabitu|千早びむ|tifayaburu|tifayabizu	<i>verb</i><br><ol><li>to move or act ferociously, with terrible godly power</li></ol>
千早人|ちはやひと|tipaya-pi₁to₂	<i>noun</i><br><ol><li>allusion to 宇治 (Udi, “a placename, especially of river crossing”)</li></ol>
千萬|ちよろづ|tiyo₂ro₂du	<i>noun</i><br><ol><li>a countless or innumerable amount</li></ol>
南|mi₁nami₁|みなみ	<i>noun</i><br><ol><li>the south (cardinal point)</li><li>a southerly (wind blowing from the south)</li></ol>
參る|まゐ|まゐたり|まゐら|mawiritu|mawireba|まゐる|mawira|參る|mawiri|mawiritari|まゐらば|mawimu|參りけり|參ば|參ず|まゐらず|mawitari|參りつ|まゐけり|まゐれ|まゐば|mawinu|まゐむ|mawikeri|まゐりけり|まゐよ|mawi|參らむ|參らば|參|mawitu|參りき|まゐれど|參らず|mawiraba|まゐぬ|mawizu|mawiki|mawirazu|mawirikeri|mawirinu|まゐり|參れど|參たり|まゐつ|mawiriki|まゐりぬ|mawireri|mawiyo|mawire|mawiru|參よ|參む|參ら|參つ|mawiba|まゐれり|まゐき|參りたり|參けり|參れ|參ぬ|參れり|まゐらむ|まゐりつ|參れば|參り|まゐれば|參き|參りぬ|mawiramu|mawiredo|まゐりき|まゐりたり|まゐず	<i>verb</i><br><ol><li>(humble, formal) to call on, visit</li><li>(humble) to go, enter, visit especially a court</li></ol>
吉野|𛀁しの|Yo₂sino₁|よしの	<i>name</i><br><ol><li>a place name</li></ol>
同じ|onazikere|同じけれど|onazikarikeri|おなじけれ|おなじく|oyazikariki|oyazikari|oyazikere|おなじくば|おなじから|同じかれ|おやじき|oyazikeredo|おやじからず|おなじかりけり|onazikara|oyazikare|同じき|onaziki|おなじければ|oyazikuba|oyazikarikeri|onazikari|同じから|おなじからず|おなじかり|onazikereba|同じかりけり|おやじかる|おなじ|おやじく|おやじかりき|おやじければ|oyazi|おやじから|おやじくば|onaziku|おなじき|oyazikereba|onazikuba|同じけれ|おやじ|oyazikara|おなじかりき|onazikarazu|おやじけれど|oyaziku|同じからず|oyaziki|onazikare|おなじけれど|onazikeredo|おやじけれ|同じくば|同じかる|おやじかりけり|同じければ|onazi|onazikariki|同じく|おやじかり|おなじかる|onazikaru|おなじかれ|oyazikarazu|同じかりき|同じかり|同じ|おやじかれ|oyazikaru	<i>adj</i><br><ol><li>same, identical</li><li>common, similar</li></ol>
君が代|ki₁mi₁ ga yo₂|きみがよ	<i>phrase</i><br><ol><li>(poetic) your age/era/generation</li></ol>
吾|wa|わ	<i>pron</i><br><ol><li>I, oneself</li></ol>
味|あぢ|adi	<i>noun</i><br><ol><li>flavor, flavour</li></ol>
四|よ|yo₂	<i>num</i><br><ol><li>four, 4</li></ol>
四つの蛇|yo₂tu no₂ pe₂mi₁|よつのへみ	
回む|たみむ|たみよ|たみたり|回むる|回むれ|回みよ|たむれど|回みつ|回みき|たむれ|たむ|taminu|回むれば|たみけり|回み|たむる|tamuredo|回みぬ|tamureba|tamiki|tamimu|tamizu|たみば|回むれど|たみき|たみぬ|tamikeri|回みむ|tamuru|tamure|tamitari|tamiyo|tamitu|tami|tamiba|回みけり|たみつ|回みば|たみず|たみ|回みず|たむれば|回みたり|tamu	<i>verb</i><br><ol><li>to turn around, go around</li><li>to bend</li></ol>
國主|こにきし|Konikisi	<i>name</i><br><ol><li>(archaic) an ancient Korean king</li></ol>
均す|ならしき|ならさば|均し|均しぬ|均しき|narase|均せば|均さず|ならせ|ならしたり|ならさず|ならし|均さ|narasaba|ならさ|narasu|narasa|均しつ|ならさむ|均したり|ならせり|均さば|ならしぬ|均せ|narasitari|narasi|均せど|narasedo|narasiki|均しけり|narasikeri|narasamu|ならせば|narasitu|naraseri|naraseba|narasinu|ならしつ|ならせど|均さむ|ならしけり|均せり|ならす|narasazu	<i>noun</i><br><ol><li>to flatten, level (the ground, etc.)</li></ol>
埼玉|さきたま|Saki₁tama	<i>name</i><br><ol><li>(historical) Saitama (a former district in northeastern Musashi Province, facing the Tone River, in the Kanto Region, Japan)</li></ol>
夜|よ|yo₁|yo₁ru|yu|よる|ゆ	<i>noun</i><br><ol><li>night, evening</li><li>(regional, Eastern Old Japanese) night, evening</li></ol>
夢|ime₂|いめ	<i>noun</i><br><ol><li>a dream</li></ol>
大倭根子天皇|Opoyamato₂neko₁ no₂ Sumerami₁ko₂to₂|おほやまとねこのすめらみこと	<i>noun</i><br><ol><li>(honorific) a more respectful term of address for an Emperor or Empress (regnant) of Japan</li></ol>
大坂|Oposaka|おほさか	<i>name</i><br><ol><li>Oposaka (a hill downsloping from Yamato to Kawachi provinces, in modern Japan)</li></ol>
大臣|opomape₁tuki₁mi₁|opomatiki₁mi₁|おほまへつきみ|opomi₁|おほまちきみ|おほみ	<i>noun</i><br><ol><li>a court official who serves near the emperor</li><li>(politics) a chief consul in the ancient Yamato court, equivalent to and replaced by 左大臣 (sadaijin) and 右大臣 (udaijin) during the Taika Reforms</li><li>a pre-Taika Reform 姓 (kabane, “hereditary title”) given to a member of a powerful clan, ranked higher than an 臣 (omi₁)</li></ol>
大魚|おふを|opuwo	<i>noun</i><br><ol><li>a big fish</li></ol>
天皇|sume₁rami₁ko₂to₂|すめらみこと|sume₁ro₂ki₁|すめろき	<i>noun</i><br><ol><li>(honorific) a sovereign who governs a region</li><li>(by extension, honorific) a term of address for an Emperor or Empress (regnant) of Japan</li><li>(by extension) the imperial lineage or family line</li><li>the Emperor's reign</li><li>(honorific) a term of address for an Emperor or Empress (regnant) of Japan</li></ol>
天香具山|あめのかぐやま|Ame₂ no₂ Kaguyama	<i>name</i><br><ol><li>a mountain located on Kashihara, Nara Prefecture; along with {{m|ojp|畝傍山|tr=Unebi_(2}yama) and 耳成山 (Mi₁mi₁nasi-yama) they are collectively called the 大和三山 (Yamato Sanzan, “Three Famous Mountains of Yamato Province”)</li></ol>
太政大臣|おほきまつりごとのおほまへつきみ|opoki₁maturigo₂to₂ no₁ opomape₁tuki₁mi₁	<i>noun</i><br><ol><li>(politics) the head of the 太政官 (Opoki₁maturigo₂to₂ no₂ Tukasa, “Great Council of State”, the highest government office under the 律令 (Ritsuryō) system), equivalent to a “grand minister” or “chancellor of the realm”</li></ol>
太政官|Opoki₁maturigo₂to₂ no₂ Tukasa|おほきまつりごとのつかさ	<i>name</i><br><ol><li>the highest governing body under the 律令 (Ritsuryō) system during and after the Nara period</li></ol>
夷守|ひなもり|pi₁namo₁ri	<i>noun</i><br><ol><li>(historical) a co-chieftain in ancient Japan who protected distant lands</li></ol>
奈良|Nara|なら	<i>name</i><br><ol><li>a placename in 大和 (Yamato₂, “Yamato Province”), the seat of power of the ancient Yamato court</li></ol>
奈良の都|Nara no₂ mi₁yako₁	<i>noun</i><br><ol><li>the capital of ancient Japan during most of the Nara period</li></ol>
奈良山|Nara-yama|ならやま	<i>name</i><br><ol><li>the hills north of the ancient capital of 平城京 (Heijō-kyō) in present-day Nara</li></ol>
妹|imu|いも|いむ|も	<i>noun</i><br><ol><li>one's sister regardless of age difference</li><li>one's lover or sweetheart who is the subject of marriage or is already married</li><li>a close female companion</li><li>a daughter</li><li>Same as いも (imo₁) above</li><li>(regional, Eastern Old Japanese) Same as いも (imo₁) above</li></ol>
姬子|pi₁me₁ko₁|ひめこ	<i>noun</i><br><ol><li>Synonym of 蠶 (kapi₁ko₁): a silkworm</li></ol>
姬遊び|ひめなそび|pi₁me₁naso₁bi₁	<i>noun</i><br><ol><li>flirting with girls</li></ol>
子等|ko₁ra|ko₂ro₂|こら|ko₁ro₂|ころ	<i>noun</i><br><ol><li>a child, little one (as a term of endearment and address for another person)</li><li>(regional, Eastern Old Japanese) a child, especially a girl</li><li>(rare, regional, Central Eastern Old Japanese) a child, especially a girl</li></ol>
官家|mi₁yake₂|みやけ	<i>noun</i><br><ol><li>territory in the Korean peninsula owned by the Yamato imperial court from the late-4th century to the mid-6th century</li></ol>
宵|yo₂pi₁|よひ	<i>noun</i><br><ol><li>the hours after sunset until midnight, collectively: dusk, evening, and night</li></ol>
富士|ふじ|不盡|Puzi	<i>name</i><br><ol><li>Short for 富士の山 (Puzi-no₂-yama): Mount Fuji</li></ol>
富登|poto₂	<i>noun</i><br><ol><li>female genitalia</li></ol>
寢ぬ|ine|inureba|いねぬ|inezu|いねよ|寢ぬる|寢ねず|inetari|いねず|寢ぬれど|いぬれ|寢ねば|寢ね|寢ねたり|inure|inemu|寢ねむ|いねつ|寢ぬれ|いぬ|inekeri|寢ねき|いねたり|いぬる|いぬれば|inuru|いねば|inetu|inenu|ineba|寢ねつ|ineyo|いねき|寢ねよ|いねけり|寢ねぬ|寢ぬれば|いぬれど|寢ねけり|inu|inuredo|いねむ|ineki|いね	<i>verb</i><br><ol><li>to sleep</li></ol>
寸|寸 -ki_|き	<i>suffix</i><br><ol><li>ancient measurement of length equivalent to the modern Japanese sun or approximately 3.03 cm</li></ol>
射干玉|nubatama|ぬばたま	<i>noun</i><br><ol><li>a blackberry lily seed or fruit, usually one that is jet-black and spherical</li></ol>
將|はた|pata	<i>adv</i><br><ol><li>by chance</li><li>also</li></ol>
小豆|aduki₁|あづき	<i>noun</i><br><ol><li>the azuki bean, Vigna angularis</li></ol>
山|yama|むれ|やま|mure	<i>noun</i><br><ol><li>a mountain</li><li>a forested area of a mountain for harvesting, hunting, etc.</li><li>a hill or mountain</li></ol>
島|sima|しま	<i>noun</i><br><ol><li>an island</li></ol>
左手|ひだりて	<i>noun</i><br><ol><li>the left hand</li></ol>
庭つ鳥|にはつとり|nipa tu to₂ri	<i>noun</i><br><ol><li>a bird kept in a garden, allusion to 鷄 (kake₁, “chicken”)</li><li>(by extension of pillow word) a chicken (domestic fowl)</li></ol>
強ふ|強ひつ|強ひむ|強ふれば|しひば|sifiyo|sifu|しふる|sifuredo|sifitari|しひ|しひむ|sipu|sifureba|しふれど|sifure|sifuru|強ひよ|強ひば|強ひず|しひつ|しひけり|しふれ|sifikeri|しひぬ|しひず|sifiki|しひたり|強ふる|強ひぬ|sifizu|しひき|sifimu|しひよ|sifiba|しふれば|しふ|sifi|強ふれど|強ひ|sifitu|強ひき|強ひたり|強ふれ|sifinu|強ひけり	<i>verb</i><br><ol><li>to compel, compulse, force</li></ol>
御|み	<i>prefix</i><br><ol><li>(honorific) added to gods and other spiritually important things</li><li>(honorific) added to nouns to indicate godlike respect</li><li>(honorific) added to placenames to emphasize beauty</li></ol>
御籠|mi₁-ko₁|みこ	<i>noun</i><br><ol><li>a lovely basket</li></ol>
御間城入彦|Mi₁maki₂iribi₁ko₁|みまきいりびこ	<i>name</i><br><ol><li>(poetic) Short for 御間城入彦五十瓊殖天皇 (Mi₁maki₂iribi₁ko₁iniwe no₂ sumerami₁ko₂to₂): Emperor Sujin</li></ol>
