Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
amian|amián	<i>noun</i><br><ol><li>north wind</li></ol>
amianan	<i>noun</i><br><ol><li>north</li></ol>
amin|amín	<i>adj</i><br><ol><li>total; entire; complete</li></ol><br><i>det</i><br><ol><li>all</li></ol><br><i>pron</i><br><ol><li>all</li></ol><br><i>noun</i><br><ol><li>confession of one's fault</li><li>admittance of defeat; concession</li></ol>
an-nay	<i>intj</i><br><ol><li>ouch</li></ol>
anak|aannakmo|anakna|anaktayo|annakmi|aannakko|annakda|aannakmi|anakmi|anák|aannaktayo|aannakta|aannak|aannakna|annakko|aannakyo|annak|anakda|annakmo|annakyo|annaktayo|annakna|annakta|anakmo|aannakda|anakyo|anakko|anakta	<i>noun</i><br><ol><li>child; son; daughter</li><li>interest (price paid for receiving borrowed money or goods)</li></ol>
anannong	<i>noun</i><br><ol><li>A culture-bound syndrome where a visit by a stranger afflicts a child with sudden illness and convulsions.</li></ol>
andidit	<i>noun</i><br><ol><li>cicada</li></ol>
angal	<i>noun</i><br><ol><li>moan</li></ol>
angep|angép	<i>noun</i><br><ol><li>fog</li></ol>
anges|angés	<i>noun</i><br><ol><li>breath</li><li>life</li></ol>
anggo|anggó	<i>noun</i><br><ol><li>kiss</li></ol>
angin	<i>noun</i><br><ol><li>wind (movement of air)</li></ol>
angkas|angkás	<i>noun</i><br><ol><li>haunch of a horse</li><li>croup; load</li></ol>
angkat|angkát	<i>noun</i><br><ol><li>(financial) revenue; return</li></ol>
angkit|angkít	<i>noun</i><br><ol><li>(pathology) asthma</li></ol>
angot|ángot	<i>noun</i><br><ol><li>odor; smell</li></ol>
ania	<i>pron</i><br><ol><li>(interrogative) what</li></ol>
aniaman	<i>noun</i><br><ol><li>thing</li></ol>
anibong	<i>noun</i><br><ol><li>fishtail palm (Caryota cumingii)</li></ol>
animal|animál	<i>noun</i><br><ol><li>animal</li></ol>
anio	<i>noun</i><br><ol><li>year</li></ol>
anis|anís	<i>noun</i><br><ol><li>anise</li></ol>
anod|ánod	<i>noun</i><br><ol><li>float; drift</li><li>being carried away by the current</li></ol>
apal	<i>noun</i><br><ol><li>envy</li></ol>
apaman	<i>adv</i><br><ol><li>hardly</li></ol>
apas|ápas	<i>noun</i><br><ol><li>anger</li></ol>
apay	<i>pron</i><br><ol><li>(interrogative) why</li></ol>
apgad	<i>noun</i><br><ol><li>salt</li></ol>
apges|apgés	<i>noun</i><br><ol><li>smarting; burning sensation from a wound</li></ol>
apin|ápin	<i>noun</i><br><ol><li>leaves placed at the bottom of a clay pot, on the inside, as a protective lining before rice is poured into it to be cooked.</li></ol>
apo|apó	<i>noun</i><br><ol><li>(usually endearing, familiar) grandparent</li><li>(usually endearing, familiar) master; mistress</li><li>sir; madam</li><li>grandchild</li></ol>
apog|ápog	<i>noun</i><br><ol><li>(chemistry) lime (calcium oxide)</li></ol>
apon	<i>noun</i><br><ol><li>pen; enclosure for animals</li><li>stable (building for horses)</li><li>coop (enclosure for birds)</li></ol>
apoy|apóy	<i>noun</i><br><ol><li>fire</li></ol>
apros|aprós	<i>noun</i><br><ol><li>light touch</li><li>soft or gentle rub</li></ol>
arado	<i>noun</i><br><ol><li>plow</li></ol>
arak|árak|arák	<i>noun</i><br><ol><li>wine; liquor; alcoholic beverage</li><li>gathering; congregation; assembly</li></ol>
aramang|aramáng	<i>noun</i><br><ol><li>any of a number of species of small marine shrimp of the genus Acetes.</li></ol>
aramid|ar-aramid	<i>noun</i><br><ol><li>work; job</li></ol>
arban|arbán	<i>noun</i><br><ol><li>herd; flock</li></ol>
arbis|arbís	<i>noun</i><br><ol><li>drizzle</li></ol>
arem|árem	<i>noun</i><br><ol><li>desire</li></ol>
ari|ári	<i>noun</i><br><ol><li>king</li></ol>
ariek|ariék	<i>noun</i><br><ol><li>disgust</li></ol>
arimadeng|arimadéng	<i>noun</i><br><ol><li>aversion</li></ol>
arimokamok	<i>noun</i><br><ol><li>drizzle</li></ol>
aring-ing|aring-íng	<i>noun</i><br><ol><li>neigh</li></ol>
ariring	<i>noun</i><br><ol><li>similarity</li></ol>
aririt|arirít	<i>noun</i><br><ol><li>very fine object (such as thread, leaves)</li></ol>
aritos	<i>noun</i><br><ol><li>earring</li></ol>
ariwatang	<i>noun</i><br><ol><li>multitude; abundance; lot</li></ol>
ariwekwek|ariwekwék	<i>noun</i><br><ol><li>multitude; abundance</li></ol>
arked|arkéd	<i>noun</i><br><ol><li>equality</li></ol>
arko|árko	<i>noun</i><br><ol><li>arch</li></ol>
arnged|arngéd	<i>noun</i><br><ol><li>proportion</li><li>equality</li><li>convenience</li></ol>
aroo|aroó	<i>noun</i><br><ol><li>the she-oak (Casuarina equisetifolia)</li></ol>
aros|áros	<i>noun</i><br><ol><li>carrying away of something by the current</li></ol>
arsobispo	<i>noun</i><br><ol><li>(Christianity) archbishop</li></ol>
artem|artém	<i>noun</i><br><ol><li>pickling</li></ol>
arusadanan	<i>noun</i><br><ol><li>patio; yard</li></ol>
asang|ásang	<i>noun</i><br><ol><li>gills (of a fish)</li><li>brachia</li></ol>
asar|asár|ásar	<i>noun</i><br><ol><li>way of fishing done using reeds forming a fence and placed around a waterfall</li><li>roasting</li></ol>
asawa	<i>noun</i><br><ol><li>husband; wife; spouse</li><li>one of a pair</li><li>pendant</li></ol>
asep|asép	<i>noun</i><br><ol><li>incense</li><li>perfume</li></ol>
asi|ási	<i>noun</i><br><ol><li>clemency; mercy</li></ol>
asin|asín	<i>noun</i><br><ol><li>salt</li></ol>
asing|ásing	<i>adj</i><br><ol><li>naughty</li><li>rebellious</li></ol>
asino	<i>pron</i><br><ol><li>(interrogative) who</li></ol>
aso|áso	<i>noun</i><br><ol><li>dog</li><li>bitch (female canine)</li></ol>
asok|asók	<i>noun</i><br><ol><li>smoke; steam; vapor</li></ol>
aspili|aspilí	<i>noun</i><br><ol><li>pin (needle without an eye, used for fastening)</li></ol>
asping|aspíng	<i>noun</i><br><ol><li>likeness; similarity</li></ol>
asug|ásug	<i>noun</i><br><ol><li>groan of pain</li><li>misery</li><li>demand</li></ol>
asukar	<i>noun</i><br><ol><li>sugar</li></ol>
atab|atáb	<i>noun</i><br><ol><li>high tide</li></ol>
atap|atáp|átap	<i>noun</i><br><ol><li>suspicion</li><li>wedge</li></ol>
atep|atép	<i>noun</i><br><ol><li>roof</li></ol>
atio|átio	<i>noun</i><br><ol><li>advantage</li><li>disadvantage</li></ol>
atis|átis	<i>noun</i><br><ol><li>sugar apple (Annona squamosa)</li></ol>
atsuete	<i>noun</i><br><ol><li>Bixa orellana, the achiote plant</li><li>achiote seed</li><li>orange-red dye obtained from the achiote seed.</li></ol>
awag	<i>noun</i><br><ol><li>proclamation</li></ol>
awan|awán	<i>verb</i><br><ol><li>to not have</li></ol><br><i>prep</i><br><ol><li>without</li></ol><br><i>pron</i><br><ol><li>nothing; nobody</li></ol>
awar|áwar	<i>adv</i><br><ol><li>far</li></ol>
ayat|áyat.|ayát	<i>noun</i><br><ol><li>love</li><li>delight</li><li>liking; pleasure</li><li>act of putting a cock into the sight of another cock before a cockfight</li></ol>
ayaten|ayatento|ayat|ayatën|inay-ayat|ay-ayaten|inayat	<i>verb</i><br><ol><li>to love</li></ol>
ayoan	<i>noun</i><br><ol><li>care</li></ol>
ayup|áyup	<i>noun</i><br><ol><li>animal</li></ol>
baag|baág	<i>noun</i><br><ol><li>loincloth; G-string</li></ol>
baak|baák	<i>adj</i><br><ol><li>old; aged</li></ol>
baaw|báaw	<i>noun</i><br><ol><li>cooled rice</li><li>leftover</li><li>tepidity; coolness</li></ol>
baba|babá	<i>adv</i><br><ol><li>below</li></ol>
babai|babbai|babái	<i>adj</i><br><ol><li>female</li></ol><br><i>noun</i><br><ol><li>woman; female; girl</li><li>concubine; mistress</li></ol>
babao|babbao	<i>noun</i><br><ol><li>girl; woman</li></ol>
babawi	<i>noun</i><br><ol><li>regret</li></ol>
babuy|bábuy	<i>noun</i><br><ol><li>pig (mammal of genus Sus)</li></ol>
bado	<i>noun</i><br><ol><li>dress</li><li>clothing; attire</li></ol>
baen|baén	<i>noun</i><br><ol><li>sneeze</li></ol>
baetan	<i>noun</i><br><ol><li>southeast wind</li></ol>
baga	<i>noun</i><br><ol><li>red</li></ol>
bagas|bagás	<i>noun</i><br><ol><li>rice</li></ol>
bagay|bágay	<i>noun</i><br><ol><li>harmony; agreement between things</li></ol><br><i>adj</i><br><ol><li>proper; fit; suitable</li></ol>
bagi|bagik|bagí|bagbagi|bagbagitayo|bagina|bagitayo|bagida|bagim|bagbagim|bagbagida|bagimi|bagiyo|bági|bagbagiyo|bagita|bagbagina|bagbagita|bagbagimi|bagbagik	<i>noun</i><br><ol><li>part</li><li>share; portion; lot</li><li>offspring; child</li><li>Used to form possessive pronouns</li><li>body</li><li>structure; form</li><li>relative (person connected with another by blood or affinity)</li><li>self</li><li>Used to form reflexive pronouns</li></ol>
bagio|bagió	<i>noun</i><br><ol><li>tropical cyclone; typhoon</li><li>storm</li></ol>
bagis|bágis	<i>noun</i><br><ol><li>(anatomy) intestine</li></ol>
bagius|bagiús	<i>noun</i><br><ol><li>dagger</li></ol>
bagkong|bagkóng	<i>noun</i><br><ol><li>stab</li></ol>
bain|baín	<i>noun</i><br><ol><li>shame</li></ol>
baka|bakâ	<i>noun</i><br><ol><li>cow</li><li>ox</li></ol><br><i>adv</i><br><ol><li>maybe, perhaps, might be</li></ol>
bakag|bakág	<i>noun</i><br><ol><li>fat person</li><li>animal full of meat</li></ol>
bakal|bákal	<i>noun</i><br><ol><li>battle; fight; war</li></ol>
baket|bakket	<i>noun</i><br><ol><li>old woman</li><li>wife</li></ol>
bakia|bakiá	<i>noun</i><br><ol><li>wooden sandal</li></ol>
bakir|bákir	<i>noun</i><br><ol><li>forest; woods</li></ol>
baknang|baknáng|babaknang	<i>noun</i><br><ol><li>nobility</li></ol><br><i>adj</i><br><ol><li>rich; wealthy</li></ol>
bakud|bákud	<i>noun</i><br><ol><li>wall</li></ol>
bakuna|ᜊᜃᜓᜈ	<i>noun</i><br><ol><li>(medicine) vaccine; vaccination</li></ol>
balanak	<i>noun</i><br><ol><li>mullet</li></ol>
balang|bálang	<i>adj</i><br><ol><li>evil</li></ol>
balaniog|balanióg	<i>noun</i><br><ol><li>coconut or palm leaf</li></ol>
balasang	<i>noun</i><br><ol><li>bachelorette</li><li>maiden</li></ol>
balatong	<i>noun</i><br><ol><li>mung bean</li></ol>
balaw|baláw	<i>noun</i><br><ol><li>fright</li><li>hurry; rush</li></ol>
balay|balbalaytayo|balayyo|balbaláy|balaytayo|balbalayta|balbalayyo|balbalaymo|balaymi|balayko|balbalaymi|balbalayko|baláy|balayna|balayta|balaymo|balayda|balbalayda|balbalayna|balbalay	<i>noun</i><br><ol><li>house</li></ol>
balbaliw	<i>adj</i><br><ol><li>inconstant; variable</li></ol>
bales|báles	<i>noun</i><br><ol><li>payment</li><li>reward; renumeration</li><li>revenge</li></ol>
balete	<i>noun</i><br><ol><li>any of a species of trees found in the Philippines, usually strangler figs.</li></ol>
baliad|baliád	<i>noun</i><br><ol><li>resale</li></ol>
balibad	<i>noun</i><br><ol><li>error; mistake</li></ol>
baligawgaw|baligawgáw	<i>noun</i><br><ol><li>distraction</li><li>vagabond</li></ol>
balik|balík	<i>noun</i><br><ol><li>turn</li><li>change</li><li>to and fro movement</li></ol>
balikas|balikás	<i>noun</i><br><ol><li>pronunciation</li></ol>
balikid	<i>noun</i><br><ol><li>back of something</li></ol>
balinghoy	<i>noun</i><br><ol><li>cassava (Manihot esculenta)</li></ol>
balitok|balitók	<i>noun</i><br><ol><li>gold</li></ol>
balla|ballá	<i>noun</i><br><ol><li>frenzy</li><li>(medicine) rabies</li><li>white fish</li></ol>
balligi	<i>noun</i><br><ol><li>triumph</li></ol>
balo|bálo	<i>noun</i><br><ol><li>widow; widower</li></ol>
balon|bálon	<i>noun</i><br><ol><li>provisions; food, money or supplies brought on a journey or outside home.</li></ol>
banaba|banabá	<i>noun</i><br><ol><li>banaba</li></ol>
banag|banág|bánag	<i>noun</i><br><ol><li>effect; result</li><li>greenbrier (Smilax bracteata)</li></ol>
banat|bánat	<i>noun</i><br><ol><li>lengthening (of iron, gold, etc.) by forging</li></ol>
bandera	<i>noun</i><br><ol><li>flag</li></ol>
bandus|bandús	<i>noun</i><br><ol><li>plumage</li><li>(astronomy) tail of a comet</li></ol>
bangag	<i>adj</i><br><ol><li>voiceless; without voice</li></ol>
bangar|bangár	<i>noun</i><br><ol><li>Java olive tree, Sterculia foetida</li></ol>
bangir|bángir	<i>noun</i><br><ol><li>side</li><li>page of a book</li></ol>
bangka|bángka	<i>noun</i><br><ol><li>large double outrigger canoe without outriggers</li></ol>
bangkay|bangkáy	<i>noun</i><br><ol><li>cadaver; corpse</li><li>framework of a cart</li></ol>
bangkirig	<i>noun</i><br><ol><li>hillside</li><li>slope</li></ol>
banglo|bangló	<i>noun</i><br><ol><li>fragrance</li></ol>
baniaga	<i>noun</i><br><ol><li>commerce; trade</li></ol>
banias|baniás	<i>noun</i><br><ol><li>monitor lizard</li><li>iguana</li></ol>
bannawag	<i>noun</i><br><ol><li>dawn; daybreak</li></ol>
bannug|bannúg	<i>noun</i><br><ol><li>tiredness</li></ol>
bantay|bantáy	<i>noun</i><br><ol><li>mountain</li><li>high hill</li></ol>
bantayan	<i>noun</i><br><ol><li>guard; sentinel; lookout</li></ol>
bao|baó	<i>noun</i><br><ol><li>mouse</li></ol>
baon|baón	<i>noun</i><br><ol><li>envoy</li><li>messenger</li></ol>
baot|báot	<i>noun</i><br><ol><li>whip; lash</li></ol>
bapa	<i>noun</i><br><ol><li>(usually Amianan, dialectal) Term of respect for a (male) person one generation older than the speaker.</li></ol>
bara	<i>noun</i><br><ol><li>lung</li></ol>
barato	<i>adj</i><br><ol><li>cheap</li></ol><br><i>noun</i><br><ol><li>(gambling) money given to a stakeholder</li></ol>
barbas	<i>noun</i><br><ol><li>beard</li></ol>
barekbek|barekbék	<i>noun</i><br><ol><li>long basket with a net used to catch shrimp</li></ol>
baro	<i>adj</i><br><ol><li>new (recently made or created)</li></ol>
barot|bárot	<i>noun</i><br><ol><li>wire</li></ol>
bartek|barték	<i>noun</i><br><ol><li>drunkenness</li></ol>
basa|basá|bása	<i>adj</i><br><ol><li>wet (of an object: covered with or impregnated with liquid)</li></ol><br><i>noun</i><br><ol><li>soaking</li><li>reading</li><li>study</li></ol>
basang|bassang	<i>noun</i><br><ol><li>girl</li></ol>
basar|basár	<i>noun</i><br><ol><li>mayor</li></ol>
basi|bási	<i>noun</i><br><ol><li>sugarcane wine creating by boiling sugarcane juice on bark of the Java plum (lumboy) and fermenting it inside clay jars containing yeast.</li></ol>
baskag|baskág	<i>noun</i><br><ol><li>bulge on one's clothes</li></ol>
basol|básol	<i>noun</i><br><ol><li>sin</li><li>fault; mistake; error</li></ol>
bassit|bassít|basbassit	<i>adj</i><br><ol><li>small</li></ol>
batea|bateá	<i>noun</i><br><ol><li>pan (wide receptacle used in gold washing)</li><li>basin</li></ol>
batek|baték	<i>noun</i><br><ol><li>painted designs on the body, especially of the Tinguian; tattoo</li></ol>
bateng|baténg	<i>noun</i><br><ol><li>kind of net used for hunting deer or boar</li><li>scoop net</li></ol>
batikuleng|batikuléng	<i>noun</i><br><ol><li>gizzard (of a bird)</li></ol>
batil|batíl	<i>noun</i><br><ol><li>beat; whisk</li></ol>
bato	<i>noun</i><br><ol><li>rock, stone, cobble</li></ol>
batok|bátok	<i>noun</i><br><ol><li>diver</li></ol>
bawang|bawáng	<i>noun</i><br><ol><li>garlic</li><li>gorge</li><li>inlet</li></ol>
bawi	<i>noun</i><br><ol><li>redemption; regaining of what one has lost</li></ol>
bay-a|bay-á	<i>noun</i><br><ol><li>act of permitting, allowing or letting something</li><li>cessation; stoppage</li><li>leaving someone alone</li><li>neglect</li></ol>
bay-ong|baybay-ongna|bay-ongmo|baybay-ongmo|baybay-ongmi|baybay-ongda|baybay-ongyo|baybay-ongtayo|bay-ongda|baybay-ongko|bay-ongko|baybay-ong|baybay-ongta|bay-ongtayo|bay-ongta|bay-ongna|bay-ongmi|bay-ongyo|bay-óng	<i>noun</i><br><ol><li>sack; bag</li></ol>
bayabas	<i>noun</i><br><ol><li>guava</li></ol>
bayad|báyad	<i>noun</i><br><ol><li>payment</li><li>cost; price</li><li>fare</li><li>tone of speech</li></ol>
bayag	<i>adj</i><br><ol><li>long</li></ol>
bayawak	<i>noun</i><br><ol><li>scorpion</li></ol>
baybay	<i>noun</i><br><ol><li>part of the sea close to shore</li><li>beach; shore</li></ol>
bayuot	<i>noun</i><br><ol><li>bad odor from clothes wet with urine</li></ol>
bedbed|bedbéd	<i>noun</i><br><ol><li>ribbon</li><li>cord; string</li><li>tie</li><li>band; bandage; swath</li></ol>
beinte	<i>num</i><br><ol><li>twenty</li></ol>
bendision|bendisyon	<i>noun</i><br><ol><li>blessing</li></ol><br><i>verb</i><br><ol><li>to bless</li></ol>
bengngat|bengngát	<i>noun</i><br><ol><li>(linguistics, sociolinguistics) accent</li><li>stock phrase</li></ol>
bessang|bessáng	<i>noun</i><br><ol><li>(geography) gorge; ravine</li><li>cut vein or tendon in the foot</li><li>opening or rip on the hem of a dress or skirt</li></ol>
betis	<i>noun</i><br><ol><li>(anatomy) foot</li></ol>
bettak|betták	<i>noun</i><br><ol><li>cracking</li><li>explosion (from a gun barrel)</li><li>breaking (of bottles, waves hitting the seashore, etc.)</li></ol>
biag	<i>noun</i><br><ol><li>life</li></ol>
bigat	<i>noun</i><br><ol><li>morning</li><li>tomorrow</li></ol>
bilanggo|bilanggô	<i>noun</i><br><ol><li>senior officer of a prison or school</li></ol>
billit	<i>noun</i><br><ol><li>bird</li></ol>
billobillo	<i>noun</i><br><ol><li>dragonfly</li></ol>
bitik|bitík	<i>noun</i><br><ol><li>pulse; beat; throb (of a heart)</li></ol>
bittaog|bittaóg	<i>noun</i><br><ol><li>bitaog; palomaria (Calophyllum inophyllum)</li></ol>
bituen|bitwén|bitwen|bituén	<i>noun</i><br><ol><li>star</li></ol>
bobeda	<i>noun</i><br><ol><li>ceiling</li></ol>
botones	<i>noun</i><br><ol><li>button</li></ol>
botos	<i>noun</i><br><ol><li>vote</li></ol>
buaya|buwaya	<i>noun</i><br><ol><li>crocodile</li></ol>
bubon|bubón	<i>noun</i><br><ol><li>well (for water)</li></ol>
budo|búdo	<i>noun</i><br><ol><li>itch; itchiness</li></ol>
buelta	<i>noun</i><br><ol><li>turn</li></ol>
bugaso	<i>noun</i><br><ol><li>bagasse</li></ol>
bugi|búgi	<i>noun</i><br><ol><li>roe</li><li>spawn</li></ol>
bugnay	<i>noun</i><br><ol><li>the bignay (Antidesma bunius)</li><li>the fruit of this tree</li></ol>
buis|buís	<i>noun</i><br><ol><li>tax</li></ol>
bukal|bukál	<i>noun</i><br><ol><li>wild boar</li><li>large louse</li><li>fountain</li><li>spring</li><li>well</li></ol>
bukat|bukát	<i>noun</i><br><ol><li>mouse; rat</li></ol>
bukbok|bukbók	<i>noun</i><br><ol><li>grain beetle</li><li>rice weevil</li><li>wood grub</li><li>woodborer</li><li>pouring out of something</li></ol>
buklaw|bukláw	<i>noun</i><br><ol><li>gluttony</li></ol>
bukol	<i>noun</i><br><ol><li>any projecting bone</li></ol>
bulag|bulág	<i>adj</i><br><ol><li>blind</li></ol>
