Lebubînî|Lébúbînî́	<i>noun</i><br><ol><li>Tuesday</li></ol>
bonisa	<i>verb</i><br><ol><li>to show</li></ol>
bonya	<i>verb</i><br><ol><li>to smile</li></ol>
bovu|labovu|legibovu|kubovu|bubovu|libovu|sibovu|tibovu|lelibovu|ibovu|gibovu|lesibovu|lebovu|abovu|lobubovu|lokubovu|lababovu|letibovu|ubovu|babovu|lobovu	<i>conj</i><br><ol><li>red</li></ol>
buKreste|búKréste	<i>noun</i><br><ol><li>Christianity</li></ol>
bubha	<i>verb</i><br><ol><li>to mould</li></ol>
bufûtsana|búfû́tsaná	<i>noun</i><br><ol><li>poverty</li></ol>
bugadagada	<i>noun</i><br><ol><li>eternity</li></ol>
bugella	<i>verb</i><br><ol><li>to collect</li></ol>
buhlali|búhlálí	<i>noun</i><br><ol><li>slyness, craftiness, trickery</li></ol>
buhlugu|búhlugú	<i>noun</i><br><ol><li>pain</li></ol>
bukgulu|búkgúlú	<i>noun</i><br><ol><li>size</li></ol>
bukhali|bubukhali|lobubukhali|lokubukhali|babukhali|gibukhali|abukhali|lelibukhali|kubukhali|tibukhali|lobukhali|lesibukhali|libukhali|lebukhali|ibukhali|legibukhali|labukhali|ubukhali|letibukhali|sibukhali|lababukhali	<i>conj</i><br><ol><li>sharp, pointy</li></ol>
bukhokho|búkhókhó	<i>noun</i><br><ol><li>pot scrapings</li></ol>
bukhoni|búkhóní	<i>noun</i><br><ol><li>difficulty</li></ol>
bulala	<i>verb</i><br><ol><li>to kill</li></ol>
bulaya	<i>verb</i><br><ol><li>to kill</li></ol>
bulla	<i>verb</i><br><ol><li>to be circumcised</li></ol>
bulogwe|búlogwé	<i>noun</i><br><ol><li>dung, manure</li></ol>
buluga	<i>verb</i><br><ol><li>to save</li></ol>
bulîla|lababulîla|sibulîla|lobulîla|ubulîla|lesibulîla|tibulîla|labulîla|bubulîla|lokubulîla|lebulîla|ibulîla|kubulîla|gibulîla|libulîla|letibulîla|legibulîla|babulîla|abulîla|lelibulîla|lobubulîla	<i>conj</i><br><ol><li>sour</li></ol>
bulûkgwe|émálû́kgwe|búlû́kgwe	<i>noun</i><br><ol><li>trousers</li></ol>
bunya|búnya	<i>noun</i><br><ol><li>excrement, feces</li></ol>
bunye|búnye	<i>noun</i><br><ol><li>singular (grammar)</li></ol>
bunyheti|búnyhéti|émányhéti	<i>noun</i><br><ol><li>plural (grammar)</li></ol>
bunyovu|émányóvu|búnyóvu	<i>noun</i><br><ol><li>wasp</li></ol>
buphîrîma|búphî́rîma	<i>noun</i><br><ol><li>west</li></ol>
burabhelî|búrábhelî	<i>noun</i><br><ol><li>community of people praying</li></ol>
burokgho|búrókghó|émárókghó	<i>noun</i><br><ol><li>bridge</li></ol>
busuku|búsúkú	<i>noun</i><br><ol><li>night</li></ol>
buta	<i>verb</i><br><ol><li>to ask</li></ol>
butfogo|bútfogo	<i>noun</i><br><ol><li>sleep</li></ol>
butfu|bútfu	<i>noun</i><br><ol><li>humanity</li></ol>
buthata|búthátá	<i>noun</i><br><ol><li>difficulty, problem</li></ol>
butibo|ematibo	<i>noun</i><br><ol><li>depths, deep place</li></ol>
butjhabela|bútjhábela	<i>noun</i><br><ol><li>east</li></ol>
butîma|bútîma	<i>noun</i><br><ol><li>difficulty</li></ol>
buya	<i>verb</i><br><ol><li>to return [+locative = from]</li></ol>
bî|letibî|lesibî|mhabî|lebî|lesibabî|mhubî|lokubî|bhubî|sibabî|lamubî|ttibî|kkubî|lobubî|legimubî|lamabî|lelibî|yhibî|umubî|lomubî|lababî|bhabî|mhibî|lelibabî|lhibî|lemibî|gimubî|libabî|ssibî	<i>adj</i><br><ol><li>bad</li><li>evil</li><li>ugly</li></ol>
bînî|gimubînî|ssibînî|lababînî|mhabînî|lamubînî|lemibînî|lesibabînî|bhubînî|mhubînî|mhibînî|lelibabînî|lesibînî|lelibînî|kkubînî|umubînî|lokubînî|lamabînî|letibînî|sibabînî|legimubînî|lhibînî|lomubînî|libabînî|bhabînî|yhibînî|lebînî|lobubînî|ttibînî	<i>adj</i><br><ol><li>two</li></ol>
bîta	<i>verb</i><br><ol><li>to call</li></ol>
bîtûlla	<i>verb</i><br><ol><li>to be disrespectful</li></ol>
bûsa	<i>verb</i><br><ol><li>to rule</li></ol>
bûtle|bû́tle	<i>adv</i><br><ol><li>slowly</li></ol>
bûwa	<i>verb</i><br><ol><li>to take off skin</li></ol>
cece|cecé|bócecé	<i>noun</i><br><ol><li>grandmother</li></ol>
chaba	<i>verb</i><br><ol><li>to rise (of the sun)</li></ol>
chadza	<i>verb</i><br><ol><li>to amuse</li></ol>
chata	<i>verb</i><br><ol><li>to pour in a bit</li></ol>
chaza	<i>verb</i><br><ol><li>to explain</li></ol>
chitsha	<i>verb</i><br><ol><li>to pour away, to waste</li></ol>
ciga	<i>verb</i><br><ol><li>to think</li></ol>
cinyellwa	<i>verb</i><br><ol><li>to forget</li></ol>
dala|letidala|lokudala|lobudala|labadala|lodala|ladala|legidala|lidala|lesidala|badala|lelidala|kudala|gidala|adala|budala|sidala|ledala|udala|idala|tidala	<i>conj</i><br><ol><li>green</li></ol>
dantsha	<i>verb</i><br><ol><li>to dance</li></ol>
diroya	<i>verb</i><br><ol><li>to draw (picture)</li></ol>
dla	<i>verb</i><br><ol><li>to eat</li></ol>
dlala	<i>verb</i><br><ol><li>to make a bed</li><li>to play</li></ol>
dlaluka	<i>verb</i><br><ol><li>to become folded up</li></ol>
dlalulla	<i>verb</i><br><ol><li>to fold up</li><li>to gather up</li></ol>
dlayila	<i>verb</i><br><ol><li>to be wrong, to miss something</li></ol>
dlisa	<i>verb</i><br><ol><li>to feed</li><li>to poison</li></ol>
dola	<i>verb</i><br><ol><li>to swim</li></ol>
dula	<i>verb</i><br><ol><li>to wash (entire body)</li></ol>
dzakala	<i>verb</i><br><ol><li>to become injured</li></ol>
dzakalisa	<i>verb</i><br><ol><li>to injure</li></ol>
dzakwa	<i>verb</i><br><ol><li>to get drunk</li></ol>
dze|letidze|lamudze|labadze|sibadze|lelidze|gimudze|lokudze|kkudze|ssidze|ledze|umudze|lamadze|lobudze|bhudze|lesibadze|legimudze|mhidze|lelibadze|lemidze|libadze|bhadze|ttidze|lesidze|mhudze|mhadze|lhidze|yhidze|lomudze	<i>adj</i><br><ol><li>tall</li></ol>
dziga	<i>verb</i><br><ol><li>to fight over something</li></ol>
dzina	<i>verb</i><br><ol><li>to dress</li></ol>
dzinulla	<i>verb</i><br><ol><li>to undress</li></ol>
dzitela	<i>verb</i><br><ol><li>to bury</li></ol>
dzitulla	<i>verb</i><br><ol><li>to dig up</li></ol>
dûdûma	<i>verb</i><br><ol><li>to thunder</li></ol>
dûma	<i>verb</i><br><ol><li>to roar, to thunder</li><li>to be famous</li></ol>
emadla|émadla	<i>noun</i><br><ol><li>strength, power</li></ol>
emafulelo|émáfúlélo	<i>noun</i><br><ol><li>thatched roof</li></ol>
emafutsha|émáfútshá	<i>noun</i><br><ol><li>fat, grease</li></ol>
emakhata|émákhátá	<i>noun</i><br><ol><li>cold (temperature)</li></ol>
emala|émála	<i>noun</i><br><ol><li>lies</li></ol>
emalî|émalî́	<i>noun</i><br><ol><li>blood</li></ol>
emanganga|émángangá	<i>verb</i><br><ol><li>stubbornness</li></ol>
emankgani|émánkgáni	<i>noun</i><br><ol><li>trickery</li></ol>
emantsîbuya|émántsîbúyá	<i>noun</i><br><ol><li>late afternoon</li></ol>
emaphelo|émáphéló	<i>noun</i><br><ol><li>end (e.g. of month)</li></ol>
emariya|émáríyá	<i>noun</i><br><ol><li>winter</li></ol>
emati|ématí	<i>noun</i><br><ol><li>water</li></ol>
ematshe|émátshé	<i>noun</i><br><ol><li>spit, saliva</li></ol>
fa	<i>verb</i><br><ol><li>to die</li></ol>
faneleka	<i>verb</i><br><ol><li>to be proper</li></ol>
fasa	<i>verb</i><br><ol><li>to tie</li></ol>
fasulla	<i>verb</i><br><ol><li>to untie</li></ol>
fihla	<i>verb</i><br><ol><li>to hide</li></ol>
fika	<i>verb</i><br><ol><li>to arrive</li></ol>
firigana	<i>verb</i><br><ol><li>to become confused</li></ol>
firiganya	<i>verb</i><br><ol><li>to make confused</li></ol>
fosa	<i>verb</i><br><ol><li>to be wrong, to be mistaken</li></ol>
fubhatsha	<i>verb</i><br><ol><li>to hold in the fist</li></ol>
fudzekela	<i>verb</i><br><ol><li>to make noise</li></ol>
fufa	<i>verb</i><br><ol><li>to fly</li></ol>
fufunela	<i>verb</i><br><ol><li>to smell, to sniff</li></ol>
fula	<i>verb</i><br><ol><li>to graze</li></ol>
fulela	<i>verb</i><br><ol><li>to thatch</li></ol>
funa	<i>verb</i><br><ol><li>to want</li></ol>
fuphi|gimufuphi|bhafuphi|bhufuphi|ssifuphi|lomufuphi|mhafuphi|libafuphi|lelibafuphi|legimufuphi|lobufuphi|lesifuphi|ttifuphi|kkufuphi|lokufuphi|lefuphi|lesibafuphi|lhifuphi|umufuphi|lamufuphi|lemifuphi|lelifuphi|mhufuphi|labafuphi|letifuphi|mhifuphi|lamafuphi|sibafuphi|yhifuphi	<i>adj</i><br><ol><li>short</li></ol>
futa	<i>verb</i><br><ol><li>to inherit</li></ol>
futhumala	<i>verb</i><br><ol><li>to become warm</li></ol>
futhumeta	<i>verb</i><br><ol><li>to warm up</li></ol>
fuya	<i>verb</i><br><ol><li>to breed (animals)</li></ol>
fûfûnelwa	<i>verb</i><br><ol><li>to sweat</li></ol>
fûlûwa	<i>verb</i><br><ol><li>to stir</li></ol>
fûtsaneka	<i>verb</i><br><ol><li>to become poor</li></ol>
gada	<i>verb</i><br><ol><li>to guard</li></ol>
gadza	<i>verb</i><br><ol><li>to stamp</li></ol>
gakadlela	<i>verb</i><br><ol><li>to hold on firmly to</li></ol>
galhe|gálhé	<i>adv</i><br><ol><li>over there</li></ol>
gcada	<i>verb</i><br><ol><li>to roast meat</li></ol>
gcina	<i>verb</i><br><ol><li>to keep</li></ol>
gcinakalisa	<i>verb</i><br><ol><li>to preserve, to keep</li></ol>
gemuso|gemúsó	<i>adv</i><br><ol><li>tomorrow</li></ol>
gemusweni|gemúswéni	<i>adv</i><br><ol><li>day after tomorrow</li></ol>
gemva|gémvá	<i>adv</i><br><ol><li>afterwards</li></ol>
gena	<i>verb</i><br><ol><li>to enter, to go into [+locative]</li></ol>
genisa	<i>verb</i><br><ol><li>to let in</li></ol>
geta	<i>verb</i><br><ol><li>to add</li></ol>
gidiza	<i>verb</i><br><ol><li>to make the sound of cow's hooves clopping</li></ol>
goba	<i>verb</i><br><ol><li>to bend</li></ol>
gobulla	<i>verb</i><br><ol><li>to straighten, to unbend</li></ol>
godvuka	<i>verb</i><br><ol><li>to go home</li></ol>
godvusa	<i>verb</i><br><ol><li>to take someone home</li></ol>
grinya	<i>verb</i><br><ol><li>to bite on a surface</li></ol>
gweleta	<i>verb</i><br><ol><li>to be unreliable, to change mind at last moment</li></ol>
gwinya	<i>verb</i><br><ol><li>to swallow</li></ol>
gûdza	<i>verb</i><br><ol><li>to shear</li></ol>
gûla	<i>verb</i><br><ol><li>to be sick</li></ol>
halalela	<i>verb</i><br><ol><li>to become holy</li></ol>
harela	<i>verb</i><br><ol><li>to tie up</li></ol>
helebha	<i>verb</i><br><ol><li>to help, to save</li></ol>
hhaka	<i>verb</i><br><ol><li>to become stuck tightly</li></ol>
hlaba	<i>verb</i><br><ol><li>to stab</li></ol>
hlabulla	<i>verb</i><br><ol><li>to pull out, to pluck out</li></ol>
hlagana	<i>verb</i><br><ol><li>to meet</li></ol>
hlahlama	<i>verb</i><br><ol><li>to follow in family</li><li>to follow in a line</li></ol>
hlala	<i>verb</i><br><ol><li>to live</li></ol>
hlang	<i>adv</i><br><ol><li>near</li></ol>
hlanu|bhuhlanu|mhuhlanu|lelihlanu|yhihlanu|kkuhlanu|libahlanu|lomuhlanu|lehlanu|umuhlanu|lesibahlanu|lokuhlanu|lobuhlanu|lhihlanu|sibahlanu|lemihlanu|letihlanu|ssihlanu|lesihlanu|bhahlanu|lamuhlanu|labahlanu|legimuhlanu|lamahlanu|mhihlanu|mhahlanu|lelibahlanu|ttihlanu|gimuhlanu	<i>adj</i><br><ol><li>five</li></ol>
hlanukela	<i>verb</i><br><ol><li>to turn inside out</li></ol>
hlanya	<i>verb</i><br><ol><li>to be mad</li></ol>
hlata	<i>verb</i><br><ol><li>to wash</li><li>to vomit</li></ol>
hle|lelihle|lamuhle|lokuhle|lesibahle|umuhle|lehle|ttihle|lesihle|lhihle|mhuhle|kkuhle|gimuhle|bhahle|bhuhle|ssihle|lobuhle|mhahle|yhihle|lamahle|labahle|libahle|letihle|mhihle|sibahle|lomuhle|lemihle|lelibahle|legimuhle	<i>adj</i><br><ol><li>beautiful, handsome</li></ol>
hleka	<i>verb</i><br><ol><li>(intransitive) to laugh</li><li>(transitive) to laugh at</li></ol>
hloga	<i>verb</i><br><ol><li>to need</li></ol>
hlogakala	<i>verb</i><br><ol><li>to be necessary</li></ol>
hlohlona	<i>verb</i><br><ol><li>to have a burn on body</li></ol>
hlokomela	<i>verb</i><br><ol><li>to take care of, to look after, to realize</li></ol>
hloma	<i>verb</i><br><ol><li>to plant (e.g. tree)</li></ol>
hlomolla	<i>verb</i><br><ol><li>to dig up, to pull out (e.g. tree)</li></ol>
hlomula	<i>verb</i><br><ol><li>to be angry, to be sad</li></ol>
hlonipha	<i>verb</i><br><ol><li>to respect</li></ol>
hloniphulla	<i>verb</i><br><ol><li>to be disrespectful</li></ol>
hluta	<i>verb</i><br><ol><li>to squeeze, to wring out</li></ol>
hlwegisa	<i>verb</i><br><ol><li>to brighten</li></ol>
huwa	<i>verb</i><br><ol><li>to proclaim, to say in a loud voice</li></ol>
hweletsa	<i>verb</i><br><ol><li>to call</li></ol>
iCawe|íCáwe	<i>noun</i><br><ol><li>Sunday</li></ol>
iLisuthu|íLísúthú	<i>noun</i><br><ol><li>Lesotho</li></ol>
iandaphene|tíándaphéne|íándaphéne	<i>noun</i><br><ol><li>undergarment</li></ol>
iawara|tíáwara|íáwara	<i>noun</i><br><ol><li>hour</li></ol>
ibhali|tíbhalí|íbhalí	<i>noun</i><br><ol><li>history, short story</li></ol>
ibhebha|tíbhebha|íbhebha	<i>noun</i><br><ol><li>mouse</li></ol>
ibheko|tíbheko|íbheko	<i>noun</i><br><ol><li>look, glance</li></ol>
ibholo|íbhólo|tíbhólo	<i>noun</i><br><ol><li>soccer</li></ol>
ibhoni|íbhoní|tíbhoní	<i>noun</i><br><ol><li>maize</li></ol>
ibhuka|íbhúka|tíbhúka	<i>noun</i><br><ol><li>book</li></ol>
ibhîna|tíbhîná|íbhîná	<i>noun</i><br><ol><li>song</li></ol>
ibhîta|tíbhîtá|íbhîtá	<i>noun</i><br><ol><li>pot</li></ol>
ibhûtî|íbhûtî́|tíbhûtî́	<i>noun</i><br><ol><li>goat</li></ol>
ibi|tíbí|íbí	<i>noun</i><br><ol><li>sin</li></ol>
iboniso|íbóníso|tíbóníso	<i>noun</i><br><ol><li>show</li></ol>
ibono|íbónó|tíbónó	<i>noun</i><br><ol><li>scene</li></ol>
ibîlë	<i>conj</i><br><ol><li>then</li></ol>
icawe|ícáwe|tícáwe	<i>noun</i><br><ol><li>week</li></ol>
ichwala|tíchwála|íchwála	<i>noun</i><br><ol><li>louse</li></ol>
ichölö|íchölö|tíchölö	<i>noun</i><br><ol><li>hip bone</li></ol>
idawû|tídawû́|ídawû́	<i>noun</i><br><ol><li>lion</li></ol>
idlebe|tídlebé|ídlebé	<i>noun</i><br><ol><li>ear</li></ol>
idlela|ídlela|tídlela	<i>noun</i><br><ol><li>road, path</li></ol>
idlovu|ídlovu|tídlovu	<i>noun</i><br><ol><li>elephant</li></ol>
idlu|ídlu|tídlu	<i>noun</i><br><ol><li>house</li></ol>
idlwana|ídlwana|tídlwana	<i>noun</i><br><ol><li>box</li></ol>
idvuna|tídvúna|ídvúna	<i>noun</i><br><ol><li>male</li></ol>
idzaba|ídzaba|tídzaba	<i>noun</i><br><ol><li>matter, issue, affair</li><li>piece of news</li><li>story</li></ol>
idzabadzaba|tídzabádzaba|ídzabádzaba	<i>noun</i><br><ol><li>main thing</li></ol>
idzawo|ídzawó|tídzawó	<i>noun</i><br><ol><li>place, area</li></ol>
idzedze|tídzedzé|ídzedzé	<i>noun</i><br><ol><li>mosquito</li></ol>
idzevû|ídzevû|tídzevû	<i>noun</i><br><ol><li>single hair</li><li>beard</li></ol>
idönki|tídönkí|ídönkí	<i>noun</i><br><ol><li>donkey</li></ol>
ifeyhiye|ífeyhíye|tífeyhíye	<i>noun</i><br><ol><li>fig</li></ol>
ifiriko|ífíriko|tífíriko	<i>noun</i><br><ol><li>fork</li></ol>
igeno|tígenó|ígenó	<i>noun</i><br><ol><li>entry</li></ol>
igeto|ígeto|tígeto	<i>noun</i><br><ol><li>addition</li></ol>
igodî|ígodî	<i>noun</i><br><ol><li>danger</li></ol>
igubho|tígubho|ígubho	<i>noun</i><br><ol><li>blanket</li></ol>
igwe|tígwe|ígwe	<i>noun</i><br><ol><li>leopard</li></ol>
ihhempe|íhheḿpe|tíhheḿpe	<i>noun</i><br><ol><li>shirt</li></ol>
ihhûkû|tíhhû́kû|íhhû́kû	<i>noun</i><br><ol><li>hook (fish)</li></ol>
ihlagano|íhlágano|tíhlágano	<i>noun</i><br><ol><li>meeting</li></ol>
ihlama|tíhlama|íhlama	<i>noun</i><br><ol><li>dough</li></ol>
ihlatî|tíhlatî|íhlatî	<i>noun</i><br><ol><li>fish</li></ol>
ihlitiyo|íhlítíyo|tíhlítíyo	<i>noun</i><br><ol><li>heart</li></ol>
ihloko|tíhloko|íhloko	<i>noun</i><br><ol><li>head</li></ol>
ihloni|tíhlóní|íhlóní	<i>noun</i><br><ol><li>embarrassment, shyness, shame</li></ol>
ihöra|tíhörá|íhörá	<i>noun</i><br><ol><li>hour</li></ol>
ijatji|íjátji|tíjátji	<i>noun</i><br><ol><li>judge</li></ol>
ijha|tíjhá|íjhá	<i>noun</i><br><ol><li>dog</li></ol>
ijhakalasi|tíjhakálasi|íjhakálasi	<i>noun</i><br><ol><li>jackal</li></ol>
ikarasîya|íkárásîya|tíkárásîya	<i>noun</i><br><ol><li>grace</li></ol>
ikawûsî|tíkawû́sî|íkawû́sî	<i>noun</i><br><ol><li>sock</li></ol>
ikereke|tíkéreke|íkéreke	<i>noun</i><br><ol><li>church</li></ol>
ikgabi|íkgábí|tíkgábí	<i>noun</i><br><ol><li>ox</li></ol>
ikgadî|íkgadî́|tíkgadî́	<i>noun</i><br><ol><li>thatching material</li></ol>
ikgalîgana|tíkgálî́gana|íkgálî́gana	<i>noun</i><br><ol><li>lard, brown fat</li></ol>
ikghaba|tíkghabá|íkghabá	<i>noun</i><br><ol><li>spoon</li></ol>
ikgharafû|tíkgháráfû|íkgháráfû	<i>noun</i><br><ol><li>shoulder blade</li></ol>
ikghofû|tíkghofû́|íkghofû́	<i>noun</i><br><ol><li>garden snail</li></ol>
ikghosî|tíkghósî́|íkghósî́	<i>noun</i><br><ol><li>king, prince</li></ol>
ikghotso|íkghótsó	<i>noun</i><br><ol><li>peace</li></ol>
ikgodo|íkgodó|tíkgodó	<i>noun</i><br><ol><li>rat</li></ol>
ikgohlo|tíkgohlo|íkgohlo	<i>noun</i><br><ol><li>valley</li></ol>
ikgubho|tíkgubho|íkgubho	<i>noun</i><br><ol><li>rib</li></ol>
ikgukgu|íkgúkgú|tíkgúkgú	<i>noun</i><br><ol><li>chicken</li></ol>
ikguti|íkgútí|tíkgútí	<i>noun</i><br><ol><li>bull</li></ol>
ikgwankcela|tíkgwankcéla|íkgwankcéla	<i>noun</i><br><ol><li>scorpion</li></ol>
ikhabho|íkhabhó|tíkhabhó	<i>noun</i><br><ol><li>travel</li></ol>
ikhetsho|tíkhetsho|íkhetsho	<i>noun</i><br><ol><li>choise, decision</li></ol>
ikhokalo|íkhókalo	<i>noun</i><br><ol><li>scrapings</li></ol>
ikofi|íkófi|tíkófi	<i>noun</i><br><ol><li>coffee</li></ol>
ikokonyani|tíkokonyáni|íkokonyáni	<i>noun</i><br><ol><li>insect</li><li>gogga</li></ol>
ikoloyî|tíkolóyî|íkolóyî	<i>noun</i><br><ol><li>car</li></ol>
ikolîtshani|íkolîtsháni|tíkolîtsháni	<i>noun</i><br><ol><li>species of plant with three leaves</li></ol>
ikoto|íkoto|tíkoto	<i>noun</i><br><ol><li>stick for fighting</li><li>sceptre of king/ruler</li></ol>
ikuseînî|tíkuséînî|íkuséînî	<i>noun</i><br><ol><li>door frame</li></ol>
ikwipiri|íkwípiri|tíkwípiri	<i>noun</i><br><ol><li>quince</li></ol>
ikëpisi|íkë́pisi|tíkë́pisi	<i>noun</i><br><ol><li>cap (Western style)</li></ol>
ikömîkî|tíkö́mî́kî|íkö́mî́kî	<i>noun</i><br><ol><li>joint</li><li>ball (of foot)</li></ol>
illo|tíllo|íllo	<i>noun</i><br><ol><li>crying</li></ol>
imabhetelo|ímabhételo|tímabhételo	<i>noun</i><br><ol><li>delay</li></ol>
imamello|ímáméllo	<i>noun</i><br><ol><li>patience</li></ol>
impho|ímphó|tímphó	<i>noun</i><br><ol><li>gift</li></ol>
imîsterî|ímî́stérî|tímî́stérî	<i>noun</i><br><ol><li>mystery (of the rosary)</li></ol>
inaha|tínaha|ínaha	<i>noun</i><br><ol><li>country</li></ol>
inako|tínako|ínako	<i>noun</i><br><ol><li>time</li></ol>
inanabetsani|tínánábetsáni|ínánábetsáni	<i>noun</i><br><ol><li>earthworm</li></ol>
inconco|ínconco	<i>noun</i><br><ol><li>sour porridge</li></ol>
ingwali|tíngwalí|íngwalí	<i>noun</i><br><ol><li>girl in initiate school</li></ol>
inko|tíńkó|íńkó	<i>noun</i><br><ol><li>helping</li></ol>
inonobetsani|tínónóbetsáni|ínónóbetsáni	<i>noun</i><br><ol><li>earthworm</li></ol>
inonyana|ínónyana|tínónyana	<i>noun</i><br><ol><li>bird</li></ol>
inqalo|tínqalo|ínqalo	<i>noun</i><br><ol><li>lonely place</li></ol>
inqanqayilana|émánqánqáyílana|línqánqáyílana	<i>noun</i><br><ol><li>ankle</li></ol>
intshî|tíntshî́|íntshî́	<i>noun</i><br><ol><li>eyebrow, eyelash</li></ol>
intwa|tíńtwa|íńtwa	<i>noun</i><br><ol><li>war, fight</li></ol>
inugo|ínugo|tínugo	<i>noun</i><br><ol><li>joint</li></ol>
inyadza|ínyadza|tínyadza	<i>noun</i><br><ol><li>bundle</li></ol>
inyaga|ínyagá|tínyagá	<i>noun</i><br><ol><li>doctor</li></ol>
inyama|ínyama|tínyama	<i>noun</i><br><ol><li>meat, flesh</li></ol>
inyamatana|ínyámátana|tínyámátana	<i>noun</i><br><ol><li>small animal</li></ol>
inyebhetî|ínyébhetî|tínyébhetî	<i>noun</i><br><ol><li>tear (of crying)</li></ol>
inyiko|ínyíkó|tínyíkó	<i>noun</i><br><ol><li>gift</li><li>present</li></ol>
inyoka|tínyóká|ínyóká	<i>noun</i><br><ol><li>snake</li></ol>
inyosi|ínyósí|tínyósí	<i>noun</i><br><ol><li>bee</li></ol>
inyulukelo|tínyúlúkelo|ínyúlúkelo	<i>noun</i><br><ol><li>ascension</li></ol>
inywana|ínywana|tínywana	<i>noun</i><br><ol><li>vagina</li></ol>
inywele|tínywéle|ínywéle	<i>noun</i><br><ol><li>hair</li></ol>
ipere|típére|ípére	<i>noun</i><br><ol><li>horse</li></ol>
iperekisi|ípérékisi|típérékisi	<i>noun</i><br><ol><li>peach</li></ol>
ipewu|típéwu|ípéwu	<i>noun</i><br><ol><li>seed</li></ol>
iphade|típhadé|íphadé	<i>noun</i><br><ol><li>skin spread on ground as bed</li></ol>
iphadla|íphadlá|típhadlá	<i>noun</i><br><ol><li>forehead</li><li>baldness</li></ol>
iphahla|típhahlá|íphahlá	<i>noun</i><br><ol><li>flock of animals</li></ol>
iphahlo|típhahlo|íphahlo	<i>noun</i><br><ol><li>clothing</li></ol>
iphakama|íphákamá|típhákamá	<i>noun</i><br><ol><li>high place</li></ol>
iphala|íphálá|típhálá	<i>noun</i><br><ol><li>whistle</li></ol>
iphepheni|íphépheni|típhépheni	<i>noun</i><br><ol><li>scorpion</li></ol>
iphofolo|típhófólo|íphófólo	<i>noun</i><br><ol><li>animal</li></ol>
iphoso|íphoso|típhoso	<i>noun</i><br><ol><li>mistake</li></ol>
iphumulo|típhúmulo|íphúmulo	<i>noun</i><br><ol><li>nose</li></ol>
iphuphu|típhuphu|íphuphu	<i>noun</i><br><ol><li>flour</li></ol>
iphîrî|típhî́rî́|íphî́rî́	<i>noun</i><br><ol><li>hyena</li></ol>
iphîyo|típhî́yó|íphî́yó	<i>noun</i><br><ol><li>kidney</li></ol>
