Baalaay	<i>noun</i><br><ol><li>Monday</li></ol>
baya	<i>noun</i><br><ol><li>clothes</li><li>cloth</li></ol>
bayn	<i>adj</i><br><ol><li>sore</li></ol>
baynbaa	<i>noun</i><br><ol><li>sick bay</li></ol>
bibubibu	<i>noun</i><br><ol><li>purple</li></ol>
bigibila	<i>noun</i><br><ol><li>echidna, Tachyglossus aculeatus</li></ol>
biguun	<i>noun</i><br><ol><li>pig</li></ol>
biiba	<i>noun</i><br><ol><li>paper</li></ol>
biibabiiba	<i>noun</i><br><ol><li>book</li></ol>
biilaa	<i>noun</i><br><ol><li>shoulder blade</li></ol>
biimali	<i>verb</i><br><ol><li>brush</li><li>scrub</li></ol>
bina	<i>noun</i><br><ol><li>ear</li></ol>
bina guwaal	<i>adj</i><br><ol><li>upset</li><li>nervous</li></ol>
bina muurr	<i>adj</i><br><ol><li>deaf</li></ol>
bindayaa	<i>noun</i><br><ol><li>burr, bindii</li></ol>
biramba	<i>noun</i><br><ol><li>plover</li></ol>
biri	<i>noun</i><br><ol><li>chest</li></ol>
birray	<i>noun</i><br><ol><li>boy</li></ol>
biyan	<i>noun</i><br><ol><li>fruit</li></ol>
buba	<i>noun</i><br><ol><li>biceps</li></ol>
bubaa	<i>noun</i><br><ol><li>father</li></ol>
budhi	<i>noun</i><br><ol><li>body hair</li><li>pubic hair</li></ol>
bugu	<i>noun</i><br><ol><li>club (big, fighting)</li></ol>
bulaarr	<i>num</i><br><ol><li>two</li></ol>
bulaarra	<i>adv</i><br><ol><li>twice</li></ol>
bulanggi	<i>noun</i><br><ol><li>blanket</li></ol>
buligaa	<i>num</i><br><ol><li>four</li></ol>
buliirral	<i>noun</i><br><ol><li>breath</li></ol>
buluuy	<i>noun</i><br><ol><li>black</li><li>night</li></ol>
bumali	<i>verb</i><br><ol><li>hit</li><li>kill</li></ol>
bunbun	<i>noun</i><br><ol><li>grasshopper</li></ol>
bundi	<i>noun</i><br><ol><li>club</li></ol>
bungun	<i>noun</i><br><ol><li>arm</li></ol>
bura	<i>noun</i><br><ol><li>bone</li></ol>
buri	<i>noun</i><br><ol><li>match</li><li>small fire</li></ol>
burralga	<i>noun</i><br><ol><li>brolga</li></ol>
burrgiyan	<i>noun</i><br><ol><li>cat</li></ol>
burriin	<i>noun</i><br><ol><li>shield (broad)</li></ol>
burrul	<i>adj</i><br><ol><li>big</li></ol>
burrulaa	<i>adj</i><br><ol><li>many</li></ol>
burruwi	<i>noun</i><br><ol><li>earthquake</li><li>echo</li></ol>
buru	<i>noun</i><br><ol><li>ball</li><li>ball game</li><li>balls</li><li>testicles</li></ol>
burugalaa	<i>noun</i><br><ol><li>ball</li><li>ball game</li><li>testicles</li></ol>
buruma	<i>noun</i><br><ol><li>tame dog</li></ol>
buruwiy	<i>verb</i><br><ol><li>to rest</li></ol>
buu	<i>noun</i><br><ol><li>testicles, balls</li><li>base, bucket base</li><li>leaf</li></ol>
buubal	<i>noun</i><br><ol><li>music</li></ol>
buubali	<i>verb</i><br><ol><li>fart</li><li>break wind</li></ol>
buubili	<i>verb</i><br><ol><li>smoke tobacco</li></ol>
buubumurr	<i>noun</i><br><ol><li>platypus</li></ol>
buuga	<i>noun</i><br><ol><li>steam</li></ol>
buumadhayaa	<i>noun</i><br><ol><li>(Yuwaalaraay) fox</li></ol>
buurraan	<i>noun</i><br><ol><li>vessel</li></ol>
buuthaa	<i>noun</i><br><ol><li>A female marriage class or skin group. A buuthaa can marry only a marrii; her sons will be yibaay, and her daughters yibathaa.</li></ol>
buuwiir	<i>noun</i><br><ol><li>smallpox</li></ol>
buwiy	<i>verb</i><br><ol><li>smell</li></ol>
buyu	<i>noun</i><br><ol><li>leg</li></ol>
dhaadhaa	<i>noun</i><br><ol><li>grandfather</li></ol>
dhaal	<i>noun</i><br><ol><li>cheek</li><li>jaw</li></ol>
dhaalagi	<i>verb</i><br><ol><li>feel sick</li><li>be sick</li></ol>
dhaalan	<i>noun</i><br><ol><li>pronunciation</li><li>accent</li><li>tune</li><li>intonation</li></ol>
dhaarri	<i>verb</i><br><ol><li>have sex</li><li>make love</li></ol>
dhaay	<i>adv</i><br><ol><li>this way</li><li>to here</li></ol>
dhabiy	<i>verb</i><br><ol><li>to quiet (be)</li></ol>
dhadhaal	<i>noun</i><br><ol><li>grey</li></ol>
dhadhali	<i>verb</i><br><ol><li>to taste</li></ol>
dhadhin	<i>noun</i><br><ol><li>picture</li><li>shadow (non human)</li><li>shade</li></ol>
dhagaan	<i>noun</i><br><ol><li>brother</li></ol>
dhagaay	<i>noun</i><br><ol><li>golden perch, yellowbelly (Macquaria ambigua)</li></ol>
dhagin	<i>noun</i><br><ol><li>socks</li></ol>
dhal	<i>noun</i><br><ol><li>salt</li></ol>
dhalaa	<i>pron</i><br><ol><li>where</li></ol>
dhalay	<i>noun</i><br><ol><li>tongue</li></ol>
dhalbin	<i>noun</i><br><ol><li>medicine</li><li>pills</li></ol>
dhali	<i>verb</i><br><ol><li>eat</li></ol>
dhalngayiy	<i>verb</i><br><ol><li>eat breakfast</li></ol>
dhamay	<i>verb</i><br><ol><li>to rain</li></ol>
dhanba	<i>noun</i><br><ol><li>toothpaste</li></ol>
dhanda	<i>noun</i><br><ol><li>apple</li></ol>
dhandarraa	<i>noun</i><br><ol><li>winter</li></ol>
dhandarrbaa	<i>noun</i><br><ol><li>freezer</li></ol>
dhanga	<i>noun</i><br><ol><li>heel</li></ol>
dhanmurr	<i>noun</i><br><ol><li>burial ground, cemetery</li></ol>
dharra	<i>adj</i><br><ol><li>thigh, leg</li><li>creek</li><li>tree branch</li></ol>
dharrarr	<i>noun</i><br><ol><li>rib</li><li>ribs</li></ol>
dharrawurra	<i>noun</i><br><ol><li>pants, trousers</li></ol>
dhawadha	<i>num</i><br><ol><li>thousand</li></ol>
dhawun	<i>noun</i><br><ol><li>earth, ground, dirt</li></ol>
dhawunda	<i>noun</i><br><ol><li>map</li></ol>
dhaya	<i>noun</i><br><ol><li>brother (older)</li></ol>
dhaygal	<i>noun</i><br><ol><li>hair</li><li>head</li></ol>
dhigaraa	<i>noun</i><br><ol><li>bird</li></ol>
dhii	<i>noun</i><br><ol><li>meat</li><li>tea</li></ol>
dhiil	<i>noun</i><br><ol><li>tail</li></ol>
dhiirrabaa	<i>noun</i><br><ol><li>school</li></ol>
dhiiyaan	<i>noun</i><br><ol><li>family</li></ol>
dhimba	<i>noun</i><br><ol><li>sheep</li></ol>
dhina	<i>noun</i><br><ol><li>leg</li></ol>
dhinawan	<i>noun</i><br><ol><li>emu</li></ol>
dhinbirr	<i>noun</i><br><ol><li>knee</li></ol>
dhindu	<i>noun</i><br><ol><li>mouse</li></ol>
dhinggaa	<i>noun</i><br><ol><li>meat</li><li>meat totem</li></ol>
dhinmirr	<i>noun</i><br><ol><li>eyebrow</li></ol>
dhiri	<i>noun</i><br><ol><li>tea</li></ol>
dhirra	<i>adv</i><br><ol><li>flash</li></ol>
dhiyarral	<i>noun</i><br><ol><li>spoon</li></ol>
dhuba	<i>noun</i><br><ol><li>direction</li></ol>
dhubil	<i>noun</i><br><ol><li>spit</li></ol>
dhuga	<i>noun</i><br><ol><li>sugar</li></ol>
dhugay	<i>adv</i><br><ol><li>always</li></ol>
dhulu	<i>noun</i><br><ol><li>tree</li></ol>
dhumadhuma	<i>noun</i><br><ol><li>smallpox</li></ol>
dhun	<i>noun</i><br><ol><li>penis</li><li>tail</li></ol>
dhurrabal	<i>noun</i><br><ol><li>road</li></ol>
dhurri	<i>verb</i><br><ol><li>write</li><li>spear</li><li>stab</li><li>have sex</li><li>make love</li><li>carve</li></ol>
dhuru	<i>noun</i><br><ol><li>snake</li></ol>
dhuubuu	<i>noun</i><br><ol><li>soap</li></ol>
dhuuman	<i>noun</i><br><ol><li>butter</li><li>claypan butter</li></ol>
dhuurrbal	<i>noun</i><br><ol><li>train</li><li>railway train</li></ol>
dhuwi	<i>noun</i><br><ol><li>soul</li><li>spirit (human)</li></ol>
djaagari	<i>noun</i><br><ol><li>blanket</li><li>bedroll</li></ol>
djulu	<i>noun</i><br><ol><li>dirt</li><li>sawdust</li></ol>
gaabu	<i>intj</i><br><ol><li>shhh</li><li>be quiet</li></ol>
gaagal	<i>noun</i><br><ol><li>beach</li></ol>
gaagi	<i>verb</i><br><ol><li>take</li><li>bring</li><li>carry</li><li>wear</li></ol>
gaaguluu	<i>noun</i><br><ol><li>February</li><li>bush banana</li></ol>
gaala	<i>noun</i><br><ol><li>cup</li><li>mug</li><li>can</li></ol>
gaanbal	<i>noun</i><br><ol><li>wiper</li><li>dish cloth</li></ol>
gaarramali	<i>verb</i><br><ol><li>steal</li></ol>
gaayli	<i>noun</i><br><ol><li>child, children</li></ol>
gaba	<i>adj</i><br><ol><li>all right</li><li>correctly</li><li>good</li><li>well</li></ol>
gaban	<i>noun</i><br><ol><li>lung</li></ol>
gabangaarr	<i>adv</i><br><ol><li>nicely</li></ol>
gabi	<i>noun</i><br><ol><li>A male marriage class or skin group. A gabi can marry only a yibathaa; his sons will be gambu, and his daughters buuthaa.</li><li>coffee</li></ol>
gabutha	<i>noun</i><br><ol><li>A female marriage class or skin group. A gabutha can marry only a yibaay; her sons will be marrii, and her daughters matha.</li></ol>
gadhaa	<i>adj</i><br><ol><li>cheeky</li></ol>
gaga	<i>noun</i><br><ol><li>wine</li></ol>
gagali	<i>verb</i><br><ol><li>call</li><li>shout at</li><li>yell at</li></ol>
gagan	<i>noun</i><br><ol><li>colour</li></ol>
gagil	<i>adj</i><br><ol><li>bad</li><li>no good</li></ol>
gagil dhaygal	<i>noun</i><br><ol><li>headache</li></ol>
galay	<i>num</i><br><ol><li>eight</li></ol>
gali	<i>noun</i><br><ol><li>water</li><li>rain</li><li>tear</li></ol>
gali-balalaa	<i>noun</i><br><ol><li>water snake</li></ol>
galibaraay	<i>adj</i><br><ol><li>wet</li></ol>
gambu	<i>noun</i><br><ol><li>A male marriage class or skin group. A gambu can marry only a matha; his sons will be gabi, and his daughters gabutha.</li></ol>
gamil	<i>particle</i><br><ol><li>no</li></ol>
gamil maaru	<i>adv</i><br><ol><li>badly, carelessly</li><li>not right</li></ol>
gana	<i>noun</i><br><ol><li>liver</li></ol>
ganaay	<i>noun</i><br><ol><li>digging stick</li><li>shallow</li></ol>
ganay	<i>noun</i><br><ol><li>digging stick</li></ol>
ganu	<i>adj</i><br><ol><li>all</li></ol>
ganungawu	<i>adj</i><br><ol><li>all</li><li>whole</li><li>everything</li></ol>
garay	<i>noun</i><br><ol><li>word</li></ol>
garay guwaali	<i>verb</i><br><ol><li>speak</li></ol>
garaydhalibaa	<i>adj</i><br><ol><li>silent</li></ol>
garigari	<i>adj</i><br><ol><li>afraid</li><li>frightened</li></ol>
garrali	<i>verb</i><br><ol><li>cut</li></ol>
garriil	<i>noun</i><br><ol><li>June</li></ol>
garriya	<i>particle</i><br><ol><li>no</li><li>stop</li></ol>
garruu	<i>noun</i><br><ol><li>uncle</li></ol>
gawaarraa	<i>noun</i><br><ol><li>vegetable</li></ol>
gawarrawaarr	<i>noun</i><br><ol><li>green</li></ol>
gawu	<i>noun</i><br><ol><li>egg</li></ol>
gawubaa	<i>noun</i><br><ol><li>egg yolk</li></ol>
gawugaa	<i>noun</i><br><ol><li>head</li><li>head hair</li></ol>
gawurragiil	<i>noun</i><br><ol><li>May</li></ol>
gay	<i>noun</i><br><ol><li>snake track</li></ol>
gayaandhi	<i>noun</i><br><ol><li>peacekeeper</li></ol>
gaygay	<i>noun</i><br><ol><li>catfish</li></ol>
gayn.gayn	<i>noun</i><br><ol><li>January (fruit which is ripe in this month)</li></ol>
gayrr	<i>noun</i><br><ol><li>name</li></ol>
gayrra	<i>noun</i><br><ol><li>electricity</li></ol>
gayrragumbirri	<i>noun</i><br><ol><li>computer</li></ol>
gibaylandhi	<i>adv</i><br><ol><li>formerly</li></ol>
gibu	<i>noun</i><br><ol><li>week</li></ol>
gidjirrgidjirr	<i>noun</i><br><ol><li>yellow</li></ol>
gidjirrigaa	<i>noun</i><br><ol><li>budgerigar</li></ol>
gigi	<i>verb</i><br><ol><li>be</li><li>become</li></ol>
gii	<i>noun</i><br><ol><li>heart</li></ol>
giidjuugiidjuu	<i>adv</i><br><ol><li>constant</li></ol>
giigal	<i>noun</i><br><ol><li>scab</li></ol>
giili	<i>noun</i><br><ol><li>urine</li></ol>
giiliy	<i>verb</i><br><ol><li>urinate</li></ol>
giirr	<i>adv</i><br><ol><li>verily</li><li>really</li></ol>
giirray	<i>noun</i><br><ol><li>yabbie</li></ol>
gijirrigaa	<i>noun</i><br><ol><li>A budgerigar.</li></ol>
gilaa	<i>noun</i><br><ol><li>galah</li></ol>
gilay	<i>noun</i><br><ol><li>the moon</li></ol>
gilgaay	<i>noun</i><br><ol><li>shallow waterhole</li></ol>
girrinil	<i>noun</i><br><ol><li>door</li></ol>
girrinya	<i>noun</i><br><ol><li>daughter in law</li></ol>
giwiir	<i>noun</i><br><ol><li>man</li></ol>
giwiirr	<i>noun</i><br><ol><li>aboriginal man</li></ol>
giyaan	<i>noun</i><br><ol><li>tin can</li></ol>
giyal	<i>adj</i><br><ol><li>afraid</li><li>freightened</li></ol>
giyalgiyal	<i>adj</i><br><ol><li>itchy</li></ol>
giyiirr	<i>noun</i><br><ol><li>glass (object)</li></ol>
gubiy	<i>verb</i><br><ol><li>to swim</li></ol>
gubiyaanha	<i>verb</i><br><ol><li>swimming</li></ol>
guda	<i>noun</i><br><ol><li>koala, Phascolarctos cinereus</li></ol>
guduu	<i>noun</i><br><ol><li>murray cod (Maccullochella macquariensis)</li></ol>
gugurrgaagaa	<i>noun</i><br><ol><li>kookaburra</li></ol>
gula	<i>noun</i><br><ol><li>fork</li></ol>
gulaay	<i>noun</i><br><ol><li>stool</li><li>bench</li><li>log bridge</li></ol>
gulabaa	<i>noun</i><br><ol><li>coolabah tree (Eucalyptuptus coolibah ssp. arida)</li></ol>
gulaban	<i>noun</i><br><ol><li>chair</li></ol>
gulawularr	<i>noun</i><br><ol><li>sweetbread</li></ol>
gulay	<i>noun</i><br><ol><li>netbag</li><li>fishnet</li><li>goanna eggs</li></ol>
gulibaa	<i>num</i><br><ol><li>three</li></ol>
guliirr	<i>noun</i><br><ol><li>partner</li></ol>
guliyaali	<i>noun</i><br><ol><li>pelican, Pelecanus conspicillatus</li></ol>
gulu	<i>noun</i><br><ol><li>lump</li></ol>
gumbirri	<i>noun</i><br><ol><li>brain</li></ol>
gumuuma	<i>noun</i><br><ol><li>A small lizard.</li></ol>
guna	<i>noun</i><br><ol><li>excrement, faeces, shit</li></ol>
gunagunaa	<i>noun</i><br><ol><li>brown</li></ol>
gundhi	<i>noun</i><br><ol><li>house</li></ol>
gundhuwundhuu	<i>adj</i><br><ol><li>selfish</li><li>stubborn</li><li>sulky</li></ol>
gunhugunhu	<i>noun</i><br><ol><li>cough</li></ol>
gunhugunhu dhurri	<i>verb</i><br><ol><li>cough</li></ol>
guni	<i>noun</i><br><ol><li>mother</li><li>native bee</li></ol>
gunidjarrbaa	<i>noun</i><br><ol><li>female</li></ol>
gunii	<i>noun</i><br><ol><li>mother</li></ol>
gunugayngaa	<i>noun</i><br><ol><li>niece (sister's daughter)</li></ol>
guraay	<i>adv</i><br><ol><li>slowly</li></ol>
guramun	<i>noun</i><br><ol><li>shadow</li></ol>
gurayn	<i>noun</i><br><ol><li>flower</li></ol>
guriya	<i>noun</i><br><ol><li>backbone</li><li>spine</li></ol>
gurru	<i>noun</i><br><ol><li>grave</li></ol>
gurrubuu	<i>noun</i><br><ol><li>year</li></ol>
gurrwa	<i>noun</i><br><ol><li>sea</li><li>ocean</li></ol>
guuguu	<i>noun</i><br><ol><li>dead relative (one who died and you dont want to mention his name)</li></ol>
guulay	<i>num</i><br><ol><li>seven</li></ol>
guuyay	<i>noun</i><br><ol><li>humour</li></ol>
guwaali	<i>verb</i><br><ol><li>talk</li></ol>
guwaaybaa	<i>adv</i><br><ol><li>slowly</li></ol>
guwadhaa	<i>noun</i><br><ol><li>October</li><li>quondong fruit</li></ol>
guwaguway	<i>noun</i><br><ol><li>pink</li></ol>
guwaguwaymbarra	<i>adj</i><br><ol><li>pink</li></ol>
guway	<i>noun</i><br><ol><li>blood</li></ol>
guwaymbarra	<i>noun</i><br><ol><li>red</li></ol>
guwibirr	<i>noun</i><br><ol><li>March (fruit which is ripe in this month)</li></ol>
guwiirr	<i>adj</i><br><ol><li>sweet</li></ol><br><i>noun</i><br><ol><li>manna on gum leaves</li><li>sweet heart</li><li>malee willow (pittosporum phylliraeoides)</li></ol>
guwiirra	<i>noun</i><br><ol><li>sweets</li></ol>
guya	<i>noun</i><br><ol><li>fish</li></ol>
guyaarr	<i>adj</i><br><ol><li>long</li></ol>
guyan	<i>adj</i><br><ol><li>shy</li></ol>
maRawal	<i>noun</i><br><ol><li>echidna, Tachyglossus aculeatus.</li></ol>
maa	<i>noun</i><br><ol><li>hand (part of the body)</li><li>finger</li><li>totem</li><li>marks made on rugs and weapons to indicate the totem of their manufacturer/owner</li></ol><br><i>num</i><br><ol><li>five</li></ol>
maal	<i>num</i><br><ol><li>one</li></ol>
maala	<i>adv</i><br><ol><li>once</li></ol>
maalinha	<i>noun</i><br><ol><li>September</li></ol>
maang	<i>noun</i><br><ol><li>message stick</li></ol>
maanggii	<i>noun</i><br><ol><li>small mussel</li></ol>
maanggiiwarraywarraymal	<i>noun</i><br><ol><li>seagull</li></ol>
maaru	<i>intj</i><br><ol><li>well</li><li>carefully</li></ol>
maarubaa nginda	<i>intj</i><br><ol><li>thank you</li></ol>
maarumali	<i>verb</i><br><ol><li>fix</li><li>heal</li><li>make better</li></ol>
maayu	<i>adv</i><br><ol><li>well</li><li>carefully</li></ol>
madja	<i>adj</i><br><ol><li>sorry</li></ol>
magal	<i>noun</i><br><ol><li>knife</li></ol>
malagan	<i>noun</i><br><ol><li>menstruation</li><li>periods</li></ol>
malawil	<i>noun</i><br><ol><li>human shadow</li><li>shadow spirit</li></ol>
malga	<i>noun</i><br><ol><li>mulga (Acacia aneura) Small tree 5-10 m with silver grey leaves and yellow rod-shapped flowers.</li></ol>
maliyaa	<i>noun</i><br><ol><li>friend</li></ol>
maliyan	<i>noun</i><br><ol><li>wedge-tailed eagle, eaglehawk, Aquila audax</li></ol>
malu	<i>adj</i><br><ol><li>silent</li><li>quiet</li></ol>
man.garr	<i>noun</i><br><ol><li>bag</li></ol>
mandayaa	<i>noun</i><br><ol><li>male</li></ol>
mandaymanday	<i>adv</i><br><ol><li>sequentially</li></ol>
manduwii	<i>noun</i><br><ol><li>shoe</li></ol>
manga	<i>noun</i><br><ol><li>(Yuwaalaraay) ear</li></ol>
maniilay	<i>verb</i><br><ol><li>to hunt</li></ol>
manumadhaay	<i>noun</i><br><ol><li>thief</li></ol>
mara	<i>noun</i><br><ol><li>hand</li><li>finger</li></ol>
marabin	<i>noun</i><br><ol><li>gloves</li></ol>
marayin	<i>noun</i><br><ol><li>wild dog, dingo</li></ol>
mari	<i>noun</i><br><ol><li>aboriginal person</li></ol>
marigiirr	<i>adj</i><br><ol><li>indigenous</li></ol>
marrgin	<i>noun</i><br><ol><li>gun</li></ol>
marrii	<i>noun</i><br><ol><li>A male marriage class or skin group. A marrii can marry only a buuthaa; his sons will be yibaay, and his daughters yibathaa.</li></ol>
matha	<i>noun</i><br><ol><li>A female marriage class or skin group. A matha can marry only a gambu; her sons will be gabi, and her daughters gabutha.</li></ol>
mayabuu	<i>adv</i><br><ol><li>still (continuing)</li></ol>
mayan	<i>noun</i><br><ol><li>pool</li><li>swimming pool</li><li>waterhole</li><li>creek</li></ol>
mayrraa	<i>noun</i><br><ol><li>wind</li></ol>
miirrmiirr	<i>adv</i><br><ol><li>backwards</li></ol>
mil	<i>noun</i><br><ol><li>eye</li></ol>
mila	<i>noun</i><br><ol><li>glasses</li><li>hip</li></ol>
milambaraay	<i>noun</i><br><ol><li>cow</li></ol>
minya	<i>noun</i><br><ol><li>what</li></ol>
minyaaya	<i>noun</i><br><ol><li>where (at)</li></ol>
minyagu	<i>pron</i><br><ol><li>why</li><li>what for</li></ol>
minyama	<i>noun</i><br><ol><li>what</li></ol>
minyangay	<i>noun</i><br><ol><li>how much</li></ol>
mirraal	<i>num</i><br><ol><li>nine</li></ol>
mirri	<i>noun</i><br><ol><li>wild dog, dingo</li></ol>
mirril	<i>noun</i><br><ol><li>mucus</li><li>snot</li></ol>
miyaa	<i>noun</i><br><ol><li>weekend</li></ol>
miyay	<i>noun</i><br><ol><li>girl</li></ol>
mubal	<i>noun</i><br><ol><li>stomach</li><li>abdomen</li></ol>
mubalyaal	<i>adj</i><br><ol><li>pregnant</li></ol>
mubirr	<i>noun</i><br><ol><li>scar</li><li>initiation scars</li><li>cicatrices</li></ol>
mudhay	<i>noun</i><br><ol><li>brushtail possum</li></ol>
mugiin.gaa	<i>noun</i><br><ol><li>November</li><li>sandfly</li></ol>
mula	<i>adj</i><br><ol><li>soft</li></ol>
mullion	<i>noun</i><br><ol><li>wedge-tailed eagle, eaglehawk</li></ol>
mungin	<i>noun</i><br><ol><li>mosquito</li></ol>
murru	<i>noun</i><br><ol><li>bottom</li></ol>
murrun	<i>adj</i><br><ol><li>alive</li></ol>
muru	<i>noun</i><br><ol><li>nose</li></ol>
muthay	<i>noun</i><br><ol><li>possum</li></ol>
muurr	<i>adj</i><br><ol><li>full</li><li>blocked</li><li>blunt</li></ol>
muwili	<i>verb</i><br><ol><li>shut</li></ol>
muyaan	<i>noun</i><br><ol><li>branch</li><li>stick</li><li>tree</li></ol>
muyu	<i>noun</i><br><ol><li>nose</li></ol>
nga	<i>intj</i><br><ol><li>hey</li></ol>
ngaa	<i>intj</i><br><ol><li>yes</li></ol>
ngaana	<i>pron</i><br><ol><li>who?</li></ol>
ngaanbanaa	<i>noun</i><br><ol><li>cockatoo</li></ol>
ngaandi	<i>pron</i><br><ol><li>who</li></ol>
ngaarr	<i>adv</i><br><ol><li>hard</li><li>strong</li></ol>
ngaay	<i>noun</i><br><ol><li>mouth</li></ol>
ngali	<i>pron</i><br><ol><li>We two (first person dual pronoun)</li></ol>
ngalingu	<i>pron</i><br><ol><li>our (two people)</li><li>to us (two people)</li></ol>
ngalingunda	<i>pron</i><br><ol><li>to us (two people)</li><li>at us (two people)</li><li>on us (two people)</li></ol>
ngalingundi	<i>pron</i><br><ol><li>from us (two people)</li></ol>
ngalinya	<i>pron</i><br><ol><li>us two people (done to)</li></ol>
ngamili	<i>verb</i><br><ol><li>look</li></ol>
ngamu	<i>noun</i><br><ol><li>breastmilk</li><li>breast</li><li>milk</li></ol>
