ܐ ܟ ܠ|ʾ k l	<i>root</i><br><ol><li>forming words pertaining to eating</li></ol>
ܐܘܩܝܢܘܣ|ܐܘܼܩܝܵܢܘܿܣܹ̈ܐ|uqyanos|ܐܘܼܩܝܵܢܘܿܣ	<i>noun</i><br><ol><li>ocean: a very large body of salt water covering approximately 71% of the surface of Earth and 97% of Earth's water</li></ol>
ܐܘܩܝܢܘܣܝܐ|ܐܘܼܩܝܵܢܘܿܣܝܼܵܐ|uqyānosīyā	<i>name</i><br><ol><li>Oceania: A geographical region composed of many islands (Melanesia, Micronesia, and Polynesia) plus Australasia. It is located between Asia, Antarctica and the Americas.</li></ol>
ܐܘܪ|ܐܘܿܪ|Or	<i>name</i><br><ol><li>An ancient Sumerian city in Mesopotamia, in modern Iraq; modern Tell el-Muqayyar.</li><li>A popular name in Mesopotamia to indicate a place or a city</li></ol>
ܐܘܪܕܥܐ|urdʿuḵ|ܐܘܼܪܕܥܘܼ̈ܗܝ|ܐܘܼܪ̈ܕܥܹܐ|ܐܘܼܪܕܥܘܼܟ݂|ܐܘܼܪܕܥܘܼ̈ܟ݂|ܐܘܼܪܕܥܲܢ|urdʿī|urdʿhon|urdʿoh|ܐܘܼܪܕܥܵܘ̈ܟ݂ܘܿܢ|ܐܘܼܪܕܥܘܿܗ̇|ܐܘܼܪܕܥܲܢ̈|urdʿay|urdʿ|ܐܘܼܪܕܥܗܘܿܢ|ܐܘܼܪܕܥܵܟ݂ܝ̈|urdʿan|urdʿēh|ܐܘܼܪܕܥܲܝ̈|ܐܘܼܪܕܥ̈ܘܿܗ̇|urdʿāḵ|ܐܘܼܪܕܥܵܐ|urdʿē|ܐܘܼܪܕܥܵܘܟ݂ܘܿܢ|ܐܘܼܪܕܥܝܼ|urdʿā|ܐܘܼܪܕܥ|ܐܘܼܪܕܥܹ̈ܐ|urdʿāwḵon|ܐܘܼܪܕܥܵܟ݂ܝ|urdʿuh|ܐܘܼܪܕܥܝܼ̈|ܐܘܼܪܕܥܹܗ|ܐܘܼܪܕܥܗ̈ܘܿܢ	<i>noun</i><br><ol><li>frog</li></ol>
ܐܘܪܘܦܐ|Ewropa|ܐܹܘܪܘܿܦܵܐ	<i>name</i><br><ol><li>Europe: The continent located north of Africa, west of Asia and east of the Atlantic Ocean.</li></ol>
ܐܘܪܙܐ|ܐܘܿܪ̈ܙܹܐ|urza|ܐܘܿܪܙܵܐ	<i>noun</i><br><ol><li>man: An adult male human</li></ol>
ܐܘܪܝܦܝ|urupi	<i>noun</i><br><ol><li>Europe</li></ol>
ܐܘܪܢܘܣ|ܐܘܼܪܵܢܘܿܣ|uranos	<i>name</i><br><ol><li>(astronomy) Uranus: The seventh planet in our solar system; represented by ⛢.</li></ol>
ܐܘܪܣܝܐ|Eurasiya|ܐܘܼܪܵܣܝܼܵܐ	<i>name</i><br><ol><li>Eurasia</li></ol>
ܐܘܪܫܠܡ|orišlim|ܐܘܿܪܸܫܠܸܡ	<i>name</i><br><ol><li>Jerusalem (a city holy in Judaism, Christianity and Islam; the claimed (and de-facto) capital city of Israel; the claimed capital city of Palestine).</li></ol>
ܐܘܪܫܠܡܝܐ|orišlimaya	<i>adj</i><br><ol><li>Jerusalemite</li></ol>
ܐܘܬܓ|ܐܵܘܬܵܓ݂ܲܢ̈|ܐܵܘܬܵܓ݂̈ܗܘܿܢ|āwtāḡuḵ|ܐܵܘܬܵܓ݂ܲܢ|ܐܵܘܬܵܓ݂ܵܟ݂ܝ̈|āwtāḡhon|ܐܵܘܬܵܓ݂ܵܘܟ݂ܘܿܢ|ܐܵܘܬܵܓ݂ܘܿܗ̇|āwtāḡ|āwtāḡuh|ܐܵܘܬܵܓ݂̈ܘܿܗ̇|ܐܵܘܬܵܓ݂ܝܼ̈|āwtāḡāḵ|āwtāḡēh|ܐܵܘܬܵܓ݂ܵܘ̈ܟ݂ܘܿܢ|āwtāḡāwḵon|āwtāḡan|ܐܵܘܬܵܓ݂ܘܼܟ݂|ܐܵܘܬܵܓ݂ܵܟ݂ܝ|āwtāḡē|ܐܵܘܬܵܓ݂ܹܗ|āwtāḡoh|ܐܵܘܬܵܓ݂ܘܼ̈ܟ݂|ܐܵܘܬܵܓ݂|ܐܵܘܬܵܓ݂ܹ̈ܐ|ܐܵܘܬܵܓ݂ܝܼ|ܐܵܘܬܵܓ݂ܘܼ̈ܗܝ|āwtāḡī|ܐܵܘܬܵܓ݂ܗܘܿܢ	<i>noun</i><br><ol><li>room, chamber, study</li></ol>
ܐܘܬܝ|utī|ܐܘܼܬܝܼ|ܐܘܼܬܝܼܹ̈ܐ	<i>noun</i><br><ol><li>clothes iron</li></ol>
ܐܙܠ|ܐ݇ܙܝܼܠ ܠܗܘܿܢ|zīl lāwḵon|zīl lī|ܐܵܙܵܠ݇ܬܝ|ܐ݇ܙܝܼܠ ܠܘܼܟ݂|ܐ݇ܙܝܼܠ ܠܵܗ̇|ܐ݇ܙܝܼܠܵܐ|āzīton|ܐ݇ܙܵܠܵܐ|ܐܵܙܵܠ݇ܢ|ܐ݇ܙܝܼܠ ܠܲܢ|zēmun|zīl luḵ|āzī|āzāt|zāy|ܐ݇ܙܝܼܠ ܠܵܘܟ݂ܘܿܢ|ܐܵܙܵܠ݇ܐ|ܐܵܙܲܠ݇ܚ|zīl lan|zīl lāḵ|āzān|ܙܹܠ݇ܡܘܼܢ|ܙܹܠ݇|āzēn|āzaḥ|ܐܵܙܠ݇ܝܼ|ܐܵܙܹܠ݇ܬ|ܐܵܙܹܠ|zīl lāh|āzēt|ܐܵܙܹܠ݇ܢ|zē|ܐ݇ܙܝܼܠ ܠܵܟ݂ܝ|āzā|ܐ݇ܙܝܼܠ ܠܝܼ|zīl lhon|zīl lēh|ܙܵܠ݇ܝ|ܐ݇ܙܝܼܠ ܠܹܗ|ܐܵܙܠ݇ܝܼܬܘܿܢ|āzēl	<i>verb</i><br><ol><li>to go</li><li>(colloquial) gone, wasted, damaged in an irreparable manner</li></ol>
ܐܚܐ|aḥī|aḥḥēh|aḥḥāḵ|aḥwātuḵ|aḥhon|ܐܲܚܘܵܬܵܘ̈ܟ݂ܘܿܢ|ܐܲܚܘܵܬ̈ܘܿܗ̇|aḥwātāḵ|aḥwātoh|aḥwātay|aḥwātē|ܐܲܚܘܼܟ݂|ܐܲܚܘܵܬܲܢ̈|aḥwāthon|ܚܵܬܵܐ|aḥḥan|ܐܲܚܘܵܬܘܼ̈ܟ݂|ܐܲܚܘܵܬܲܝ̈|ܐܲܚܝܼ|ܐܲܚܘܵܬܹ̈ܐ|ܐܲܚܘܵܬܗ̈ܘܿܢ|ܐܲܚܘܵܬܹ̈ܗ|aḥwātan|ܐܲܚܘܵܬܝܼ̈|aḥwātēh|ܐܲܚܵܟ݂ܝ|ܐܲܚܵܘܟ݂ܘܿܢ|aḥoh|aḥ|aḥwātāwḵon|ܐܲܚܘܵܬܵܟ݂ܝ̈|ܐܲܚܗܘܿܢ|ܐܲܚܲܢ|ܐܲܚܵܐ|aḥwātī|aḥḥā|aḥuḵ|aḥḥāwḵon|ܐܲܚܹܗ|ܐܲܚܘܿܗ̇|ܐܲܚ	<i>noun</i><br><ol><li>brother (male sibling having parents in common)</li><li>(in the plural) siblings</li></ol>
ܐܚܘܢܐ|ܐܲܚܘܿܢܘܼܟ݂|aḥonwātē|ܐܲܚܘܿܢܘܵܬܵܟ݂ܝ̈|ܐܲܚܘܿܢܗܘܿܢ|aḥonāwḵon|aḥonuḵ|ܐܲܚܘܿܢܝܼ|aḥonwātuḵ|aḥonwātī|aḥonwāthon|ܐܲܚܘܿܢܘܵܬܗ̈ܘܿܢ|ܐܲܚܘܿܢ|ܐܲܚܘܿܢܘܵܬܹ̈ܗ|ܐܲܚܘܿܢܲܢ|aḥonhon|aḥonī|ܐܲܚܘܿܢܘܵܬܝܼ̈|ܐܲܚܘܿܢܘܿܗ̇|aḥonwātay|ܐܲܚܘܿܢܘܵܬܲܝ̈|aḥon|ܐܲܚܘܿܢܹܗ|ܐܲܚܘܿܢܘܵܬ̈ܘܿܗ̇|aḥonwātan|ܐܲܚܘܿܢܵܘܟ݂ܘܿܢ|aḥonā|ܐܲܚܘܿܢܘܵܬܵܘ̈ܟ݂ܘܿܢ|aḥonwātāḵ|ܐܲܚܘܿܢܘܵܬܲܢ̈|aḥonwātāwḵon|ܐܲܚܘܿܢܘܵܬܹ̈ܐ|aḥonan|ܐܲܚܘܿܢܵܐ|aḥonāḵ|aḥonwātēh|aḥonwātoh|aḥonoh|aḥonēh|ܐܲܚܘܿܢܘܵܬܘܼ̈ܟ݂|ܐܲܚܘܿܢܵܟ݂ܝ	<i>noun</i><br><ol><li>little brother</li><li>(slang) brother, bro, bruv (male sibling or used to address a male)</li></ol>
ܐܚܘܬܐ|aḥutī|aḥwātuḵ|ܐܲܚܘܼܬ|ܐܲܚܘܼܬܘܼܟ݂|ܐܲܚܘܵܬ̈|ܐܲܚܘܵܬܵܘ̈ܟ݂ܘܿܢ|aḥwātāḵ|ܐܲܚܘܵܬ̈ܘܿܗ̇|aḥwātoh|aḥwātē|aḥuthon|ܐܲܚܘܵܬܲܢ̈|aḥwāthon|aḥutēh|aḥutā|aḥutāḵ|ܐܲܚܘܵܬܘܼ̈ܟ݂|ܐܲܚܘܵܬܹ̈ܐ|ܐܲܚܘܼܬܹܗ|aḥut|ܐܲܚܘܵܬܗ̈ܘܿܢ|aḥwātan|aḥwātuh|aḥutoh|aḥutāwḵon|ܐܲܚܘܵܬܝܼ̈|ܐܲܚܘܼܬܝܼ|ܐܲܚܘܼܬܵܘܟ݂ܘܿܢ|ܐܲܚܘܼܬܵܟ݂ܝ|ܐܲܚܘܼܬܵܐ|ܐܲܚܘܵܬܘܼ̈ܗܝ|ܐܲܚܘܼܬܘܿܗ̇|aḥwātāwḵon|ܐܲܚܘܵܬܵܟ݂ܝ̈|ܐܲܚܘܼܬܗܘܿܢ|aḥutan|ܐܲܚܘܼܬܲܢ|aḥwātī|aḥwāt|aḥutuḵ|aḵutā	<i>noun</i><br><ol><li>brotherhood, fraternity</li></ol>
ܐܚܢܢ|ܐܲܚܢܲܢ|āḳnān|ܐܵܢܵܐ	<i>pron</i><br><ol><li>(personal) we</li><li>(intensive) we ourselves</li></ol>
ܐܚܪܐܝܬ|ܐ݇ܚܵܪܵܐܝܼܬ|ḵārāʾīt	<i>adv</i><br><ol><li>finally, ultimately</li><li>recently</li></ol>
ܐܚܪܝܐ|ܐ݇ܚܵܪܵܝܵܐ|ܐ݇ܚܵܪ̈ܵܝܹܐ|ܐ݇ܚܵܪܵܝܬܵܐ|ḥārāyā	<i>adj</i><br><ol><li>last, final, ultimate</li><li>recent</li></ol>
ܐܚܬܘܢ|ܐܲܢ݇ܬ|ܐܲܢ݇ܬܝ|ܐܲܚܬܘܿܢ|āḳton	<i>pron</i><br><ol><li>(personal) you</li><li>(intensive) you yourselves</li></ol>
ܐܛܘܡܘܠܘܓܝܐ|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܬܲܢ̈|āṭomoloḡīyāt|āṭomoloḡīyātuh|āṭomoloḡīyātan|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܐ|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼ|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܬܹ̈ܐ|āṭomoloḡīyuḵ|āṭomoloḡīyā|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܬܵܟ݂ܝ̈|āṭomoloḡīyāḵ|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܬܘܼ̈ܟ݂|āṭomoloḡīyēh|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܟ݂ܝ|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܬ̈|āṭomoloḡīyātāwḵon|āṭomoloḡīyātē|āṭomoloḡī|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܘܟ݂ܘܿܢ|āṭomoloḡīyī|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܬܝܼ̈|āṭomoloḡīyoh|āṭomoloḡīyātoh|āṭomoloḡīyan|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܬܗ̈ܘܿܢ|ܐܵܛܘܿܡܘܿܠܓ݂ܝܼܵܬܹ̈ܐ|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܹܗ|āṭomoloḡīyātī|āṭomoloḡīyāwḵon|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܗܘܿܢ|āṭomoloḡīhon|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܬܘܼ̈ܗܝ|āṭomoloḡīyātuḵ|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܝܼ|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܲܢ|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܬܵܘ̈ܟ݂ܘܿܢ|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܘܿܗ̇|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܘܼܟ݂|ܐܵܛܘܿܡܘܿܠܘܿܓ݂ܝܼܵܬܘܿܗ̇|āṭomoloḡīyāthon|āṭomoloḡīyātāḵ	<i>noun</i><br><ol><li>etymology (study of word origins)</li></ol>
ܐܝܕܐ|ܐܝܼܕܹܗ|ܐܝܼܕܘܿܗ̇|ܐܝܼܕܵܟ݂ܝ|īdātan|īdātī|ܐܝܼܕܵܬܵܘ̈ܟ݂ܘܿܢ|ܐܝܼܕܵܬܘܼ̈ܟ݂|īdātāwḵon|ܐܝܼܕܵܬܲܢ̈|īduḵ|ܐܝܼܕܘܼܟ݂|īdāwḵon|īdhon|ܐܝܼܕܵܘܟ݂ܘܿܢ|ܐܝܼܕܲܢ|ܐܝܼܕ|īdātoh|īdan|ܐܝܼܕܵܬ̈ܘܿܗ̇|īdātuḵ|ܐܝܼܕܵܬܵܟ݂ܝ̈|ܐܝܼܕܗܘܿܢ|īdāthon|ܐܝܼܕܵܬܹ̈ܗ|īdī|īdāḵ|īdātē|īdātēh|īd|īdātāḵ|ܐܝܼܕܵܬܗ̈ܘܿܢ|ܐܝܼܕܵܬܹ̈ܐ|ܐܝܼܕܝܼ|īdēh|ܐܝܼܕܵܬ̈|īdā|ܐܝܼܕܵܐ|īdāt|ܐܝܼܕܵܬܝܼ̈|īdoh	<i>noun</i><br><ol><li>(anatomy) hand</li><li>(animal anatomy) paw</li><li>(card games) hand</li><li>(soccer) hand foul</li><li>axle (of a wheel)</li><li>clapper (of a bell)</li><li>handle</li><li>(figuratively) power, might, dominion</li></ol>
ܐܝܛܠܝܐ|ܐܝܼܛܵܠܝܵܐ|īṭalya	<i>name</i><br><ol><li>Italy (a country in Europe; official name: Italian Republic)</li></ol>
ܐܝܟ|ܐܲܝܟ݂ܘܵܬܹܗ|ܐܲܝܟ݂ܘܵܬܝܼ|ܐܲܝܟ݂ܘܵܬܵܗ̇|ayḳ|ܐܲܝܟ݂ܘܵܬܘܼܟ݂|ܐܲܝܟ݂ܘܵܬܵܟ݂ܝ|ܐܲܝܟ݂ܘܵܬܵܘܟ݂ܘܿܢ|ܐܲܝܟ݂ܘܵܬܗܘܿܢ|aḳ|ܐܲܝܟ݂|ܐܲܝܟ݂ܘܵܬܲܢ	<i>prep</i><br><ol><li>like, as, as if, as it were, such as</li><li>almost, about, approximately, somewhat</li></ol>
ܐܝܠܘܠ|ܐܝܼܠܘܼܠ|īlul	<i>name</i><br><ol><li>September: The ninth month of the Gregorian calendar (of thirty days), following August and preceding October.</li><li>The sixth month of the Assyrian calendar.</li><li>Elul: The twelfth month of the Jewish calendar (of twenty-nine days), following Av and preceding Tishrei.</li></ol>
ܐܝܡܡܐ|īmāmāwātē|ܐܝܼܡܵܡܵܘܵܬܗ̈ܘܿܢ|ܐܝܼܡܵܡ|īmāmēh|īmāmāḵ|ܐܝܼܡܵܡܵܘܵܬܵܘ̈ܟ݂ܘܿܢ|ܐܝܼܡܵܡܘܼܟ݂|īmāmhon|īmāmāwātan|īmāmāwātay|īmāmāwātāḵ|ܐܝܼܡܵܡܵܘܵܬܘܼ̈ܟ݂|ܐܝܼܡܵܡܝܼ|ܐܝܼܡܵܡܹܗ|ܐܝܼܡܵܡܲܢ|ܐܝܼܡܵܡܵܘܵܬܲܝ̈|īmāmī|īmāmāwāthon|īmāman|ܐܝܼܡܵܡܵܟ݂ܝ|ܐܝܼܡܵܡܵܐ|īmāmāwātī|ܐܝܼܡܵܡܵܘܵܬܲܢ̈|īmāmā|īmām|īmāmāwātuḵ|ܐܝܼܡܵܡܵܘܵܬ̈ܘܿܗ̇|īmāmāwḵon|ܐܝܼܡܵܡܵܘܵܬܹ̈ܗ|īmāmāwātēh|ܐܝܼܡܵܡܵܘܵܬܵܟ݂ܝ̈|ܐܝܼܡܵܡܵܘܵܬܝܼ̈|īmāmāwātoh|ܐܝܼܡܵܡܵܘܵܬܹ̈ܐ|ܐܝܼܡܵܡܘܿܗ̇|ܐܝܼܡܵܡܗܘܿܢ|īmāmāwātāwḵon|īmāmoh|ܐܝܼܡܵܡܵܘܟ݂ܘܿܢ|īmāmuḵ	<i>noun</i><br><ol><li>daytime (the time of the day between sunrise and sunset)</li></ol><br><i>name</i><br><ol><li>Jemima (oldest of the three daughters of Job)</li></ol>
ܐܝܣܚܩ|ܐܝܼܣܚܵܩ|īsḥāq	<i>name</i><br><ol><li>(biblical) Isaac</li></ol>
ܐܝܣܪܐܝܠ|īsrāʾēl|ܐܝܼܣܪܵܐܹܝܠ	<i>name</i><br><ol><li>Israel (a country in Asia; official name: State of Israel)</li><li>(historical) An ancient kingdom that occupied roughly the same area in ancient times.</li><li>(historical) An ancient kingdom that occupied the northern part of this area, as distinct from Judah.</li><li>Israel (the Hebrew patriarch Jacob)</li></ol>
ܐܝܣܪܠܝܐ|ܐܝܼܣܲܪܠܵܝܬܵܐ|ܐܝܼܣܲܪ̈ܠܵܝܹܐ|īsarlāyā|ܐܝܼܣܲܪܠܵܝܵܐ	<i>adj</i><br><ol><li>Israeli (of or pertaining to the State of Israel)</li><li>Israelite (of or pertaining to being the descendants of Jacob)</li></ol><br><i>noun</i><br><ol><li>Israeli (citizen of or descendant of the State of Israel)</li><li>Israelite (descendant of Jacob)</li></ol>
ܐܝܪ|ܐܝܼܵܪ|īyār	<i>name</i><br><ol><li>The second month of the Assyrian calendar.</li><li>Iyar (eighth month of the Jewish calendar (of twenty-nine days), following Nisan and preceding Sivan)</li><li>May (fifth month of the Gregorian calendar (of thirty-one days), following April and preceding June)</li></ol>
ܐܝܪܝܚܘ|ܐܝܼܪܝܼܚܘܿ|īrīḥo	<i>name</i><br><ol><li>Jericho (a city in the West Bank, Palestine)</li></ol>
ܐܝܪܠܢܕܐ|īrlāndā|ܐܝܼܪܠܵܢܕܵܐ	<i>name</i><br><ol><li>Ireland (a large island in northwestern Europe).</li><li>Ireland (a country in Europe)</li></ol>
ܐܝܪܢ|īrān|ܐܝܼܪܵܢ	<i>name</i><br><ol><li>A country in Western Asia. Official name: Islamic Republic of Iran</li></ol>
ܐܝܫܡܥܝܠ|ܐܝܼܫܡܲܥܹܝܠ|īšmaʿēl	<i>name</i><br><ol><li>(Islam, Judaism, Christianity) Ishmael, Ismail (eldest son of Abraham and his wife's handmaiden Hagar who were cast out after the birth of Isaac; traditionally the ancestor of the Arabs via the Ishmaelites)</li></ol>
ܐܝܬ|ܐܝܼܬ ܒܝܼܵܗ̇|īt|ܐܝܼܬ ܠܵܟ݂ܝ|ܐܝܼܬ|ܐܝܼܬ ܠܘܼܟ݂|ܐܝܼܬ ܠܗܘܿܢ|ܐܝܼܬ ܒܝܼܹܗ|ܐܝܼܬ ܒܝܼܵܟ݂ܝ|ܐܝܼܬ ܒܝܼܵܘܟ݂ܘܿܢ|ܐܝܼܬ ܠܹܗ|ܐܝܼܬ ܒܝܼܗܘܿܢ|ܐܝܼܬ ܠܵܘܟ݂ܘܿܢ|ܐܝܼܬ ܒܝܼܘܼܟ݂|ܐܝܼܬ ܒܝܼ|ܐܝܼܬ ܠܝܼ|ܐܝܼܬ ܠܵܗ̇|ܐܝܼܬ ܒܝܼܲܢ|ܐܝܼܬ ܠܲܢ	<i>adv</i><br><ol><li>there is/are</li><li>to have [+ ܠ- (object)]</li><li>to be (years) old [+ ܠ- (l-) (age)]</li><li>to be possible [+ ܒ- (object)]</li></ol>
