Ahadi|Ahad	<i>name</i><br><ol><li>Sunday</li></ol>
ari|foari|oari|niari|yoari|moari|noari|iari|toari|miari	<i>verb</i><br><ol><li>(intransitive) to cry</li></ol>
aroni|oaroni|foaroni|toaroni|iaroni|miaroni|niaroni|yoaroni|noaroni|moaroni	<i>verb</i><br><ol><li>(transitive) to stir, mix</li></ol>
aru|oaru|iaru|toaru|moaru|yoaru|noaru|niaru|foaru|miaru	<i>noun</i><br><ol><li>a hole</li><li>a wooden spoon</li></ol><br><i>verb</i><br><ol><li>(stative) to be complete</li></ol>
arudang	<i>noun</i><br><ol><li>rue (Ruta graveolens, Ruta angustifolia, Ruta chalepensis)</li></ol>
arut	<i>noun</i><br><ol><li>arrowroot (Maranta arundinacea)</li></ol>
asal	<i>noun</i><br><ol><li>origin</li></ol>
asar	<i>noun</i><br><ol><li>asr, the afternoon prayer</li></ol>
asibii	<i>noun</i><br><ol><li>cassava</li></ol>
asli	<i>noun</i><br><ol><li>origin</li></ol>
asu|moasu|iasu|toasu|oasu|yoasu|miasu|noasu|niasu|foasu	<i>verb</i><br><ol><li>(stative) to be nasal</li></ol><br><i>noun</i><br><ol><li>(linguistics) a nasal consonant</li></ol>
ata|toata|iata|moata|miata|niata|foata|oata|noata|yoata	<i>noun</i><br><ol><li>(anatomy) chest</li></ol><br><i>verb</i><br><ol><li>(transitive) to bring</li></ol>
ate|yoate|oate|moate|foate|iate|niate|toate|miate|noate	<i>verb</i><br><ol><li>(intransitive) to connect</li></ol>
atorang	<i>noun</i><br><ol><li>the rules, norms</li></ol>
atu|yoatu|miatu|oatu|foatu|toatu|moatu|noatu|iatu|niatu	<i>verb</i><br><ol><li>(transitive) to attach</li></ol>
au	<i>noun</i><br><ol><li>blood</li></ol>
au doro	<i>verb</i><br><ol><li>(intransitive, possessed) to miscarry, to have a miscarriage</li></ol>
awa	<i>noun</i><br><ol><li>rainbow</li><li>sign, mark</li></ol>
awal	<i>noun</i><br><ol><li>beginning</li></ol>
aya|iaya|miaya|oaya|toaya|yoaya|foaya|niaya|moaya|noaya	<i>verb</i><br><ol><li>(transitive) to sift</li></ol>
ayaaya	<i>noun</i><br><ol><li>a sago sieve</li></ol>
baba	<i>noun</i><br><ol><li>father</li></ol>
baba jojo	<i>noun</i><br><ol><li>either parent's younger brother</li></ol>
babalea	<i>noun</i><br><ol><li>bed</li></ol>
babu|yobabu|obabu|tobabu|mobabu|nobabu|fobabu|بابو|mibabu|nibabu|ibabu	<i>verb</i><br><ol><li>(intransitive) (of humans) to fall</li><li>(intransitive) to be overthrown</li></ol>
baca|nibaca|fobaca|tobaca|mibaca|yobaca|obaca|ibaca|nobaca|mobaca	<i>verb</i><br><ol><li>(transitive) to read</li></ol>
bacabaca	<i>noun</i><br><ol><li>fishing net</li><li>dustcloth</li></ol>
badang	<i>noun</i><br><ol><li>body</li></ol>
badu|ibadu|yobadu|mobadu|obadu|fobadu|nibadu|tobadu|mibadu|nobadu	<i>verb</i><br><ol><li>(transitive) to invite</li></ol>
bagea	<i>noun</i><br><ol><li>a kind of sago cookie</li></ol>
bahala|bahla|bala	<i>noun</i><br><ol><li>disaster</li></ol>
bahasang	<i>noun</i><br><ol><li>language</li></ol>
bahaya|mibahaya|yobahaya|nobahaya|obahaya|nibahaya|mobahaya|ibahaya|tobahaya|fobahaya	<i>verb</i><br><ol><li>(stative) to be dangerous</li></ol><br><i>adv</i><br><ol><li>greatly, very much</li></ol>
bahe|tobahe|mibahe|nobahe|nibahe|mobahe|fobahe|obahe|yobahe|ibahe	<i>verb</i><br><ol><li>(transitive) to spread</li></ol>
bahebahe	<i>noun</i><br><ol><li>a bamboo piece</li></ol>
bai|nobai|fobai|mobai|nibai|ibai|mibai|tobai|yobai|obai	<i>verb</i><br><ol><li>(transitive) to show</li></ol><br><i>noun</i><br><ol><li>a species of snapper, Etelis carbunculus and/or Etelis radiosus</li></ol>
baikole	<i>noun</i><br><ol><li>a kind of bird</li></ol>
bailele	<i>noun</i><br><ol><li>cheering</li></ol>
bairere	<i>noun</i><br><ol><li>spider</li></ol>
baising|obaising|nobaising|yobaising|ibaising|nibaising|tobaising|mibaising|fobaising|mobaising	<i>verb</i><br><ol><li>(stative) to be polite</li></ol>
baja|mobaja|tobaja|fobaja|nobaja|nibaja|ibaja|mibaja|obaja|yobaja	<i>verb</i><br><ol><li>to persuade</li><li>to tempt</li></ol>
baju	<i>noun</i><br><ol><li>a shirt</li></ol>
bakabaka	<i>noun</i><br><ol><li>a kind of hitting or striking tool</li><li>shoulder blade</li></ol>
bakasang	<i>noun</i><br><ol><li>tuna guts</li></ol>
bakebake	<i>noun</i><br><ol><li>chameleon</li></ol>
baki	<i>noun</i><br><ol><li>a tray</li></ol>
bala|mibala|obala|tobala|yobala|nobala|fobala|nibala|mobala|ibala	<i>verb</i><br><ol><li>(intransitive) to float up, to emerge from water</li><li>(intransitive, by extension) to appear, to emerge</li></ol><br><i>noun</i><br><ol><li>people</li></ol>
balacai|بلچاي	<i>noun</i><br><ol><li>Jatropha multifida</li></ol>
balacai hisa	<i>noun</i><br><ol><li>Jatropha curcas (Barbados nut, purging nut, physic nut)</li></ol>
balacai roriha	<i>noun</i><br><ol><li>the castor oil plant (Ricinus communis)</li></ol>
balacang	<i>noun</i><br><ol><li>terasi, belacan</li></ol>
balaka	<i>noun</i><br><ol><li>a dish rack</li></ol>
balao	<i>noun</i><br><ol><li>dark blue</li></ol>
balatu	<i>noun</i><br><ol><li>snare</li></ol>
balbal	<i>noun</i><br><ol><li>spool, spindle</li></ol>
balibali	<i>noun</i><br><ol><li>serving sticks for papeda</li></ol>
balibi|بليبي	<i>noun</i><br><ol><li>starfruit</li></ol>
balkama	<i>noun</i><br><ol><li>the herbs sweet basil and holy basil</li></ol>
balkun	<i>noun</i><br><ol><li>balcony</li></ol>
balo	<i>noun</i><br><ol><li>either the wood pigeon or the green pigeon</li></ol>
balobalo	<i>noun</i><br><ol><li>scoop</li><li>ladle</li></ol>
banga	<i>noun</i><br><ol><li>forest</li></ol>
bangbang	<i>noun</i><br><ol><li>the adhan, call to prayer</li><li>a hole for the mast on a ship</li></ol>
bangku	<i>noun</i><br><ol><li>bench</li></ol>
bangsa	<i>noun</i><br><ol><li>nation</li></ol>
banusa	<i>noun</i><br><ol><li>a coffin lid</li></ol>
bao	<i>noun</i><br><ol><li>a water current</li></ol>
bara	<i>noun</i><br><ol><li>carbuncle</li></ol>
baracinta|yobaracinta|mibaracinta|obaracinta|mobaracinta|tobaracinta|ibaracinta|fobaracinta|nibaracinta|برچينت|nobaracinta	<i>verb</i><br><ol><li>(stative) to be sorrowful, distressed¹</li><li>to love deeply²</li></ol>
barajaha	<i>noun</i><br><ol><li>a kind of disease</li></ol>
barakati	<i>noun</i><br><ol><li>blessing</li></ol>
bareas|mobareas|fobareas|nobareas|nibareas|yobareas|obareas|tobareas|mibareas|ibareas	<i>verb</i><br><ol><li>to decorate</li></ol>
barhala	<i>noun</i><br><ol><li>an idol</li></ol>
bari	<i>noun</i><br><ol><li>community self-help, mutual cooperation</li></ol>
baro	<i>noun</i><br><ol><li>a bandage</li></ol>
barobaro	<i>noun</i><br><ol><li>a covering</li><li>eyelid</li></ol>
baru	<i>noun</i><br><ol><li>sea hibiscus</li></ol>
baru dowongi	<i>noun</i><br><ol><li>sea hibiscus</li></ol>
barubaru	<i>noun</i><br><ol><li>village security official</li></ol>
bas	<i>noun</i><br><ol><li>a washbasin</li></ol>
baso|tobaso|mibaso|nobaso|ibaso|mobaso|nibaso|fobaso|obaso|yobaso	<i>verb</i><br><ol><li>(transitive) to feel</li><li>(transitive) to taste</li></ol>
bastel|obastel|ibastel|fobastel|tobastel|yobastel|mobastel|mibastel|nobastel|nibastel	<i>verb</i><br><ol><li>(stative) to be stylish</li></ol>
bata|obata|nibata|mobata|yobata|tobata|nobata|ibata|fobata|mibata	<i>verb</i><br><ol><li>(stative) to be spotted</li></ol>
batabata	<i>noun</i><br><ol><li>freckles</li></ol>
bataka|بتاکه	<i>noun</i><br><ol><li>kencur (Kaempferia galanga)</li></ol>
bati|باتي	<i>noun</i><br><ol><li>a tree trunk</li><li>any piece of wood</li><li>a pole</li><li>a boundary (as demarcated by poles in the ground, etc.)</li><li>a kind of sorcery</li></ol>
batibati	<i>noun</i><br><ol><li>a room</li></ol>
batinga|mibatinga|tobatinga|yobatinga|mobatinga|fobatinga|nibatinga|ibatinga|obatinga|nobatinga	<i>verb</i><br><ol><li>(intransitive) to strut</li></ol>
bato	<i>adv</i><br><ol><li>only, exclusively</li><li>just, merely</li></ol>
bau|nobau|nibau|fobau|mobau|tobau|mibau|obau|ibau|yobau	<i>verb</i><br><ol><li>(transitive) to borrow</li></ol><br><i>noun</i><br><ol><li>a step-relative</li></ol>
baulaco|obaulaco|mibaulaco|nobaulaco|mobaulaco|yobaulaco|fobaulaco|tobaulaco|ibaulaco|nibaulaco	<i>noun</i><br><ol><li>famine</li></ol><br><i>verb</i><br><ol><li>(stative) to be starving</li><li>(stative, slang) to be hungry</li></ol>
bawa	<i>noun</i><br><ol><li>onion</li></ol>
baya	<i>noun</i><br><ol><li>the plant Amaranthus hybridus</li></ol>
bayai	<i>noun</i><br><ol><li>a palm-leaf plate</li></ol>
bayale|nobayale|mibayale|mobayale|tobayale|yobayale|nibayale|ibayale|fobayale|obayale	<i>verb</i><br><ol><li>(stative) to be flirtatious</li></ol>
bayatu|yobayatu|nibayatu|tobayatu|mibayatu|fobayatu|ibayatu|obayatu|nobayatu|mobayatu	<i>verb</i><br><ol><li>to wail</li></ol>
bebe	<i>noun</i><br><ol><li>a duck</li></ol>
bece	<i>noun</i><br><ol><li>dust</li></ol>
begebege|fobegebege|nibegebege|obegebege|yobegebege|tobegebege|mibegebege|ibegebege|nobegebege|mobegebege	<i>verb</i><br><ol><li>(stative) to be weak</li></ol>
belabela	<i>noun</i><br><ol><li>lightning</li></ol>
beleki	<i>noun</i><br><ol><li>(metal) tin</li></ol>
belo	<i>noun</i><br><ol><li>pole, post</li></ol>
bendi|بيندي	<i>noun</i><br><ol><li>a kind of horse-drawn carriage</li></ol>
benga|fobenga|yobenga|mobenga|nibenga|tobenga|mibenga|ibenga|obenga|nobenga	<i>verb</i><br><ol><li>(intransitive) to throb</li></ol>
bengabenga	<i>noun</i><br><ol><li>one's pulse</li><li>(anatomy) temple</li></ol>
beno	<i>noun</i><br><ol><li>a wall</li></ol>
berarti|miberarti|niberarti|noberarti|foberarti|toberarti|iberarti|oberarti|yoberarti|moberarti	<i>verb</i><br><ol><li>(stative) to have meaning, to signify</li></ol>
besa|nibesa|mobesa|nobesa|ibesa|tobesa|yobesa|بيس|fobesa|mibesa|obesa	<i>noun</i><br><ol><li>rain</li></ol><br><i>verb</i><br><ol><li>(impersonal) to rain</li></ol>
besabesa	<i>noun</i><br><ol><li>the plant Aristolochia indica</li></ol>
besi	<i>noun</i><br><ol><li>iron</li></ol>
besibesi	<i>noun</i><br><ol><li>a frying pan</li></ol>
betabeta	<i>noun</i><br><ol><li>a shawl, scarf</li></ol>
bete|بيتي	<i>noun</i><br><ol><li>eddoe (Colocasia antiquorum)</li></ol>
beto	<i>noun</i><br><ol><li>a word</li></ol>
betobeto|mibetobeto|mobetobeto|fobetobeto|nobetobeto|obetobeto|yobetobeto|nibetobeto|tobetobeto|ibetobeto	<i>verb</i><br><ol><li>(intransitive) to talk a lot</li></ol>
betu|بيتو	<i>noun</i><br><ol><li>lips</li></ol>
bia|بيا	<i>noun</i><br><ol><li>shellfish, mollusks</li></ol>
biau|tobiau|nobiau|mobiau|fobiau|nibiau|obiau|ibiau|mibiau|yobiau	<i>verb</i><br><ol><li>(transitive) to strew</li><li>(transitive) to broadcast</li></ol>
bibi	<i>noun</i><br><ol><li>any of several fish in Tetraodontidae and Ostraciidae</li></ol>
bibilatu|بيبيلاتو	<i>noun</i><br><ol><li>scorpion</li><li>a kind of trap, snare</li></ol>
bicanga	<i>noun</i><br><ol><li>handspan</li></ol>
bicara|fobicara|بيچاره|obicara|mobicara|mibicara|nibicara|yobicara|tobicara|ibicara|nobicara	<i>verb</i><br><ol><li>(intransitive) to discuss, deliberate</li><li>(intransitive) to speak</li></ol>
bidadari	<i>noun</i><br><ol><li>a fairy, nymph</li></ol>
bidi|ibidi|tobidi|obidi|fobidi|nobidi|nibidi|mibidi|yobidi|mobidi	<i>verb</i><br><ol><li>(intransitive) to lie down</li></ol>
bidibidi|mibidibidi|nibidibidi|tobidibidi|fobidibidi|obidibidi|mobidibidi|yobidibidi|nobidibidi|ibidibidi	<i>verb</i><br><ol><li>to roll around (on the ground)</li></ol>
bido|بيدو	<i>noun</i><br><ol><li>betel (Piper betle)</li></ol>
bido marau	<i>noun</i><br><ol><li>betel leaf</li><li>(politics) wealth, money</li></ol>
bidobido	<i>noun</i><br><ol><li>large-leafed orange mangrove (Bruguiera gymnorhiza)</li></ol>
bifi|بيفي	<i>noun</i><br><ol><li>ant</li></ol>
bika|بيکة	<i>noun</i><br><ol><li>nautilus</li></ol>
biki|بيکي	<i>noun</i><br><ol><li>tail</li></ol>
bilolo	<i>noun</i><br><ol><li>hermit crab</li></ol>
bilus	<i>noun</i><br><ol><li>blouse</li></ol>
bira|بيراة	<i>noun</i><br><ol><li>rice (cooked or uncooked)</li></ol>
biraro	<i>noun</i><br><ol><li>the winged bean (Psophocarpus tetragonolobus)</li></ol>
biri|mibiri|nobiri|nibiri|obiri|mobiri|ibiri|yobiri|tobiri|fobiri	<i>verb</i><br><ol><li>(transitive) to take along, to bring along</li></ol>
biru	<i>noun</i><br><ol><li>blue</li></ol>
biu	<i>noun</i><br><ol><li>a kind of traditional medicine</li></ol>
bobai	<i>noun</i><br><ol><li>fiancé, fiancée</li></ol>
bobaku	<i>noun</i><br><ol><li>an epidemic, plague</li></ol>
bobane	<i>noun</i><br><ol><li>a landing place, docking place (of a boat, etc.)</li><li>the shore</li></ol>
bobangu	<i>noun</i><br><ol><li>payment</li></ol>
bobapo	<i>noun</i><br><ol><li>a friend</li></ol>
bobara	<i>noun</i><br><ol><li>trevally (Carangidae)</li></ol>
bobato|بباتو	<i>noun</i><br><ol><li>(obsolete) an oarsman</li><li>(obsolete, by extension) a fighter</li><li>(historical) a specific title during the Sultanate of Ternate: a village chief, a headman</li><li>an administrator</li></ol>
bobatu|بباتو	<i>noun</i><br><ol><li>the plant Millettia sericea</li><li>the fish poison produced from its roots</li></ol>
bobenga	<i>noun</i><br><ol><li>a trap, a snare</li></ol>
bobengka	<i>noun</i><br><ol><li>a kind of pastry or cake made with glutinous rice and coconut</li></ol>
bobero	<i>noun</i><br><ol><li>growth</li></ol>
bobeto|mobobeto|fobobeto|nobobeto|mibobeto|ibobeto|nibobeto|tobobeto|obobeto|yobobeto	<i>verb</i><br><ol><li>(transitive) to curse</li></ol>
bobiki	<i>noun</i><br><ol><li>dishwater</li></ol>
bobo|بوبو	<i>noun</i><br><ol><li>the nipa palm</li></ol>
boboa	<i>noun</i><br><ol><li>pus</li></ol>
boboho|miboboho|foboboho|moboboho|toboboho|yoboboho|noboboho|niboboho|oboboho|iboboho	<i>verb</i><br><ol><li>(stative) Synonym of boho (“to be tired”)</li></ol>
bobooca|ببؤچة	<i>noun</i><br><ol><li>octopus, squid</li><li>the creeper Stemona javanica</li></ol>
boboresu	<i>noun</i><br><ol><li>crossbar</li></ol>
boboso	<i>noun</i><br><ol><li>a taboo, prohibition</li></ol>
bobudo|mobobudo|ibobudo|fobobudo|tobobudo|mibobudo|obobudo|nibobudo|yobobudo|nobobudo	<i>verb</i><br><ol><li>(stative) to be the color white</li></ol>
bobufu	<i>noun</i><br><ol><li>benzoin, resin</li></ol>
bodiga	<i>noun</i><br><ol><li>a spell, magical formula</li><li>sorcery</li></ol>
bodito	<i>noun</i><br><ol><li>an accident</li><li>misfortune</li></ol>
bofo	<i>noun</i><br><ol><li>leftovers, remains</li></ol>
bogaboga	<i>noun</i><br><ol><li>swelling joints, swollen joints</li></ol>
boho|iboho|foboho|noboho|oboho|moboho|miboho|toboho|yoboho|niboho	<i>verb</i><br><ol><li>(stative) to be tired</li></ol>
boi|foboi|toboi|niboi|yoboi|oboi|miboi|iboi|noboi|moboi	<i>verb</i><br><ol><li>(transitive) to throw away, throw out</li></ol>
boiboi	<i>noun</i><br><ol><li>something thrown, something that has been thrown</li></ol>
boke	<i>noun</i><br><ol><li>a scar</li></ol>
boki	<i>noun</i><br><ol><li>princess</li></ol>
boko	<i>noun</i><br><ol><li>a kind of large drum</li></ol>
bokoboko	<i>noun</i><br><ol><li>a dish prepared by baking sago in bamboo</li></ol>
bokor	<i>noun</i><br><ol><li>basin</li></ol>
boku	<i>noun</i><br><ol><li>a book</li><li>a kind of pandanus</li></ol>
bola	<i>noun</i><br><ol><li>a marble (toy)</li><li>a spool</li></ol>
bolebole	<i>noun</i><br><ol><li>the wrasse; specifically, Anampses geographicus and Anampses meleagrides</li><li>the lined dottyback (Labracinus lineatus)</li></ol><br><i>adv</i><br><ol><li>slowly</li></ol>
boleu	<i>noun</i><br><ol><li>a reef</li></ol>
bolo	<i>conj</i><br><ol><li>or</li></ol>
boloasu|iboloasu|noboloasu|miboloasu|yoboloasu|oboloasu|niboloasu|foboloasu|toboloasu|moboloasu	<i>verb</i><br><ol><li>(stative) to be proper, fitting, right</li></ol>
bolobolo	<i>noun</i><br><ol><li>a spinning top</li></ol>
bolohi	<i>noun</i><br><ol><li>rotten wood</li></ol>
boloi	<i>noun</i><br><ol><li>excess, surplus</li></ol>
bololo	<i>noun</i><br><ol><li>a kind of edible snail</li></ol>
bolote	<i>noun</i><br><ol><li>rivermouth</li></ol>
bolutu|ibolutu|nobolutu|fobolutu|mobolutu|mibolutu|nibolutu|yobolutu|obolutu|tobolutu	<i>verb</i><br><ol><li>(stative) to be sound asleep</li></ol>
bonci	<i>noun</i><br><ol><li>peanut</li></ol>
bongo	<i>noun</i><br><ol><li>a side</li></ol>
bonofo|mibonofo|fobonofo|mobonofo|tobonofo|ibonofo|nobonofo|obonofo|yobonofo|nibonofo	<i>verb</i><br><ol><li>to eat ravenously</li></ol>
booca	<i>noun</i><br><ol><li>dandruff</li></ol>
boraka	<i>noun</i><br><ol><li>a sign of mourning</li></ol>
boresu	<i>noun</i><br><ol><li>a door bar</li></ol>
bori	<i>noun</i><br><ol><li>the plant Anamirta cocculus; its seeds are crushed to make a fish poison</li></ol>
boriki	<i>noun</i><br><ol><li>an elder</li></ol>
boro|بورو	<i>noun</i><br><ol><li>an egg</li></ol>
borooli	<i>noun</i><br><ol><li>the kneecap</li><li>the plant Entada rheedei</li></ol>
borua	<i>noun</i><br><ol><li>a box</li></ol>
bose	<i>noun</i><br><ol><li>the European black nightshade (Solanum nigrum)</li></ol>
boso	<i>noun</i><br><ol><li>(cooking) a pan</li></ol>
bosoke	<i>noun</i><br><ol><li>a rope for climbing</li></ol>
bosusu|nobosusu|tobosusu|mobosusu|nibosusu|yobosusu|mibosusu|obosusu|fobosusu|ibosusu	<i>verb</i><br><ol><li>(intransitive) to give birth</li></ol>
boteko	<i>noun</i><br><ol><li>upper arm</li></ol>
boti|moboti|toboti|yoboti|iboti|niboti|foboti|noboti|oboti|miboti	<i>verb</i><br><ol><li>(stative) to be conceited, arrogant</li></ol>
botoboto	<i>noun</i><br><ol><li>grasshopper (insects in Acrididae)</li></ol>
botolino	<i>noun</i><br><ol><li>a blackwood, Diospyros elliptifolia</li></ol>
bou|ibou|mobou|nibou|fobou|mibou|tobou|nobou|yobou|obou	<i>noun</i><br><ol><li>an odor, an unpleasant smell</li></ol><br><i>verb</i><br><ol><li>(intransitive) to smell bad, to stink</li></ol>
bua	<i>noun</i><br><ol><li>a termite</li></ol>
bualawa|بواه لاوه	<i>noun</i><br><ol><li>cloves (Syzygium aromaticum)</li></ol>
buale	<i>noun</i><br><ol><li>the tree Burckella macropoda</li></ol>
buano	<i>noun</i><br><ol><li>bael (Aegle marmelos)</li></ol>
buanona	<i>noun</i><br><ol><li>the custard apple (Annona reticulata).</li></ol>
buasau	<i>noun</i><br><ol><li>the sapodilla (Manilkara zapota).</li></ol>
buau|mibuau|obuau|mobuau|nibuau|fobuau|ibuau|nobuau|tobuau|yobuau	<i>verb</i><br><ol><li>(intransitive) to drone, buzz</li></ol>
bubira	<i>noun</i><br><ol><li>acne</li></ol>
bubu|yobubu|mobubu|fobubu|ibubu|mibubu|tobubu|obubu|nibubu|nobubu	<i>noun</i><br><ol><li>a fin or flipper of a fish</li></ol><br><i>verb</i><br><ol><li>(transitive) to drill, bore a hole</li><li>(transitive) to put out in the rain</li></ol>
budo|nobudo|obudo|fobudo|mibudo|ibudo|nibudo|yobudo|mobudo|tobudo	<i>verb</i><br><ol><li>(stative) to be the color white</li></ol><br><i>noun</i><br><ol><li>an albino</li></ol>
budu	<i>noun</i><br><ol><li>a belt (for a pant, etc.)</li></ol>
bue|fobue|tobue|obue|mobue|mibue|nobue|yobue|nibue|ibue	<i>verb</i><br><ol><li>(intransitive) to swing, rock</li></ol>
buebue	<i>noun</i><br><ol><li>a swing</li></ol>
buka|mibuka|yobuka|obuka|nobuka|nibuka|fobuka|mobuka|ibuka|tobuka	<i>verb</i><br><ol><li>(intransitive) to open</li></ol>
