ሀየል|ሀየላት|häyyäl|and collective	<i>noun</i><br><ol><li>ibex</li></ol>
ሓማሴን|ḥamasen	<i>name</i><br><ol><li>Hamasien (a historical province of Ethiopia)</li></ol>
ሓሳብ|ḥasab|ሐሳባት	<i>noun</i><br><ol><li>account, accounting, reckoning, calculation, chronology, price, portion, share</li></ol>
ሕምሥ|ḥəmś	<i>noun</i><br><ol><li>belly, stomach</li></ol>
ሕዝብ|አሕዛብ|ሕዘብ|ḥəzb	<i>noun</i><br><ol><li>tribe, people, nation</li></ol>
መሀረ|mähärä|mähär|መሀር	<i>verb</i><br><ol><li>to teach, instruct</li><li>to educate, train, discipline</li></ol>
መሀር|mähär|məhr|አመሀረ|Aksumite	<i>noun</i><br><ol><li>camels</li><li>goats</li><li>horses</li><li>camel foals</li></ol>
መላጼ|መላጽያት|mälaṣe	<i>noun</i><br><ol><li>knife, blade, razor used for shaving</li></ol>
መልአክ|mälʾäk|መልአክት	<i>noun</i><br><ol><li>(religion) angel</li><li>(rare) messenger, legate</li><li>commander, ruler</li></ol>
መልዕልተ|mälʿəltä	<i>prep</i><br><ol><li>on, upon, on top of</li></ol>
መምክር|መምካርት|mämkər|መምካራን	<i>noun</i><br><ol><li>counselor, adviser</li></ol>
መርከብ|märkäb	<i>noun</i><br><ol><li>boat, ship</li></ol>
መስከረም|mäskäräm	<i>noun</i><br><ol><li>First month of the Ethiopian calendar, roughly equivalent to September in the Gregorian Calendar.</li></ol>
መስኮት|mäskot|መሳክው	<i>noun</i><br><ol><li>window</li></ol>
መስፍሕ|mäsfəḥ	<i>noun</i><br><ol><li>anvil</li><li>surface</li><li>measure</li><li>hammer, mallet</li></ol>
መስፍን|mäsfən|መሳፍንት	<i>noun</i><br><ol><li>prince, prefect, governor, satrap</li><li>(biblical) judges of Israel</li></ol>
መቄዶንያ|mäḳedonya	<i>name</i><br><ol><li>Macedonia (Ancient Greek Kingdom)</li></ol>
መብልዕ|መባልዕ|mäbləʿ	<i>noun</i><br><ol><li>food, sustenance</li></ol>
መብረቅ|መባርቅት|mäbräḳ	<i>noun</i><br><ol><li>lightning</li></ol>
መትከፍት|መትከፍ|መታክፍ|mätkäf|mätkäft	<i>noun</i><br><ol><li>shoulder</li><li>(poetical) the yoke as the body part where a beast of burden carries load</li></ol>
መንግሥት|mängəśt|መንግሥታት	<i>noun</i><br><ol><li>kingdom</li><li>the power or dignity of kings</li><li>the royal family, the progeny of a king</li></ol>
መንፈስ|mänfäs|መንፈሳት	<i>noun</i><br><ol><li>breath</li><li>wind</li><li>spirit, vital force, life</li><li>soul, conscience</li><li>divine spirit, incorporeal spirits (I.e. angels, demons etc...)</li><li>spirit (of the dead)</li><li>ghost, spectre</li></ol>
መካ|mäka	<i>name</i><br><ol><li>Mecca</li></ol>
መካን|mäkan|መካናት	<i>noun</i><br><ol><li>place</li><li>space</li><li>occasion</li><li>inhabited place, region, land, seat</li><li>(arithmetic) number place</li></ol>
መዘምር|mäzämr|መዘምራን	<i>noun</i><br><ol><li>singer of psalms</li><li>psalmist</li><li>cantor</li></ol>
መዘነ|mäzzänä	<i>verb</i><br><ol><li>to weigh</li></ol>
መዝሙር|መዝሙራት|mäzmur	<i>noun</i><br><ol><li>psalm, hymn, sacred ode</li><li>book of psalms, psalter</li><li>psaltery, psalterium</li><li>a choir singing songs</li></ol>
መዲና|mädina	<i>name</i><br><ol><li>Medina</li></ol>
መጽሐፍ|mäṣḥäf|mäṣāḥəft|መጻሕፍት	<i>noun</i><br><ol><li>book</li><li>document</li><li>writing</li><li>inscription</li></ol>
ሙሴ|muse	<i>name</i><br><ol><li>(biblical) Moses</li></ol>
ሙዝ|muz	<i>noun</i><br><ol><li>ensete</li></ol>
ሚዛን|mizan	<i>verb</i><br><ol><li>balance, scales</li><li>Libra</li></ol>
ማእረር|maʾrär	<i>noun</i><br><ol><li>harvest, the action of reaping crops</li><li>harvest-time</li><li>the crops harvested, the crop</li><li>(Beta Israel) Shavuot, Pentecost</li></ol>
ማእድ|maʾədd|ማእዳት	<i>noun</i><br><ol><li>table</li><li>food, banquet</li><li>Eucharistic offering</li></ol>
ማይ|ማያት|may	<i>noun</i><br><ol><li>water</li></ol>
ምልሓ|məlḥa	<i>noun</i><br><ol><li>knowledge, judgement, wisdom</li><li>wit</li></ol>
ምሴት|ምሴታት|məset	<i>noun</i><br><ol><li>evening</li></ol>
ምስማዕ|məsmaʿ|ምስማዓት	<i>noun</i><br><ol><li>hearing, the sense of hearing</li><li>obedience</li><li>a hearing, an audience of listeners</li></ol>
ምንዳቤ|məndabyat|ምንዳቤያት|məndabe|məndabeyat|ምንዳብያት	<i>noun</i><br><ol><li>anguish</li><li>suffering, torment</li><li>hardship, distress</li><li>trouble, vexation</li></ol>
ምዕዋድ|məʿwad|ምዕዋዳት	<i>noun</i><br><ol><li>circuit, orbit</li><li>circle</li><li>sphere, globe</li></ol>
ምድር|mədr	<i>noun</i><br><ol><li>earth, world</li><li>land, nation</li><li>field, lands</li><li>soil, ground</li><li>dust</li><li>floor, pavement</li></ol>
ምጽባእ|məṣbaʾ	<i>noun</i><br><ol><li>castle, fortress, citadel</li></ol>
ሞቅሕ|መዋቅሕት|moḳḥ	<i>noun</i><br><ol><li>chain, shackles</li><li>jail, confinement, imprisonment</li></ol>
ሞተ|motä|conjugation ይሙት	<i>verb</i><br><ol><li>to die</li></ol>
ሞት|mot	<i>noun</i><br><ol><li>death</li></ol>
ሠለስቱ|ሠላስ|śälas|śälästu|ሠለስተ|ሠላሰ	<i>num</i><br><ol><li>three (3)</li></ol>
ሠላሳ|śälasa	<i>num</i><br><ol><li>thirty</li></ol>
ሠላስ|śälas|śälästu|ሠለስተ|ሠለስቱ|ሠላሰ	<i>num</i><br><ol><li>three (3)</li></ol>
ሠልስ|ሠልስት|śäls	<i>num</i><br><ol><li>third (3rd)</li></ol>
ሠርዌ|ሠራዊት|śärwe	<i>noun</i><br><ol><li>beam, rafter, timber, column</li><li>trunk, stem, stalk</li><li>(nautical) mast</li><li>beam of a weaver's loom</li></ol>
ሠቅ|śäḳḳ|ሠቃት	<i>noun</i><br><ol><li>a coarse fabric such as to make sacks</li><li>a vestment of such a fabric</li><li>a sack</li></ol>
ሠያጢ|ሠየጥ|śäyaṭi	<i>noun</i><br><ol><li>seller, vendor</li><li>merchant</li></ol>
ሢራይ|ሢራያት|śəray|ሥራያት|ሥራይ|śiray	<i>noun</i><br><ol><li>a kind of costly vestment</li></ol>
ሣህል|ሣህላት|śahl	<i>noun</i><br><ol><li>mercy, clemency, leniency</li></ol>
ሣሬት|śaret|ሳሬት|saret	<i>noun</i><br><ol><li>spider</li><li>cobweb</li></ol>
ሣዕር|śaʿr|አሥዕርት	<i>noun</i><br><ol><li>herb, grass, herbage, vegetation, hay</li></ol>
ሣጹን|ሣጹናት|śaṣun	<i>noun</i><br><ol><li>chest, box, casket, coffer</li></ol>
ሣፁን|ሣፁናት|śaṣ́un	<i>noun</i><br><ol><li>later form of ሣጹን (śaṣun)</li></ol>
ሥራይ|śəray|ሥራያት	<i>noun</i><br><ol><li>piece of witchcraft, spell</li><li>healing, medical application</li><li>pharmacon, medicament</li></ol>
ሥርናይ|śərnay	<i>noun</i><br><ol><li>wheat</li></ol>
ሥርው|አሥራው|ሥረው|śərw	<i>noun</i><br><ol><li>root</li><li>(figuratively) origin, cause, beginning, principle</li><li>base, foundation</li><li>nerve, muscle</li></ol>
ሥጋ|śəga|ሥጋት	<i>noun</i><br><ol><li>flesh</li><li>meat</li><li>that which is human as opposed to that which is divine</li><li>that which is carnal, as opposed to that which is spiritual</li><li>that which is alive as opposed to that which is dead</li><li>(euphemistic) pudendum, genitalia</li><li>the living body</li><li>corpse, cadaver</li></ol>
ረክብ|räkb	<i>noun</i><br><ol><li>assembly, meeting</li></ol>
ርትዐ|rətʿä	<i>noun</i><br><ol><li>rectitude, uprightness</li><li>probity, integrity, candor</li><li>rightness, legality</li><li>truth</li></ol>
ርእስ|rǝʾs|አርእስት	<i>noun</i><br><ol><li>head</li><li>height, peak, summit, top</li><li>leader, prince, top person</li><li>front, beginning, start</li><li>title, heading, summary</li></ol>
ርግብ|አርጋብ|rəgb	<i>noun</i><br><ol><li>dove, pigeon</li></ol>
ሮማን|roman|ሮማናት	<i>noun</i><br><ol><li>pomegranate</li></ol>
ሰሊካ|sälika	<i>noun</i><br><ol><li>cassia, Cinnamomum cassia syn. Cinnamomum aromaticum</li></ol>
ሰላም|sälam	<i>noun</i><br><ol><li>peace</li><li>security, safety, incolumity</li><li>greeting</li></ol>
ሰማኒ|ሰማንቱ|sämani|ሰማንተ|sämantu	<i>num</i><br><ol><li>eight (8)</li></ol>
ሰማንቱ|ሰማኒ|sämani|ሰማንተ|sämantu	<i>num</i><br><ol><li>eight (8)</li></ol>
ሰማይ|sämay|ሰማያት|ሰማየ	<i>noun</i><br><ol><li>heaven</li><li>sky</li></ol>
ሰምዐ|sämʿä	<i>verb</i><br><ol><li>to hear</li><li>to have the sense of hearing</li><li>to perceive with the ears, apprehend comprehend, discover, learn</li><li>to listen to, pay attention to, lend one's ears to</li><li>to hearken, hear the complaint, counsel, prayer of someone</li><li>to obey, comply with</li><li>to approve, assent, accept</li><li>to bear witness</li></ol>
ሰርዴስ|särdes	<i>name</i><br><ol><li>Sardis, Sardes</li></ol>
ሰበረ|säbärä|ይስብር	<i>verb</i><br><ol><li>to break</li></ol>
ሰበን|säbän	<i>noun</i><br><ol><li>kerchief, miter, scarf</li><li>handkerchief, sudary</li></ol>
ሰብእ|säbʾ	<i>noun</i><br><ol><li>(Singular and collective) man, human, mankind</li><li>household servants, relatives, one's household (those living in the house)</li><li>inhabitants, people, citizens, people of a country</li></ol>
ሰብዐቱ|säbʿu|ሰብዑ|säbʿätu|ሰብዐተ	<i>num</i><br><ol><li>seven (7)</li></ol>
ሰብዑ|ሰብዐቱ|ሰብዐተ|säbʿu|säbʿätu	<i>num</i><br><ol><li>seven (7)</li></ol>
ሰንቡላ|sänbula	<i>noun</i><br><ol><li>virgin</li></ol>
ሰዐት|ሰዓታት|ሰዓት|ሰዐታት|säʿat|säʿät	<i>noun</i><br><ol><li>hour</li><li>specified term or moment in time</li></ol>
ሰይ|säy	<i>noun</i><br><ol><li>woe, anguish, malum, dolour</li></ol>
ሰይል|säyl	<i>intj</i><br><ol><li>woe! alas!</li></ol><br><i>noun</i><br><ol><li>woe, sorrow, malum, calamity</li><li>foetus, embryo</li></ol>
ሰይፍ|säyf|አስያፍ	<i>noun</i><br><ol><li>sword</li></ol>
ሰገም|sägäm	<i>noun</i><br><ol><li>barley</li></ol>
ሲላን|ስለን|ሲለን|səlän|silän|silan	<i>noun</i><br><ol><li>dill (Anethum graveolens)</li></ol>
ሲድራስ|sidras	<i>name</i><br><ol><li>Isidorus</li></ol>
ሲዶና|sidona	<i>name</i><br><ol><li>Sidon</li></ol>
ሳሙኤል|samuʾel	<i>name</i><br><ol><li>Samuel</li></ol>
ሳባ|saba	<i>name</i><br><ol><li>Sheba, Saba</li><li>the Sabaeans</li></ol>
ሳኦል|saʾol	<i>name</i><br><ol><li>Saul</li></ol>
ስም|አስማት|səm	<i>noun</i><br><ol><li>name</li></ol>
ስምዖን|səmʿon	<i>name</i><br><ol><li>Simon, Simeon</li></ol>
ስርየት|səryät	<i>noun</i><br><ol><li>remission, forgiveness</li><li>expiation</li></ol>
ስሱ|ስድስቱ|ስድስተ|sədəstu|səssu	<i>num</i><br><ol><li>six (6)</li></ol>
ስቅራጥ|səḳraṭ	<i>name</i><br><ol><li>Socrates</li></ol>
ስብከት|səbkät	<i>noun</i><br><ol><li>preaching, proclaiming, announcing</li></ol>
ስብጥ|səbṭ	<i>noun</i><br><ol><li>rod, pointed shaft</li></ol>
ስናፔ|sənappe	<i>noun</i><br><ol><li>mustard (plant and spice)</li></ol>
ስን|ስነን|sǝnn	<i>noun</i><br><ol><li>tooth</li></ol>
ስድስቱ|ስድስተ|sədəstu|səssu|ስሱ	<i>num</i><br><ol><li>six (6)</li></ol>
ስግድ|səgd	<i>noun</i><br><ol><li>almond tree</li><li>any nut tree</li></ol>
ሶር|አስዋር|sor|ʾäswar	<i>noun</i><br><ol><li>ox</li><li>bull</li></ol>
ቀሬጢን|ḳäreṭin	<i>name</i><br><ol><li>Crete</li></ol>
ቀበረ|ḳäbärä	<i>verb</i><br><ol><li>to bury</li></ol>
ቀንአት|ḳännəʾät	<i>noun</i><br><ol><li>galbanum or stacta</li></ol>
ቀዳሚ|ḳädamyat|ḳädämt|ḳädami|ቀዳሚት|ḳädamit|ቀዳምያት|ቀደምት	<i>adj</i><br><ol><li>(ordinal number) first</li><li>early, original</li><li>ancient, prior</li></ol><br><i>noun</i><br><ol><li>beginning</li></ol>
ቃህራ|ḳahra	<i>name</i><br><ol><li>Cairo</li></ol>
ቃዴስ|ḳades	<i>name</i><br><ol><li>Mount Sinai</li></ol>
ቅዱስ|ቅዱሳን|qəddus	<i>adj</i><br><ol><li>holy, sacred</li></ol><br><i>noun</i><br><ol><li>saint</li></ol>
ቆመ|ḳomä	<i>verb</i><br><ol><li>to stand</li><li>to stop moving, remain in place</li><li>to stand around</li><li>to remain, persist, endure, withstand</li><li>to resist, stand firm</li><li>to stand apart, be separated</li></ol>
ቆበረ|ḳobärä	<i>verb</i><br><ol><li>to become black, dark, or foggy</li></ol>
ቆባረ|ḳobarä	<i>noun</i><br><ol><li>blackness, darkness</li><li>fog, mist, dust</li></ol>
ቈጽል|ḳʷäṣl|አቍጽል	<i>noun</i><br><ol><li>(singular and collective) leaf, leaves</li><li>page</li></ol>
ቍንፍዝ|ḳənfəz|ቅንፍዝ|ḳʷənfəz	<i>noun</i><br><ol><li>hedgehog</li><li>porcupine</li></ol>
በለስ|በለሳት|bäläs	<i>noun</i><br><ol><li>fig, also sycomore (fruit and tree)</li></ol>
በልዐ|bälʿä	<i>verb</i><br><ol><li>to eat, consume</li><li>(figuratively) to consume (of fire, the sword etc...)</li></ol>
በረቀ|bäräḳä	<i>verb</i><br><ol><li>to lightning</li><li>to thunder</li></ol>
በቅል|አብቅል|bäḳl	<i>noun</i><br><ol><li>mule</li></ol>
በዐልበክ|bäʿälbäk	<i>name</i><br><ol><li>Baalbek</li></ol>
በዓል|bäʿal	<i>noun</i><br><ol><li>owner, paterfamilias, husband</li><li>the Phoenician god Baal</li><li>festival, feast day, feast, banquet</li></ol>
በግዕ|bäggəʿ|አባግዕ	<i>noun</i><br><ol><li>sheep</li></ol>
በግዳድ|bägdad	<i>name</i><br><ol><li>Baghdad</li></ol>
ባሕር|baḥr|አብሕርት	<i>noun</i><br><ol><li>sea, large lake</li></ol>
ባቄላ|baḳela	<i>noun</i><br><ol><li>broad bean (Vicia faba)</li></ol>
ባቢሎን|babilon	<i>name</i><br><ol><li>Babylon</li></ol>
ቤት|bet|አብያት	<i>noun</i><br><ol><li>house</li></ol>
ብህለ|bəhlä	<i>verb</i><br><ol><li>to say</li><li>to speak</li><li>to call, name</li><li>to respond, answer</li><li>inquire, ask</li><li>to opine, relate</li></ol>
ብሔር|bəḥer|በሓውርት	<i>noun</i><br><ol><li>place, location</li><li>population, inhabitants, nations, dwellers</li><li>tribe, clan</li><li>parish, bishopric</li><li>world, earth</li></ol>
ብርስን|bərsən	<i>noun</i><br><ol><li>lentil</li></ol>
ብርክ|bərk	<i>noun</i><br><ol><li>knee</li></ol>
ብዙኅ|bəzuḫ	<i>adj</i><br><ol><li>(time) long</li><li>(people) many</li><li>(comparative) more</li><li>truly, strongly, very</li><li>(number of times) often, frequently, many times</li></ol>
ብዝኀት|bəzḫät	<i>noun</i><br><ol><li>multitude</li></ol>
ተልሚድ|tälmid	<i>noun</i><br><ol><li>student, pupil, disciple</li></ol>
ተመሀረ|tämähärä	<i>verb</i><br><ol><li>to be taught, be instructed</li><li>to learn</li><li>to consider, pay attention to</li></ol>
ተመሃሪ|tämähari|ተመሃርያን	<i>noun</i><br><ol><li>student, pupil, disciple</li></ol>
ተመን|ተመናት|tämän	<i>noun</i><br><ol><li>snake</li></ol>
ተምር|ተመርት|tämr	<i>noun</i><br><ol><li>date (fruit and tree)</li></ol>
ተስዐቱ|täsʿätu|təsʿu|ትስዑ|ተስዐተ	<i>num</i><br><ol><li>nine (9)</li></ol>
ተክሪዝ|täkriz	<i>noun</i><br><ol><li>proclamation, promulgation, edict (often clerical)</li><li>blessing, sanctification</li></ol>
ታሕት|taḥt	<i>adv</i><br><ol><li>below, under, underneath, beneath, downwards</li></ol>
ትርንጐ|tərəngʷä|ትርንጕ|tərəngʷ	<i>noun</i><br><ol><li>citron (Citrus medica)</li></ol>
ትስዑ|täsʿätu|təsʿu|ተስዐተ|ተስዐቱ	<i>num</i><br><ol><li>nine (9)</li></ol>
ትንቢት|ትንቢታት|tənbit	<i>noun</i><br><ol><li>prophecy</li><li>book of prophecy</li></ol>
ትእዛዝ|ትእዛዛት|təʾzaz	<i>noun</i><br><ol><li>imperial power</li><li>order, mandate, edict, statute, command</li><li>law</li><li>testament</li><li>obedience</li></ol>
ኀምስ|ኀምስተ|ኀምስቱ|ḫämsətu|ኀምሰ|ḫäms	<i>num</i><br><ol><li>five (5)</li></ol>
ኀምስቱ|ኀምስተ|ḫämsətu|ኀምሰ|ኀምስ|ḫäms	<i>num</i><br><ol><li>five (5)</li></ol>
ኀሪፍ|ḫärif	<i>noun</i><br><ol><li>this year, current year, current season</li></ol>
ኀንዚር|ኀናዚር|ḫänzir	<i>noun</i><br><ol><li>(uncommon) pig, swine</li></ol>
ኀይል|ḫäyl|ኀይላት	<i>noun</i><br><ol><li>life, power, force, energy</li><li>cause of strength</li><li>violence</li><li>a contest of strength</li><li>virtue, goodness, fortitude</li><li>power, ability</li></ol>
ኀጺን|ḫäṣin	<i>noun</i><br><ol><li>iron, iron tool</li><li>sword</li><li>armor</li><li>chain, band</li></ol>
ነ	<i>pron</i><br><ol><li>us, our (bound object pronoun)</li></ol>
ነቢይ|näbiyy|ነቢያት|näbiyat|ነቢይት|ነቢት|näbiyyət|näbit|ነብያት|ኖብያት|näbyat	<i>noun</i><br><ol><li>prophet</li><li>messenger</li></ol>
ነቢይት|näbiyy|ነቢያት|näbiyat|ነቢት|näbiyyət|ነቢይ|näbit|ነብያት|ኖብያት|näbyat	<i>noun</i><br><ol><li>prophetess</li></ol>
ነጥብ|näṭb	<i>noun</i><br><ol><li>speck, spot</li><li>full stop, period (indicating the end of a sentence)</li></ol>
ነፋስ|ነፋሳት|näfas	<i>noun</i><br><ol><li>wind</li><li>air, breeze</li></ol>
ነፍስ|ነፍሳት|näfs	<i>noun</i><br><ol><li>breath, soul, spirit</li></ol>
ኒ	<i>pron</i><br><ol><li>me (bound object pronoun)</li></ol>
ናሕስ|naḥs	<i>noun</i><br><ol><li>copper</li><li>bronze</li></ol>
ንስር|nəsr|nəsrä|አንስርት|ንስረ	<i>noun</i><br><ol><li>eagle</li></ol>
ንጉሥ|nəguś|ነገሥት|ነገሥታት	<i>noun</i><br><ol><li>king</li><li>duke, prince, prefect, satrap, tyrant, emperor</li></ol>
ኖባ|noba	<i>name</i><br><ol><li>Nubia</li></ol>
ኖኅ|noḫ	<i>name</i><br><ol><li>Noah</li></ol>
አለዳስ|ʾälädas	<i>name</i><br><ol><li>Greece</li></ol>
አላ|ʾäla	<i>conj</i><br><ol><li>but, yet</li><li>however</li></ol>
አልአሕመር|ʾälʾäḥmär	<i>name</i><br><ol><li>the Red Sea</li></ol>
አሐቲ|ʾäḥätti|አሐዱ|አሐተ|አሐደ|ʾäḥädu	<i>num</i><br><ol><li>one (1)</li></ol>
አሐዱ|ʾäḥätti|አሐተ|አሐቲ|አሐደ|ʾäḥädu	<i>num</i><br><ol><li>one (1)</li></ol>
አመት|ʾämät|አእማት	<i>noun</i><br><ol><li>handmaid, female slave</li></ol>
አማዑት|ʾämaʿut|አማዕዋት	<i>noun</i><br><ol><li>bowels, entrails</li></ol>
አራራት|ʾärarat	<i>name</i><br><ol><li>(biblical) Ararat</li></ol>
አርባዕ|አርባዕተ|አርባዐ|ʾärbaʿ|አርባዕቱ|ʾärbaʿtu	<i>num</i><br><ol><li>four (4)</li></ol>
አርባዕቱ|አርባዕተ|አርባዐ|ʾärbaʿ|ʾärbaʿtu|አርባዕ	<i>num</i><br><ol><li>four (4)</li></ol>
አርዝ|ʾärz	<i>noun</i><br><ol><li>cedar</li></ol>
አስብስጥያ|ʾäsbəsṭəya	<i>name</i><br><ol><li>Sebastia (Ancient Greco-Roman City), modern Sivas in Turkey</li></ol>
አስተስርዮ|ʾästäsrəyo	<i>noun</i><br><ol><li>atonement</li><li>(Beta Israel) Yom Kippur, the Day of Atonement</li></ol>
አቅሌስያ|ʾäḳlesya	<i>noun</i><br><ol><li>church</li></ol>
አበቢ|ʾäbäbi	<i>noun</i><br><ol><li>flow, wave</li></ol>
አቡነ|abuna	<i>noun</i><br><ol><li>our father</li></ol>
አብ|ʾab|ʾäb|አበው|ኣብ	<i>noun</i><br><ol><li>father</li></ol>
አቶር|ʾätor	<i>name</i><br><ol><li>Assyria</li></ol>
አንቄ|አናቅይ|ʾänḳe	<i>noun</i><br><ol><li>hawk, kite</li></ol>
አንተ|ከ|ʾantä	<i>pron</i><br><ol><li>you, thou (masculine singular subject pronoun)</li></ol>
አንቲ|ʾanti|ኪ	<i>pron</i><br><ol><li>you, thou (feminine singular subject pronoun)</li></ol>
አእምሮ|ʾäʾməro	<i>noun</i><br><ol><li>thought, knowledge</li><li>intelligence, intellect, discipline</li></ol>
አክሊል|ʾäklil|አክሊላት	<i>noun</i><br><ol><li>crown, diadem, tiara, mitre</li><li>taenia (a ribbon worn in the hair)</li></ol>
አድግ|ʾädg	<i>noun</i><br><ol><li>ass, donkey</li></ol>
አፍ|ʾäf|አፈው	<i>noun</i><br><ol><li>mouth</li><li>orifice, entrance</li><li>cutting edge of a sword</li></ol>
ኢትዮጵያ|ʾityop̣ya	<i>name</i><br><ol><li>Ethiopia (a country in East Africa)</li></ol>
ኤዶም|ʾedom	<i>noun</i><br><ol><li>(religion) paradise, Eden</li></ol>
እልኅቡስ|ʾəlḫəbus	<i>name</i><br><ol><li>Abyssinia</li></ol>
እመ|ʾəmä	<i>conj</i><br><ol><li>if, introduces the protasis of a conditional sentence</li></ol>
እም|ʾəm|ʾəmmat|እማት|ʾəmm	<i>noun</i><br><ol><li>mother</li></ol><br><i>conj</i><br><ol><li>if, introduces the protasis of a conditional sentence</li></ol>
እራሕ|እራሓት|ʾəraḥ	<i>noun</i><br><ol><li>palm of the hand</li><li>foot of a plant</li></ol>
እሳት|ʾəsat	<i>noun</i><br><ol><li>fire</li></ol>
እስራኤል|ʾəsraʾel	<i>noun</i><br><ol><li>(biblical) Israel</li></ol>
እስክንድርያ|ʾəskəndərya	<i>name</i><br><ol><li>Alexandria</li></ol>
እባል|ʾəbal	<i>noun</i><br><ol><li>flesh</li><li>member</li><li>limb</li><li>genitals</li></ol>
እብል|ʾəbl	<i>noun</i><br><ol><li>jackal, lion</li></ol>
እብን|እበን|ʾəbn	<i>noun</i><br><ol><li>stone</li></ol>
እኅት|ʾəḫt|አኃት|እኅታት	<i>noun</i><br><ol><li>sister</li></ol>
እንስሳ|ʾənsəsa|እንስሳት	<i>noun</i><br><ol><li>animal</li></ol>
እንቁጣጣሽ|ʾənḳuṭaṭaš	<i>noun</i><br><ol><li>The first day of the Ethiopian calendar Year, celebrated as a New Year festival</li></ol>
እኤል|ʾəʾel	<i>noun</i><br><ol><li>trellis, lattice, grate, post</li></ol>
እክል|ʾəkl|እክላት	<i>noun</i><br><ol><li>food</li><li>corn, grain, field crop</li></ol>
እዝን|ʾəzn|እዘን	<i>noun</i><br><ol><li>ear</li></ol>
እድ|ʾəd|እደው	<i>noun</i><br><ol><li>hand</li><li>arm</li><li>leg (of animals)</li><li>part</li><li>side</li></ol>
እግር|ʾəgr|እገር	<i>noun</i><br><ol><li>(anatomy) foot</li><li>foot (the measurement)</li><li>ray of sunshine</li><li>prow</li></ol>
እግዚአብሔር|ʾəgziʾäbḥer	<i>name</i><br><ol><li>(Christianity, Judaism) God</li></ol>
ከ	<i>pron</i><br><ol><li>you, your (masculine singular bound object pronoun)</li></ol>
ከላዴዎን|käladewon	<i>noun</i><br><ol><li>Chaldean</li><li>magician</li></ol>
ከላድዮን|käladyon	<i>name</i><br><ol><li>Chaldaea</li></ol>
ከልብ|ከለባት|kalb	<i>noun</i><br><ol><li>dog</li></ol>
ከረዘ|käräzä	<i>verb</i><br><ol><li>to proclaim, preach</li></ol>
ከርካዕ|kärkaʿ	<i>noun</i><br><ol><li>almond (fruit and tree)</li><li>walnut (fruit and tree)</li></ol>
ከበሮ|ከባርው|käbäro	<i>noun</i><br><ol><li>drum, timbrel</li></ol>
ከተማ|kätäma|ከተማት	<i>noun</i><br><ol><li>extremity, fine, end</li><li>tip, apex, summit, cusp</li><li>military camp, garrison, cantonment</li></ol>
ከተበ|conjugation ይክትብ|kätäbä	<i>verb</i><br><ol><li>to write, to register</li></ol>
ከኒሳ|känisa|ከናይስ	<i>noun</i><br><ol><li>congregation, synagogue, religion meeting</li></ol>
ከናኔዎን|känanewon	<i>name</i><br><ol><li>(biblical) the Canaanites</li></ol>
ኪ	<i>pron</i><br><ol><li>you, your (feminine singular bound object pronoun)</li></ol>
ካህን|kahn|ካህናት	<i>noun</i><br><ol><li>priest, clergyman</li></ol>
ካልእ|ካልእት|kalʾ	<i>num</i><br><ol><li>second (2nd)</li></ol>
ካዕብ|kaʿb|ካዔብት	<i>num</i><br><ol><li>second (2nd)</li></ol>
ክልኤቱ|kəlʾeti|ክልኤተ|kəlʾetu|ክልኤቲ	<i>num</i><br><ol><li>two (2)</li></ol>
