13.	<i>adj</i><br><ol><li>13th</li></ol>
Gud	<i>noun</i><br><ol><li>God</li></ol>
Guð	<i>noun</i><br><ol><li>God</li></ol>
Gøta|Gøtu	<i>name</i><br><ol><li>Gøta (a village on the island of Eysturoy, Faroe Islands)</li></ol>
Hannibal|Hannibali|Hannibals	<i>name</i><br><ol><li>Hannibal</li></ol>
Harrin|Harran|Harranum|Harrans	<i>name</i><br><ol><li>the Lord, God</li><li>Jesus</li></ol>
Havaii	<i>name</i><br><ol><li>Hawaii</li></ol>
Havn|Havnarinnar|Havnini|Havnar|Havnin|Havnina	<i>name</i><br><ol><li>(colloquial) Tórshavn (the capital city of the Faroe Islands)</li></ol>
Hebreararbrævið|Hebreararbræv|Hebreararbrævinum|Hebreararbrævsins|Hebreararbrævi|Hebreararbrævs	<i>name</i><br><ol><li>Hebrews (book of the Bible)</li></ol>
Hestur|Hesti|Hest|Hests	<i>name</i><br><ol><li>Hestur (an island of the central Faroe Islands)</li><li>Hestur (the only village on the island of Hestur, Faroe Islands)</li></ol>
Hetland|Hetlandi|Hetlands	<i>name</i><br><ol><li>Shetland, Shetland Islands</li></ol>
Hvítarussland|Hvítarusslandi|Hvítarusslands	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Háland|Hálands|Hálandi	<i>name</i><br><ol><li>Holland (provinces of the Netherlands)</li><li>Netherlands</li></ol>
India	<i>name</i><br><ol><li>India</li></ol>
Indiahav|Indiahavs|Indiahavinum|Indiahavi|Indiahavsins|Indiahavið	<i>noun</i><br><ol><li>Indian Ocean</li></ol>
Ingusjetia	<i>name</i><br><ol><li>Ingushetia</li></ol>
Irak|Iraks|Iraki	<i>name</i><br><ol><li>Iraq</li></ol>
Iran|Irani|Irans	<i>name</i><br><ol><li>Iran</li></ol>
Istanbul|Istanbuls|Istanbuli	<i>name</i><br><ol><li>Istanbul (a city in Turkey)</li></ol>
Italia	<i>noun</i><br><ol><li>Italy</li></ol>
Japan	<i>name</i><br><ol><li>(geography) Japan (An island nation in the Pacific Ocean)</li></ol>
Jesus|Jesusi|Jesusar|Jesu	<i>name</i><br><ol><li>Jesus</li></ol>
Jesuspápi|Jesuspápa	<i>name</i><br><ol><li>Jesus</li></ol>
Jugoslavia	<i>name</i><br><ol><li>Yugoslavia</li></ol>
Jupiter	<i>name</i><br><ol><li>Jupiter (planet)</li></ol>
Jógvansdóttir	<i>name</i><br><ol><li>A patronymic.</li></ol>
Jógvansson	<i>name</i><br><ol><li>A patronymic.</li></ol>
Jónatan|Jónatani|Jónatans	<i>name</i><br><ol><li>(biblical) Jonathan</li></ol>
Jútland|Jútlandi|Jútlands	<i>name</i><br><ol><li>Jutland</li></ol>
Kalsoy|Kalsoynna|Kalsoyar|Kalsoyggin|Kalsoynni	<i>name</i><br><ol><li>One of the Faroe Islands</li></ol>
Kambodja	<i>name</i><br><ol><li>Cambodia</li></ol>
Kanada	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
Kasakstan	<i>name</i><br><ol><li>Kazakhstan</li></ol>
Kekkia	<i>name</i><br><ol><li>Czechia</li></ol>
Keypmannahavn|Keypmannahavnini|Keypmannahavnina|Keypmannahavnarinnar|Keypmannahavnar|Keypmannahavnin	<i>name</i><br><ol><li>Copenhagen (the capital city of Denmark)</li></ol>
Kili	<i>name</i><br><ol><li>Chile (a country in South America)</li></ol>
Kiribati	<i>name</i><br><ol><li>Kiribati</li></ol>
Kirkjubøur	<i>name</i><br><ol><li>Kirkjubøur (The southernmost village on the island of Streymoy, Faroe Islands)</li></ol>
Kjadd|Kjads|Kjaddi	<i>name</i><br><ol><li>Chad</li></ol>
Klaksvík|Klaksvíkar	<i>name</i><br><ol><li>Klaksvík (the second largest town of the Faroe Islands, on the island of Borðoy)</li></ol>
Kolossebrævið|Kolossebrævi|Kolossebrævinum|Kolossebrævs|Kolossebræv|Kolossebrævsins	<i>name</i><br><ol><li>Colossians (book of the Bible)</li></ol>
Koltur|Kolturs|Koltri	<i>name</i><br><ol><li>Koltur (an island in the Faroe Islands)</li><li>Koltur (a former village and ghost town on the island of Koltur, Faroe Islands)</li></ol>
Koranin	<i>noun</i><br><ol><li>The Qur'an</li></ol>
Korea	<i>name</i><br><ol><li>Korea</li></ol>
Korsika|Korsiku	<i>name</i><br><ol><li>Corsica</li></ol>
Kristus|Kristusi|Kristusar	<i>name</i><br><ol><li>(Christianity) The Christ</li></ol>
Kuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Kunoy|Kunoynni|Kunoynna|Kunoyggin|Kunoyar	<i>name</i><br><ol><li>One of the Faroe Islands</li></ol>
Kymru	<i>name</i><br><ol><li>Wales</li></ol>
Kyrrahav|Kyrrahavinum|Kyrrahavi|Kyrrahavið|Kyrrahavs|Kyrrahavsins	<i>noun</i><br><ol><li>Pacific Ocean</li></ol>
Køln|Kølnar	<i>name</i><br><ol><li>Cologne (the largest city in North Rhine-Westphalia, in northwestern Germany)</li></ol>
Laos	<i>name</i><br><ol><li>Laos (a country in Asia)</li></ol>
Lea|Leu	<i>name</i><br><ol><li>Leah (biblical figure).</li></ol>
Lettland|Lettlands|Lettlandi	<i>name</i><br><ol><li>Latvia</li></ol>
Leu	<i>name</i><br><ol><li>accusative/dative/genitive of Lea</li></ol>
Litava	<i>name</i><br><ol><li>Lithuania</li></ol>
London	<i>name</i><br><ol><li>London (the capital of the United Kingdom; capital of England)</li></ol>
Maria|Mariu	<i>name</i><br><ol><li>(biblical) Mary</li></ol>
Mars|Marsi	<i>name</i><br><ol><li>Mars (planet)</li><li>Mars (Roman god)</li></ol>
Marta|Martu	<i>name</i><br><ol><li>(biblical) Martha</li></ol>
Massson	<i>name</i><br><ol><li>A patronymic.</li></ol>
Matt.	<i>name</i><br><ol><li>(biblical) Abbreviation of Matteusar evangeliið. (Gospel of Matthew)</li></ol>
Meksiko	<i>name</i><br><ol><li>Mexico (a country in North America)</li></ol>
Meksikobýur|Meksikobýar|Meksikobýi|Meksikobý	<i>name</i><br><ol><li>Mexico City (the capital city of Mexico)</li></ol>
Merkið|Merkisins|Merkinum	<i>name</i><br><ol><li>The flag of the Faroe Islands, Flag Day: 25 April 1940</li></ol>
Merkur	<i>name</i><br><ol><li>Mercury (planet)</li></ol>
Miðgarður|Miðgarði|Miðgarð|Miðgarðs	<i>name</i><br><ol><li>(Norse mythology) Midgard</li><li>(Tolkien) Middle-earth</li></ol>
Mogadishu	<i>name</i><br><ol><li>Mogadishu (the capital city of Somalia)</li></ol>
Mon|Manar	<i>name</i><br><ol><li>Isle of Man (an island and Crown dependency of the United Kingdom in the Irish Sea)</li></ol>
Montenegro	<i>name</i><br><ol><li>Montenegro (a country in southeastern Europe)</li></ol>
Moskva	<i>name</i><br><ol><li>Moscow (the capital of Russia)</li></ol>
Mykines|Mykinesi	<i>name</i><br><ol><li>Mykines (the westernmost of the 18 main islands of the Faroe Islands)</li><li>Mykines (the only village on Mykines island, Faroe Islands)</li></ol>
München	<i>name</i><br><ol><li>Munich (the capital and largest city of Bavaria, Germany)</li></ol>
Namibia	<i>name</i><br><ol><li>Namibia</li></ol>
Nanna|Nannu	<i>name</i><br><ol><li>(Norse mythology) Nanna</li></ol>
Nepal|Nepals|Nepali	<i>name</i><br><ol><li>Nepal</li></ol>
Neptun	<i>name</i><br><ol><li>Neptune (planet)</li></ol>
Niðurlond|Niðurlanda|Niðurlondum|Niðurlandanna|Niðurlondunum|Niðurlondini	<i>name</i><br><ol><li>Netherlands</li></ol>
Njørður|Njarðar|Njørð|Njørði	<i>name</i><br><ol><li>(Norse mythology) Njord</li></ol>
Nobelheiðursløn|Nobelheiðurslønin|Nobelheiðurslønanna|Nobelheiðurslønina|Nobelheiðurslønar|Nobelheiðurslønir|Nobelheiðurslønunum|Nobelheiðursløna|Nobelheiðurslønini|Nobelheiðurslønirnar|Nobelheiðurslønarinnar|Nobelheiðurslønum	<i>noun</i><br><ol><li>Nobel Prize</li></ol>
Noreg	<i>name</i><br><ol><li>Norway</li></ol>
Noregsland|Noregslandi|Noregslands	<i>name</i><br><ol><li>Norway</li></ol>
Noregur	<i>name</i><br><ol><li>(rare) Norway</li></ol>
Norra	<i>name</i><br><ol><li>(colloquial) Norway</li></ol>
Norðlond|Norðlandanna|Norðlondum|Norðlondunum|Norðlondini|Norðlanda	<i>name</i><br><ol><li>(rare) Nordic countries</li></ol>
Norðsjógvurin	<i>name</i><br><ol><li>the North Sea</li></ol>
Norðurland|Norðurlondunum|Norðurlandi|Norðurlondini|Norðurlondum|Norðurlandsins|Norðurlond|Norðurlandanna|Norðurlands|Norðurlanda|Norðurlandinum|Norðurlandið	<i>name</i><br><ol><li>Norðurland, a region in the north of Iceland</li><li>pl the Nordic Countries: Áland (Åland), Danmark (Denmark), Finnland (Finland), Føroyar (the Faroes), Grønland (Greenland), Ísland (Iceland), Noreg (Norway) and Svøríki (Sweden).</li></ol>
Norðurlandahúsið|Norðurlandahúsinum|Norðurlandahúsins	<i>name</i><br><ol><li>The Nordic House (cultural centre of the Nordic Council in different Nordic countries)</li><li>Norðurlandahúsið í Føroyum (The Nordic House in the Faroes)</li></ol>
Norðurírland|Norðurírlands|Norðurírlandi	<i>name</i><br><ol><li>Northern Ireland</li></ol>
Nólsoy|Nólsoyggin|Nólsoynna|Nólsoynni|Nólsoyar	<i>name</i><br><ol><li>one of the Faroe Islands</li></ol>
Nýsæland|Nýsælands|Nýsælandi	<i>name</i><br><ol><li>New Zealand</li></ol>
Ongland|Onglands|Onglandi	<i>name</i><br><ol><li>England</li></ol>
Opinbering|Opinberingar|Opinberingarinnar|Opinberingini|Opinberingina|Opinberingin	<i>name</i><br><ol><li>Apocalypse (book of the Bible)</li></ol>
Orknoyggjar	<i>name</i><br><ol><li>the Orkneys, Orkney Islands</li></ol>
Ormur|Orm|Orms|Ormi	<i>name</i><br><ol><li>A Eastern Iranian ethnic group residing in Waziristan and Logar who speak the the Ormuri language.</li></ol>
Oslo	<i>name</i><br><ol><li>Oslo (the capital of Norway)</li></ol>
Oyrarsund	<i>name</i><br><ol><li>the Sound (strait that separates Zealand from Scania)</li></ol>
Pakistan	<i>name</i><br><ol><li>Pakistan</li></ol>
París	<i>name</i><br><ol><li>Paris (the capital and largest city of France)</li></ol>
Póland|Pólandi|Pólands	<i>name</i><br><ol><li>Poland</li></ol>
Pólland|Póllands|Póllandi	<i>name</i><br><ol><li>Poland</li></ol>
Rakul|Rakular	<i>name</i><br><ol><li>(biblical characters) Rachel</li></ol>
Rebekka|Rebekku	<i>name</i><br><ol><li>Rebekah (biblical character)</li></ol>
Reykjavík	<i>name</i><br><ol><li>Reykjavík (the capital and largest city of Iceland)</li></ol>
Russland|Russlands|Russlandi	<i>name</i><br><ol><li>Russia (a country in Europe and Asia)</li></ol>
Rín|Rínar	<i>name</i><br><ol><li>the Rhine</li></ol>
Róm|Rómar	<i>name</i><br><ol><li>Rome (the capital city of Italy)</li></ol>
Sandoy|Sandoynni|Sandoyar|Sandoyggin|Sandoynna	<i>name</i><br><ol><li>one of the Faroe Islands</li></ol>
Sandur|Sands|Sandi|Sand	<i>name</i><br><ol><li>Sandur (a town in the Faroe Islands)</li></ol>
Sankta Pætursborg|Sankta Pætursborgar	<i>name</i><br><ol><li>St. Petersburg (a federal city of Russia)</li></ol>
Saturn	<i>name</i><br><ol><li>Saturn (planet)</li></ol>
Sikiloy|Sikiloyar	<i>name</i><br><ol><li>Sicily (an island and region of Italy)</li></ol>
Simbabvi	<i>name</i><br><ol><li>Zimbabwe</li></ol>
Singapor	<i>name</i><br><ol><li>Singapore (an island and city-state in Southeast Asia)</li></ol>
Siv|Sivjar	<i>name</i><br><ol><li>(Norse mythology) Sif.</li></ol>
Sjúrður|Sjúrð|Sjúrða|Sjúrði|Sjúrðar	<i>name</i><br><ol><li>(Norse mythology) Sigurd or Siegfried, the dragon slayer</li></ol>
Skotland|Skotlands|Skotlandi	<i>name</i><br><ol><li>Scotland</li></ol>
Skáni|Skána	<i>name</i><br><ol><li>Scania (region of Sweden occupying the southernmost tip of the Scandinavian peninsula)</li></ol>
Skúvoy|Skúvoynna|Skúvoynni|Skúvoyar|Skúvoyggin|Skúvoy	<i>name</i><br><ol><li>One of the Faroe Islands</li><li>the only village on Skúvoy</li></ol>
Slesia	<i>name</i><br><ol><li>Silesia</li></ol>
Slovakia	<i>name</i><br><ol><li>Slovakia</li></ol>
Slovenia	<i>name</i><br><ol><li>Slovenia (a country in Europe)</li></ol>
Sorgarsongirnir|Sorgarsongunum|Sorgarsongum|Sorgarsonganna|Sorgarsongir|Sorgarsonga|Sorgarsongirnar	<i>name</i><br><ol><li>Lamentations (book of the Bible)</li></ol>
Sovjet	<i>name</i><br><ol><li>the Soviet Union; Contraction of Sovjetsamveldið.</li></ol>
Spania	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Sri Lanka	<i>name</i><br><ol><li>Sri Lanka</li></ol>
Stinu	<i>name</i><br><ol><li>accusative/dative/genitive of Stina</li></ol>
Stokkhólmur|Stokkhólms|Stokkhólmi|Stokkhólm	<i>name</i><br><ol><li>Stockholm (the capital city of Sweden)</li></ol>
Streymoy|Streymoynni|Streymoyggin|Streymoyar|Streymoynna	<i>name</i><br><ol><li>The biggest of the Faroe Islands</li></ol>
Stórabretland|Stórabretlandi|Stórabretlands	<i>name</i><br><ol><li>Great Britain</li><li>United Kingdom</li></ol>
Suðurkorea	<i>name</i><br><ol><li>South Korea</li></ol>
Suðuroy|Suðuroyggin|Suðuroyar|Suðuroynna|Suðuroynni	<i>name</i><br><ol><li>Suðuroy</li></ol>
Suðuroyggjar|Suðuroyggja|Suðuroyggjum	<i>name</i><br><ol><li>Hebrides (an archipelago in Scotland)</li></ol>
Sveis	<i>name</i><br><ol><li>Switzerland</li></ol>
Svínoy|Svínoyggin|Svínoy|Svínoynni|Svínoynna|Svínoyar	<i>name</i><br><ol><li>One of the Faroe Islands</li><li>The village on the island of Svínoy</li></ol>
Svøríki	<i>name</i><br><ol><li>Sweden (a country in Europe)</li></ol>
Sámoa	<i>name</i><br><ol><li>Samoa</li></ol>
Sátan|Sátani|Sátans	<i>name</i><br><ol><li>(Christianity, Islam, Judaism) Satan, supreme evil spirit of Abrahamic religions.</li></ol>
Sýria	<i>name</i><br><ol><li>Syria</li></ol>
Tabita|Tabitu	<i>name</i><br><ol><li>(biblical) Tabitha</li></ol>
Tailand|Tailands|Tailandi	<i>name</i><br><ol><li>Thailand</li></ol>
Taivan|Taivans|Taivani	<i>name</i><br><ol><li>Taiwan (island and country)</li></ol>
Tjatsi|Tjatsa	<i>noun</i><br><ol><li>(Norse mythology) Þjazi, Thjasi</li></ol>
Tonga	<i>name</i><br><ol><li>Tonga (a country in Oceania)</li></ol>
Turkaland|Turkalandi|Turkalands	<i>name</i><br><ol><li>Turkey</li></ol>
Turkmenistan|Turkmenistans|Turkmenistani	<i>name</i><br><ol><li>Turkmenistan (a country in Central Asia; capital: Ashgabat)</li></ol>
Tórshavn	<i>name</i><br><ol><li>Tórshavn (the capital city of the Faroe Islands)</li></ol>
Tórur|Tóra|Tór|Tóri|Tórs|Tóru	<i>name</i><br><ol><li>(Norse mythology) Thor, the god</li></ol>
Týrur|Týrs|Týr|Týri	<i>name</i><br><ol><li>(Norse mythology) Tyr, a god</li></ol>
Týskland|Týsklands|Týsklandi	<i>name</i><br><ol><li>Germany</li></ol>
Uganda	<i>name</i><br><ol><li>Uganda</li></ol>
Ukraina	<i>name</i><br><ol><li>Ukraine</li></ol>
Ungarn|Ungarni|Ungarns	<i>name</i><br><ol><li>Hungary</li></ol>
Uranus	<i>name</i><br><ol><li>Uranus (Roman god)</li><li>Uranus (planet)</li></ol>
Urð|Urðar	<i>name</i><br><ol><li>(Norse mythology) Urd</li></ol>
Usbekistan|Usbekistani|Usbekistans	<i>name</i><br><ol><li>Uzbekistan (Republic of Uzbekistan)</li></ol>
Vanuatu	<i>name</i><br><ol><li>Vanuatu</li></ol>
Veiðihundarnir	<i>name</i><br><ol><li>Canes Venatici (constellation)</li></ol>
Venus	<i>name</i><br><ol><li>Venus (planet)</li></ol>
Vestmannaoyggjar	<i>name</i><br><ol><li>the Vestmannaeyjar, Iceland</li></ol>
Vilnius|Vilniusi	<i>name</i><br><ol><li>Vilnius (the capital city of Lithuania)</li></ol>
Viðoy|Viðoyar|Viðoynni|Viðoyggin|Viðoynna	<i>name</i><br><ol><li>One of the Faroe Islands</li></ol>
Vjetnam|Vjetnams|Vjetnami	<i>name</i><br><ol><li>Vietnam</li></ol>
Volga|Volgu	<i>name</i><br><ol><li>the Volga (river)</li></ol>
Vágar|Vágum|Vága	<i>name</i><br><ol><li>One of the Faroe Islands</li><li>Region (sýsla) of the Faroe Islands including Vágar and Mykines</li></ol>
Vágur|Vágs|Vági|Vág	<i>name</i><br><ol><li>town in the island of Suðuroy, meaning literally "Bay", compare vágur</li></ol>
Yggdrasil	<i>name</i><br><ol><li>(mythology) Yggdrasil</li></ol>
Ynys Môn	<i>name</i><br><ol><li>Anglesey (island of Mon)</li></ol>
a|A	<i>character</i><br><ol><li>The first letter of the Faroese alphabet, written in the Latin script.</li></ol>
abbabarn|abbabørnini|abbabørnum|abbabarns|abbabarna|abbabarnið|abbabørn|abbabarni|abbabørnunum|abbabarnanna|abbabarninum|abbabarnsins	<i>noun</i><br><ol><li>grandchild of a grandfather (abbi)</li></ol>
abbadissa|abbadissunnar|abbadissan|abbadissurnar|abbadissuna|abbadissanna|abbadissum|abbadissu|abbadissur|abbadissunum|abbadissuni	<i>noun</i><br><ol><li>abbess</li></ol>
abbati|abbatarnir|abbatar|abbatan|abbatin|abbatarnar|abbatanna|abbatanum|abbatans|abbatum|abbata|abbatunum	<i>noun</i><br><ol><li>abbot (superior or head of an abbey or monastery)</li></ol>
abbi|abbar|abban|abbarnir|abbunum|abbanna|abbans|abba|abbarnar|abbin|abbanum|abbum	<i>noun</i><br><ol><li>grandfather</li></ol>
aftan|aftaninum|aftansins|aftans|aftani|aftanin	<i>noun</i><br><ol><li>evening</li><li>day before a (Christian) holiday</li></ol><br><i>adv</i><br><ol><li>from behind</li></ol>
aftansangur|aftansanga|aftansangurin|aftansangarnir|aftansang|aftansangarnar|aftansangar|aftansongum|aftansanganna|aftansangsins|aftansanginum|aftansangs|aftansangum|aftansangunum|aftansangi|aftansongunum|aftansangin	<i>noun</i><br><ol><li>serenade</li></ol>
aftaná	<i>adv</i><br><ol><li>behind</li><li>afterwards</li></ol>
aftanífrá	<i>adv</i><br><ol><li>from behind</li></ol>
aftari|aftari comparative degree of aftast|aftari comparative degree of aftastur	<i>adj</i><br><ol><li>rear, rearward, back</li></ol><br><i>adv</i><br><ol><li>further back</li></ol>
aftastur|aftast|aftastan|aftastum|aftasts|aftasta|aftastir|aftastar|aftastari|aftastar/ aftastrar|aftasta/ aftastra	<i>adj</i><br><ol><li>rearmost, backmost, hindmost superlative degree of aftari</li></ol>
aftrat	<i>prep</i><br><ol><li>in addition</li></ol>
aftur	<i>adv</i><br><ol><li>back</li><li>again</li></ol>
afturat	<i>adv</i><br><ol><li>in addition</li></ol>
afturferð|afturferðar|afturferðin|aftanferðar|afturferðirnar|afturferðini|afturferðanna|afturferðarinnar|afturferða|afturferðunum|afturferðir|afturferðum|afturferðina|aftanferðir	<i>noun</i><br><ol><li>return journey, journey back</li></ol>
afturfyri	<i>adv</i><br><ol><li>in return</li></ol>
afturgongd|afturgongdini|afturgongdin|afturgongdar|afturgongdarinnar|afturgongdina	<i>noun</i><br><ol><li>decline, decrease, fall</li></ol>
aftursvar|aftursvørum|aftursvari|aftursvara|aftursvarinum|aftursvars|aftursvørini|aftursvaranna|aftursvør|aftursvarini|aftursvarunum|aftursvørunum|aftursvarum|aftursvarið|aftursvarsins	<i>noun</i><br><ol><li>reply, answer</li></ol>
aftursøgn|aftursøgnunum|aftursagnarinnar|aftursøgnin|aftursagnanna|aftursøgnina|aftursagnunum|aftursøgnini|aftursagna|aftursagnirnar|aftursøgnum|aftursagnar|aftursagnir|aftursagnum	<i>noun</i><br><ol><li>renarration</li></ol>
agn|{{{1}}}agn|{{{1}}}agns|{{{1}}}øgnunum|{{{1}}}agninum|agns|{{{1}}}agnanna|{{{1}}}agna|{{{1}}}øgnum|øgn|{{{1}}}øgn|{{{1}}}agnið|{{{1}}}øgnini|{{{1}}}agnsins|{{{1}}}agni	<i>noun</i><br><ol><li>bait</li></ol>
agngágga|agngággunum|agngággum|agngággurnar|agngággan|agngágganna|agngággunnar|agngággu|agngágguna|agngággur|agngágguni	<i>noun</i><br><ol><li>common northern whelk (Buccinum undatum)</li></ol>
agurka|agurkurnar|agurkunnar|agurkan|agurkuna|agurkuni|agurkum|agurkanna|agurku|agurkunum|agurkur	<i>noun</i><br><ol><li>cucumber</li></ol>
ahorn|ahorni|ahorns|ahornsins|ahorninum|ahornið	<i>noun</i><br><ol><li>maple</li><li>maple wood</li></ol>
