Angelond|Angelondes|Angelonde	<i>name</i><br><ol><li>England</li></ol>
famne|femne|fēmne	<i>noun</i><br><ol><li>girl, lass</li></ol>
fat	<i>noun</i><br><ol><li>fat</li></ol>
feder|fader	<i>noun</i><br><ol><li>father</li></ol>
feld	<i>noun</i><br><ol><li>field</li></ol>
felo	<i>adj</i><br><ol><li>much, many</li></ol>
festigia	<i>verb</i><br><ol><li>to fix</li></ol>
festnia	<i>verb</i><br><ol><li>to fix</li></ol>
fiarda	<i>adj</i><br><ol><li>fourth</li></ol>
fiarde	<i>adj</i><br><ol><li>fourth</li></ol>
fif|fīf	<i>num</i><br><ol><li>five</li></ol>
fifta|fīfta	<i>adj</i><br><ol><li>fifth</li></ol>
fifte	<i>adj</i><br><ol><li>fifth</li></ol>
fiftendeste	<i>adj</i><br><ol><li>fifteenth</li></ol>
finda	<i>verb</i><br><ol><li>to find</li></ol>
finger|fingerum|fingerem|fingeres|fingere|fingerar|fingera	<i>noun</i><br><ol><li>finger</li></ol>
fiskia	<i>verb</i><br><ol><li>to fish</li></ol>
fiurtendeste	<i>adj</i><br><ol><li>fourteenth</li></ol>
fiuwer|fiūwer	<i>num</i><br><ol><li>four</li></ol>
fiuwer and fiuwertich|fiuwer and fiuwerteich	<i>num</i><br><ol><li>forty-four</li></ol>
fiuwer and twintich	<i>num</i><br><ol><li>twenty-four</li></ol>
fiuwer and twintigosta	<i>adj</i><br><ol><li>twenty-fourth</li></ol>
fiuwerda	<i>adj</i><br><ol><li>fourth</li></ol>
fiuwertich	<i>num</i><br><ol><li>forty</li></ol>
fiuwertin	<i>num</i><br><ol><li>fourteen</li></ol>
fiuwertinda	<i>adj</i><br><ol><li>fourteenth</li></ol>
fiuwertindosta	<i>adj</i><br><ol><li>fourteenth</li></ol>
flask|flāsk	<i>noun</i><br><ol><li>flesh</li></ol>
fliaga|flāg|fliāgeth|fliugst|flāgest|fliugest|flege|eflegen|fliāga|fliāgande|fliāgath|flegen|fliāgen|flāgst|fliugth|fliāg|fliugeth|fliāge	<i>verb</i><br><ol><li>to fly</li></ol>
folgia	<i>verb</i><br><ol><li>to follow</li></ol>
folk|folkum|folkes|folke|folka|folkem	<i>noun</i><br><ol><li>people, folk</li></ol>
fon	<i>prep</i><br><ol><li>of</li></ol>
foraledza	<i>verb</i><br><ol><li>to submit</li></ol>
forbitrachtia	<i>verb</i><br><ol><li>to regard</li></ol>
fordrega	<i>verb</i><br><ol><li>to contract</li></ol>
forfiskia	<i>verb</i><br><ol><li>to fish</li></ol>
forieta	<i>verb</i><br><ol><li>to forget</li></ol>
forliasa|forliāsa	<i>verb</i><br><ol><li>to lose</li></ol>
fortera	<i>verb</i><br><ol><li>to consume</li></ol>
forthfinda	<i>verb</i><br><ol><li>to find</li></ol>
forthsetta	<i>verb</i><br><ol><li>to continue</li></ol>
forwerda	<i>verb</i><br><ol><li>to contract</li></ol>
frase|frāse	<i>noun</i><br><ol><li>danger</li></ol>
fregia|frēgia	<i>verb</i><br><ol><li>to ask</li></ol>
fri	<i>adj</i><br><ol><li>free</li></ol>
friadei|frīadegar|frīadeis|frīadegum|frīadega|frīadei|frīadegem	<i>noun</i><br><ol><li>Friday</li></ol>
fridom|frīdōma|frīdōmar|frīdōmum|frīdōm|frīdōmem|frīdōmes|frīdōme	<i>noun</i><br><ol><li>freedom</li></ol>
frostia	<i>verb</i><br><ol><li>to freeze</li></ol>
frowe|frōwe	<i>noun</i><br><ol><li>woman</li></ol>
fugel|fugela|fugelar|fugelum|fugelem|fugeles|fugele	<i>noun</i><br><ol><li>bird</li></ol>
ful	<i>adj</i><br><ol><li>full</li></ol>
gan|gāen|gāe|gangande|gengen|gānde|genge|gān|geng|egangen|gangen|gengun|gā|gēst|gāth|gengest|gēth	<i>verb</i><br><ol><li>to go</li></ol>
gast|gāst|gēst|gest	<i>noun</i><br><ol><li>ghost, spirit</li></ol>
geia	<i>verb</i><br><ol><li>To overstep, exceed</li></ol>
gers|gerses|gersa|gersum|gersem|gerse|gersu	<i>noun</i><br><ol><li>grass</li></ol>
god|gōdena|gōdes|gōdum|gōdere|gōde|gōd|gōda|gōdne|gōdera	<i>adj</i><br><ol><li>good</li></ol>
gos|gōs	<i>noun</i><br><ol><li>goose</li></ol>
gref|grevs|grevu|grevum|grev|grevem|greve|greva	<i>noun</i><br><ol><li>grave</li></ol>
grene|grēne	<i>adj</i><br><ol><li>green</li></ol>
hach|hāch	<i>adj</i><br><ol><li>high</li><li>tall</li></ol>
haldinge|haldinga|haldingon|haldingena|haldingum|haldingem	<i>noun</i><br><ol><li>a keeping</li></ol>
halfsedinge|halfsēdingena|halfsēdingon|halfsiedinge|halfsēdinge|halfsēdingem|halfsēdinga|halfsēdingum	<i>noun</i><br><ol><li>land, rented for half of the seed.</li></ol>
halinge|halingon|halingem|halingum|halingena|halinga	<i>noun</i><br><ol><li>a wedding, occasion, lawsuit</li></ol>
hals|halsar|halses|halse|halsum|halsem|halsa	<i>noun</i><br><ol><li>neck, throat</li></ol>
halsfriainge|halsfrīaingum|halsfrīaingem|halsfrīainge|halsfrīaingon|halsfrīaingena|halsfrīainga	<i>noun</i><br><ol><li>payment to free someone who forfeited his neck.</li></ol>
ham|hem|hām|hēm	<i>noun</i><br><ol><li>home</li></ol>
hamelinge|hamelingena|hemilinge|hamelingem|homelinge|hamelingon|hamelinga|hamelingum|hemelinge	<i>noun</i><br><ol><li>mutilation</li></ol>
hamminge|hamminga|hemminge|hammingum|hammingena|hammingon|hammingem	<i>noun</i><br><ol><li>leather gear</li></ol>
hamsekinge|hamsekinga|hamsekingem|hamsekingum|hemsekinge|hamsekingena|hamsekingon	<i>noun</i><br><ol><li>affliction, trespass</li></ol>
handfestinge|handfestingon|handfestingena|handfestingum|handfestingem|handfestinga|hondfestinge	<i>noun</i><br><ol><li>a confirmation by signature</li></ol>
handlinge|handlingena|handlingum|handlingem|handlingon|handlinga	<i>noun</i><br><ol><li>an action</li></ol>
har|hār	<i>adj</i><br><ol><li>honourable</li></ol>
haved|hāved|hāvede|hāveda|hāvedem|hāvedes|hāvedum	<i>noun</i><br><ol><li>head</li></ol>
havedmon|hāvedmon	<i>noun</i><br><ol><li>leader; captain, head</li></ol>
hebba	<i>verb</i><br><ol><li>to have</li></ol>
hefta	<i>verb</i><br><ol><li>to fix</li></ol>
hei	<i>noun</i><br><ol><li>mind, sense</li></ol>
hel|hēl	<i>adj</i><br><ol><li>whole</li></ol>
hela|hēla	<i>noun</i><br><ol><li>heel</li></ol><br><i>verb</i><br><ol><li>(transitive) to heal</li></ol>
helich|hēlich	<i>adj</i><br><ol><li>holy</li></ol>
helpa	<i>verb</i><br><ol><li>to help</li></ol>
helpere	<i>noun</i><br><ol><li>helper</li></ol>
helpwunde|helpwundon|helpwunda|helpwundum|helpwundem|helpwundena	<i>noun</i><br><ol><li>medical incision (literally, "helping wound")</li></ol>
her|hēr	<i>noun</i><br><ol><li>hair</li></ol>
hera|hērest|hērande|hēre|hērst|hērde|hērdest|ehēred|hērth|hērden|hērath|hēra|hēreth|hēred|hēren	<i>verb</i><br><ol><li>(transitive) to hear</li><li>(transitive) to belong to</li></ol><br><i>noun</i><br><ol><li>lord</li></ol>
hereng|hēreng	<i>noun</i><br><ol><li>herring</li></ol>
hi|ūs|jūwer|hiū|wī|hit|jī|him|ūser|mīn|hiā|hire|sīn|hirem|hiāre|hira|hiāra|hiārem|ik|thī|thīn|jū|hī|jō|thū|mi|hine|hiō|mī	<i>pron</i><br><ol><li>he</li></ol>
hlud|hlūd	<i>adj</i><br><ol><li>loud</li></ol>
hof|hōf|hove	<i>noun</i><br><ol><li>court</li><li>hoof</li></ol>
hona	<i>noun</i><br><ol><li>rooster, cock</li></ol>
hond|hand	<i>noun</i><br><ol><li>(anatomy) hand</li></ol>
hors|horsa|horsum|horses|horsem|horse|hars	<i>noun</i><br><ol><li>horse</li></ol>
href	<i>noun</i><br><ol><li>body</li><li>womb</li><li>belly</li></ol>
hrither|hrῑther	<i>noun</i><br><ol><li>cattle</li></ol>
hund|hundum|hundar|hunde|hunda|hundes|hundem	<i>noun</i><br><ol><li>dog</li></ol>
hus|hūs	<i>noun</i><br><ol><li>house</li></ol>
hwa|hwā	<i>pron</i><br><ol><li>(interrogative) who?</li><li>(relative) who, that</li><li>(indefinite) whoever, anyone</li></ol><br><i>verb</i><br><ol><li>(transitive) to hang</li></ol>
hwande	<i>conj</i><br><ol><li>because</li><li>as</li></ol>
hwel	<i>noun</i><br><ol><li>wheel</li></ol>
hwelmaker|hwēlmaker	<i>noun</i><br><ol><li>wheelmaker</li></ol>
iechta	<i>verb</i><br><ol><li>to prove, avouch</li></ol>
ield	<i>noun</i><br><ol><li>money</li></ol>
ielda|galdest|ieldest|ieldth|gulden|ielden|ieldath|ieldande|ieldeth|galdst|gulde|gald|egulden|ieldst|ielde|ield	<i>verb</i><br><ol><li>to pay, recompense</li></ol>
ierde|ierdem|ierda|ierdum|ierdon|ierdena	<i>noun</i><br><ol><li>yard, rod (unit of measure)</li></ol>
ik|ūs|jūwer|hiū|wī|hit|jī|him|ūser|mīn|hiā|hire|sīn|hirem|hiāre|hira|hiāra|hiārem|thī|thīn|jū|hī|jō|thū|mi|hine|hiō|mī	<i>pron</i><br><ol><li>I</li></ol>
infiskia	<i>verb</i><br><ol><li>to fish</li></ol>
inhalia	<i>verb</i><br><ol><li>to forestall</li></ol>
irthe|irthem|irthon|irthena|irthum|irtha	<i>noun</i><br><ol><li>earth</li></ol>
ita	<i>verb</i><br><ol><li>to eat</li></ol>
iten|īten|ītenes|ītena|ītenem|ītenum|ītene	<i>noun</i><br><ol><li>food</li></ol>
ivenia|ivenadest|eivenad|ivenien|ivenast|ivenie|ivenath|ivenande|ivena|ivenad|ivenaden|ivenade|iveniath	<i>verb</i><br><ol><li>to make even</li></ol>
jef	<i>conj</i><br><ol><li>If</li></ol>
jer|jāre|jēr|jāra|jērum|jārum|jēres|jār|jar|jērem|jāres|jēra|jēre|jārem	<i>noun</i><br><ol><li>year</li></ol>
jeva|jefest|jēven|jevande|jev|jevth|jevest|jēve|jef|ejeven|jeven|jevath|jefst|jevst|jeveth|jeve	<i>verb</i><br><ol><li>to give</li></ol>
ji|ūs|jūwer|hiū|wī|jī|hit|him|ūser|mīn|hiā|hire|sīn|hirem|hiāre|hira|hiāra|hiārem|ik|thī|thīn|jū|hī|jō|thū|mi|hine|hiō|mī	<i>pron</i><br><ol><li>you (plural)</li></ol>
kalda	<i>verb</i><br><ol><li>to cool down</li></ol>
kap|kāp	<i>noun</i><br><ol><li>purchase</li></ol>
kapia|kāpien|kāpade|kāpast|kāpath|kāpiath|kāpia|kāpad|kāpaden|kāpa|kāpadest|kāpande|kāpie|ekāpad	<i>verb</i><br><ol><li>to buy</li></ol>
ken|kenne	<i>noun</i><br><ol><li>kindred, kin</li></ol>
kening|keninge|keningar|keningem|keningum|keninges|keninga	<i>noun</i><br><ol><li>king</li></ol>
kerva	<i>verb</i><br><ol><li>to cut</li></ol>
ketha|kētha	<i>verb</i><br><ol><li>(transitive) to announce</li></ol>
kiasa|kāsest|kiusst|kās|ekeren|kiusest|kāsst|kiāsath|kiusth|keren|kiāseth|kere|kiuseth|kiāsande|kiāse|kiāsen|kiāsa|kiās	<i>verb</i><br><ol><li>to choose</li></ol>
klath|kleth|klēth|klāth	<i>noun</i><br><ol><li>cloth</li><li>dress</li><li>(in the plural) clothes</li></ol>
klemma	<i>verb</i><br><ol><li>to fix</li></ol>
kokia	<i>verb</i><br><ol><li>to cook</li></ol>
komp	<i>noun</i><br><ol><li>battlefield</li></ol>
kunna	<i>verb</i><br><ol><li>to be able (to), can</li></ol>
kuth|kūth	<i>adj</i><br><ol><li>publicly known</li></ol>
laf|lāf	<i>noun</i><br><ol><li>leaf</li></ol>
lageria	<i>verb</i><br><ol><li>to finish</li></ol>
lagia|lagiath|lagie|lagaden|lagande|lagade|elagad|lagath|lagast|lagad|laga|lagadest|lagien	<i>verb</i><br><ol><li>to establish</li></ol>
lakia	<i>verb</i><br><ol><li>to contest</li></ol>
lare|lāre	<i>noun</i><br><ol><li>teaching, doctrine</li></ol>
lasta|lēsta|lesta|lāsta	<i>verb</i><br><ol><li>(intransitive) to perform</li></ol>
leda|lēda	<i>verb</i><br><ol><li>(transitive) to lead</li></ol>
ledza	<i>verb</i><br><ol><li>to establish</li></ol>
lenda	<i>verb</i><br><ol><li>to finish</li></ol>
lesa|lēsa	<i>verb</i><br><ol><li>(transitive) to redeem</li></ol>
lethia	<i>verb</i><br><ol><li>to cut</li></ol>
liacht|liācht	<i>adj</i><br><ol><li>light, bright</li></ol>
liaf|liāf	<i>adj</i><br><ol><li>dear, beloved</li></ol>
lief|liēf	<i>adj</i><br><ol><li>Old West Frisian form of liāf</li></ol>
lom	<i>adj</i><br><ol><li>lame</li></ol>
long	<i>adj</i><br><ol><li>long</li></ol>
lovia|lovath|loviath|elovad|lovadest|lovaden|lovast|lovie|lovien|lovad|lovade|lovande|lova	<i>verb</i><br><ol><li>to praise</li></ol>
luft	<i>noun</i><br><ol><li>air</li><li>the sky</li></ol>
luka|lūke|lākst|lūkst|leke|leken|lūkande|lāk|lūken|lūkest|lūka|lūkth|eleken|lūk|lūkath|lūketh|lākest	<i>verb</i><br><ol><li>to close, shut</li></ol>
luvia|luvast|luvadest|luvaden|luvie|luvade|luvath|luviath|luva|luvien|luvad|luvande|eluvad	<i>verb</i><br><ol><li>to love</li></ol>
ma	<i>pron</i><br><ol><li>one</li></ol>
makia|makath|makiath|emakad|makie|makien|maka|makande|makad|makade|makaden|makast|makadest	<i>verb</i><br><ol><li>to make</li></ol>
mast|māst	<i>adv</i><br><ol><li>most</li></ol>
master|mester|māster|māsterum|māsterem|māstera|mēster|māsteres|māsterar|mastere|māstere	<i>noun</i><br><ol><li>master</li><li>leader</li><li>commissioner</li></ol>
melka	<i>verb</i><br><ol><li>to milk</li></ol>
mete	<i>noun</i><br><ol><li>food, especially sustenance (as opposed to desserts, snacks, or sweets)</li></ol>
minnia	<i>verb</i><br><ol><li>to love</li></ol>
misskera	<i>verb</i><br><ol><li>to cut badly</li></ol>
mona|mōna	<i>noun</i><br><ol><li>moon</li></ol>
monath|mōnath	<i>noun</i><br><ol><li>month</li></ol>
muga	<i>verb</i><br><ol><li>may</li></ol>
muth|mūth	<i>noun</i><br><ol><li>mouth</li></ol>
na|nā	<i>adv</i><br><ol><li>never</li></ol><br><i>particle</i><br><ol><li>no</li></ol>
nacht|nachtes|nachte|nachtum|nachtem|nachta	<i>noun</i><br><ol><li>night</li></ol>
namna	<i>verb</i><br><ol><li>to name</li></ol>
ne	<i>adv</i><br><ol><li>not</li></ol><br><i>conj</i><br><ol><li>nor</li></ol><br><i>particle</i><br><ol><li>no</li></ol>
nei|nā|nēst|niār|na|nēi	<i>adj</i><br><ol><li>near</li></ol><br><i>prep</i><br><ol><li>after, according to</li></ol>
nen|nan|nān|nēn	<i>det</i><br><ol><li>no, not one</li></ol><br><i>pron</i><br><ol><li>none, no-one, nobody</li></ol>
nera	<i>verb</i><br><ol><li>(transitive) to save, rescue</li></ol>
netha|nētha	<i>verb</i><br><ol><li>(transitive) to risk</li></ol>
nima|nime|nema|nimst|nimande|nimth|nōmen|enimen|nōme|nimath|nomst|nimen|nimeth|nomest|nimest|nim|nom	<i>verb</i><br><ol><li>to take</li></ol>
nithawerpa	<i>verb</i><br><ol><li>to defeat</li></ol>
niugende	<i>adj</i><br><ol><li>ninth</li></ol>
niugun|niūgun	<i>num</i><br><ol><li>nine</li></ol>
