alimbawa|alimbawà	<i>noun</i><br><ol><li>example</li></ol>
harakhak|harakhák	<i>noun</i><br><ol><li>laughter</li></ol>
hayapal	<i>noun</i><br><ol><li>queue</li></ol>
hayngot	<i>noun</i><br><ol><li>sweat</li></ol>
hiko	<i>noun</i><br><ol><li>(anatomy) elbow</li></ol>
hiya|hiyá	<i>pron</i><br><ol><li>he; she; it</li></ol>
ibog	<i>noun</i><br><ol><li>envy</li></ol>
kaagoman	<i>noun</i><br><ol><li>greed</li></ol>
kaarian	<i>noun</i><br><ol><li>kingdom</li></ol>
kaaway	<i>noun</i><br><ol><li>foe; enemy</li></ol>
kabantogan|kabantogán	<i>noun</i><br><ol><li>fame</li></ol>
kabayo	<i>noun</i><br><ol><li>horse</li></ol>
kabonlalangaw|kabónlalangáw	<i>noun</i><br><ol><li>rainbow</li></ol>
kadina	<i>noun</i><br><ol><li>chain</li></ol>
kagamitan	<i>noun</i><br><ol><li>equipment</li></ol>
kaging	<i>noun</i><br><ol><li>bat (animal)</li></ol>
kahal|kahál	<i>noun</i><br><ol><li>marriage</li></ol>
kahalitaan	<i>noun</i><br><ol><li>proverb</li></ol>
kaholibay	<i>noun</i><br><ol><li>neighbor</li></ol>
kahon|kahón	<i>noun</i><br><ol><li>box</li></ol>
kailangan	<i>adj</i><br><ol><li>necessary</li></ol>
kairapan	<i>noun</i><br><ol><li>poverty</li></ol>
kalabaha	<i>noun</i><br><ol><li>squash</li></ol>
kalamoan|kalamoán	<i>noun</i><br><ol><li>companion</li></ol>
kalapati	<i>noun</i><br><ol><li>dove; pigeon</li></ol>
kalawit	<i>noun</i><br><ol><li>hook</li></ol>
kaligsawan|kaligsawán	<i>noun</i><br><ol><li>health</li></ol>
kaliliktan|kaliliktán	<i>noun</i><br><ol><li>joy</li></ol>
kalindoronot	<i>noun</i><br><ol><li>caterpillar</li></ol>
kalolwa	<i>noun</i><br><ol><li>soul</li></ol>
kamatyan|kamatyán	<i>noun</i><br><ol><li>death</li></ol>
kambal	<i>noun</i><br><ol><li>twin</li></ol>
kamoro|kamoró	<i>noun</i><br><ol><li>pimple</li></ol>
kandado	<i>noun</i><br><ol><li>lock; padlock</li></ol>
kandila	<i>noun</i><br><ol><li>candle</li></ol>
kanding	<i>noun</i><br><ol><li>goat</li></ol>
kanlolongo|kanlolongó	<i>noun</i><br><ol><li>tadpole</li></ol>
kanta	<i>noun</i><br><ol><li>song</li></ol>
kapangyarian	<i>noun</i><br><ol><li>power; authority</li></ol>
kapoloan	<i>noun</i><br><ol><li>archipelago</li></ol>
kaptogan|kaptogán	<i>noun</i><br><ol><li>truth</li></ol>
karayom	<i>noun</i><br><ol><li>needle</li></ol>
karingoyan|karingoyán	<i>noun</i><br><ol><li>shame</li></ol>
karni	<i>noun</i><br><ol><li>meat</li></ol>
karsada	<i>noun</i><br><ol><li>road</li></ol>
kasalanan	<i>noun</i><br><ol><li>sin; guilt; fault</li></ol>
kasilyas	<i>noun</i><br><ol><li>toilet</li></ol>
kastilyo	<i>noun</i><br><ol><li>castle</li></ol>
katat	<i>noun</i><br><ol><li>skin</li></ol>
katinokan	<i>noun</i><br><ol><li>peace</li></ol>
katitob	<i>noun</i><br><ol><li>bedbug</li></ol>
katlib	<i>noun</i><br><ol><li>scissors</li></ol>
kayamanan	<i>noun</i><br><ol><li>wealth</li></ol>
kayo	<i>noun</i><br><ol><li>wood; lumber</li><li>tree</li></ol>
kiloy	<i>noun</i><br><ol><li>(anatomy) eyebrow</li></ol>
kimat|kimát	<i>noun</i><br><ol><li>lightning</li></ol>
kindat	<i>noun</i><br><ol><li>wink (of one's eye)</li></ol>
kingki	<i>noun</i><br><ol><li>lamp</li></ol>
kintsay	<i>noun</i><br><ol><li>Chinese celery</li></ol>
kisami|kisamí	<i>noun</i><br><ol><li>ceiling</li></ol>
kiso	<i>noun</i><br><ol><li>cheese</li></ol>
kolang|koláng	<i>noun</i><br><ol><li>drought</li></ol>
kolap|koláp	<i>noun</i><br><ol><li>owl</li></ol>
kolaw|koláw	<i>noun</i><br><ol><li>infant</li></ol>
kolita|kolitâ	<i>noun</i><br><ol><li>octopus</li></ol>
komkom	<i>noun</i><br><ol><li>fist</li></ol>
kona|konâ	<i>noun</i><br><ol><li>fish</li></ol>
koniho	<i>noun</i><br><ol><li>rabbit</li></ol>
korbata	<i>noun</i><br><ol><li>necktie</li></ol>
korol|koról	<i>noun</i><br><ol><li>thunder</li></ol>
kortina	<i>noun</i><br><ol><li>curtain</li></ol>
kosot	<i>noun</i><br><ol><li>sawdust</li></ol>
koto	<i>noun</i><br><ol><li>louse (insect)</li></ol>
kotsara	<i>noun</i><br><ol><li>spoon</li></ol>
kotsi	<i>noun</i><br><ol><li>car</li></ol>
kotsilyo	<i>noun</i><br><ol><li>knife</li></ol>
kơting|kotíng	<i>noun</i><br><ol><li>kitten</li></ol>
lababo	<i>noun</i><br><ol><li>sink</li></ol>
labi|labí|labì	<i>noun</i><br><ol><li>(anatomy) lip</li><li>love</li></ol>
labon|labón	<i>noun</i><br><ol><li>mire</li></ol>
lalaki	<i>noun</i><br><ol><li>man; male</li></ol>
lalo|lalò	<i>noun</i><br><ol><li>interior</li></ol>
langis|langís	<i>noun</i><br><ol><li>oil</li></ol>
langit	<i>noun</i><br><ol><li>heaven; sky</li></ol>
langka|langkâ	<i>noun</i><br><ol><li>jackfruit</li></ol>
lango	<i>noun</i><br><ol><li>fly (insect)</li></ol>
lanom|lanóm	<i>noun</i><br><ol><li>water</li></ol>
lansi	<i>noun</i><br><ol><li>trick; ruse</li></ol>
lason	<i>noun</i><br><ol><li>poison</li></ol>
lata|latà	<i>noun</i><br><ol><li>thirst</li><li>can; tin</li></ol>
latok|latók	<i>noun</i><br><ol><li>peg</li></ol>
lawaw|lawáw	<i>noun</i><br><ol><li>saliva</li></ol>
layat	<i>noun</i><br><ol><li>ocean</li></ol>
layon|layón	<i>noun</i><br><ol><li>earthquake</li></ol>
layop|layóp	<i>noun</i><br><ol><li>cold</li></ol>
libaba|libabâ	<i>noun</i><br><ol><li>west</li></ol>
libro	<i>noun</i><br><ol><li>book</li></ol>
ligat	<i>noun</i><br><ol><li>drought</li></ol>
liglig	<i>noun</i><br><ol><li>edge; side; border</li></ol>
liking|likíng	<i>noun</i><br><ol><li>side</li></ol>
lilin|lilín	<i>noun</i><br><ol><li>wax</li></ol>
lilip	<i>noun</i><br><ol><li>hem</li></ol>
linta|lintâ	<i>noun</i><br><ol><li>leech</li></ol>
linya	<i>noun</i><br><ol><li>line</li></ol>
liring	<i>noun</i><br><ol><li>fin</li></ol>
liyopan	<i>noun</i><br><ol><li>scorpion</li></ol>
logar|logár	<i>noun</i><br><ol><li>place</li></ol>
lohik|lohík	<i>noun</i><br><ol><li>sprout</li></ol>
lokton	<i>noun</i><br><ol><li>grasshopper; locust</li></ol>
lolo|lolò	<i>noun</i><br><ol><li>sorrow</li></ol>
lololanan	<i>noun</i><br><ol><li>vehicle</li></ol>
lolom	<i>noun</i><br><ol><li>cloud</li></ol>
lonop|lonóp	<i>noun</i><br><ol><li>flood</li></ol>
loob	<i>noun</i><br><ol><li>interior; inside</li></ol>
looy	<i>noun</i><br><ol><li>(anatomy) neck</li></ol>
lora|lorâ	<i>noun</i><br><ol><li>spit; sputum</li></ol>
lota|lotà	<i>noun</i><br><ol><li>soil; earth; ground</li></ol>
lowa|lowâ	<i>noun</i><br><ol><li>tear</li></ol>
maabig	<i>adj</i><br><ol><li>good</li></ol>
maalop	<i>adj</i><br><ol><li>nice</li></ol>
maamoy	<i>adj</i><br><ol><li>shady</li></ol>
maata|maatà	<i>adj</i><br><ol><li>unripe; raw</li></ol>
mababo	<i>adj</i><br><ol><li>shallow</li></ol>
mabagal	<i>adj</i><br><ol><li>slow</li></ol>
mabagsit	<i>adj</i><br><ol><li>cruel; violent; brutal</li></ol>
mabikas	<i>adj</i><br><ol><li>elegant</li></ol>
maboling|mabolíng	<i>noun</i><br><ol><li>boa; python</li></ol>
madalit	<i>adj</i><br><ol><li>sticky</li></ol>
madalonot	<i>adj</i><br><ol><li>slimy</li></ol>
mag-aral	<i>verb</i><br><ol><li>to study</li></ol>
mag-ari|mag-arì	<i>verb</i><br><ol><li>to reign</li></ol>
mag-ingat	<i>verb</i><br><ol><li>to beware</li></ol>
mag-ompisa	<i>verb</i><br><ol><li>to start; to begin</li></ol>
maganda	<i>adj</i><br><ol><li>pretty</li></ol>
magaspang	<i>adj</i><br><ol><li>rough; coarse (of a surface)</li></ol>
magato|magatô	<i>adj</i><br><ol><li>itchy</li></ol>
magdasal	<i>verb</i><br><ol><li>to pray</li></ol>
magdoda	<i>verb</i><br><ol><li>to doubt</li></ol>
maghanda|maghandâ	<i>verb</i><br><ol><li>to prepare</li></ol>
maghirarayaw|maghirarayáw	<i>verb</i><br><ol><li>to boast</li></ol>
maghon	<i>adj</i><br><ol><li>firm; stiff</li></ol>
magkanta	<i>verb</i><br><ol><li>to sing</li></ol>
magpoyat|magpoyát	<i>verb</i><br><ol><li>to wake</li></ol>
mairap	<i>adj</i><br><ol><li>difficult; hard</li></ol>
makapoy	<i>adj</i><br><ol><li>weak</li></ol>
makasarili	<i>adj</i><br><ol><li>selfish</li></ol>
makasta	<i>adj</i><br><ol><li>ugly</li></ol>
makatis|makatís	<i>adj</i><br><ol><li>tiny</li></ol>
makatlok	<i>adj</i><br><ol><li>loud</li></ol>
makipot	<i>adj</i><br><ol><li>narrow</li></ol>
maklang	<i>adj</i><br><ol><li>dry</li></ol>
malapar	<i>adj</i><br><ol><li>broad; wide</li></ol>
malapot	<i>adj</i><br><ol><li>blurred; hazy; vague</li></ol>
malawang	<i>adj</i><br><ol><li>wide; broad</li></ol>
malay	<i>noun</i><br><ol><li>consciousness</li></ol>
malayop|malayóp	<i>adj</i><br><ol><li>cool</li></ol>
maliga	<i>adj</i><br><ol><li>merry; happy; glad</li></ol>
maliha	<i>noun</i><br><ol><li>pepper</li></ol>
malikhi	<i>adj</i><br><ol><li>nimble</li></ol>
malimpok	<i>adj</i><br><ol><li>round</li></ol>
malinis	<i>adj</i><br><ol><li>clear</li></ol>
malino	<i>adj</i><br><ol><li>clear</li></ol>
malita	<i>noun</i><br><ol><li>suitcase</li></ol>
malolo|malolò	<i>adj</i><br><ol><li>sad</li></ol>
malombit	<i>adj</i><br><ol><li>pregnant</li></ol>
malongo	<i>adj</i><br><ol><li>lonely</li></ol>
maloto|malotò	<i>adj</i><br><ol><li>ripe</li></ol>
mamagil	<i>verb</i><br><ol><li>to winnow</li></ol>
mamamana|mamamanà	<i>noun</i><br><ol><li>archer</li></ol>
mamaptog	<i>verb</i><br><ol><li>to testify</li></ol>
mamasa	<i>verb</i><br><ol><li>to read</li></ol>
mamastang	<i>verb</i><br><ol><li>to inquire</li></ol>
mamasyar|mamasyár	<i>verb</i><br><ol><li>to stroll</li></ol>
mamiyay	<i>verb</i><br><ol><li>to live</li></ol>
mamora	<i>adj</i><br><ol><li>cheap</li></ol>
man	<i>adv</i><br><ol><li>also</li></ol>
mana	<i>noun</i><br><ol><li>heritage</li></ol>
manakaw	<i>verb</i><br><ol><li>to steal</li></ol>
manala|manalá	<i>verb</i><br><ol><li>to weave</li></ol>
mananawil	<i>noun</i><br><ol><li>heir</li></ol>
mangitit	<i>adj</i><br><ol><li>black</li></ol>
maninilay	<i>noun</i><br><ol><li>fisherman</li></ol>
manok|manók	<i>noun</i><br><ol><li>chicken</li></ol>
manoyang	<i>noun</i><br><ol><li>child-in-law</li></ol>
mantika|mantikà	<i>noun</i><br><ol><li>oil</li></ol>
mantikilya	<i>noun</i><br><ol><li>butter</li></ol>
mantil	<i>noun</i><br><ol><li>tablecloth</li></ol>
mantsa	<i>noun</i><br><ol><li>stain; spot</li></ol>
maogong	<i>adj</i><br><ol><li>resonant</li></ol>
maosisa|maosisà	<i>adj</i><br><ol><li>curious</li></ol>
mapagal|mapagál	<i>adj</i><br><ol><li>weary</li></ol>
mapaibat	<i>conj</i><br><ol><li>since</li></ol>
mapait|mapaít	<i>adj</i><br><ol><li>bitter</li></ol>
mapalot|mapalót	<i>adj</i><br><ol><li>thick (of liquid)</li></ol>
mapanalabat	<i>adj</i><br><ol><li>hospitable</li></ol>
mapangabot	<i>adj</i><br><ol><li>considerate</li></ol>
mapanomtom	<i>adj</i><br><ol><li>thoughtful</li></ol>
maparas|maparás	<i>adj</i><br><ol><li>quick</li></ol>
mapasinsya	<i>adj</i><br><ol><li>patient</li></ol>
mapoti|mapotî	<i>adj</i><br><ol><li>white</li></ol>
mapotla|mapotlâ	<i>adj</i><br><ol><li>pale</li></ol>
maptog	<i>adj</i><br><ol><li>honest; sincere; upright</li></ol>
marahil	<i>adv</i><br><ol><li>maybe; perhaps</li></ol>
maralikot	<i>adj</i><br><ol><li>sticky</li></ol>
maramsak	<i>adj</i><br><ol><li>cruel; fierce</li></ol>
marangal|marangál	<i>adj</i><br><ol><li>noble</li></ol>
marani|maraní	<i>adj</i><br><ol><li>near</li></ol>
marantal	<i>adj</i><br><ol><li>flat</li></ol>
marapat	<i>adj</i><br><ol><li>proper</li></ol>
marayo|marayô	<i>adj</i><br><ol><li>far</li></ol>
mariringoyon|mariringoyón	<i>adj</i><br><ol><li>shy; timid; bashful</li></ol>
maroblom	<i>adj</i><br><ol><li>dark</li></ol>
marolmong	<i>adj</i><br><ol><li>filthy</li></ol>
maromlong	<i>adj</i><br><ol><li>filthy</li></ol>
marona|maronâ	<i>adj</i><br><ol><li>slow; tender</li></ol>
maronong	<i>adj</i><br><ol><li>wise</li></ol>
maroron|marorón	<i>adj</i><br><ol><li>shy</li></ol>
masakit|masakít	<i>noun</i><br><ol><li>disease</li></ol>
masamit|masamít	<i>noun</i><br><ol><li>sugar</li></ol>
masanto	<i>adj</i><br><ol><li>holy</li></ol>
masbali	<i>conj</i><br><ol><li>rather</li></ol>
masilos	<i>adj</i><br><ol><li>jealous</li></ol>
maski	<i>conj</i><br><ol><li>although</li></ol>
masostansya	<i>adj</i><br><ol><li>nutritious</li></ol>
mata	<i>noun</i><br><ol><li>eye (organ)</li></ol>
mataba|matabâ	<i>adj</i><br><ol><li>fat</li></ol>
matabang|matabáng	<i>adj</i><br><ol><li>tasteless; bland</li></ol>
matalabit	<i>adj</i><br><ol><li>fast; swift</li></ol>
matalag	<i>adj</i><br><ol><li>rare</li></ol>
matalas	<i>adj</i><br><ol><li>sharp</li></ol>
matalino	<i>adj</i><br><ol><li>smart; intelligent</li></ol>
matamlar	<i>adj</i><br><ol><li>lazy</li></ol>
matantan	<i>adj</i><br><ol><li>slow</li></ol>
matayngi|matayngî	<i>adj</i><br><ol><li>crispy</li></ol>
matibay	<i>adj</i><br><ol><li>sturdy</li></ol>
matiboy|matibóy	<i>adj</i><br><ol><li>hard</li></ol>
matibya|matibyâ	<i>adj</i><br><ol><li>red</li></ol>
matimbang	<i>adj</i><br><ol><li>just</li></ol>
matoa|matoá	<i>noun</i><br><ol><li>parent</li></ol>
matpol	<i>adj</i><br><ol><li>brave; tough; valiant</li></ol>
mayaman	<i>adj</i><br><ol><li>rich; wealthy</li></ol>
mayamo|mayamò	<i>adj</i><br><ol><li>smooth</li></ol>
mayanan	<i>noun</i><br><ol><li>north</li></ol>
mayangang|mayangáng	<i>adj</i><br><ol><li>spicy; hot</li></ol>
midyas	<i>noun</i><br><ol><li>sock</li></ol>
milmil	<i>noun</i><br><ol><li>crumb</li></ol>
minoto	<i>noun</i><br><ol><li>minute</li></ol>
minsahi	<i>noun</i><br><ol><li>message</li></ol>
mirindal	<i>noun</i><br><ol><li>snack</li></ol>
modilo	<i>noun</i><br><ol><li>model</li></ol>
mondo	<i>noun</i><br><ol><li>world</li></ol>
motya|motyâ	<i>noun</i><br><ol><li>pearl</li><li>darling</li></ol>
mwiblis	<i>noun</i><br><ol><li>furniture</li></ol>
naapon	<i>adv</i><br><ol><li>yesterday</li></ol>
nana|nanà	<i>noun</i><br><ol><li>aunt</li><li>pus</li></ol>
nanay	<i>noun</i><br><ol><li>mother</li></ol>
nati|natí	<i>adj</i><br><ol><li>dead</li></ol>
nigosyo	<i>noun</i><br><ol><li>business</li></ol>
nilogaw	<i>noun</i><br><ol><li>gruel</li></ol>
otang	<i>noun</i><br><ol><li>debt</li></ol>
oybon	<i>noun</i><br><ol><li>egg</li></ol>
oysa	<i>noun</i><br><ol><li>deer</li></ol>
palbangon	<i>noun</i><br><ol><li>dawn</li></ol>
pamangan|pamangán	<i>noun</i><br><ol><li>food</li></ol>
payong	<i>noun</i><br><ol><li>umbrella</li></ol>
pihing|pihíng	<i>noun</i><br><ol><li>vegetable</li></ol>
piklat	<i>noun</i><br><ol><li>scar</li></ol>
pinghan	<i>noun</i><br><ol><li>cousin</li></ol>
pipino	<i>noun</i><br><ol><li>cucumber</li></ol>
pirlas	<i>noun</i><br><ol><li>pearl</li></ol>
pirma	<i>noun</i><br><ol><li>signature</li></ol>
pirmi	<i>adv</i><br><ol><li>always</li></ol>
pitsa	<i>noun</i><br><ol><li>date</li></ol>
plima	<i>noun</i><br><ol><li>phlegm</li></ol>
pogal	<i>noun</i><br><ol><li>nest</li></ol>
pohol	<i>noun</i><br><ol><li>(anatomy) navel</li></ol>
polot|polót	<i>noun</i><br><ol><li>honey</li></ol>
polta	<i>noun</i><br><ol><li>door</li></ol>
pool	<i>noun</i><br><ol><li>fire</li></ol>
poonan	<i>noun</i><br><ol><li>capital (money)</li></ol>
posa|posà	<i>noun</i><br><ol><li>cat</li></ol>
posit|posít	<i>noun</i><br><ol><li>squid</li></ol>
poso|posô	<i>noun</i><br><ol><li>(anatomy) heart</li></ol>
posporo|posporó	<i>noun</i><br><ol><li>match; safety match</li></ol>
potog|potóg	<i>adj</i><br><ol><li>true; real</li></ol>
problima	<i>noun</i><br><ol><li>problem; trouble</li></ol>
rigalo	<i>noun</i><br><ol><li>gift</li></ol>
ripolyo	<i>noun</i><br><ol><li>cabbage</li></ol>
risibo	<i>noun</i><br><ol><li>receipt</li></ol>
rosas	<i>noun</i><br><ol><li>rose (flower)</li></ol>
sadya|sadyâ	<i>noun</i><br><ol><li>intent</li></ol>
sakang|sakáng	<i>adj</i><br><ol><li>bow-legged</li></ol>
salakay	<i>noun</i><br><ol><li>raid</li></ol>
sapakatan|sapakatán	<i>noun</i><br><ol><li>conspiracy</li></ol>
sapat|sapát	<i>adj</i><br><ol><li>enough; sufficient</li></ol>
sapatos	<i>noun</i><br><ol><li>shoe</li></ol>
saraksak	<i>noun</i><br><ol><li>kingfisher</li></ol>
sarampak	<i>adj</i><br><ol><li>snub-nosed</li></ol>
sastri	<i>noun</i><br><ol><li>tailor</li></ol>
saya	<i>noun</i><br><ol><li>skirt</li></ol>
siboyas	<i>noun</i><br><ol><li>onion</li></ol>
sigarilyo	<i>noun</i><br><ol><li>cigarette</li></ol>
silir|silír	<i>noun</i><br><ol><li>room</li></ol>
silya	<i>noun</i><br><ol><li>(furniture) chair</li></ol>
singsing	<i>noun</i><br><ol><li>ring</li></ol>
sinilas	<i>noun</i><br><ol><li>slippers</li></ol>
sipilyo	<i>noun</i><br><ol><li>toothbrush</li></ol>
sisiw	<i>noun</i><br><ol><li>chick; young chicken</li></ol>
siyam	<i>num</i><br><ol><li>nine</li></ol>
soka|sokà	<i>noun</i><br><ol><li>vinegar</li></ol>
sosi|susì	<i>noun</i><br><ol><li>key</li></ol>
swildo	<i>noun</i><br><ol><li>salary; wage</li></ol>
swirti	<i>noun</i><br><ol><li>luck</li></ol>
syodad|syodád	<i>noun</i><br><ol><li>city</li></ol>
taga|tagâ	<i>noun</i><br><ol><li>fishhook</li></ol>
tagyang	<i>noun</i><br><ol><li>(anatomy) rib</li></ol>
taka|takâ	<i>noun</i><br><ol><li>feces</li></ol>
talakba|talakbâ	<i>noun</i><br><ol><li>frog; toad</li></ol>
talinga	<i>noun</i><br><ol><li>earring</li></ol>
talino	<i>noun</i><br><ol><li>intellect</li></ol>
talokbong	<i>noun</i><br><ol><li>veil</li></ol>
talom|talóm	<i>noun</i><br><ol><li>eggplant</li></ol>
talonahan	<i>noun</i><br><ol><li>eel</li></ol>
tamal|tamál	<i>noun</i><br><ol><li>poison</li></ol>
tambal	<i>noun</i><br><ol><li>medicine; remedy</li></ol>
tambay	<i>noun</i><br><ol><li>help</li></ol>
