.	<i>punct</i><br><ol><li>Used to mark ordinal numbers, pronounced -garren.</li></ol>
Basajaun|Basajaunentzat|Basajaunenganako|Basajaunenganaino|Basajaunenganantz|Basajaunek|Basajaunengandik|Basajaunengan|Basajaunez|Basajauni|Basajauntzat|Basajaunengana|Basajaunengatik|Basajaunik|Basajaunen|Basajaunekin	<i>name</i><br><ol><li>(mythology, folklore) A huge, hairy hominid dwelling in the woods.</li></ol>
Belgika|Belgikarekin|Belgikaraino|Belgikako|Belgikatzat|Belgikaz|Belgikaren|Belgikarantz|Belgikari|Belgikarik|Belgikarako|Belgikan|Belgikak|Belgikatik|Belgikara|Belgikarentzat|Belgikarengatik	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Berano	<i>name</i><br><ol><li>A neighborhood of Mallabia, Biscay, Spain.</li></ol>
Bernedo|Bernedora|Bernedoren|Bernedorako|Bernedoko|Bernedori|Bernedorengatik|Bernedon|Bernedok|Bernedorantz|Bernedoraino|Bernedotik|Bernedorik|Bernedorentzat|Bernedorekin|Bernedotzat|Bernedoz	<i>name</i><br><ol><li>A village and municipality of Álava, Basque Country, Spain</li></ol>
Bielorrusia|Bielorrusiarantz|Bielorrusiak|Bielorrusiaz|Bielorrusian|Bielorrusiari|Bielorrusiako|Bielorrusiatzat|Bielorrusiaraino|Bielorrusiarik|Bielorrusiarentzat|Bielorrusiarengatik|Bielorrusiarekin|Bielorrusiarako|Bielorrusiaren|Bielorrusiatik|Bielorrusiara	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Bilbo|Bilbotik|Bilboko|Bilborako|Bilboren|Bilboz|Bilbon|Bilborengatik|Bilbora|Bilborantz|Bilbok|Bilborentzat|Bilbori|Bilborekin|Bilborik|Bilboraino|Bilbotzat	<i>name</i><br><ol><li>Bilbao (the largest city in the Basque Country, in northern Spain, and capital city of the province of Biscay, Spain)</li></ol>
Bilborako	<i>name</i><br><ol><li>destinative of Bilbo</li></ol>
Bilborantz	<i>name</i><br><ol><li>directive of Bilbo</li></ol>
Boli Kosta	<i>name</i><br><ol><li>Ivory Coast, Côte d'Ivoire (a country in West Africa)</li></ol>
Bolibar	<i>name</i><br><ol><li>A village in Álava, Spain.</li></ol>
Britainia Handia|Britainia Handiari|Britaina Handia|Britainia Handirako|Britainia Handitzat|Britainia Handiarekin|Britainia Handirantz|Britainia Handiarengatik|Britainia Handian|Britainia Handira|Britainia Handirik|Britainia Handiraino|Britainia Handiaren|Britainia Handi|Britainia Handiak|Britainia Handiarentzat|Britainia Handiaz|Britainia Handitik|Britainia Handiko	<i>name</i><br><ol><li>Great Britain</li></ol>
Bulgaria|Bulgariatik|Bulgariarengatik|Bulgariarik|Bulgariari|Bulgariaren|Bulgariarekin|Bulgariara|Bulgariarako|Bulgariarentzat|Bulgariaz|Bulgariako|Bulgariatzat|Bulgariaraino|Bulgariak|Bulgarian|Bulgariarantz	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Burkina Faso|Burkina Fasoko|Burkina Fasorekin|Burkina Fasorako|Burkina Fasorik|Burkina Fasorentzat|Burkina Fasori|Burkina Fasora|Burkina Fasoz|Burkina Fasoraino|Burkina Fasotik|Burkina Fasok|Burkina Fasotzat|Burkina Fasorengatik|Burkina Fasoren|Burkina Fasorantz|Burkina Fason	<i>name</i><br><ol><li>Burkina Faso (a country in West Africa)</li></ol>
Burundi|Burundiren|Burundiraino|Burundiko|Burundiri|Burundira|Burundirantz|Burundik|Burundirekin|Burundirako|Burundiz|Burundirik|Burundin|Burunditzat|Burunditik|Burundirengatik|Burundirentzat	<i>name</i><br><ol><li>Burundi</li></ol>
C|c	<i>character</i><br><ol><li>The third letter of the Basque alphabet, called ze and written in the Latin script.</li></ol>
D|d	<i>character</i><br><ol><li>The fourth letter of the Basque alphabet, called de and written in the Latin script.</li></ol>
Danimarka|Danimarkan|Danimarkarengatik|Danimarkako|Danimarkari|Danimarkarik|Danimarkatik|Danimarkarantz|Danimarkak|Danimarkarekin|Danimarkaz|Danimarkaraino|Danimarkarentzat|Danimarkaren|Danimarkarako|Danimarkara|Danimarkatzat	<i>name</i><br><ol><li>Denmark</li></ol>
Dominikar Errepublika	<i>name</i><br><ol><li>Dominican Republic</li></ol>
Donostia|Donostiarekin|Donostiara|Donostiatzat|Donostiarik|Donostiak|Donostiari|Donostiarentzat|Donostiaraino|Donostian|Donostiarantz|Donostiarako|Donostiaren|Donostiatik|Donostiako|Donostiaz|Donostiarengatik	<i>name</i><br><ol><li>San Sebastián (a city and municipality of the Basque Country, Spain)</li></ol>
E|e	<i>character</i><br><ol><li>The fifth letter of the Basque alphabet, called e and written in the Latin script.</li></ol>
EAJ	<i>name</i><br><ol><li>(politics) Basque Nationalist Party</li></ol>
ETA	<i>name</i><br><ol><li>Acronym of Euskadi Ta Askatasuna.</li></ol>
Eguberri	<i>noun</i><br><ol><li>Christmas</li></ol>
Eguberri on	<i>phrase</i><br><ol><li>Merry Christmas</li></ol>
Ekuador|Ekuadortzat|Ekuadorrez|Ekuadorri|Ekuadorko|Ekuadorretik|Ekuadorreraino|Ekuadorrik|Ekuadorreko|Ekuadorrek|Ekuadorrera|Ekuadortik|Ekuadorrengatik|Ekuadorrekin|Ekuadorren|Ekuadorrerako|Ekuadorrentzat|Ekuadorrerantz	<i>name</i><br><ol><li>Ecuador (a country in South America)</li></ol>
Eneritz|Eneritzenganaino|Eneriztzat|Eneritzekin|Eneritzenganantz|Eneritzentzat|Enerizko|Eneritzez|Eneritzen|Eneritzek|Eneritzengan|Eneritzengatik|Eneritzera|Eneriztik|Eneritzengana|Eneritzik|Eneritzi|Eneritzengandik|Eneritzerako|Eneritzenganako|Eneritzeraino|Eneritzerantz	<i>name</i><br><ol><li>Enériz, a town in Navarre.</li></ol>
Erresuma Batua|Erresuma Baturantz|Erresuma Batu|Erresuma Batuaz|Erresuma Baturaino|Erresuma Batutzat|Erresuma Batuarengatik|Erresuma Batuarekin|Erresuma Batutik|Erresuma Batuak|Erresuma Batura|Erresuma Batuaren|Erresuma Baturik|Erresuma Batuari|Erresuma Batuan|Erresuma Batuarentzat|Erresuma Batuko|Erresuma Baturako	<i>name</i><br><ol><li>United Kingdom (a country in Europe)</li></ol>
Errumania|Errumaniatzat|Errumaniaraino|Errumaniaz|Errumaniako|Errumaniarengatik|Errumaniarik|Errumaniari|Errumaniak|Errumaniarantz|Errumaniaren|Errumanian|Errumaniarekin|Errumaniatik|Errumaniara|Errumaniarako|Errumaniarentzat	<i>name</i><br><ol><li>Romania</li></ol>
Errusia|Errusian|Errusiatzat|Errusiarengatik|Errusiari|Errusiarekin|Errusiaren|Errusiako|Errusiarantz|Errusiarentzat|Errusiarako|Errusiara|Errusiatik|Errusiaraino|Errusiaz|Errusiak|Errusiarik	<i>name</i><br><ol><li>Russia</li></ol>
Errusiar Federakundea|Errusiar Federakundera|Errusiar Federakundetik|Errusiar Federakundeak|Errusiar Federakundearekin|Errusiar Federakunderaino|Errusiar Federakundeari|Errusiar Federakunderako|Errusiar Federakunde|Errusiar Federakundearentzat|Errusiar Federakunderantz|Errusiar Federakundearen|Errusiar Federakunderik|Errusiar Federakundeko|Errusiar Federakundetzat|Errusiar Federakundean|Errusiar Federakundearengatik|Errusiar Federakundeaz	<i>name</i><br><ol><li>Russian Federation</li></ol>
Ertzaintza|Ertzaintzarenganako|Ertzaintzaz|Ertzaintzarenganantz|Ertzaintzari|Ertzaintzarengandik|Ertzaintzak|Ertzaintzarengana|Ertzaintzarik|Ertzaintzarengan|Ertzaintzatzat|Ertzaintzarengatik|Ertzaintzaren|Ertzaintzarentzat|Ertzaintzarenganaino|Ertzaintzarekin	<i>name</i><br><ol><li>The police force of the Basque Country, Spain.</li></ol>
Eskibel|Eskibelik|Ezkibeli|Ezkibel|Ezkibelez|Ezkibelengana|Ezkibelenganantz|Ezkibeltzat|Eskibelez|Ezkibelik|Ezkibelenganaino|Eskibelengandik|Eskibelenganako|Eskibelen|Ezkibelengan|Ezkibelenganako|Eskibeltzat|Ezkibelengandik|Ezkibelengatik|Eskibeli|Eskibelgo|Eskibelenganantz|Eskibelerako|Eskibeleraino|Eskibelekin|Eskibelengana|Ezkibelek|Ezkibelekin|Eskibelengatik|Eskibelenganaino|Ezkibelen|Eskibelek|Ezkibelentzat|Eskibeldik|Eskibelentzat|Eskibelengan|Eskibelera|Eskibelerantz	<i>name</i><br><ol><li>A hamlet in Vitoria-Gasteiz, Álava, Basque Country, Spain</li></ol>
Eskozia|Eskoziaz|Eskozian|Eskoziara|Eskoziarako|Eskoziarantz|Eskoziak|Eskoziaraino|Eskoziatzat|Eskoziatik|Eskoziarengatik|Eskoziako|Eskoziarekin|Eskoziari|Eskoziarentzat|Eskoziarik|Eskoziaren	<i>name</i><br><ol><li>Scotland</li></ol>
Eslovakia|Eslovakiaz|Eslovakiako|Eslovakiarako|Eslovakiatik|Eslovakiaraino|Eslovakian|Eslovakiarekin|Eslovakiak|Eslovakiarentzat|Eslovakiaren|Eslovakiarik|Eslovakiara|Eslovakiatzat|Eslovakiarengatik|Eslovakiarantz|Eslovakiari	<i>name</i><br><ol><li>Slovakia</li></ol>
Eslovenia|Esloveniarengatik|Esloveniaraino|Esloveniaren|Esloveniara|Esloveniari|Esloveniaz|Esloveniarekin|Esloveniarako|Esloveniarentzat|Esloveniatik|Esloveniarik|Esloveniatzat|Esloveniak|Esloveniarantz|Eslovenian|Esloveniako	<i>name</i><br><ol><li>Slovenia</li></ol>
Espainia|Espainiari|Espainiarekin|Espainiaren|Espainian|Espainiarantz|Espainiara|Espainiarengatik|Espainiako|Espainiaraino|Espainiarako|Espainiarik|Espainiatzat|Espainiatik|Espainiak|Espainiaz|Espainiarentzat	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Estatu Batuak|Estatu Batuengatik|Estatu Batuez|Estatu Batuek|Estatu Batuen|Estatu Batuetara|Estatu Batuetarantz|Estatu Batuetarako|Estatu Batuetako|Estatu Batuei|Estatu Batuetaraino|Estatu Batuetatik|Estatu Baturik|Estatu Batu|Estatu Batutzat|Estatu Batuentzat|Estatu Batuekin|Estatu Batuetan	<i>name</i><br><ol><li>United States of America (a country in North America)</li></ol>
Estonia|Estoniarantz|Estoniaren|Estoniari|Estoniatzat|Estoniarekin|Estoniaz|Estoniako|Estoniara|Estoniarentzat|Estoniaraino|Estoniarako|Estonian|Estoniak|Estoniarik|Estoniarengatik|Estoniatik	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Etsai|Etsairenganaino|Etsaik|Etsairen|Etsairengatik|Etsairik|Etsairengandik|Etsairekin|Etsairenganako|Etsairengana|Etsairenganantz|Etsaitzat|Etsairentzat|Etsaiz|Etsairi|Etsairengan	<i>name</i><br><ol><li>the Devil, Satan</li><li>Aatxe, a folkloric Basque spirit</li></ol>
Etxe Zuria|Etxe Zuri|Etxe Zurira|Etxe Zuriaz|Etxe Zurirako|Etxe Zuriak|Etxe Zuriaren|Etxe Zuriraino|Etxe Zuririk|Etxe Zurirantz|Etxe Zuriari|Etxe Zuriko|Etxe Zuriarengatik|Etxe Zuritik|Etxe Zuriarentzat|Etxe Zuritzat|Etxe Zurian|Etxe Zuriarekin	<i>noun</i><br><ol><li>White House</li></ol>
Europar Batasuna	<i>name</i><br><ol><li>European Union</li></ol>
Euskadi|Euskadiz|Euzkadiren|Euskaditzat|Euzkadiz|Euzkadirengatik|Euskadirako|Euzkadin|Euzkadiko|Euzkaditzat|Euskadirengatik|Euzkadiri|Euskadiren|Euskadira|Euzkadira|Euzkadirentzat|Euzkadi|Euskadin|Euzkadik|Euskadirantz|Euskadirentzat|Euzkadirantz|Euskadiri|Euzkaditik|Euskaditik|Euzkadirako|Euzkadirik|Euskadiko|Euskadiraino|Euskadik|Euzkadiraino|Euskadirekin|Euzkadirekin|Euskadirik	<i>name</i><br><ol><li>Basque Country (an autonomous community of Spain)</li></ol>
Euskadi Ta Askatasuna	<i>name</i><br><ol><li>A Basque terrorist nationalist organization.</li></ol>
Euskal Herria|Euskal Herritzat|Euskal Herriari|Euskal Herriaren|Euskal Herrirantz|Euskal Herriko|Euskal Herriak|Euskal Herriarentzat|Euskal Herrian|Euskal Herrirako|Euskal Herritik|Euskal Herriarekin|Euskal Herriarengatik|Euskal Herrira|Euskal Herriaz|Euskal Herririk|Euskal Herri|Euskal Herriraino	<i>name</i><br><ol><li>Basque Country (greater region)</li><li>(rare) Basque Country (an autonomous community of Spain)</li></ol>
Euskaltzaindia|Euskaltzaindiari|Euskaltzainditik|Euskaltzaindiaren|Euskaltzaindirako|Euskaltzaindi|Euskaltzaindian|Euskaltzainditzat|Euskaltzaindiarentzat|Euskaltzaindirik|Euskaltzaindiak|Euskaltzaindiaz|Euskaltzaindira|Euskaltzaindirantz|Euskaltzaindiarekin|Euskaltzaindiraino|Euskaltzaindiarengatik|Euskaltzaindiko	<i>name</i><br><ol><li>The Basque language academy.</li></ol>
Ezpeleta	<i>name</i><br><ol><li>Espelette (a town in the Pyrénées-Atlantiques department, France)</li></ol>
F|f	<i>character</i><br><ol><li>The sixth letter of the Basque alphabet, called efe and written in the Latin script.</li></ol>
Filipinak	<i>name</i><br><ol><li>Philippines</li></ol>
Finlandia|Finlandiako|Finlandiaren|Finlandiara|Finlandiarengatik|Finlandiaraino|Finlandiarantz|Finlandiarako|Finlandiatzat|Finlandiarentzat|Finlandiarekin|Finlandiatik|Finlandiak|Finlandian|Finlandiari|Finlandiarik|Finlandiaz	<i>name</i><br><ol><li>Finland (a country in Europe)</li></ol>
Frantzia|Frantziarantz|Frantziatzat|Frantziaz|Frantziako|Frantziari|Frantziarekin|Frantziak|Frantziatik|Frantziarik|Frantziaren|Frantziarentzat|Frantziarako|Frantziara|Frantziaraino|Frantziarengatik|Frantzian	<i>name</i><br><ol><li>France</li></ol>
G|g	<i>character</i><br><ol><li>The seventh letter of the Basque alphabet, called ge and written in the Latin script.</li></ol>
Gales|Galesengatik|Galestzat|Galestik|Galesen|Galesi|Galeseraino|Galeserako|Galesek|Galesentzat|Galesko|Galesekin|Galesera|Galesez|Galesik|Galeserantz	<i>name</i><br><ol><li>Wales</li></ol>
Garizuma|Garizumaz|Garizumak|Garizumarik|Garizumari|Garizumarengatik|Garizumaren|Garizuman|Garizumatzat|Garizumarekin|Garizumarentzat	<i>noun</i><br><ol><li>Alternative letter-case form of garizuma</li></ol>
Gasteiz|Gasteizek|Gasteizko|Gasteiztik|Gasteizekin|Gasteizen|Gasteizera|Gasteizentzat|Gasteizeraino|Gasteizi|Gasteizengatik|Gasteizez|Gasteizerantz|Gasteiztzat|Gasteizerako|Gasteizik	<i>name</i><br><ol><li>A medieval settlement corresponding to the old town of modern day Vitoria, Basque Country, Spain</li><li>Vitoria (the capital city of the Basque Country, Spain)</li></ol>
Gaztela|Gaztelarik|Gaztelarako|Gaztelan|Gaztelaraino|Gaztelak|Gaztelaren|Gaztelarentzat|Gaztelarengatik|Gaztelarantz|Gaztelaz|Gaztelari|Gaztelarekin|Gaztelako|Gaztelatzat|Gaztelara|Gaztelatik	<i>name</i><br><ol><li>Castile</li></ol>
