'eee	<i>particle</i><br><ol><li>yes</li></ol>
aamo	<i>verb</i><br><ol><li>(Ye'kwana dialect, intransitive, agentive) to cry, to weep</li></ol>
aamödenö	<i>verb</i><br><ol><li>(transitive) to transform, to make into</li></ol>
aamödeta	<i>verb</i><br><ol><li>(intransitive) to transform</li></ol>
aasicha	<i>adv</i><br><ol><li>(Ye'kwana dialect) good, well</li></ol>
ada'komo	<i>noun</i><br><ol><li>(De'kwana dialect, in the plural) mortals, ephemeral creatures</li></ol>
ada'komo weyudu	<i>name</i><br><ol><li>the visible Sun, as opposed to its never-setting invisible double or spirit (ökato)</li></ol>
adada	<i>noun</i><br><ol><li>the anhinga, Anhinga anhinga</li></ol>
adai	<i>noun</i><br><ol><li>origin</li><li>the primeval prototype, progenitor, and culture hero of a given species of animal or kind of object; animal ‘Master’</li></ol>
adajuuna	<i>noun</i><br><ol><li>harpoon</li></ol>
adakujusa	<i>noun</i><br><ol><li>rifle, gun</li></ol>
adawa	<i>noun</i><br><ol><li>a tree, Protium heptaphyllum, from which a sticky transparent liquid is extracted and used to make torches and bodypaint</li><li>a torch, a light, typically made from this liquid wrapped in Oenocarpus bataua leaves</li><li>the bodypaint made from this liquid</li><li>bodypaint in general</li></ol>
adawa'ta	<i>noun</i><br><ol><li>the Colombian red howler monkey, Alouatta seniculus</li></ol>
adawai	<i>noun</i><br><ol><li>the tapeti, Sylvilagus brasiliensis (or perhaps Sylvilagus parentum since this species was split off)</li></ol>
addödö	<i>adv</i><br><ol><li>apart</li></ol>
ade	<i>adv</i><br><ol><li>(De'kwana dialect) being brief, short, ephemeral</li></ol>
adedei	<i>noun</i><br><ol><li>the painted parakeet, Pyrrhura picta</li></ol>
adekato	<i>noun</i><br><ol><li>dream (seen as the journey of the önu ekato (“eye spirit”) outside the body)</li><li>the önu ekato (“eye spirit”) itself while dreaming</li></ol>
adenai	<i>noun</i><br><ol><li>spectacled caiman (Caiman crocodilus)</li></ol>
adima	<i>verb</i><br><ol><li>(transitive) to push</li></ol>
ado	<i>noun</i><br><ol><li>rice</li></ol>
adonka	<i>verb</i><br><ol><li>to cure, heal</li><li>to make (someone) feel well or good</li><li>to revive</li></ol>
adudu	<i>noun</i><br><ol><li>the black-tailed hairy dwarf porcupine, Coendou melanurus</li></ol>
aduwaawö	<i>num</i><br><ol><li>(Ye'kwana dialect) three</li></ol>
aduwawö	<i>num</i><br><ol><li>(De'kwana dialect) three</li></ol>
adö	<i>verb</i><br><ol><li>(transitive) to carry</li></ol>
adü	<i>noun</i><br><ol><li>leaf</li><li>ceiling, roof</li></ol>
ai	<i>postp</i><br><ol><li>through, by; indicates motion by way of a non-aquatic object of class 1</li></ol>
aichudi	<i>noun</i><br><ol><li>private song or chant performed to purify something of ritual pollution/taboo (amoi)</li><li>(Christianity) psalm</li></ol>
aichudi edajö|aichudi edamo	<i>noun</i><br><ol><li>(De'kwana dialect) Synonym of ödemi edajö (“master storyteller, singer, and ritual specialist”)</li></ol>
aichudi eyajö|aichudi eyamo	<i>noun</i><br><ol><li>(Ye'kwana dialect) Synonym of ödemi eyajö (“master storyteller, singer, and ritual specialist”)</li></ol>
aichü	<i>verb</i><br><ol><li>(transitive) to insert (something) into a hole</li><li>(transitive) to plant (manioc)</li></ol>
aijuka	<i>verb</i><br><ol><li>(transitive) to strike, to hit (someone with something)</li><li>(transitive) to smite, to kill (someone) by striking them</li></ol>
aijuku	<i>verb</i><br><ol><li>(transitive) to strike, to hit (someone with something)</li><li>(transitive) to smite, to kill (someone) by striking them</li></ol>
ajadadi	<i>noun</i><br><ol><li>mouse opossum (genus Marmosa)</li></ol>
ajanümü	<i>verb</i><br><ol><li>(intransitive, patientive) to jump</li></ol>
aje'ka	<i>verb</i><br><ol><li>(transitive) to pursue</li></ol>
aji'choto	<i>noun</i><br><ol><li>girl staying in seclusion after undergoing menarche</li></ol>
aji'choto weja'kadü	<i>noun</i><br><ol><li>coming-of-age ritual for girls performed after menarche, intended to protect them from Odo'sha in a dangerous time and introduce them to adulthood</li></ol>
ajisha	<i>noun</i><br><ol><li>the great egret, Ardea alba egretta</li></ol>
ajissa	<i>noun</i><br><ol><li>(Ye'kwana dialect) the great egret, Ardea alba egretta</li></ol>
ajissaamö	<i>noun</i><br><ol><li>(Ye'kwana dialect) the yellow-backed tanager, Hemithraupis flavicollis</li><li>(Ye'kwana dialect) the Venezuelan troupial, Icterus icterus</li></ol>
ajo'jo	<i>adv</i><br><ol><li>being large, big</li></ol>
ajö	<i>noun</i><br><ol><li>arm</li><li>branch</li></ol>
ajö'müi	<i>noun</i><br><ol><li>decorative armband tied tightly above the bicep</li></ol>
ajö'sai	<i>noun</i><br><ol><li>wing</li></ol>
ajöi	<i>verb</i><br><ol><li>(transitive) to grasp, to grab</li><li>(transitive) to record</li></ol>
ajöntö	<i>verb</i><br><ol><li>(transitive) to begin</li></ol>
aka	<i>postp</i><br><ol><li>(Ye'kwana dialect) at, in, on, to; indicates a specific location or goal at a non-aquatic object of class 1</li></ol>
akai	<i>noun</i><br><ol><li>a device used to teach children how to walk, consisting of a seat with legholes in it hung from a rafter at just the right height to allow them to hang with their feet touching the ground</li></ol>
akana	<i>noun</i><br><ol><li>plain (flat land)</li></ol>
aki	<i>noun</i><br><ol><li>(Ye'kwana dialect) blood</li></ol>
akka	<i>verb</i><br><ol><li>(transitive) to make a kind of wooden canoe (kudiyada)</li></ol>
akkuuja	<i>noun</i><br><ol><li>the South American silver croaker, Plagioscion squamosissimus</li></ol>
akoicha	<i>verb</i><br><ol><li>(transitive) to end, to finish (something)</li><li>(transitive) to end, to finish (someone), to terminate or exterminate, to kill</li></ol>
akoicha'jüdü	<i>noun</i><br><ol><li>termination point, limit of something, top, tip</li></ol>
akono|akono'kö	<i>noun</i><br><ol><li>younger brother</li><li>younger male parallel cousin</li><li>(in relation to a woman) younger same-generation relative in general</li></ol>
akude	<i>adv</i><br><ol><li>(Ye'kwana dialect) late</li><li>(Ye'kwana dialect) later</li></ol><br><i>intj</i><br><ol><li>(Ye'kwana dialect) wait, it’s coming, hold on</li></ol>
akudi	<i>noun</i><br><ol><li>agouti, specifically the red-rumped agouti, Dasyprocta leporina</li></ol>
akötö	<i>verb</i><br><ol><li>(transitive) to cut, to cut off</li></ol>
akü	<i>noun</i><br><ol><li>a kind of white worm or snake said to feed on the dead</li></ol>
amakai	<i>noun</i><br><ol><li>comb</li></ol>
ame	<i>verb</i><br><ol><li>(transitive) to lick</li><li>(transitive) to eat (something sweet)</li></ol>
amije	<i>adv</i><br><ol><li>being hungry</li></ol>
aminña'ka	<i>verb</i><br><ol><li>(De'kwana dialect, transitive) to kill</li></ol>
aminñö'ka	<i>verb</i><br><ol><li>(Ye'kwana dialect, transitive) to kill</li></ol>
ammeda	<i>noun</i><br><ol><li>the aimara fish, Hoplias aimara</li></ol>
amo	<i>noun</i><br><ol><li>(De'kwana dialect) hand</li></ol><br><i>verb</i><br><ol><li>(De'kwana dialect, intransitive, agentive) to cry, to weep</li></ol>
amode	<i>noun</i><br><ol><li>transformation, instantiation, hypostasis</li><li>double or spirit (ökato) that can be controlled and directed, possessed by shamans and primeval animal ‘masters’ (adai/ödajö)</li></ol>
amoi	<i>noun</i><br><ol><li>ritual pollution; taboo object or animal or action, or taboo matter considered present in an object, animal, etc.</li></ol>
amoichö	<i>verb</i><br><ol><li>(transitive) to forbid, to prohibit</li></ol>
amoinche	<i>adv</i><br><ol><li>far</li><li>being distant in terms of family relations, not closely related</li></ol>
amö	<i>noun</i><br><ol><li>(Ye'kwana dialect) hand</li></ol><br><i>verb</i><br><ol><li>(transitive) to build, to construct</li></ol>
amö'jüdü	<i>noun</i><br><ol><li>roof or wall</li></ol>
amödö|^Y üwü|ewü|nña|küwü|^Y ömödö|tüwü|amödö|tünwanno|önwanno|künwanno	<i>pron</i><br><ol><li>(Ye'kwana dialect) the second-person singular pronoun; you.</li></ol>
anadeke	<i>noun</i><br><ol><li>pineapple, Ananas comosus</li></ol>
ane'ködü'se	<i>adv</i><br><ol><li>(interrogative) why?</li></ol>
anedawö	<i>adv</i><br><ol><li>again, another time</li><li>being another</li></ol>
aneeseja|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>there (on the far side of a salient geographical feature such as a mountain)</li></ol>
aneja|aneija	<i>noun</i><br><ol><li>other, another</li></ol>
anejankomo	<i>noun</i><br><ol><li>(plural only) non-Maquiritari people, outsiders</li></ol>
anenñaja	<i>adv</i><br><ol><li>elsewhere, on the other side, in another part</li><li>being contrary, opposite</li></ol>
anku	<i>noun</i><br><ol><li>a fragrant watercress-like herb mixed with water, salt, and possibly other herbs to ritually bathe a newborn baby and its mother for the first three months after birth, as well as to bathe the dead</li></ol>
anna	<i>noun</i><br><ol><li>central room of a village roundhouse, where unmarried men sleep and ritual activities take place</li><li>(in modern, more dispersed villages) central field of a village community where the roundhouse is located, or the roundhouse itself</li></ol>
anna'ka	<i>phrase</i><br><ol><li>(De'kwana dialect) in the central room of a village roundhouse, where unmarried men sleep and ritual activities take place</li></ol>
annai	<i>postp</i><br><ol><li>through the middle (of)</li></ol>
annaka	<i>phrase</i><br><ol><li>(Ye'kwana dialect) in the central room of a village roundhouse, where unmarried men sleep and ritual activities take place</li></ol>
annu'ku	<i>verb</i><br><ol><li>(De'kwana dialect, transitive) to mount, to climb up</li></ol>
annuku	<i>verb</i><br><ol><li>(Ye'kwana dialect, transitive) to mount, to climb up</li></ol>
anontö	<i>verb</i><br><ol><li>(transitive) to send or order (someone to do something)</li></ol>
anoto	<i>noun</i><br><ol><li>day</li></ol>
anwa'ka	<i>postp</i><br><ol><li>in or at the crotch of</li><li>in, among</li></ol>
anwaaka	<i>postp</i><br><ol><li>in or at the crotch of</li><li>in, among</li></ol>
anwaküme	<i>adv</i><br><ol><li>being narrow</li></ol>
anötö	<i>noun</i><br><ol><li>fishhook</li></ol>
ashicha	<i>adv</i><br><ol><li>(De'kwana dialect) good, well</li></ol>
ashichadü	<i>noun</i><br><ol><li>(Ye'kwana dialect) sugarcane, Saccharum officinarum</li></ol>
asu'ka	<i>verb</i><br><ol><li>(transitive) to smoke (apply smoke to, for example food)</li></ol>
asuwana	<i>noun</i><br><ol><li>the trahira fish, Hoplias malabaricus</li></ol>
asükü	<i>noun</i><br><ol><li>mouse</li></ol>
atajima|atajüma	<i>verb</i><br><ol><li>(Ye'kwana dialect, intransitive, agentive) to sit down</li></ol>
atajjima	<i>verb</i><br><ol><li>(De'kwana dialect, intransitive, agentive) to sit down</li></ol>
atono	<i>noun</i><br><ol><li>flu</li></ol>
atotö	<i>verb</i><br><ol><li>(transitive) to string, to thread, to put (beads, etc.) on a string</li><li>(transitive) to tie to something, to tie up, to moor</li><li>(transitive) to weave</li></ol>
audaajö	<i>noun</i><br><ol><li>(De'kwana dialect) conuco, large slash-and-burn garden planted in two concentric circles</li></ol>
audaajö edemi'jüdü	<i>noun</i><br><ol><li>the several-day-long chant sung during the festival to inaugurate newly-cleared village gardens and eliminate the ritual pollution (amoi) created by their clearing</li><li>the festival itself</li></ol>
awa'de	<i>adv</i><br><ol><li>first, before anything else</li><li>last, preceding, this past</li></ol>
awadudui	<i>noun</i><br><ol><li>the tayra, Eira barbara</li></ol>
awana	<i>noun</i><br><ol><li>bodypaint</li><li>the priprioca sedge, Cyperus articulatus</li></ol>
awanaichö	<i>verb</i><br><ol><li>(transitive) to paint with awana bodypaint</li></ol>
awo|wawonö	<i>verb</i><br><ol><li>(intransitive) to swell</li></ol>
awonñö'ka	<i>verb</i><br><ol><li>(intransitive) to swell up, to inflate</li></ol>
awö	<i>postp</i><br><ol><li>at, in, on; indicates a generic location at a non-aquatic object of class 1</li></ol>
ayadi	<i>noun</i><br><ol><li>barbasco, any of several vines such as Lonchocarpus sericeus or Piscidia carthagenensis used as a poison for fishing</li></ol>
ayawa	<i>noun</i><br><ol><li>a tree, Protium heptaphyllum, from which a sticky transparent liquid is extracted and used to make torches and bodypaint</li><li>a torch, a light, typically made from this liquid wrapped in Oenocarpus bataua leaves</li><li>the bodypaint made from this liquid</li><li>bodypaint in general</li></ol>
cha	<i>particle</i><br><ol><li>Allomorph of ka (interrogative particle) used after words that end in i.</li></ol>
chai	<i>suffix</i><br><ol><li>Allomorph of tai used after words that end in i.</li><li>Allomorph of kwai used after words that end in i.</li></ol>
chaka	<i>suffix</i><br><ol><li>Allomorph of taka used after words that end in i.</li><li>Allomorph of kwaka used after words that end in i.</li></ol>
chawö	<i>suffix</i><br><ol><li>Allomorph of tawö used after words that end in i.</li><li>Allomorph of kwawö used after words that end in i.</li></ol>
che'a	<i>particle</i><br><ol><li>Allomorph of de'a (“still, again, at the same time or place”) used after words that end in i.</li></ol>
chukwamedawö	<i>noun</i><br><ol><li>the start of winter, roughly May, when the construction and repair of houses is finished</li></ol>
chuuta	<i>noun</i><br><ol><li>tree</li><li>forest</li><li>forested mountain</li></ol>
chööju'jö	<i>noun</i><br><ol><li>seeds</li></ol>
chööjü	<i>noun</i><br><ol><li>stump</li><li>branch</li><li>midrib, main vein of a leaf</li></ol>
chööjüdü	<i>noun</i><br><ol><li>flower</li></ol>
chööjüdüjüdü	<i>noun</i><br><ol><li>fruit</li></ol>
chöötaajö	<i>adv</i><br><ol><li>being rotten</li></ol>
da'tu	<i>verb</i><br><ol><li>(De'kwana dialect, intransitive, patientive) to burn</li></ol>
daadiyu	<i>noun</i><br><ol><li>radio (device)</li></ol>
daamö	<i>noun</i><br><ol><li>(De'kwana dialect) louse</li></ol>
dadi	<i>noun</i><br><ol><li>the genip tree, Genipa americana or Genipa spruceana</li><li>a transparent sticky oil or resin extracted from the genip tree, used as a black bodypaint when mixed with soot from the cassava grills (jütadi)</li></ol>
dadiweyudu	<i>noun</i><br><ol><li>the ‘short summer’, roughly September to October</li></ol>
daju	<i>noun</i><br><ol><li>(De'kwana dialect) bamboo</li></ol>
dama	<i>noun</i><br><ol><li>ocean, sea</li></ol>
damai	<i>noun</i><br><ol><li>a vine used in barbasco fishing, possibly Swartzia macrophylla</li></ol>
dantadü	<i>noun</i><br><ol><li>(De'kwana dialect) island</li></ol>
danwa	<i>noun</i><br><ol><li>(De'kwana dialect) male human being, man</li><li>(De'kwana dialect) male cross-cousin (of a woman)</li></ol>
danwa'kö	<i>noun</i><br><ol><li>(De'kwana dialect) boy</li></ol>
danwadü	<i>noun</i><br><ol><li>(De'kwana dialect) valley</li></ol>
danñami	<i>noun</i><br><ol><li>(De'kwana dialect) nest</li></ol>
dawade	<i>noun</i><br><ol><li>(De'kwana dialect) the common opossum, Didelphis marsupialis</li></ol>
de'a|denña|dinña	<i>particle</i><br><ol><li>still, too, even now</li><li>again, back, at the same time or place</li><li>right, exactly, at the very time or place</li><li>very self, own self (intensifier for preceding pronouns)</li><li>expresses complaint</li></ol>
de'kwana	<i>noun</i><br><ol><li>(De'kwana dialect) a Ye'kwana, a Maquiritari, a speaker of Maquiritari or member of a Maquiritari-speaking tribe</li><li>specifically, such a person who speaks the De'kwana dialect</li></ol>
dede	<i>noun</i><br><ol><li>the greater bulldog bat, Noctilio leporinus</li><li>bat in general</li><li>a basket motif featurng four interlocking images facing outward from a central point, with each image consisting of two small diamonds embraced by one or more larger V-shapes</li></ol>
dedü	<i>noun</i><br><ol><li>(De'kwana dialect) tooth</li></ol>
dee	<i>noun</i><br><ol><li>wood, stick of wood</li><li>tree</li></ol>
dejushi	<i>noun</i><br><ol><li>(De'kwana dialect) the electric eel, Electrophorus electricus</li></ol>
demoshi	<i>noun</i><br><ol><li>(De'kwana dialect) the harpy eagle, Harpia harpyja</li></ol>
deyude	<i>adv</i><br><ol><li>being wrinkled</li></ol>
dichödichö	<i>noun</i><br><ol><li>the white-collared swift, Streptoprocne zonaris</li></ol>
dijushi	<i>noun</i><br><ol><li>(Ye'kwana dialect) the electric eel, Electrophorus electricus</li></ol>
dimoshi	<i>noun</i><br><ol><li>(Ye'kwana dialect) the harpy eagle, Harpia harpyja</li></ol>
do'ta	<i>noun</i><br><ol><li>middle, core</li><li>trunk of the body</li><li>inner part of the trunk of a tree</li><li>one of the several doubles or spirits (ökato) possessed by each person, namely the one said to reside in the heart, to be benevolent, and, along with the önu ekato, to animate a human being and return to the sky at death</li><li>(by extension) Synonym of ökato (“spirit, double”) in general</li></ol>
dodo	<i>noun</i><br><ol><li>the yellow-crowned amazon, Amazona ochrocephala</li><li>the two-striped forest-pitviper or parrotsnake, Bothrops bilineatus</li></ol>
dojü	<i>noun</i><br><ol><li>chest</li><li>breast (of a woman)</li></ol>
du'kadi|udukadi	<i>noun</i><br><ol><li>the white-lipped peccary, Tayassu pecari</li></ol>
dudinñü	<i>noun</i><br><ol><li>(De'kwana dialect) fire, flame</li></ol>
dui	<i>noun</i><br><ol><li>older brother (of a man)</li><li>older male parallel cousin (of a man)</li></ol>
dü'se	<i>postp</i><br><ol><li>near</li></ol>
dü'tö	<i>postp</i><br><ol><li>beside, alongside, next to</li></ol>
dü'tökö	<i>postp</i><br><ol><li>beside, past, by (with movement past)</li></ol>
e'dö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(De'kwana dialect) The inanimate proximal demonstrative pronoun; this, these.</li></ol>
e'dötö	<i>verb</i><br><ol><li>(intransitive, patientive) to cross a river</li></ol>
e'ji	<i>verb</i><br><ol><li>(intransitive, patientive) to bathe</li><li>(intransitive, patientive) to swim</li></ol>
e'katö	<i>verb</i><br><ol><li>(transitive) to ask for, to request</li></ol>
e'wa'tö|we'wa'tönö	<i>verb</i><br><ol><li>(intransitive, patientive) to help each other</li></ol>
edaichö	<i>verb</i><br><ol><li>(transitive) to take care of, to look after, to tend</li></ol>
edantö	<i>verb</i><br><ol><li>(transitive) to find, to meet, to run across</li></ol>
eddö	<i>verb</i><br><ol><li>(transitive) to bark</li><li>(transitive) to sing</li></ol>
eduka	<i>verb</i><br><ol><li>(intransitive, patientive) to fall</li></ol>
eduwa	<i>adv</i><br><ol><li>today</li><li>just now, recently</li></ol>
edö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|eese|edö|^Y iiyö|eetö	<i>pron</i><br><ol><li>(Ye'kwana dialect) The inanimate proximal demonstrative pronoun; this, these.</li></ol>
eeka	<i>verb</i><br><ol><li>(transitive) to bite</li></ol>
