Aaden	<i>noun</i><br><ol><li>harvest</li></ol>
Blaumäske|Blaumäsken	<i>noun</i><br><ol><li>coal tit (Periparus ater)</li></ol>
Blossem	<i>noun</i><br><ol><li>blossom</li></ol>
Bloud	<i>noun</i><br><ol><li>blood</li></ol>
Bloume|Bloumen	<i>noun</i><br><ol><li>flower</li><li>beer foam</li><li>layer of cream on a hot beverage</li></ol>
Bläier	<i>noun</i><br><ol><li>view; sight</li><li>look; appearance</li></ol>
Blääd|Bledere|Blede	<i>noun</i><br><ol><li>leaf</li><li>sheet (of paper)</li><li>newspaper, pamphlet</li><li>list of candidates</li></ol>
Boake	<i>noun</i><br><ol><li>beacon</li></ol>
Boan	<i>noun</i><br><ol><li>track; course; lane</li><li>railway; train</li></ol>
Boank	<i>noun</i><br><ol><li>bench</li><li>bank (embankment)</li><li>bank (financial institution)</li></ol>
Boare|Boaren|Boar	<i>noun</i><br><ol><li>bear</li><li>(figuratively) big person</li><li>(figuratively) strong person</li></ol>
Boark	<i>noun</i><br><ol><li>bark</li></ol>
Boarke|Boarken	<i>noun</i><br><ol><li>bark</li><li>scab</li></ol>
Boart|Boarte	<i>noun</i><br><ol><li>beard</li></ol>
Boas|Boaze	<i>noun</i><br><ol><li>supervisor, boss</li><li>perch</li></ol>
Booge	<i>noun</i><br><ol><li>bow; curve; arch</li></ol>
Boolje	<i>noun</i><br><ol><li>vessel</li></ol>
Boom|Bome	<i>noun</i><br><ol><li>tree</li></ol>
Boone	<i>noun</i><br><ol><li>bean</li></ol>
Booshaid	<i>noun</i><br><ol><li>wickedness; malice</li></ol>
Bossem|Bousem	<i>noun</i><br><ol><li>(anatomy) bosom</li></ol>
Boudem	<i>noun</i><br><ol><li>floor; ground</li></ol>
Bouk|Bouke|Bouken	<i>noun</i><br><ol><li>book</li></ol>
Bouke|Bouken	<i>noun</i><br><ol><li>beech</li></ol>
Boukstäf|Bouksteeuwe	<i>noun</i><br><ol><li>letter (written character)</li></ol>
Briese	<i>noun</i><br><ol><li>breeze</li></ol>
Bril	<i>noun</i><br><ol><li>glasses</li></ol>
Broaden	<i>noun</i><br><ol><li>A roast; roasted meat</li></ol>
Bronse	<i>noun</i><br><ol><li>bronze</li></ol>
Brood|Brode	<i>noun</i><br><ol><li>bread</li></ol>
Brouk	<i>noun</i><br><ol><li>marsh; swamp</li></ol>
Bround|Brounde	<i>noun</i><br><ol><li>fire, conflagration</li><li>(pathology) necrosis</li></ol>
Brour	<i>noun</i><br><ol><li>Strukelje form of Brúur</li></ol>
Bräienge|Brainge	<i>noun</i><br><ol><li>brain</li></ol>
Bräif|Bräive	<i>noun</i><br><ol><li>letter (written message)</li></ol>
Brääg|Brääch|Brääge|Bräge	<i>noun</i><br><ol><li>bridge</li></ol>
Bröödken	<i>noun</i><br><ol><li>bread roll; bun</li></ol>
Brúur|Bruur|Brúre	<i>noun</i><br><ol><li>(Romelse, Skäddel) brother</li></ol>
Buk|Bukke	<i>noun</i><br><ol><li>buck (male animal)</li><li>(gymnastics) buck</li></ol>
Bulle	<i>noun</i><br><ol><li>(zoology) bull; steer</li></ol>
Bulster	<i>noun</i><br><ol><li>shell; casing; husk</li></ol>
Bunke	<i>noun</i><br><ol><li>bone</li></ol>
Busk	<i>noun</i><br><ol><li>bush</li></ol>
Buuk	<i>noun</i><br><ol><li>belly; abdomen; stomach</li></ol>
Buule	<i>noun</i><br><ol><li>A boil (swelling)</li></ol>
Buutere	<i>noun</i><br><ol><li>butter</li></ol>
Buutje|Buutjene	<i>noun</i><br><ol><li>sandwich (with butter)</li></ol>
Bäiden|Bäidene	<i>noun</i><br><ol><li>(Romelse, Skäddel) child</li></ol>
Bäidenstied|Bäidenstieden	<i>noun</i><br><ol><li>childhood (time of being a child)</li></ol>
Bäie|Bäien	<i>noun</i><br><ol><li>berry</li></ol>
Bäisem	<i>noun</i><br><ol><li>broom</li></ol>
Bäist|Bäiste	<i>noun</i><br><ol><li>bull, ox (head of cattle)</li><li>yearling (calf)</li></ol>
Bäk|Bäkke	<i>noun</i><br><ol><li>mouth (of an animal); muzzle</li><li>beak</li></ol>
Bääd|Bäde	<i>noun</i><br><ol><li>bed</li></ol>
Bääsje	<i>noun</i><br><ol><li>grandmother</li></ol>
Bíerig|Bierich|Bäirch|Bíerige|Bierige	<i>noun</i><br><ol><li>mountain</li></ol>
Böie	<i>noun</i><br><ol><li>A gust of wind; squall</li></ol>
Böije|Böijen	<i>noun</i><br><ol><li>gust, flaw</li><li>short rainpour</li></ol>
Büül	<i>noun</i><br><ol><li>bag; purse; pouch</li></ol>
Dai|Dege	<i>noun</i><br><ol><li>day</li></ol>
Daks|Dakse	<i>noun</i><br><ol><li>badger</li></ol>
Dau	<i>noun</i><br><ol><li>dew</li><li>drizzle</li></ol>
Deel	<i>noun</i><br><ol><li>A part; portion; share</li></ol>
Diek	<i>noun</i><br><ol><li>An embankment of earth; dam; dike</li><li>A ditch; pond</li></ol>
Dille	<i>noun</i><br><ol><li>spout; nozzle</li><li>pipe</li></ol>
Djüpte	<i>noun</i><br><ol><li>depth</li></ol>
Doal	<i>noun</i><br><ol><li>valley; dale</li></ol>
Doarne|Doddene	<i>noun</i><br><ol><li>hornet (insect)</li></ol>
Doat	<i>noun</i><br><ol><li>deed; act; action</li></ol>
Doatseeke	<i>noun</i><br><ol><li>fact</li></ol>
Dochter	<i>noun</i><br><ol><li>daughter</li></ol>
Dokke|Dokken	<i>noun</i><br><ol><li>figurine, doll</li><li>a bundle of straw used to construct a thatched roof</li><li>skein</li><li>a measure or amount of yarn</li></ol>
Dokter|Doktere	<i>noun</i><br><ol><li>doctor</li></ol>
Dole|Dolen	<i>noun</i><br><ol><li>alpine chough (Pyrrhocorax graculus)</li><li>bowler hat</li></ol>
Dom|Domme	<i>noun</i><br><ol><li>dam</li></ol>
Dood	<i>noun</i><br><ol><li>death</li></ol>
Doodenkop|Doodenkoppe	<i>noun</i><br><ol><li>deathskull, skull and crossbones used as a sign of danger</li></ol>
Doore	<i>noun</i><br><ol><li>door</li></ol>
Douk	<i>noun</i><br><ol><li>cloth; rag</li></ol>
Drinkwoater	<i>noun</i><br><ol><li>drinkwater; drinking water</li></ol>
Droane	<i>noun</i><br><ol><li>(zoology) drone (male bee)</li></ol>
Dronk	<i>noun</i><br><ol><li>drink; potion; dose</li></ol>
Droom|Drome	<i>noun</i><br><ol><li>dream</li></ol>
Druppe|Droupe	<i>noun</i><br><ol><li>drop</li></ol>
Druuwe	<i>noun</i><br><ol><li>(botany) grape</li></ol>
Dräk	<i>noun</i><br><ol><li>dirt</li><li>filth</li></ol>
Dröizelke|Dröizelken	<i>noun</i><br><ol><li>blackbird (Turdus merula)</li></ol>
Dröömer	<i>noun</i><br><ol><li>dreamer</li></ol>
Duugde	<i>noun</i><br><ol><li>virtue; goodness</li></ol>
Duune	<i>noun</i><br><ol><li>dune, sand dune</li></ol>
Dwärch	<i>noun</i><br><ol><li>dwarf</li></ol>
Däif	<i>noun</i><br><ol><li>thief</li></ol>
Däiweräi	<i>noun</i><br><ol><li>thievery; theft</li></ol>
Díert|Díerte|Diert	<i>noun</i><br><ol><li>animal</li><li>thing, thingie</li></ol>
Dúve|Dúven	<i>noun</i><br><ol><li>dove, pigeon</li></ol>
Düvel	<i>noun</i><br><ol><li>devil</li></ol>
Düütsk	<i>noun</i><br><ol><li>German language</li></ol>
Düütsklound	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Düüwel	<i>noun</i><br><ol><li>devil</li></ol>
Eed	<i>noun</i><br><ol><li>oath</li></ol>
Eeke	<i>noun</i><br><ol><li>oak (tree)</li></ol>
Eende|Eend|Eenden	<i>noun</i><br><ol><li>end</li><li>travel distance</li></ol>
Eere	<i>noun</i><br><ol><li>honour</li></ol>
Eeuwend|Eeuende|Eeuend|Eeuwende	<i>noun</i><br><ol><li>Skäddel form of Äivend</li></ol>
Elefant|Elefante	<i>noun</i><br><ol><li>elephant</li></ol>
Estlound	<i>name</i><br><ol><li>Estonia</li></ol>
Faarich|Faargere	<i>noun</i><br><ol><li>piglet</li></ol>
Faawe	<i>noun</i><br><ol><li>colour</li></ol>
Fadder|Faddere	<i>noun</i><br><ol><li>godfather</li></ol>
Familie	<i>noun</i><br><ol><li>family</li></ol>
Fat|Fatte	<i>noun</i><br><ol><li>fat</li></ol>
Februoar	<i>noun</i><br><ol><li>February</li></ol>
Feede	<i>noun</i><br><ol><li>feud</li></ol>
Feelge	<i>noun</i><br><ol><li>The rim of a wheel; felly</li></ol>
Ferbiendenge	<i>noun</i><br><ol><li>connection; link</li></ol>
Ferbonnenge	<i>noun</i><br><ol><li>banishment, exile</li></ol>
Ferhondelenge	<i>noun</i><br><ol><li>negotiation; hearing; trial</li></ol>
Fiele	<i>noun</i><br><ol><li>file (tool)</li></ol>
Fier	<i>noun</i><br><ol><li>party</li></ol>
Fiewer|Fäiber	<i>noun</i><br><ol><li>fever</li></ol>
Finger|Fingere	<i>noun</i><br><ol><li>finger</li></ol>
Fink|Finke	<i>noun</i><br><ol><li>finch</li></ol>
Fisk|Fiske	<i>noun</i><br><ol><li>fish</li></ol>
Fiskeräi	<i>noun</i><br><ol><li>A commercial fishing operation or company.</li><li>A fishery</li></ol>
Fiskotter|Fiskottere	<i>noun</i><br><ol><li>European otter (Lutra lutra)</li></ol>
Fjauerkaant	<i>noun</i><br><ol><li>quadrangle, quadrilateral</li></ol>
Fjund|Früünd	<i>noun</i><br><ol><li>friend</li></ol>
Fjúur|Fjuur	<i>noun</i><br><ol><li>fire</li></ol>
Flaage	<i>noun</i><br><ol><li>flag</li></ol>
Flaask	<i>noun</i><br><ol><li>meat</li><li>flesh</li></ol>
Fledermúus|Fledermuze	<i>noun</i><br><ol><li>bat</li></ol>
Flee|Fleeë	<i>noun</i><br><ol><li>flea</li></ol>
Flicht	<i>noun</i><br><ol><li>duty; responsibility; obligation</li></ol>
Fliet	<i>noun</i><br><ol><li>zeal</li><li>diligence</li></ol>
Flinnerke	<i>noun</i><br><ol><li>butterfly</li></ol>
Flitterke	<i>noun</i><br><ol><li>butterfly</li></ol>
Fljooge	<i>noun</i><br><ol><li>(zoology) fly (insect)</li></ol>
Floaks	<i>noun</i><br><ol><li>flax</li></ol>
Floite|Floiten	<i>noun</i><br><ol><li>flute</li></ol>
Floor	<i>noun</i><br><ol><li>floor</li></ol>
Floud|Floude	<i>noun</i><br><ol><li>flood (flowing in of the tide)</li><li>deluge, flood (overflow of water)</li></ol>
Flöägel	<i>noun</i><br><ol><li>wing</li><li>a pick for playing a stringed instrument</li></ol>
Flüüs	<i>noun</i><br><ol><li>stream</li></ol>
Foaks|Foakse	<i>noun</i><br><ol><li>fox</li></ol>
Foaksgat|Foaksgoate	<i>noun</i><br><ol><li>foxhole (den of a fox)</li></ol>
Foan	<i>noun</i><br><ol><li>moor; bog</li></ol>
Foar|Foare	<i>noun</i><br><ol><li>father</li></ol>
Foardeel	<i>noun</i><br><ol><li>advantage</li></ol>
Foarjier	<i>noun</i><br><ol><li>spring (season)</li></ol>
Foarm	<i>noun</i><br><ol><li>form; shape; figure</li></ol>
Foarsicht	<i>noun</i><br><ol><li>caution; precaution; care</li></ol>
Foart	<i>noun</i><br><ol><li>journey; ride</li></ol>
Foarwäil	<i>noun</i><br><ol><li>A farewell</li></ol>
Fodder	<i>noun</i><br><ol><li>fodder</li></ol>
Foole	<i>noun</i><br><ol><li>(zoology) foal</li></ol>
Foone	<i>noun</i><br><ol><li>banner; standard; flag</li></ol>
Fouerke|Fouerken	<i>noun</i><br><ol><li>Strukelje form of Fúurke</li></ol>
Foulk|Foulkere	<i>noun</i><br><ol><li>people, folk</li><li>crowd, masses</li></ol>
Fout|Fäite	<i>noun</i><br><ol><li>foot</li></ol>
Foutbaal|Foutbale	<i>noun</i><br><ol><li>football, soccer</li><li>football, soccer ball</li></ol>
Frankriek	<i>name</i><br><ol><li>France (a country in Europe)</li></ol>
Froage|Froagen	<i>noun</i><br><ol><li>(proscribed) question</li></ol>
Froast	<i>noun</i><br><ol><li>(Romelse, Strukelje) frost</li></ol>
Frucht|Fruchte	<i>noun</i><br><ol><li>fruit</li><li>crop</li><li>grain</li></ol>
Fräige|Fräigen	<i>noun</i><br><ol><li>question</li></ol>
Fräindai|Fräindege	<i>noun</i><br><ol><li>Friday</li></ol>
Fräisk|Fräiske	<i>name</i><br><ol><li>East Frisian Low Saxon</li></ol>
Fräislound	<i>name</i><br><ol><li>Frisia (a region of Germany and Netherlands)</li><li>(specifically) East Frisia (a region of Germany)</li></ol>
Fründ	<i>noun</i><br><ol><li>friend</li></ol>
Früündskup|Fjundskup	<i>noun</i><br><ol><li>friendship</li><li>kinship; family</li></ol>
Fugge|Fuggen	<i>noun</i><br><ol><li>feather</li></ol>
Fuurge	<i>noun</i><br><ol><li>furrow</li></ol>
Fädder|Fäddere	<i>noun</i><br><ol><li>nephew</li><li>male cousin</li></ol>
Fäi	<i>noun</i><br><ol><li>cattle; livestock</li></ol>
Fäild|Fäildere	<i>noun</i><br><ol><li>field</li></ol>
Fäildmúus|Fäildmuze|Fäldmúus|Fäldmuze	<i>noun</i><br><ol><li>common vole (Microtus arvalis)</li></ol>
Fäind	<i>noun</i><br><ol><li>fiend; enemy; foe</li></ol>
Fäk|Feke	<i>noun</i><br><ol><li>compartment</li><li>section</li><li>subject (in school)</li></ol>
Fäste	<i>noun</i><br><ol><li>(anatomy) fist</li></ol>
Fät|Fete	<i>noun</i><br><ol><li>barrel; keg; cask; vat</li></ol>
Fääste	<i>noun</i><br><ol><li>(anatomy) Alternative form of Fäste</li></ol>
Fúgel|Fúgele|Fuugel	<i>noun</i><br><ol><li>bird</li></ol>
Fúurke|Fuurke|Fúurken	<i>noun</i><br><ol><li>(Romelse, Skäddel) pitchfork</li><li>(Romelse, Skäddel) garden fork</li></ol>
Galle	<i>noun</i><br><ol><li>gall</li><li>bile</li></ol>
Gat|Goate|Goatere	<i>noun</i><br><ol><li>hole, gap</li><li>(anatomy, vulgar) vagina</li><li>(anatomy, vulgar) arsehole</li><li>(derogatory) unclean woman</li></ol>
Gebuursdai|Gebuursdeege	<i>noun</i><br><ol><li>birthday</li></ol>
Gebuurt	<i>noun</i><br><ol><li>birth</li></ol>
Gebäd|Gebeede	<i>noun</i><br><ol><li>A prayer</li></ol>
Geet|Gete	<i>noun</i><br><ol><li>goat</li></ol>
Gefoar	<i>noun</i><br><ol><li>danger; peril</li></ol>
Geföil	<i>noun</i><br><ol><li>feeling; sentiment</li></ol>
Gesäts	<i>noun</i><br><ol><li>law</li></ol>
Gewieten	<i>noun</i><br><ol><li>conscience</li></ol>
Gjuchtkaant	<i>noun</i><br><ol><li>rectangle</li></ol>
Gloud	<i>noun</i><br><ol><li>A glowing coal or ember; a gleed</li></ol>
Glove|Gloowe	<i>noun</i><br><ol><li>faith</li><li>belief</li><li>religion</li></ol>
Glääs|Gleze	<i>noun</i><br><ol><li>glass</li></ol>
Gnoade	<i>noun</i><br><ol><li>grace; favour; kindness</li></ol>
Goabel	<i>noun</i><br><ol><li>fork (eating utensil)</li></ol>
Goang|Goange|Gong	<i>noun</i><br><ol><li>gait, way</li><li>hallway, corridor</li><li>walk, trip</li><li>course, way</li><li>path between houses</li><li>gear (of machinery)</li><li>(of a meal) course</li><li>step, stage (in a process)</li></ol>
God|Gode	<i>name</i><br><ol><li>God</li></ol><br><i>noun</i><br><ol><li>god</li></ol>
Gould	<i>noun</i><br><ol><li>gold</li></ol>
Gous|Gäisen|Gäizen|Gäize|Gäise	<i>noun</i><br><ol><li>goose</li></ol>
Greeuwer|Greeuwere	<i>noun</i><br><ol><li>digger</li><li>badger</li></ol>
Groienge	<i>noun</i><br><ol><li>flourishing; prospering; thriving; growth</li></ol>
Gruund	<i>noun</i><br><ol><li>ground</li><li>foundation</li></ol>
Grääf|Greve|Grääb|Greeuwe|Grebe	<i>noun</i><br><ol><li>grave</li></ol>
Gäddel	<i>noun</i><br><ol><li>belt</li><li>girdle</li><li>strap</li></ol>
Gäist|Gäiste	<i>noun</i><br><ol><li>ghost</li><li>spirit, enthusiasm</li></ol>
Gäize|Gäisen|Gäizen|Gäise	<i>noun</i><br><ol><li>goose</li></ol>
Gäk|Gäkke	<i>noun</i><br><ol><li>A fop; a dandy</li></ol>
Gänfer	<i>noun</i><br><ol><li>ginger</li></ol>
Gäärs	<i>noun</i><br><ol><li>grass</li></ol>
Haat|Haten	<i>noun</i><br><ol><li>heart</li></ol>
Haatenskup	<i>noun</i><br><ol><li>Hatred; hate</li></ol>
Hanne|Hannen	<i>noun</i><br><ol><li>hen</li></ol>
Hart|Harte	<i>noun</i><br><ol><li>deer</li></ol>
Hatte	<i>noun</i><br><ol><li>heat</li></ol>
Haud|Haude	<i>noun</i><br><ol><li>head</li></ol>
Hauk|Hauke	<i>noun</i><br><ol><li>hawk</li></ol>
Heede	<i>noun</i><br><ol><li>heath</li><li>(botany) heather</li></ol>
Heedelound	<i>noun</i><br><ol><li>heathland</li></ol>
Heeden	<i>noun</i><br><ol><li>heathen; pagan</li></ol>
Heem	<i>noun</i><br><ol><li>home</li></ol>
Heemat	<i>noun</i><br><ol><li>home; homeland</li></ol>
Heemel	<i>noun</i><br><ol><li>heaven; sky</li></ol>
Heer|Here|Herene	<i>noun</i><br><ol><li>army</li></ol>
Helige Jeest	<i>name</i><br><ol><li>Holy Spirit</li></ol>
Hepe|Hepen	<i>noun</i><br><ol><li>(anatomy) hip</li></ol>
Here|Herene	<i>noun</i><br><ol><li>lord, master</li></ol><br><i>name</i><br><ol><li>Lord, God</li></ol>
Hierbeend	<i>noun</i><br><ol><li>hairband</li></ol>
Hiering|Häiring	<i>noun</i><br><ol><li>herring</li></ol>
Hingst|Hingste	<i>noun</i><br><ol><li>stallion</li><li>(figuratively) sexpot, stud</li><li>(figuratively) unrestrained person</li></ol>
Hoaf|Hoave	<i>noun</i><br><ol><li>court, courtyard</li><li>farmstead</li><li>(astronomy) halo (around the Sun or Moon)</li><li>an area behind a farmhouse near the entrance gate</li><li>church, temple</li></ol>
Hoake	<i>noun</i><br><ol><li>hook</li></ol>
Hoals|Hoalze	<i>noun</i><br><ol><li>(anatomy) neck</li><li>(anatomy) throat</li></ol>
Hoamd	<i>noun</i><br><ol><li>shirt</li></ol>
Hoamp	<i>noun</i><br><ol><li>hemp</li></ol>
Hoast	<i>noun</i><br><ol><li>haste</li></ol>
Hoawen	<i>noun</i><br><ol><li>harbour; haven</li></ol>
Hoawer|Heeuwer	<i>noun</i><br><ol><li>oats</li></ol>
Hoaze|Hoase|Hoazen	<i>noun</i><br><ol><li>hare</li></ol>
Hochtied	<i>noun</i><br><ol><li>A wedding celebration</li></ol>
Hollound	<i>name</i><br><ol><li>Holland (a region of the Netherlands)</li><li>(slightly informal) the Netherlands (a country in Europe)</li></ol>
Hollounder|Hollounders	<i>noun</i><br><ol><li>Hollander, Dutchman (someone from Holland)</li></ol>
Holt	<i>noun</i><br><ol><li>wood (material)</li><li>wood (small forest)</li></ol>
Holtakster|Holtakstere	<i>noun</i><br><ol><li>jay (Garrulus glandarius)</li></ol>
Holtdúve|Holtdúven	<i>noun</i><br><ol><li>wood pigeon (Columba palumbus)</li><li>turtle dove (Streptopelia turtur)</li></ol>
Hondel	<i>noun</i><br><ol><li>business; commerce; trade</li></ol>
Hondful	<i>noun</i><br><ol><li>handful</li></ol>
Hondsel	<i>noun</i><br><ol><li>handle</li></ol>
Hondske|Handske	<i>noun</i><br><ol><li>glove</li></ol>
Hondwierk	<i>noun</i><br><ol><li>craft; handiwork</li><li>trade; business</li></ol>
Hone|Honen|Hoone	<i>noun</i><br><ol><li>cock, rooster</li><li>tap, faucet, spigot</li><li>cock, hammer (of a firearm)</li></ol>
Hoolm	<i>noun</i><br><ol><li>stalk; stem</li><li>straw; hay</li></ol>
Host	<i>noun</i><br><ol><li>cough</li></ol>
Houd	<i>noun</i><br><ol><li>hood; hat</li></ol>
Houden|Houdene	<i>noun</i><br><ol><li>(Romelse, Skäddel) horn (animal body part)</li><li>(Romelse, Skäddel) horn (musical instrument)</li></ol>
Houf|Houch|Houve	<i>noun</i><br><ol><li>hoof</li></ol>
Houk|Houke	<i>noun</i><br><ol><li>corner</li><li>neighbourhood</li><li>(geometry) angle</li></ol>
Hounde	<i>noun</i><br><ol><li>hand</li></ol>
Houngst|Hoangste|Hoangst|Houngste	<i>noun</i><br><ol><li>horse</li></ol>
Houp	<i>noun</i><br><ol><li>hoop, ring</li></ol>
Hudden|Huddene	<i>noun</i><br><ol><li>Strukelje form of Houden</li></ol>
Huunich	<i>noun</i><br><ol><li>honey</li></ol>
Häid|Häide	<i>noun</i><br><ol><li>skin</li><li>layer of fat on milk</li></ol>
Häire|Häiren	<i>noun</i><br><ol><li>Strukelje form of Híere</li></ol>
Häket|Häkete	<i>noun</i><br><ol><li>Synonym of Snouk</li></ol>
Häkse	<i>noun</i><br><ol><li>witch</li><li>hag</li></ol>
Häksenseetel	<i>noun</i><br><ol><li>A witch's cauldron</li></ol>
Häkseräi	<i>noun</i><br><ol><li>sorcery; witchcraft; magic</li></ol>
Häld	<i>noun</i><br><ol><li>hero</li></ol>
Hälle	<i>noun</i><br><ol><li>hell</li></ol>
Hälpe	<i>noun</i><br><ol><li>help; assistance; aid</li></ol>
Hälper|Hälpere	<i>noun</i><br><ol><li>helper</li></ol>
Härtsoch	<i>noun</i><br><ol><li>duke</li></ol>
Häägakster|Häägakstere	<i>noun</i><br><ol><li>jay (Garrulus glandarius)</li></ol>
Híer|Hieren|Híeren|Hiere|Hier|Híere	<i>noun</i><br><ol><li>hair</li></ol>
Híere|Hieren|Híeren|Hiere	<i>noun</i><br><ol><li>(Romelse, Skäddel) rent, lease</li></ol>
Höävel|Höävele	<i>noun</i><br><ol><li>hill</li></ol>
Höäwel	<i>noun</i><br><ol><li>hill</li></ol>
Hööft|Hööfte	<i>noun</i><br><ol><li>head</li></ol>
Hööftseeke	<i>noun</i><br><ol><li>main thing, main issue, the most important thing, priority</li></ol>
Hööftstääd	<i>noun</i><br><ol><li>capital city</li></ol>
Húund|Húunde|Huunde|Huund	<i>noun</i><br><ol><li>dog (Canis familiaris)</li></ol>
Húus|Huuse|Huus|Húze|Huuze	<i>noun</i><br><ol><li>house</li></ol>
Húusmúus|Húusmuze	<i>noun</i><br><ol><li>house mouse (Mus musculus)</li></ol>
Iedenst	<i>noun</i><br><ol><li>seriousness; gravity</li></ol>
Ieme	<i>noun</i><br><ol><li>bee (insect)</li></ol>
Iengoang|Iengong|Iengoange	<i>noun</i><br><ol><li>entrance</li><li>door opening</li></ol>
Iermful	<i>noun</i><br><ol><li>The amount one can carry in one's arms; an armful</li></ol>
Iersen	<i>noun</i><br><ol><li>iron</li></ol>
Ierwe|Äärwe	<i>noun</i><br><ol><li>inheritance</li><li>heir</li></ol>
Ies	<i>noun</i><br><ol><li>ice</li></ol>
Iesjuukel	<i>noun</i><br><ol><li>icicle</li></ol>
Irlound	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Jaacht	<i>noun</i><br><ol><li>A hunt</li></ol>
Jadder|Jaddere	<i>noun</i><br><ol><li>(Romelse) udder</li></ol>
Jader|Jadere	<i>noun</i><br><ol><li>Skäddel and Strukelje form of Jadder</li></ol>
Januoar	<i>noun</i><br><ol><li>January</li></ol>
Jeelmäsk	<i>noun</i><br><ol><li>(metal) brass</li></ol>
Jeest|Jeestere	<i>noun</i><br><ol><li>ghost</li></ol>
Jesus	<i>name</i><br><ol><li>Jesus</li></ol>
Jesus Christus	<i>name</i><br><ol><li>Jesus Christ</li></ol>
Jield|Jäild	<i>noun</i><br><ol><li>money</li></ol>
Jierhunnert	<i>noun</i><br><ol><li>century (period of 100 years)</li></ol>
Jierwe	<i>noun</i><br><ol><li>sheaf</li></ol>
Jode|Jodene	<i>noun</i><br><ol><li>Jew</li></ol>
Jood	<i>noun</i><br><ol><li>weed</li></ol>
Jool	<i>noun</i><br><ol><li>wheel</li></ol>
Judäa	<i>name</i><br><ol><li>(biblical) Judea</li></ol>
Juk	<i>noun</i><br><ol><li>yoke</li></ol>
Juukel	<i>noun</i><br><ol><li>icicle</li></ol>
Juuweel	<i>noun</i><br><ol><li>A jewel</li></ol>
Jädde	<i>noun</i><br><ol><li>switch, rod</li><li>(horse-riding) crop, whip</li></ol>
Jäiden|Jidden	<i>noun</i><br><ol><li>yarn</li></ol>
Jääst|Gääst	<i>noun</i><br><ol><li>yeast</li></ol>
Jíer|Jiere|Jier|Jíere	<i>noun</i><br><ol><li>year</li></ol>
Jíerhundert|Jíerhunderte	<i>noun</i><br><ol><li>century</li></ol>
Jöäde|Jöädene	<i>noun</i><br><ol><li>Jew</li></ol>
Kalium	<i>noun</i><br><ol><li>potassium</li></ol>
Kanada	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
