Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
Nobyembre	<i>name</i><br><ol><li>November</li></ol>
Ocampo	<i>name</i><br><ol><li>A municipality of Camarines Sur, Philippines.</li></ol>
Oktubre	<i>name</i><br><ol><li>October</li></ol>
Pasko	<i>name</i><br><ol><li>Christmas</li></ol><br><i>verb</i><br><ol><li>to give or ask for a Christmas gift.</li></ol>
Pebrero	<i>name</i><br><ol><li>February</li></ol>
Pili	<i>name</i><br><ol><li>the provincial capital of the province of Camarines Sur in Bicol Region, Philippines.</li></ol>
Rapu-Rapu	<i>name</i><br><ol><li>One of the islands of An island chain in Albay, Philippines.</li><li>A municipality of Albay, Philippines.</li></ol>
Sabadista	<i>noun</i><br><ol><li>a Seventh-day Adventist</li></ol>
Sabado	<i>noun</i><br><ol><li>Saturday</li></ol>
San Miguel	<i>name</i><br><ol><li>One of the islands of An island chain in Albay, Philippines.</li></ol>
Septiyembre|Septyembre|Setyembre|Setiyembre	<i>name</i><br><ol><li>September</li></ol>
Siruma	<i>name</i><br><ol><li>A municipality of Camarines Sur, Philippines.</li></ol>
Sogod	<i>name</i><br><ol><li>a barangay in Bacacay, Albay in the Philippines.</li></ol>
Sorsogon	<i>name</i><br><ol><li>Sorsogon (a province in the Bicol Peninsula Philippines)</li><li>Sorsogon City (a city, the provincial capital of Sorsogon, Philippines)</li></ol>
Sur-subangan na Asya	<i>name</i><br><ol><li>Southeast Asia</li></ol>
Tabaco	<i>name</i><br><ol><li>a component city in the province of Albay, Philippines.</li></ol>
Tara Kagurangnan Maria	<i>noun</i><br><ol><li>(Christianity) Hail Mary</li></ol>
Ticao	<i>name</i><br><ol><li>one of the three major islands of the province of Masbate</li></ol>
Tiwi	<i>name</i><br><ol><li>A municipality of Albay, Philippines.</li></ol>
Wikipedya	<i>name</i><br><ol><li>Wikipedia</li></ol>
Wiksyunaryo	<i>noun</i><br><ol><li>Wiktionary</li></ol>
abaga	<i>noun</i><br><ol><li>(anatomy) shoulder</li></ol>
aban-aban|abán-abán	<i>adv</i><br><ol><li>(Partido) later; shortly</li><li>(Partido) in a while; momentarily</li></ol>
abang	<i>noun</i><br><ol><li>act or manner of watching for, awaiting</li></ol>
abaniko	<i>noun</i><br><ol><li>hand fan</li></ol>
abay|abáy|ábay	<i>verb</i><br><ol><li>to do something together</li><li>to accompany; to usher</li></ol><br><i>noun</i><br><ol><li>waistband</li><li>sash</li><li>belt</li></ol>
abayan|abáyan	<i>noun</i><br><ol><li>(Naga, anatomy) waist</li><li>(Naga) waistline</li></ol><br><i>verb</i><br><ol><li>to place a sash, waistband around</li><li>to accompany</li></ol>
abo|ábo|abó	<i>noun</i><br><ol><li>ash (the solid remains of a fire), cinder</li><li>tephra; volcanic ash</li><li>(color) grey</li><li>cough</li><li>the tigertooth croaker (Otolithes ruber)</li></ol>
abogado	<i>noun</i><br><ol><li>lawyer; attorney</li></ol>
abrasa	<i>noun</i><br><ol><li>handshake</li></ol>
abri|abrí	<i>adj</i><br><ol><li>open</li></ol>
adal	<i>verb</i><br><ol><li>To study.</li></ol>
adalan	<i>verb</i><br><ol><li>to study</li></ol>
adalon	<i>verb</i><br><ol><li>to study something</li></ol>
adres|adrés	<i>noun</i><br><ol><li>address</li></ol>
adyi|adyî	<i>verb</i><br><ol><li>(literary) to pray</li></ol>
aga|ága	<i>noun</i><br><ol><li>morning</li></ol>
agagha	<i>noun</i><br><ol><li>wail</li><li>sigh</li></ol>
agap	<i>noun</i><br><ol><li>help</li></ol>
agda|agdá	<i>verb</i><br><ol><li>to invite</li></ol>
agi|ági	<i>noun</i><br><ol><li>tracks (of a footprint), prints (as of "fingerprints)</li><li>line (drawn by a pen(cil))</li><li>direction</li></ol>
agihan|agihán|agíhan	<i>noun</i><br><ol><li>(narrow) path; road; trail; way</li></ol><br><i>verb</i><br><ol><li>to pass by, through, over</li></ol>
agil	<i>adj</i><br><ol><li>withered</li></ol>
agimadmad	<i>noun</i><br><ol><li>consciousness</li></ol>
agod	<i>noun</i><br><ol><li>a lug; a haul</li></ol>
agom|agóm	<i>noun</i><br><ol><li>spouse</li></ol>
agomon|agumon	<i>verb</i><br><ol><li>to marry</li></ol>
agrangay	<i>noun</i><br><ol><li>groan</li><li>complaint</li></ol>
agrutong	<i>noun</i><br><ol><li>groan</li></ol>
agwa|ágwa	<i>noun</i><br><ol><li>water (only used in certain expression)</li></ol>
agyat	<i>noun</i><br><ol><li>persuasion</li></ol>
ahedres	<i>noun</i><br><ol><li>(dated) chess</li></ol>
ahit	<i>noun</i><br><ol><li>shave</li></ol>
ahiton	<i>verb</i><br><ol><li>to shave</li></ol>
akbay	<i>noun</i><br><ol><li>(Naga) act or manner of placing one's arm over another's shoulder</li></ol>
akbayan	<i>verb</i><br><ol><li>(Naga) to place one's arm over another's shoulder</li></ol>
akboy	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) act or manner of placing one's arm over another's shoulder</li></ol>
akboyan	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to place one's arm over another's shoulder</li></ol>
aki|akì	<i>noun</i><br><ol><li>child; kid</li><li>(by extension) baby; infant</li></ol><br><i>adj</i><br><ol><li>young; junior</li></ol>
akit	<i>adj</i><br><ol><li>greedy</li></ol>
ako|akó|akò	<i>pron</i><br><ol><li>I; me (first-person singular pronoun)</li></ol><br><i>verb</i><br><ol><li>to accept; to admit</li></ol>
ako si	<i>phrase</i><br><ol><li>my name is</li></ol>
akos	<i>noun</i><br><ol><li>(dialectal) child; kid</li><li>(dialectal, by extension) baby; infant</li></ol><br><i>adj</i><br><ol><li>(dialectal) young; junior</li></ol>
aksidente	<i>noun</i><br><ol><li>accident; mishap</li></ol>
alagaag	<i>noun</i><br><ol><li>dawn; daybreak</li></ol>
alagad	<i>conj</i><br><ol><li>but; however; yet</li></ol>
alamag	<i>noun</i><br><ol><li>mold</li><li>fungus</li></ol>
alamat	<i>noun</i><br><ol><li>myth; legend</li></ol>
alang|aláng	<i>adj</i><br><ol><li>(Naga) dry; arid</li></ol><br><i>noun</i><br><ol><li>dried fish</li></ol>
alangan|alangá	<i>adj</i><br><ol><li>awkward; out of place</li><li>hesitant</li></ol>
alapaap|alupuop	<i>noun</i><br><ol><li>cloud (covering the mountains)</li></ol>
alat	<i>noun</i><br><ol><li>Nonstandard form of halat.</li></ol>
aldaw|aldáw	<i>noun</i><br><ol><li>(astronomy) day (rotational period of a planet especially Earth)</li><li>daytime</li><li>(astronomy, Daet, Partido, Tabaco–Legazpi–Sorsogon) sun</li></ol>
aldaw nin pagkamoot	<i>name</i><br><ol><li>Saint Valentine's Day</li></ol>
aldawan	<i>adv</i><br><ol><li>daily</li></ol>
algodon|algodón	<i>noun</i><br><ol><li>cotton</li></ol>
alibangbang	<i>noun</i><br><ol><li>(Naga) dragonfly</li><li>(dialectal) butterfly</li></ol>
alimagyo	<i>noun</i><br><ol><li>(angry register) typhoon; storm</li></ol>
alimantak|alimántak	<i>noun</i><br><ol><li>(anatomy, vulgar, angry register) head</li></ol>
alimbubuyog|alimbubúyog	<i>noun</i><br><ol><li>bumblebee</li></ol>
alinawnaw|alinawnáw	<i>noun</i><br><ol><li>(anatomy) pupil (of the eye)</li></ol>
alintak|alíntak	<i>noun</i><br><ol><li>(anatomy, vulgar, angry register) head</li></ol>
alintataw|kalintataw|kalintatáw|alintatáw	<i>noun</i><br><ol><li>(anatomy) pupil (of the eye)</li></ol>
alipuros|alipúros	<i>noun</i><br><ol><li>cyclone; tornado; whirlwind</li></ol>
alisngaw|alisngáw	<i>noun</i><br><ol><li>vapor</li></ol>
aliwalas	<i>adj</i><br><ol><li>neglectful</li></ol>
alkila	<i>noun</i><br><ol><li>rent, lease</li></ol>
alok|alók	<i>verb</i><br><ol><li>to invite</li></ol>
alon	<i>noun</i><br><ol><li>(Naga) wave; undulation</li></ol>
aloy|áloy|alóy	<i>adj</i><br><ol><li>Nonstandard form of haloy.</li></ol>
alpabeto	<i>noun</i><br><ol><li>alphabet</li></ol>
alpog|alpóg	<i>noun</i><br><ol><li>dust</li></ol>
alpombra	<i>noun</i><br><ol><li>carpet</li></ol>
alsa	<i>noun</i><br><ol><li>raise; lift; hoist</li></ol>
alsom|alsóm	<i>noun</i><br><ol><li>sourness</li></ol>
aluhipan	<i>noun</i><br><ol><li>(Naga) centipede</li></ol>
alumaad|alumáad	<i>noun</i><br><ol><li>damp; moist</li></ol>
ama|ina|inâ|amâ	<i>noun</i><br><ol><li>father</li></ol>
amaon|amàon|inaon|inàon	<i>noun</i><br><ol><li>uncle</li></ol>
amay	<i>adj</i><br><ol><li>(Naga) early (occurring in advance)</li></ol><br><i>adv</i><br><ol><li>(Naga) early (occurring before expected)</li></ol>
amayon|amáyon	<i>adj</i><br><ol><li>(Naga) intensified form of amay</li></ol>
ambag|ambág	<i>noun</i><br><ol><li>contribution</li></ol>
ambon|ambón	<i>noun</i><br><ol><li>fog; mist; haze</li><li>(Naga) dew</li></ol>
amigo	<i>noun</i><br><ol><li>friend</li></ol>
amihan	<i>noun</i><br><ol><li>north</li></ol>
amihanan	<i>noun</i><br><ol><li>northeast monsoon</li></ol>
amo|ámo|amô|among	<i>noun</i><br><ol><li>master; boss</li><li>pet owner; caretaker (of an animal)</li><li>(Naga) monkey</li></ol>
amotong	<i>noun</i><br><ol><li>lockdown</li></ol>
ampas	<i>noun</i><br><ol><li>cliff</li></ol>
ampol|ampól	<i>noun</i><br><ol><li>fleshy, apple-shaped growth inside a germinating coconut fruit</li></ol>
amutong	<i>noun</i><br><ol><li>lockdown</li></ol>
amyo	<i>noun</i><br><ol><li>smell; odor</li></ol>
an|'an|ang	<i>particle</i><br><ol><li>direct marker for all general nouns other than personal proper nouns</li></ol><br><i>pron</i><br><ol><li>Clipping of iyan.</li></ol>
anahaw	<i>noun</i><br><ol><li>the round-leaf fountain palm (Saribus rotundifolius)</li></ol>
anas	<i>adj</i><br><ol><li>all, everything</li></ol>
anas-anas	<i>adv</i><br><ol><li>all in all</li></ol>
anay	<i>noun</i><br><ol><li>termite</li></ol>
anayon	<i>noun</i><br><ol><li>sow (female pig)</li></ol>
andam	<i>adj</i><br><ol><li>prepared; ready; equipped</li></ol>
anga|angá	<i>verb</i><br><ol><li>(literary) to depend on</li></ol>
angas|angás	<i>noun</i><br><ol><li>receding hairline</li></ol>
anggot|anggót	<i>adj</i><br><ol><li>(Naga) angry</li></ol>
anggotan|anggutan	<i>verb</i><br><ol><li>(Naga) to berate; to scold</li></ol>
anggoton|angguton	<i>adj</i><br><ol><li>(Naga) intensified form of anggot</li></ol>
anghit	<i>noun</i><br><ol><li>smell or odor of a goat</li><li>(by extension) body odor (of armpits)</li></ol>
angog	<i>noun</i><br><ol><li>(anatomy) forehead</li></ol>
angtod|antod|antód	<i>noun</i><br><ol><li>odor of anything getting burned</li></ol>
aninipot|aninipót	<i>noun</i><br><ol><li>firefly</li></ol>
anino	<i>noun</i><br><ol><li>shadow</li></ol>
anion|aníon|ani-on	<i>adv</i><br><ol><li>(formal, location) over here (both near the speaker and the listener)</li></ol>
anira	<i>noun</i><br><ol><li>honeycomb</li></ol>
anit|ánit	<i>noun</i><br><ol><li>animal skin</li><li>leather</li></ol>
ano	<i>pron</i><br><ol><li>(interrogative) what</li></ol>
anod	<i>noun</i><br><ol><li>drift; bobbing on the surface of the water</li></ol>
anom|anóm	<i>num</i><br><ol><li>six</li></ol>
anom na pulo|anóm na pulò	<i>num</i><br><ol><li>sixty</li></ol>
anoy|áloy|aloy	<i>noun</i><br><ol><li>termite</li></ol>
ansyas	<i>noun</i><br><ol><li>fighting stance</li></ol>
apa	<i>noun</i><br><ol><li>ice cream cone</li></ol>
apat|apát	<i>num</i><br><ol><li>four</li></ol>
apat na pulo|apát na pulò	<i>num</i><br><ol><li>forty</li></ol>
apdo|apdó	<i>noun</i><br><ol><li>gall; bile</li><li>(anatomy) gall bladder</li></ol>
apelyido	<i>noun</i><br><ol><li>surname</li></ol>
apisiyonado	<i>noun</i><br><ol><li>amateur; apprentice; novice</li></ol>
apo|apò	<i>noun</i><br><ol><li>ancestor, forefather, progenitor</li><li>goblin</li></ol>
apod|apód	<i>noun</i><br><ol><li>call, summoning</li><li>draft</li><li>way something is called</li></ol>
apog|apóg	<i>noun</i><br><ol><li>(chemistry) lime</li></ol>
apon|apón	<i>noun</i><br><ol><li>(Naga) manner of throwing away, disposing and/or discarding</li></ol>
apos|após	<i>noun</i><br><ol><li>cigarette butt</li></ol>
aprobado	<i>adj</i><br><ol><li>approved; confirmed</li></ol>
apura	<i>verb</i><br><ol><li>to hurry; to hasten; to rush</li></ol>
ara|arà	<i>noun</i><br><ol><li>envy; jealousy</li></ol>
arado	<i>noun</i><br><ol><li>plough</li></ol>
aradohon	<i>verb</i><br><ol><li>to plough</li></ol>
arak	<i>noun</i><br><ol><li>wine, liquor, alcoholic beverage</li></ol>
arakaak|ngarakngak	<i>noun</i><br><ol><li>a cackle</li><li>a guffaw.</li></ol>
aram	<i>verb</i><br><ol><li>to know</li></ol>
aram daw nindo	<i>phrase</i><br><ol><li>do you know? (plural)</li></ol>
aram mo daw	<i>phrase</i><br><ol><li>do you know? (singular)</li></ol>
arang|aráng	<i>verb</i><br><ol><li>to pray for</li><li>to hope; to expect</li></ol>
aray|aráy	<i>intj</i><br><ol><li>ouch</li></ol><br><i>verb</i><br><ol><li>to ache</li></ol>
arikurong|arikuróng	<i>noun</i><br><ol><li>eggshell</li></ol>
arin|arín	<i>pron</i><br><ol><li>(interrogative) which</li></ol>
ariw	<i>noun</i><br><ol><li>soot</li></ol>
arkitekto	<i>noun</i><br><ol><li>architect</li></ol>
aro-aldaw	<i>adj</i><br><ol><li>everyday</li></ol>
aro-atyan	<i>adv</i><br><ol><li>(Naga) in a while; momentarily</li></ol>
arog	<i>adj</i><br><ol><li>similar; like</li></ol><br><i>noun</i><br><ol><li>simulation; imitation; mimicry</li></ol>
arong|árong	<i>noun</i><br><ol><li>mole (dark spot on the skin)</li><li>Nonstandard form of harong.</li></ol>
arpa	<i>noun</i><br><ol><li>harp (musical instrument)</li></ol>
arsobispo	<i>noun</i><br><ol><li>(Christianity) archbishop</li></ol>
asa	<i>verb</i><br><ol><li>to hope; to expect</li></ol>
asada	<i>noun</i><br><ol><li>(agricultural tool) hoe</li></ol>
asadol|asadól	<i>noun</i><br><ol><li>(agricultural tool) hoe</li></ol>
asang	<i>noun</i><br><ol><li>gills (of a fish)</li></ol>
asbp.	<i>phrase</i><br><ol><li>Etc.; and the rest; and so forth.</li></ol>
asgad|asgád|askad	<i>noun</i><br><ol><li>saltiness</li></ol>
asin|asín	<i>noun</i><br><ol><li>salt</li></ol><br><i>conj</i><br><ol><li>(formal, literary) and</li></ol>
asin iba pa	<i>phrase</i><br><ol><li>and so forth, and so on</li></ol>
aso|asó	<i>noun</i><br><ol><li>smoke; fume</li></ol>
asog|asóg	<i>noun</i><br><ol><li>(historical) in pre-colonial Bicol; an effeminate man, who functions as a village priestess or medium</li></ol>
asukar	<i>noun</i><br><ol><li>sugar</li></ol>
asul	<i>adj</i><br><ol><li>(color) blue</li></ol><br><i>noun</i><br><ol><li>(color) blue</li></ol>
asungot	<i>noun</i><br><ol><li>nuisance</li><li>pest</li></ol>
aswang	<i>noun</i><br><ol><li>(folklore) aswang (shapeshifting evil creature in Philippine mythology)</li></ol>
at	<i>conj</i><br><ol><li>(Daet) and</li></ol>
ata|atà|atá	<i>noun</i><br><ol><li>rice bran</li></ol><br><i>intj</i><br><ol><li>(Naga) I told you already!</li></ol><br><i>adv</i><br><ol><li>perhaps</li></ol>
atab	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) early (occurring in advance)</li></ol><br><i>adv</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) early (occurring before expected)</li></ol>
atabon|atábon	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) intensified form of atab</li></ol>
atake	<i>noun</i><br><ol><li>attack</li></ol>
ataman	<i>noun</i><br><ol><li>pet</li><li>manner of taking care of something or someone</li><li>(dated) servant</li></ol>
atamanon	<i>verb</i><br><ol><li>to pet</li><li>to take care</li></ol>
ati|atí|atî	<i>noun</i><br><ol><li>low tide</li><li>act of boiling off</li><li>dirt, stain on clothes and on skin</li></ol>
atian	<i>verb</i><br><ol><li>to dirty; to soil</li></ol>
atibagros|tibagros	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) dragonfly</li></ol>
atibangaw	<i>noun</i><br><ol><li>horsefly; botfly</li></ol>
atipil|atipíl	<i>noun</i><br><ol><li>mouse trap</li></ol>
atis	<i>noun</i><br><ol><li>sugar apple (Annona squamosa)</li></ol>
atitiras|atitìras|titìras|titiras	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) caterpillar</li></ol>
atol	<i>noun</i><br><ol><li>(Naga) snail</li></ol>
atop|atóp	<i>noun</i><br><ol><li>roof; thatch</li></ol>
atot|atót	<i>noun</i><br><ol><li>fart; flatulence</li></ol>
atsay|atsóy|atsáy|atsoy	<i>noun</i><br><ol><li>(informal) female servant</li></ol>
atsoy|atsóy|atsáy|atsay	<i>noun</i><br><ol><li>(informal) male servant</li></ol>
atubang	<i>noun</i><br><ol><li>manner of facing on a position</li></ol>
atubangan	<i>noun</i><br><ol><li>front</li><li>facade</li></ol>
atubangon	<i>verb</i><br><ol><li>to face on a position</li></ol>
atyan|atsan|atyán|atsán	<i>adv</i><br><ol><li>(Naga) later; shortly</li></ol>
awas	<i>noun</i><br><ol><li>(medicine) hemorrhage</li></ol>
awat	<i>noun</i><br><ol><li>abaca fibre</li></ol>
awit	<i>noun</i><br><ol><li>song</li></ol>
awot	<i>noun</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon, botany) grass, weed</li></ol>
awot-dagat	<i>noun</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) seaweed</li></ol>
awsente	<i>adj</i><br><ol><li>(rare) absent</li></ol>
awtor|awtór	<i>noun</i><br><ol><li>author; writer</li></ol>
awtoridad	<i>noun</i><br><ol><li>authority</li></ol>
ayaay	<i>noun</i><br><ol><li>neap tide</li></ol>
ayam	<i>noun</i><br><ol><li>dog</li></ol>
ayon	<i>adj</i><br><ol><li>joined; included; implicated</li></ol>
ayuda	<i>noun</i><br><ol><li>aid, help</li><li>assistance</li></ol>
baad	<i>adv</i><br><ol><li>Clipping of tibaad.</li></ol>
baak|báak	<i>noun</i><br><ol><li>crevice</li></ol>
baba|babâ|babà	<i>noun</i><br><ol><li>shortness, lowness (based on height)</li><li>(dialectal) bottom; below</li><li>descent</li><li>disembark</li><li>downstairs</li><li>decrease; lowering of quantity or measurement</li><li>(anatomy) chin</li><li>(Tabaco–Legazpi–Sorsogon, slang) loved one</li></ol>
babaknit	<i>noun</i><br><ol><li>(angry register) a woman; a female human</li></ol>
babaw	<i>noun</i><br><ol><li>shallowness</li><li>(archaic) top, above</li></ol>
babayi	<i>noun</i><br><ol><li>a woman; a female human</li></ol>
babayinhon	<i>adj</i><br><ol><li>(usually derogatory) An effeminate man</li></ol>
baboy	<i>noun</i><br><ol><li>wild boar</li></ol>
badag	<i>noun</i><br><ol><li>act of destroying something by throwing down with force</li></ol>
badas	<i>noun</i><br><ol><li>a hit with a whip</li></ol>
badat|badát	<i>adj</i><br><ol><li>full; unable to eat anymore</li><li>(angry register) pregnant</li></ol>
badil|badíl	<i>noun</i><br><ol><li>gun</li></ol>
bading	<i>noun</i><br><ol><li>(derogatory) An effeminate man</li><li>(offensive) A gay male</li></ol>
bado|badò	<i>noun</i><br><ol><li>clothes; apparel; outfit; dress; garment</li><li>act of dressing (on another person)</li></ol>
bados|badós	<i>adj</i><br><ol><li>pregnant</li></ol>
badosan|badusan	<i>verb</i><br><ol><li>to impregnate</li></ol>
baduan|badúan	<i>verb</i><br><ol><li>to dress (on another person)</li></ol>
bag-o	<i>adj</i><br><ol><li>(Partido, Sorsogon) new</li></ol><br><i>verb</i><br><ol><li>(Partido, Sorsogon) to change</li></ol>
