'-d-š	<i>root</i><br><ol><li>Related to newness.</li></ol>
awīlum|𒀀𒉿𒇴|awīl|awīlim|a-wi-lam|𒀀𒉿𒇷𒅔|𒀀𒉿𒇻|a-wi-lum|awīlû|awilê|awīlīn|𒀀𒉿𒅋|a-wi-lim|𒀀𒉿𒅆|𒀀𒉿𒇷|𒀀𒉿𒆷𒀭|awīlam|awīlān|𒀀𒉿𒈝	<i>noun</i><br><ol><li>man</li><li>human being</li><li>person, one</li><li>free citizen</li></ol>
ayyalum|ayyalū	<i>noun</i><br><ol><li>stag, deer</li></ol>
ayyum|ayyūtum|ayyātum|ayyītum	<i>adj</i><br><ol><li>(interrogative) which</li></ol>
ayyīkiam	<i>adv</i><br><ol><li>where</li></ol>
ašrum|ašrū|ašrātum|ašar	<i>noun</i><br><ol><li>place, site, location, setting, locale</li><li>country, region, city, building</li></ol>
aššatum|aššātum|aššat	<i>noun</i><br><ol><li>wife</li></ol>
aḫum|aḫi|aḫā|aḫ|aḫī|aḫḫū|aḫū	<i>noun</i><br><ol><li>brother</li><li>colleague, associate</li><li>(correlative) one another, one… the other…</li><li>arm</li><li>side of a human, flank of animal, wing of an army</li><li>bank, shore, side or edge of a river</li><li>arm or handle of an instrument</li><li>sleeve or arm-hole</li><li>(first) half</li></ol>
aḫûm|aḫiātum|aḫû|aḫītum|aḫûtum	<i>adj</i><br><ol><li>foreign, outsider, alien</li><li>hostile</li><li>unusual, strange, abnormal</li><li>additional, extraordinary</li></ol><br><i>noun</i><br><ol><li>stranger, foreigner, outsider</li></ol>
aḫātum|aḫḫātum	<i>noun</i><br><ol><li>sister</li></ol>
balāṭum|𒅁𒇻𒁕|𒉌𒅁𒇻𒌓|𒄿𒁀𒀠𒇻𒌅|lubluṭ|𒋫𒁀𒀠𒇻𒌓|𒋫𒁀𒀠𒇻𒁕|𒋫𒀊𒇻𒁕|buluṭ|𒁍𒇻𒌓|𒅁𒇻𒌅|tabluṭ|𒅁𒋫𒇻𒌓|i nibluṭ|𒅁𒋫𒀠𒌅|taballuṭā|𒇷𒅁𒇻𒌅|libluṭū|iballuṭ|𒁀𒇷𒌅𒌝|ibtaluṭ|𒅁𒇻𒌓|𒋫𒀊𒋫𒀠𒁲|𒇷𒅁𒇻𒌓|taballuṭ|𒉌𒅁𒋫𒇻𒌓|tabtalṭā|tabluṭī|aballuṭ|𒀀𒀊𒋫𒇻𒌓|𒀀𒀊𒇻𒌓|tabtaluṭ|𒄿𒁀𒀠𒇻𒁕|libluṭā|𒋫𒁀𒀠𒇻𒁲|𒋫𒀊𒇻𒁲|iballuṭū|𒋫𒀊𒋫𒀠𒁕|nibluṭ|ibluṭā|𒁀𒀠𒌅𒌝|abtaluṭ|𒁍𒌌𒁲|tabluṭā|𒇷𒅁𒇻𒁕|nibtaluṭ|ibluṭ|ibtalṭū|ibluṭū|𒅁𒋫𒀠𒁕|𒁀𒆷𒌅𒌝|ibtalṭā|taballuṭī|𒋫𒀊𒋫𒇻𒌓|niballuṭ|abluṭ|𒁍𒌌𒁕|bāliṭum|tabtalṭī|𒉌𒁀𒀠𒇻𒌓|libluṭ|bulṭā|iballuṭā|𒇻𒌒𒇻𒌓|𒋫𒀊𒇻𒌓|bulṭī|𒄿𒁀𒀠𒇻𒌓|𒄿𒉌𒅁𒇻𒌓|balṭum|𒀀𒁀𒀠𒇻𒌓	<i>noun</i><br><ol><li>life, vigor, good health</li><li>life, lifetime</li></ol><br><i>verb</i><br><ol><li>to live, be alive, be healthy</li><li>to get well, recover</li></ol>
banûm|tabannî|𒇷𒅁𒉌𒀀|𒇻𒌒𒉌|𒉌𒁀𒀭𒉌|𒅁𒋫𒉌|𒀀𒀊𒉌|abanni|𒋫𒀊𒋫𒉌𒀀|𒅁𒉌𒀀|𒀀𒀊𒋫𒉌|𒄿𒉌𒅁𒉌|ibanni|𒋫𒁀𒀭𒉌𒀀|tabanni|𒄿𒁀𒀭𒉡|ibannû|tabanniā|bānûm|abtani|𒋫𒁀𒀭𒉌|nibanni|𒋫𒀊𒉌|𒅁𒋫𒉌𒀀|libnû|𒄿𒁀𒀭𒉌𒀀|𒁀𒉡𒌝|ibtani|libni|bini|𒋫𒀊𒉌𒀀|tabtaniā|𒇷𒅁𒉌|tabtani|𒅁𒉌|𒉌𒅁𒉌|tabni|nibni|𒀀𒁀𒀭𒉌|𒄿𒁀𒀭𒉌|i nibni|nibtani|𒁉𒉌|𒁉𒉌𒀀|binî|𒅁𒋫𒉡|ibtaniā|abni|ibni|𒅁𒉡|𒇷𒅁𒉡|𒋫𒀊𒋫𒉌|ibtanû|tabnî|ibnû|lubni|𒉌𒅁𒋫𒉌|ibanniā|ibniā|libniā|biniā|tabtanî|tabniā	<i>verb</i><br><ol><li>to build, construct, form, make, manufacture</li><li>to create (said of deity)</li></ol>
barbarum|barbarū	<i>noun</i><br><ol><li>wolf</li><li>(Standard Babylonian, astronomy, with determiner 𒀯) the name of one of the twelve stars of Enlil</li></ol>
bibbulum|bubbulum	<i>noun</i><br><ol><li>flood</li><li>day of the disappearance of the moon (the 28th or 29th of the month)</li></ol>
bibbum	<i>noun</i><br><ol><li>wild sheep</li><li>(with determinative 𒀯 or 𒀭) planet, star (sometimes referring to specific planets, probably Mercury or Saturn)</li><li>plague</li></ol>
birkum|birki|birka|birkū	<i>noun</i><br><ol><li>knee</li><li>lap</li><li>euphemism for male or female genitals</li></ol>
birqum|birqū	<i>noun</i><br><ol><li>lightning</li><li>lightning bolt, thunderbolt (representation of a lightning)</li></ol>
biṣṣūrum|biṣṣūrū	<i>noun</i><br><ol><li>(anatomy) vulva or vagina</li></ol>
burāšum	<i>noun</i><br><ol><li>a tree of the cypress family, most likely a juniper</li></ol>
bābum|bābātum|bābū	<i>noun</i><br><ol><li>door, gate, opening</li><li>city quarter</li></ol>
bāṣum	<i>noun</i><br><ol><li>sand</li></ol>
bēl lā ilim|bēlū lā ilim	<i>noun</i><br><ol><li>unhappy person</li></ol>
bēltum|bēltīn|bēltim|𒁁𒇷𒌈|𒁁𒂖𒁴|𒁁𒂖𒌈|bēlētum|𒁁𒇷𒀉|bēltam|bēltān|𒁁𒂖𒋫𒀭|bēlētim|bēlet|𒁁𒇷𒁴|𒁁𒂖𒋾𒅔|𒁁𒂖𒌓	<i>noun</i><br><ol><li>lady, mistress</li><li>female owner</li></ol>
bēlum|𒁁𒇷𒅔|bēli|bēl|𒁁𒆷𒀭|𒁁𒇻|𒁁𒅆|bēlān|bēlim|𒁁𒂖|𒁁𒈝|𒁁𒇷|bēlī|bēlam|𒁁𒇴|bēlīn|bēlū	<i>noun</i><br><ol><li>lord</li><li>proprietor, owner</li><li>Bel, a Babylonian deity related to the Semitic Baal</li><li>An epithet of other deities, particularly Marduk</li></ol>
bīt ilim|bītāt ilānī	<i>noun</i><br><ol><li>temple</li></ol>
bīt ṭuppim|bīt ṭuppātim|Neo-Assyrian|Neo-Babylonian|Assyrian	<i>noun</i><br><ol><li>school</li><li>archive room</li></ol>
bītum|bītātum	<i>noun</i><br><ol><li>house</li><li>palace</li><li>temple</li><li>family, tribe, household</li></ol>
būdum|būdi|būd|būdān	<i>noun</i><br><ol><li>shoulder (region between shoulders including the neck of both humans and animals)</li></ol>
būrum|būrū|Assyrian	<i>noun</i><br><ol><li>young calf (of either sex)</li><li>foal, kid (the young of quadrupeds)</li></ol>
daltum|𒁕𒀠𒋾𒅔|𒁕𒆷𒌈|𒁕𒆷𒁴|daltān|𒁕𒀠𒁴|daltīn|dalātim|𒁕𒀠𒌓|𒁕𒆷𒀜|𒁕𒀠𒋫𒀭|daltam|dalat|𒁕𒀠𒌈|dalātum|daltim	<i>noun</i><br><ol><li>door</li></ol>
damqum|damqūtum|damqātum|damiqtum	<i>adj</i><br><ol><li>good, fine (of good quality)</li><li>pretty, handsome, beautiful, fair, nice, shapely, comely, cute, bonny, chick, elegant, glamorous</li><li>fortunate, happy, lucky, favourable, well-off, well-to-do</li><li>noble, aristocrat</li><li>benevolent, kind, genteel, benign, chivalrous</li><li>able-bodied, qualified, capable, skilled</li></ol>
