Ala	<i>name</i><br><ol><li>God</li></ol>
bange	<i>noun</i><br><ol><li>birth, birthing</li></ol><br><i>verb</i><br><ol><li>to give birth, engender</li><li>to be born</li><li>to appear</li><li>to provoke, cause</li></ol>
banji	<i>noun</i><br><ol><li>palm wine</li></ol>
baradaa	<i>noun</i><br><ol><li>kettle, teapot</li></ol>
baranda	<i>noun</i><br><ol><li>plantain</li></ol>
barika	<i>noun</i><br><ol><li>strength</li></ol>
base	<i>noun</i><br><ol><li>a bush taxi, a common type of public transit</li></ol>
bawo	<i>conj</i><br><ol><li>because of</li></ol>
bawɔlɔ	<i>noun</i><br><ol><li>Egyptian goose (Alopochen aegyptiaca)</li></ol>
bere	<i>noun</i><br><ol><li>a stick</li></ol>
bi	<i>noun</i><br><ol><li>today</li></ol>
bilali	<i>noun</i><br><ol><li>mat</li></ol>
binkannikɛla	<i>noun</i><br><ol><li>bandit, robber</li></ol>
bintu	<i>noun</i><br><ol><li>savannah</li></ol>
biɲɛ	<i>noun</i><br><ol><li>horn</li><li>(anatomy) liver</li></ol>
biɲɛkisɛ	<i>noun</i><br><ol><li>arrow</li></ol>
bolo	<i>noun</i><br><ol><li>(anatomy) arm, hand</li></ol>
boloci	<i>noun</i><br><ol><li>vaccination</li></ol><br><i>verb</i><br><ol><li>(transitive) to vaccinate</li></ol>
bolofɛn	<i>noun</i><br><ol><li>possessions</li></ol>
bolokala	<i>noun</i><br><ol><li>(Anatomy) arm</li></ol>
bolokoli	<i>noun</i><br><ol><li>circumcision</li></ol>
bolokolon	<i>adj</i><br><ol><li>poor, destitute, needful</li></ol>
bolokurun	<i>noun</i><br><ol><li>(anatomy) fist</li></ol>
bolokɔni	<i>noun</i><br><ol><li>(anatomy) finger</li></ol>
bonya	<i>verb</i><br><ol><li>to grow</li></ol>
bubaakisɛ	<i>noun</i><br><ol><li>termite</li></ol>
bugu	<i>noun</i><br><ol><li>hut, shelter with straw roof</li></ol>
bulon	<i>noun</i><br><ol><li>hut</li></ol>
buru	<i>noun</i><br><ol><li>(music) horn</li></ol>
buruju	<i>noun</i><br><ol><li>genealogy, lineage</li></ol>
buyaki	<i>noun</i><br><ol><li>guava</li></ol>
bàanan	<i>noun</i><br><ol><li>Vachellia nilotica</li></ol>
bàsi	<i>noun</i><br><ol><li>couscous</li></ol>
bádingɛ	<i>noun</i><br><ol><li>riverbed</li></ol>
bín	<i>noun</i><br><ol><li>grass, weed</li></ol>
bírinka	<i>noun</i><br><ol><li>cloud</li></ol>
bɔ	<i>verb</i><br><ol><li>(intransitive) to go out, come from</li><li>(transitive) to bring out</li><li>to remove, take off, take away, subtract</li></ol>
bɔgɔ	<i>noun</i><br><ol><li>soil, mud, clay</li></ol>
bɔgɔlanfini	<i>noun</i><br><ol><li>mudcloth</li></ol>
bɔlɔn	<i>noun</i><br><ol><li>road, street</li></ol>
bɔ̀nɛ	<i>noun</i><br><ol><li>adversity, misfortune</li><li>spendings</li><li>the fruit of labor</li></ol>
bɛ	<i>verb</i><br><ol><li>(Predicate of existence) there is, it is</li><li>Forms the present tense, positive of verbs</li></ol>
bɛna	<i>verb</i><br><ol><li>predicate, future tense</li></ol>
bɛnba	<i>noun</i><br><ol><li>ancestor</li></ol>
bɛnɛ	<i>noun</i><br><ol><li>sesame</li></ol>
bɛɛ	<i>adj</i><br><ol><li>all, every</li></ol>
ci|cí|cì	<i>noun</i><br><ol><li>thatch, especially of the species Diheteropogon grandiflorus</li><li>commission, errand</li><li>message, order</li><li>mission, task, assignment</li><li>work, labor (especially agricultural)</li><li>usefulness, utility</li><li>line, stroke</li><li>tattoo</li></ol><br><i>verb</i><br><ol><li>to send, charge with a mission</li><li>to hit</li><li>to break</li><li>to destroy</li><li>to split, divide, cut</li><li>to burst, explode with a loud noise</li><li>to trace, tattoo</li></ol>
cibɔ|cíbɔ	<i>noun</i><br><ol><li>communal work in the fields</li></ol>
ciden|cíden	<i>noun</i><br><ol><li>envoy</li><li>(Christianity) apostle</li><li>communal worker (agriculture)</li></ol>
cikɛla|cíkɛla	<i>noun</i><br><ol><li>farmer</li></ol>
cogo|cógo	<i>noun</i><br><ol><li>manner, way</li><li>means, solution</li><li>conduct, attitude</li><li>appearance, form</li></ol>
cáman	<i>adj</i><br><ol><li>numerous, abundant, frequent</li></ol>
cáya	<i>noun</i><br><ol><li>a large number</li><li>quantity</li><li>increase, multiplication</li></ol><br><i>verb</i><br><ol><li>to multiply</li><li>to intensify, exaggerate</li><li>to pass (in number, in quantity)</li></ol>
cɔnkɔ	<i>verb</i><br><ol><li>to press</li></ol>
cɛ	<i>noun</i><br><ol><li>man</li><li>husband</li></ol>
cɛmancɛrɔbana	<i>noun</i><br><ol><li>middle finger</li></ol>
cɛncɛn	<i>noun</i><br><ol><li>sand</li></ol>
cɛrɔ	<i>noun</i><br><ol><li>small basket</li></ol>
cɛ́mà	<i>postp</i><br><ol><li>amid, among</li></ol>
da	<i>noun</i><br><ol><li>(anatomy) mouth, orifice</li><li>door, doorway</li><li>plant that is source of kenaf fiber (Hibiscus cannabinus)</li><li>roselle (Hibiscus sabdariffa)</li></ol>
dabamuso	<i>noun</i><br><ol><li>hoe</li></ol>
dabɔlɔ	<i>noun</i><br><ol><li>beak</li></ol>
dafa	<i>verb</i><br><ol><li>to fulfill, complete, finish</li></ol>
dafalen	<i>noun</i><br><ol><li>vow</li></ol>
dafiɲɛ	<i>noun</i><br><ol><li>breath</li></ol>
dafuruku	<i>noun</i><br><ol><li>(anatomy) cheek</li></ol>
dafɛn	<i>noun</i><br><ol><li>creature, created thing</li></ol>
dajɛ	<i>noun</i><br><ol><li>antelope</li></ol>
dakumu	<i>noun</i><br><ol><li>roselle, Hibiscus sabdariffa</li></ol>
dakun	<i>noun</i><br><ol><li>chapter, theme</li></ol>
dalasi	<i>noun</i><br><ol><li>moustache</li></ol>
dama	<i>noun</i><br><ol><li>number, quantity</li><li>limit</li></ol><br><i>adv</i><br><ol><li>only</li></ol>
damadɔ	<i>adj</i><br><ol><li>some, many, a certain number of</li></ol>
daminɛ	<i>noun</i><br><ol><li>start, beginning</li></ol><br><i>verb</i><br><ol><li>to start, begin</li></ol>
dan	<i>verb</i><br><ol><li>to count</li><li>to sow</li><li>to pass beyond</li></ol>
danbe	<i>noun</i><br><ol><li>dignity, honor</li></ol>
dancɛ	<i>noun</i><br><ol><li>border</li></ol>
danfara	<i>noun</i><br><ol><li>difference</li></ol>
danga	<i>noun</i><br><ol><li>a curse</li></ol><br><i>verb</i><br><ol><li>(transitive) to curse</li></ol>
dankana	<i>noun</i><br><ol><li>a headscarf</li></ol>
dayɛlɛ	<i>verb</i><br><ol><li>to open</li></ol>
de	<i>particle</i><br><ol><li>emphatic particle (placed directly after the word it modifies)</li></ol>
dee	<i>noun</i><br><ol><li>child</li></ol>
dege	<i>verb</i><br><ol><li>(transitive) to learn</li><li>to teach</li></ol>
degeden	<i>noun</i><br><ol><li>student</li></ol>
den	<i>noun</i><br><ol><li>child</li><li>fruit</li></ol><br><i>verb</i><br><ol><li>to bear fruit</li></ol>
denbaya	<i>noun</i><br><ol><li>family</li></ol><br><i>verb</i><br><ol><li>to have a family</li></ol>
denbo	<i>noun</i><br><ol><li>(vulgar) good-for-nothing</li></ol>
denkɛ	<i>noun</i><br><ol><li>son</li></ol>
denmuso	<i>noun</i><br><ol><li>daughter</li></ol>
denso	<i>noun</i><br><ol><li>womb, uterus</li></ol>
depitebulon	<i>noun</i><br><ol><li>parliament</li></ol>
di	<i>verb</i><br><ol><li>to give</li></ol>
dibi	<i>noun</i><br><ol><li>darkness</li><li>grill, barbecue</li></ol>
dimi	<i>noun</i><br><ol><li>anger</li><li>pain, suffering, hurt</li></ol><br><i>verb</i><br><ol><li>(Intransitive) to be angry</li></ol>
dimɔgɔ	<i>noun</i><br><ol><li>fly (insect)</li></ol>
dingɛ	<i>noun</i><br><ol><li>hole</li></ol>
disi	<i>noun</i><br><ol><li>chest</li></ol>
diya	<i>adj</i><br><ol><li>pleasant, nice</li></ol><br><i>verb</i><br><ol><li>(Transitive) to make pleasing</li><li>to make succeed</li></ol>
diɲɛ	<i>noun</i><br><ol><li>world, universe</li></ol>
do	<i>noun</i><br><ol><li>group</li></ol>
dolen	<i>noun</i><br><ol><li>fishhook</li></ol>
dolokulu	<i>noun</i><br><ol><li>constellation</li></ol>
don	<i>noun</i><br><ol><li>day</li></ol><br><i>verb</i><br><ol><li>(intransitive) to enter</li><li>(transitive) to put (something into something)</li><li>to put on, wear (of clothing)</li></ol><br><i>adj</i><br><ol><li>marks the predicate</li></ol>
du	<i>noun</i><br><ol><li>household</li></ol>
dugu	<i>noun</i><br><ol><li>town, village</li><li>land</li><li>ground, soil</li></ol>
duguba	<i>noun</i><br><ol><li>town</li></ol>
dugujɛ	<i>noun</i><br><ol><li>dawn</li><li>next morning</li></ol>
dugutigi	<i>noun</i><br><ol><li>village chief</li></ol>
duminiba	<i>noun</i><br><ol><li>feast</li></ol>
dumuni|dúmuni	<i>noun</i><br><ol><li>eating</li><li>food, meal</li></ol>
dun	<i>verb</i><br><ol><li>to eat</li></ol>
dunan	<i>noun</i><br><ol><li>stranger, visitor, foreigner</li></ol>
dunun	<i>noun</i><br><ol><li>drum</li></ol>
dá-ji	<i>noun</i><br><ol><li>saliva</li></ol>
dáyɛlɛlan	<i>noun</i><br><ol><li>bottle opener</li><li>key</li><li>door knocker</li></ol>
dège	<i>verb</i><br><ol><li>to teach</li><li>to learn</li></ol>
dònso	<i>noun</i><br><ol><li>hunter</li></ol>
dóolen	<i>noun</i><br><ol><li>fishhook</li></ol>
dúuru	<i>num</i><br><ol><li>five</li></ol>
dɔn	<i>verb</i><br><ol><li>to know</li></ol>
dɔnko	<i>noun</i><br><ol><li>culture, knowledge</li></ol>
dɔnni	<i>noun</i><br><ol><li>knowledge</li><li>science</li></ol>
dɔrɔn	<i>adv</i><br><ol><li>only</li></ol>
dɔɔnin	<i>adv</i><br><ol><li>a little</li></ol>
dɔ̀lɔ	<i>noun</i><br><ol><li>a type of beer made from grains</li></ol>
dɔ̀nkɔri	<i>noun</i><br><ol><li>Acacia verek</li><li>Acacia senegalensis</li><li>Acacia macrostachya</li></ol>
dɔ́gɔkun	<i>noun</i><br><ol><li>week</li></ol>
dɔ́nni	<i>noun</i><br><ol><li>science, knowledge</li></ol>
dɛ	<i>adv</i><br><ol><li>certainly</li></ol>
dɛn	<i>noun</i><br><ol><li>A type of fly (insect).</li><li>Specifically tsetse fly (Glossina palpalis).</li></ol>
dɛnɛ	<i>noun</i><br><ol><li>wall</li></ol>
dɛ̀bɛn	<i>noun</i><br><ol><li>mat</li></ol>
dɛ̀mɛ	<i>verb</i><br><ol><li>to help</li></ol><br><i>noun</i><br><ol><li>aid, assistance, help</li></ol>
dɛ̀ɲɛ	<i>noun</i><br><ol><li>brass, yellow copper</li></ol>
dɛ́bɛ	<i>noun</i><br><ol><li>womb</li></ol>
fakɛ	<i>noun</i><br><ol><li>father, uncle</li></ol>
falenfɛnw	<i>noun</i><br><ol><li>flora, vegetation</li></ol>
fali	<i>noun</i><br><ol><li>donkey, ass</li></ol>
fan	<i>noun</i><br><ol><li>egg</li><li>direction, side</li></ol>
fana	<i>noun</i><br><ol><li>meal</li></ol><br><i>adv</i><br><ol><li>also, too</li></ol>
fanga	<i>noun</i><br><ol><li>power, force</li><li>authority</li></ol>
farafin	<i>noun</i><br><ol><li>black person</li></ol>
farajɛ	<i>noun</i><br><ol><li>white person</li></ol>
farama	<i>adj</i><br><ol><li>stony, rocky</li></ol>
faso	<i>noun</i><br><ol><li>state, homeland</li></ol>
filɛ	<i>verb</i><br><ol><li>(transitive) to look, see</li></ol>
filɛli	<i>noun</i><br><ol><li>(religion) divination</li><li>observation</li></ol>
fin	<i>adj</i><br><ol><li>black</li></ol><br><i>verb</i><br><ol><li>(transitive) to darken, blacken</li></ol>
firifiri	<i>noun</i><br><ol><li>struggle</li></ol>
fiɲɛ	<i>noun</i><br><ol><li>wind, air</li></ol>
fogonfogon	<i>noun</i><br><ol><li>lung</li></ol>
folon	<i>noun</i><br><ol><li>ravine</li></ol>
foro|fòrò	<i>noun</i><br><ol><li>field</li><li>penis</li></ol>
foroko	<i>noun</i><br><ol><li>bag, container</li></ol>
foyi	<i>adv</i><br><ol><li>nothing</li></ol>
fura|fúra	<i>noun</i><br><ol><li>leaf</li><li>page, leaf of paper</li></ol>
furakɛla	<i>noun</i><br><ol><li>physician, doctor</li></ol>
furalan	<i>noun</i><br><ol><li>broom</li></ol>
furancɛ	<i>noun</i><br><ol><li>interval between two things, gap</li></ol>
furu	<i>noun</i><br><ol><li>marriage</li></ol>
furufɛn	<i>noun</i><br><ol><li>dowry</li></ol>
furunafolo	<i>noun</i><br><ol><li>dowry, bride price</li></ol>
fàgali	<i>noun</i><br><ol><li>murder</li></ol>
fàri	<i>noun</i><br><ol><li>body</li><li>appearance</li></ol>
fára	<i>noun</i><br><ol><li>stone, rock</li></ol>
fìla	<i>num</i><br><ol><li>two</li></ol>
fòrobafanga	<i>noun</i><br><ol><li>democracy</li></ol>
fòrokiya	<i>noun</i><br><ol><li>boubou</li></ol>
fɔli	<i>noun</i><br><ol><li>music</li></ol>
fɔ́	<i>verb</i><br><ol><li>to say</li><li>to play (a percussion instrument)</li><li>to speak (a language)</li><li>to miss, fail (to see a person)</li><li>to follow (one another)</li><li>to contradict</li></ol><br><i>noun</i><br><ol><li>speaking, talking</li><li>spoken word</li><li>playing (of a musical instrument)</li></ol>
fɔ́lɔ	<i>adj</i><br><ol><li>first</li></ol>
fɛ	<i>postp</i><br><ol><li>with</li><li>by</li><li>expresses wishes, desires</li></ol>
fɛn	<i>noun</i><br><ol><li>thing</li></ol>
gala	<i>noun</i><br><ol><li>dye</li></ol>
gan	<i>verb</i><br><ol><li>to jump</li><li>(transitive) to heat up</li></ol><br><i>adj</i><br><ol><li>hot</li></ol>
gasi	<i>noun</i><br><ol><li>wrong, offense</li></ol>
gato	<i>noun</i><br><ol><li>cake</li></ol>
geji	<i>noun</i><br><ol><li>sea</li></ol>
gele	<i>noun</i><br><ol><li>African mesquite, Prosopis africana</li></ol>
gèsedala	<i>noun</i><br><ol><li>weaver</li></ol>
gɔmɛ	<i>noun</i><br><ol><li>A small drum.</li></ol>
gɔngɔrɔ	<i>noun</i><br><ol><li>pebble, stone</li></ol>
gɔsi	<i>verb</i><br><ol><li>(transitive) to beat, to thresh</li></ol>
gɛlɛ	<i>noun</i><br><ol><li>a platform in the center of a village</li><li>watchtower, lookout (in fields)</li><li>tusk, horn</li><li>canon</li></ol>
gɛlɛn	<i>adj</i><br><ol><li>hard, firm</li><li>difficult</li><li>expensive</li></ol>
gɛn	<i>verb</i><br><ol><li>(transitive) to chase</li><li>to herd</li></ol>
gɛnna	<i>noun</i><br><ol><li>shepherd</li></ol>
habada	<i>adv</i><br><ol><li>(in a negative phrase) never</li><li>(in a positive phrase) forever, always</li></ol>
hadamaden	<i>noun</i><br><ol><li>human</li></ol>
hakili	<i>noun</i><br><ol><li>mind</li><li>intelligence</li><li>memory</li><li>opinion, idea</li><li>wiseness, reflection</li></ol>
hakilila	<i>noun</i><br><ol><li>opinion, thought, impression</li></ol>
hakilinan	<i>noun</i><br><ol><li>opinion, point of view</li></ol>
hakɛ	<i>noun</i><br><ol><li>measure, level</li><li>average</li><li>quantity</li><li>price, salary</li><li>moment</li><li>right</li></ol>
háwusakala	<i>noun</i><br><ol><li>sugarcane</li></ol>
hɔrɔnya	<i>noun</i><br><ol><li>freedom, liberty, independence</li></ol>
hɛrɛ	<i>noun</i><br><ol><li>peace</li></ol>
i	<i>pron</i><br><ol><li>thou, you (singular)</li></ol>
i bɛ angilekan men wa	<i>phrase</i><br><ol><li>do you speak English?</li></ol>
izini	<i>noun</i><br><ol><li>factory</li></ol>
jaabi	<i>verb</i><br><ol><li>to answer</li></ol><br><i>noun</i><br><ol><li>answer, response</li></ol>
jago	<i>noun</i><br><ol><li>commerce, trade</li></ol>
jakuma	<i>noun</i><br><ol><li>cat (domesticated animal)</li></ol>
jala	<i>noun</i><br><ol><li>African mahogany (Khaya senegalensis)</li></ol>
jalamugu	<i>noun</i><br><ol><li>turban</li></ol>
jan	<i>noun</i><br><ol><li>trap (device to catch animals)</li></ol>
jankaro	<i>noun</i><br><ol><li>disease</li></ol>
jele	<i>noun</i><br><ol><li>ax</li></ol>
jeli|jeliw	<i>noun</i><br><ol><li>A member of the hereditary caste of griots among the Mandé peoples, whose social roles include transmitting their people's oral traditions and playing traditional music (jeliya).</li></ol>
jeliya	<i>noun</i><br><ol><li>(literally) The state or quality of being a jeli.</li><li>The essential traditions, practices and art of the jeliw.</li><li>The traditional music of the jeliw.</li></ol>
jenbe	<i>noun</i><br><ol><li>(music) drum made with hollow wood and animal skin, djembe</li></ol>
ji	<i>noun</i><br><ol><li>water</li></ol>
jigiɲɛ	<i>noun</i><br><ol><li>granary</li></ol>
jiidiya	<i>noun</i><br><ol><li>growth</li></ol>
jikankurun	<i>noun</i><br><ol><li>canoe, boat</li></ol>
jikuru	<i>noun</i><br><ol><li>wave</li><li>ice</li></ol>
jiri|yiri	<i>noun</i><br><ol><li>tree</li></ol>
jiwalankata	<i>noun</i><br><ol><li>flood</li></ol>
joginda	<i>noun</i><br><ol><li>wound</li></ol>
jukɔrɔ|jùkɔ́rɔ	<i>postp</i><br><ol><li>under, below</li></ol>
julaya	<i>noun</i><br><ol><li>trade</li></ol>
jumɛn|jùmɛn	<i>adj</i><br><ol><li>which</li></ol>
jàbere	<i>noun</i><br><ol><li>taro</li></ol>
jàlaki	<i>noun</i><br><ol><li>fault, responsibility</li></ol>
jàra	<i>noun</i><br><ol><li>lion</li></ol>
jòli	<i>adv</i><br><ol><li>how much?</li></ol><br><i>noun</i><br><ol><li>blood</li></ol>
jùrudonna	<i>noun</i><br><ol><li>lender</li></ol>
jùrumantigi	<i>noun</i><br><ol><li>debtor</li></ol>
jùrumu	<i>noun</i><br><ol><li>sin</li></ol>
jɔn	<i>pron</i><br><ol><li>who?</li></ol>
jɔyɔrɔ	<i>noun</i><br><ol><li>position, role, function</li></ol>
jɔ̀nya	<i>noun</i><br><ol><li>slavery</li></ol>
jɛgɛ|jɛ́gɛ	<i>noun</i><br><ol><li>fish</li></ol>
jɛnɛ	<i>noun</i><br><ol><li>spindle</li></ol>
jɛ̀	<i>verb</i><br><ol><li>to assemble, unite, congregate</li></ol><br><i>noun</i><br><ol><li>assembly, union</li><li>association</li><li>alliance, convention</li><li>associate</li><li>mating</li></ol>
jɛ́	<i>verb</i><br><ol><li>to whiten, bleach, wash</li><li>to prove innocent, clear</li><li>to be sure, clear</li></ol><br><i>adj</i><br><ol><li>white, hoary</li><li>clean, pure</li><li>transparent, clear</li><li>clear, evident, comprehensible</li><li>open, empty</li></ol><br><i>noun</i><br><ol><li>a plain, an open space</li></ol>
ka	<i>particle</i><br><ol><li>possessive marker</li><li>particle linking subject and predicative adjective</li></ol>
kabako	<i>noun</i><br><ol><li>wonder, miracle</li></ol>
kafo	<i>noun</i><br><ol><li>canton, region</li></ol>
kalan	<i>noun</i><br><ol><li>study</li><li>reading</li></ol><br><i>verb</i><br><ol><li>to study</li><li>to read</li><li>to be warm</li></ol>
kalanni	<i>noun</i><br><ol><li>reading</li></ol>
kalansen	<i>noun</i><br><ol><li>lesson</li></ol>
kalata	<i>noun</i><br><ol><li>election</li></ol>
kalili	<i>noun</i><br><ol><li>oath</li></ol>
kalo	<i>noun</i><br><ol><li>moon</li><li>month</li><li>menses</li></ol>
kamafura|kàmàfura	<i>noun</i><br><ol><li>wing</li></ol>
kamakun	<i>noun</i><br><ol><li>shoulder</li></ol>
kan	<i>noun</i><br><ol><li>(anatomy) neck</li></ol>
kanntanya	<i>noun</i><br><ol><li>infidelity, unfaithfulness</li></ol>
kanuya	<i>noun</i><br><ol><li>love</li></ol>
kanɲɛ	<i>noun</i><br><ol><li>sound</li><li>syllable</li></ol>
karamɔgɔ	<i>noun</i><br><ol><li>teacher, professor</li><li>marabout</li><li>(Christianity) pastor</li></ol>
kari	<i>noun</i><br><ol><li>Sunday</li></ol><br><i>verb</i><br><ol><li>(transitive) to break</li><li>to pick, harvest (a crop)</li></ol>
kasabi	<i>noun</i><br><ol><li>total</li></ol>
kasara	<i>noun</i><br><ol><li>accident (vehicles)</li></ol>
kelen|kélen	<i>num</i><br><ol><li>one</li></ol>
keninge	<i>noun</i><br><ol><li>a type of sorghum Sorghum bicolor (syn. Sorghum gambicum)</li></ol>
kibaru	<i>noun</i><br><ol><li>news</li></ol>
kiritigɛla|kíritigɛla	<i>noun</i><br><ol><li>judge</li></ol>
ko	<i>verb</i><br><ol><li>to say</li><li>to wash</li></ol>
kojugu	<i>adv</i><br><ol><li>too much</li></ol>
kolo	<i>noun</i><br><ol><li>(anatomy) bone</li></ol>
ku	<i>noun</i><br><ol><li>tail</li><li>yam</li></ol>
kulu	<i>noun</i><br><ol><li>hill, mountain, cliff</li></ol>
kuluba	<i>noun</i><br><ol><li>mountain</li></ol>
kulunin	<i>noun</i><br><ol><li>hill</li></ol>
kuma	<i>verb</i><br><ol><li>(intransitive) to speak</li></ol><br><i>noun</i><br><ol><li>word, that which is spoken</li></ol>
kunbere	<i>noun</i><br><ol><li>knee</li></ol>
kundama	<i>noun</i><br><ol><li>size, height</li></ol>
kundigi	<i>noun</i><br><ol><li>braid</li></ol>
kundigila	<i>noun</i><br><ol><li>a person who plaits/braids hair</li></ol>
kungo	<i>noun</i><br><ol><li>countryside, brush</li></ol>
kungolɛ	<i>noun</i><br><ol><li>wild boar</li></ol>
kungowulu	<i>noun</i><br><ol><li>jackal, fox</li></ol>
kunko	<i>noun</i><br><ol><li>problem, affair</li></ol>
kunkolo	<i>noun</i><br><ol><li>(anatomy) head</li></ol>
kunnafoni	<i>noun</i><br><ol><li>news, information</li></ol><br><i>verb</i><br><ol><li>(Transitive) to inform, give information to</li></ol>
kunnafonisɛbɛn	<i>noun</i><br><ol><li>newspaper</li></ol>
kunsi	<i>noun</i><br><ol><li>hair</li></ol>
kuntaala	<i>noun</i><br><ol><li>period, length of time</li></ol>
kuntigi	<i>noun</i><br><ol><li>boss, chief, director</li></ol>
kuntilenna	<i>noun</i><br><ol><li>direction</li><li>significance, sense</li><li>objective, goal</li></ol>
kunun	<i>noun</i><br><ol><li>yesterday</li></ol><br><i>verb</i><br><ol><li>to wake up</li><li>to swallow</li></ol>
kura	<i>adj</i><br><ol><li>new</li></ol>
kurun|kúrun	<i>noun</i><br><ol><li>stool</li><li>canoe, small boat</li><li>means of transport</li></ol>
kàkɔrɔ	<i>adv</i><br><ol><li>previously, formerly, in the past</li><li>already</li></ol>
kàrama	<i>noun</i><br><ol><li>respect, regard</li></ol>
kàso	<i>noun</i><br><ol><li>prison</li></ol>
kàsɔrɔ	<i>conj</i><br><ol><li>despite, even though</li><li>in effect</li></ol>
kàta	<i>noun</i><br><ol><li>potash</li></ol>
kàtilaka	<i>noun</i><br><ol><li>Eupodotis senegalensis</li><li>Eupodotis melanogaster</li></ol>
