Abraham	<i>name</i><br><ol><li>Abraham (prophet)</li></ol>
Cristiente|Crystyante|Cristyante|cristianite|crystianyte|Cristeantie|Cristente|Christianyte|Cristiantee|cristientee|Crystiante|cristianytee|crystyanyte|cristeante|Cristiante	<i>name</i><br><ol><li>Christendom (all Christian people)</li><li>Christendom (all Christian nations)</li><li>Christianity; belief or faith in Christ.</li><li>The Christian church.</li></ol>
Cæstre	<i>name</i><br><ol><li>(Early Middle English) Alternative form of Chestre</li></ol>
Dane|Danes|Dan	<i>noun</i><br><ol><li>Dane</li></ol>
Dauid	<i>name</i><br><ol><li>David</li></ol>
Dauphin|Dolfyn|Dolphyn|Daufyn|dolphin|Dawlfyn|Dolphyne|Dolfynne|Delfyn	<i>name</i><br><ol><li>(Late Middle English) The Dauphin (French crown prince)</li></ol>
Demarch	<i>name</i><br><ol><li>Denmark</li></ol>
Dench	<i>name</i><br><ol><li>an English surname.</li></ol>
Dene lawe	<i>name</i><br><ol><li>Danelaw</li></ol>
Diane|Dian|Dyane|Diana|Dyana|Dyan	<i>name</i><br><ol><li>(mythology) The Roman goddess of the hunt; Diana.</li><li>(astronomy, sometimes capitalised) The celestial body closest to the Earth, considered to be a planet in the Ptolemic system as well as the boundary between the Earth and the heavens; the Moon.</li></ol>
Dorcestre	<i>name</i><br><ol><li>Dorchester</li></ol>
Duch	<i>adj</i><br><ol><li>German, Dutch</li><li>German, Low German, Dutch (languages)</li></ol>
Duchish	<i>adj</i><br><ol><li>German, Dutch</li></ol><br><i>noun</i><br><ol><li>German, Dutch (languages)</li><li>Germanic, Teutonic (languages)</li></ol>
Edynburgh|Edynburghe	<i>name</i><br><ol><li>Edinburgh (the capital city of Scotland).</li></ol>
Eestour	<i>noun</i><br><ol><li>Easter</li></ol>
Egipt	<i>name</i><br><ol><li>Egypt</li></ol>
Egyp	<i>name</i><br><ol><li>(Early Scots) Egypt</li></ol>
Elizabeth	<i>name</i><br><ol><li>The mother of John the Baptist</li><li>Elisheba, the wife of Aaron.</li></ol>
Engelond	<i>name</i><br><ol><li>England</li></ol>
Englisch|Englysche|Englissh	<i>adj</i><br><ol><li>of England; from England</li><li>of the (Middle) English language</li></ol><br><i>name</i><br><ol><li>The English people</li><li>The (Middle) English language</li></ol>
Englysshe	<i>adj</i><br><ol><li>English</li></ol><br><i>name</i><br><ol><li>English</li></ol>
Ennglissh|Ennglisshe	<i>adj</i><br><ol><li>(Ormulum) Alternative form of Englisch</li></ol>
Ermin|Ermins	<i>noun</i><br><ol><li>(obsolete) An Armenian.</li></ol>
Esto	<i>noun</i><br><ol><li>Easter</li></ol>
Everwich schire|Evirwikescire|Everwichescyre	<i>name</i><br><ol><li>Yorkshire (a county of England)</li></ol>
Everwik|Everwyk|Eborwike|Everwich|Everwic|Everwike|Eoverwic	<i>name</i><br><ol><li>York (a city in England)</li></ol>
Febus	<i>name</i><br><ol><li>(sometimes uncapitalised) Alternative form of Phebus</li></ol>
Filip	<i>name</i><br><ol><li>Philip</li></ol>
Franklin	<i>name</i><br><ol><li>A Middle English name for an English freeman that owns land but is not of noble birth.</li></ol>
Frauce	<i>name</i><br><ol><li>France</li></ol>
Frensch	<i>adj</i><br><ol><li>French</li></ol>
Frenssh	<i>name</i><br><ol><li>French language</li></ol>
Friday	<i>name</i><br><ol><li>Friday</li></ol>
Furie|Furies|furie|furye	<i>name</i><br><ol><li>(Roman mythology) Fury</li></ol>
Galilee	<i>name</i><br><ol><li>Galilee</li></ol>
Gaskoyne	<i>name</i><br><ol><li>Gascony</li></ol>
Geffrey|Geoffrey|Gefrei|Gefray|Gefrey|Jaffrey|Jeffrey|Geffray|Geffrei|Gaffrey	<i>name</i><br><ol><li>a male surname from the Germanic languages.</li></ol>
Georgie	<i>name</i><br><ol><li>Georgia (country in the South Caucasus region of Europe and Asia)</li></ol>
Germanie|germaine|Germanyes|Germayn|germaniȝe|Germenie|Germanye|Germania|Germayne|germaynie	<i>name</i><br><ol><li>The portion of Europe occupied by those who speak Germanic languages.</li><li>A part of this portion of Europe.</li></ol>
Gloucestr	<i>noun</i><br><ol><li>Gloucester</li></ol>
Guthland	<i>name</i><br><ol><li>Gotland</li></ol>
Gwenyver|Gwenyvere	<i>name</i><br><ol><li>Guinevere (wife of King Arthur)</li></ol>
Herforde	<i>name</i><br><ol><li>Hereford</li></ol>
I|j|ig|icche|hich|ick|ich|hij|ih|mi|ic|jch|ẏ|me|hi|i|y|min|iche|e|hic	<i>pron</i><br><ol><li>I (first-person singular subject pronoun)</li></ol>
Iacob	<i>name</i><br><ol><li>Jacob (biblical figure)</li></ol>
Ion	<i>name</i><br><ol><li>John, Jon</li></ol>
Ioseph	<i>name</i><br><ol><li>Joseph (biblical figure)</li></ol>
Irelond	<i>name</i><br><ol><li>Ireland</li></ol>
Irish	<i>noun</i><br><ol><li>Irish</li></ol>
Irisshman|Irisshmen	<i>noun</i><br><ol><li>Irishman</li></ol>
Irland	<i>name</i><br><ol><li>Ireland</li></ol>
Irlond	<i>name</i><br><ol><li>Ireland</li></ol>
Iseland|Yslond|Island|Islond|Yslonde	<i>name</i><br><ol><li>Iceland</li></ol>
Iudas	<i>name</i><br><ol><li>Judas</li><li>Jude</li></ol>
Jafeth|Japheth	<i>name</i><br><ol><li>Japheth (Biblical character)</li></ol>
James|Ieme|Iam|Iamys|Gemes|Iames|Iame|Ȝame	<i>name</i><br><ol><li>James the Greater or James the Less (apostles)</li></ol>
Jew|juu|Jeuȝ|Jeuw|Ju|Gyw|Jeu|Jewes|Jewen|Giw|Juw|Jue|Jewe|Jewh|Yew|Giu|Jeuh|giw|jow|Gyu|Jow|Jeue	<i>noun</i><br><ol><li>Jew (member of the Jewish people)</li><li>Jew (adherent of Judaism)</li><li>Israelite (inhabitant of Biblical Israel)</li></ol>
Jewery|Juerye|Jwry|jury|gywerye|Juery|Jewerie|Jurye|gywerie|Jewerye|Juerie|Jury|jurie|Juwerye|Jewry|giwerie|Juwerie	<i>noun</i><br><ol><li>Jewry (the Jewish people)</li><li>Judaism (the Jewish religion)</li><li>Judea (the land of the Jews)</li><li>Judah (southern region of the Holy Land)</li><li>The Jewish district of a city.</li></ol>
Jewesse|Jewesses|Juesse|Jewes|Jues|Juwesse	<i>noun</i><br><ol><li>A female Jew.</li></ol>
Jewly|Jewlye|Jewlich	<i>adv</i><br><ol><li>(rare) In a Jewish way.</li></ol>
Jhesus|Jhesum|Jhesuse|Jhesuses|Jhesu	<i>name</i><br><ol><li>Jesus (Christ)</li><li>Christianity</li></ol>
John|Joon|Johannes|Joan|Johne|Ioon|Jon|Johan|Jhon	<i>name</i><br><ol><li>a patrynomic surname transferred from the given name.</li><li>An appellation for a generic individual, especially of lower social standing.</li><li>An appellation for a priest.</li><li>John the Baptist or John the Apostle/John the Evangelist (biblical figures)</li></ol>
Joves|Iovys|Iouys|Jouys|Iove|Joue|Jovys|Ioue|Jove	<i>name</i><br><ol><li>The Roman god governing the sky; Jove, Jupiter.</li><li>The largest of the moving planets; Jupiter.</li></ol>
Jovyne|Joun|Jouyne	<i>name</i><br><ol><li>The largest of the moving planets; Jupiter.</li></ol>
Jubiter|Jubiterus|Iubiter|Iuppiter|Iubyter|Juppiter|Iupyter|Jupyter|Jupiter|Iupiter|Jubyter	<i>name</i><br><ol><li>The Roman god governing the sky; Jove, Jupiter.</li><li>The largest of the moving planets; Jupiter.</li></ol>
Jude|Judy|Judee	<i>name</i><br><ol><li>Judea</li></ol>
Judew|Judeow|Juþew|Judeu	<i>noun</i><br><ol><li>(Early Middle English) Jew</li></ol>
Judewissh|Judeuiss|Judewisshe	<i>adj</i><br><ol><li>(Early Middle English, rare) Jewish</li></ol>
Judissk	<i>adj</i><br><ol><li>(Ormulum) Alternative form of iudeisc</li></ol>
Juno|June|Iune|Iono|Jono|Iuno	<i>name</i><br><ol><li>(mythology) The queen of the Roman pantheon; Juno.</li></ol>
Kinges	<i>name</i><br><ol><li>(biblical, usually in full as book of Kinges vel sim.) [Book of] Kings (each of 1 Kings, 2 Kings, 3 Kings, and 4 Kings)</li></ol>
Kingpleie	<i>name</i><br><ol><li>King-play (a play that centres on the Biblical Magi of Matthew 2:1–12)</li></ol>
Latyn|latyne|latin|Latyns|Laty|Latin|Latyne|latine|lateyn|laten|latyn	<i>name</i><br><ol><li>The Latin language or speech/text in it.</li><li>Speech in general; what one says.</li><li>A Roman; one who (natively) speaks Latin.</li><li>(rare) A member of the Western church.</li></ol><br><i>adj</i><br><ol><li>Latin-speaking; using Latin.</li><li>(rare) Written in or composed in Latin.</li><li>Relating to the Romans.</li></ol>
Lauerd	<i>name</i><br><ol><li>Lord: the Abrahamic deity of the Jewish and Christian Islamic faiths</li></ol>
Launcelot	<i>name</i><br><ol><li>Lancelot (knight)</li></ol>
Leycetre	<i>name</i><br><ol><li>Leicester</li></ol>
Lodegrean|Lodegean|Lodegreauns|Lodgreaunce	<i>name</i><br><ol><li>(Arthurian legend) Leodegrance (the father of Queen Guinevere)</li></ol>
London|Lunden	<i>name</i><br><ol><li>London (the capital city of England)</li></ol>
Lord	<i>name</i><br><ol><li>Lord: the Abrahamic deity of the Jewish and Christian faiths</li></ol>
Loreyn	<i>name</i><br><ol><li>Lorraine (the place)</li></ol>
Lucifer|Lucyfere|Lucyfer	<i>name</i><br><ol><li>Satan; the Devil; the supreme Christian figure of evil.</li><li>The planet Venus as the daystar.</li></ol>
Lucyna|Lucyne|Lucina	<i>name</i><br><ol><li>(mythology) The Roman goddess of childbirth; Lucina.</li><li>(astronomy, sometimes capitalised) The celestial body closest to the Earth, considered to be a planet in the Ptolemic system as well as the boundary between the Earth and the heavens; the Moon.</li></ol>
Macomet|Macomete|Machomett|Makomete|Machomete|macamethe|makamed|Makometh|Machamete|Makamete	<i>name</i><br><ol><li>(Islam) Muhammad</li></ol>
Mahown|Mahun|mahum|Mahount|mahownd|Mahounde|mahun|Mawhown|mahound|mahon|Mahoun|Machoun|Mahon|mahounde	<i>noun</i><br><ol><li>Mahound (a fantastic god believed to be worshipped by Muslims)</li><li>idol (representation of a pagan god)</li></ol>
March|Marche	<i>name</i><br><ol><li>March</li></ol>
Marie	<i>name</i><br><ol><li>Mary (biblical figure)</li></ol>
Mars	<i>name</i><br><ol><li>The Roman god governing war; Mars.</li><li>The red-coloured planet visible to the naked eye: Mars.</li></ol>
Marte	<i>name</i><br><ol><li>(mythology) The Roman god governing war; Mars.</li><li>(astronomy) The red-coloured planet visible to the naked eye: Mars.</li></ol>
Mercurie|Mercurii|Mercurye|Marcury|Merchurius|Mercurius|Marcure|Mercurij|Mercurious|Mercure|Mercury|Marcurie	<i>name</i><br><ol><li>(Roman mythology) The Roman god serving as a messenger; Mercury.</li><li>The planet once considered to be closest to the Earth after the Moon: Mercury.</li><li>Quicksilver or mercury (metal reputed to have alchemical qualities).</li></ol>
Merlyon|Marlyon|Merlyn|Merlion	<i>name</i><br><ol><li>(Arthurian legend) Merlin</li></ol>
Messyas|Messie|Messye|Messy|Messias	<i>name</i><br><ol><li>The Messiah as mentioned in the Old Testament.</li><li>(Christianity) Jesus Christ.</li><li>(Islam) Muhammad.</li></ol>
Michaeles messe	<i>name</i><br><ol><li>(Early Middle English) Alternative form of Michelmasse</li></ol>
Michaeles mæsse	<i>name</i><br><ol><li>(Early Middle English) Alternative form of Michelmasse</li></ol>
Michel|Mihel|Myghel|Mychael|Michaeles|Myghell|Myȝhel|Miȝhel|Mihal|Michal|Michael	<i>name</i><br><ol><li>a patrynomic surname transferred from the given name.</li><li>The Archangel Michael.</li></ol>
Michelmasse|Myghelmes|Myȝhylmasse|myhel-masse|Mialmas|Michelmesse|mychelmas|Misselmasse|Mihelmesse|Myghelmas|Mykylmes|Mychaelmas|Migelmasse|Myhilmesse|mielmesse|Michelmes|Myghelmesse|Miȝhel-masse|Myelmasse	<i>name</i><br><ol><li>Michaelmas</li></ol>
Monday	<i>name</i><br><ol><li>Monday</li></ol>
Muse|Muses|muse|mwse	<i>noun</i><br><ol><li>(Greek mythology) A Muse</li><li>A source of inspiration for artists.</li><li>(rare) A kind of art.</li></ol>
Neptunus	<i>name</i><br><ol><li>(mythology) The Roman god governing the sea; Neptune.</li></ol>
Newgate|Neugate|Newegate	<i>name</i><br><ol><li>Newgate (prison)</li></ol>
Nomanneslond|No-mannys-lond|No-mannes-lond|No-manslond|No-mans-lond|No-mannes-londe|Nomanslond|No-manneslond|No-mannyslond|Nomanneslonde|No-manneslonde|Nomannyslond	<i>noun</i><br><ol><li>(historical) An area of land outside of London utilised for executions.</li><li>A swath of unowned or undesireable land.</li><li>Land that is subject to legal dispute.</li></ol>
Nonesmanneslond|Nonesmanneslonde	<i>noun</i><br><ol><li>(historical) An area of land outside of London utilised for executions.</li><li>A swath of unowned or undesireable land.</li><li>Land that is subject to legal dispute.</li></ol>
Noregan|Norigan|Noreganes|Norgan	<i>noun</i><br><ol><li>A person from Norway; a Norwegian.</li></ol>
Noreine	<i>adj</i><br><ol><li>Related to or pertaining to Norway; Norwegian</li></ol>
Norenissce|Norwenisse|Noreinisce|Noreinisse|Nornisce|Norneis|Norenish|Norenisce	<i>adj</i><br><ol><li>Related to or pertaining to Norway; Norwegian</li><li>Norse</li></ol><br><i>noun</i><br><ol><li>(plural only) Norwegian people</li></ol>
Norikes|Norices	<i>noun</i><br><ol><li>(plural only) People from Norway.</li></ol>
Normadye	<i>name</i><br><ol><li>Normandy</li></ol>
Norman|Noreman|Noremans|Nor-man|Normannes|Normon	<i>noun</i><br><ol><li>A member of the mixed Scandinavian and Frankish peoples who, in the 11th century, were a major military power in Western Europe and who conquered the English in 1066.</li><li>A person from Norway; a Norwegian.</li></ol>
Normand|Normandes|Normaunt|Normaund|Normant	<i>noun</i><br><ol><li>An inhabitant of Normandy.</li></ol>
Normandie|Normaundye|Normandye|Normundie|Normande|Normandy	<i>name</i><br><ol><li>Normandy</li></ol>
Norn	<i>adj</i><br><ol><li>Related or pertaining to Norway; Norwegian</li></ol>
Norreis|Norais|Norays|Noreis	<i>noun</i><br><ol><li>A person from Norway; a Norwegian.</li><li>A person from northern England or Scotland.</li></ol>
Norrene|Norene|Noreine|Norreine	<i>name</i><br><ol><li>Norway</li><li>the Norwegian people</li></ol>
Northfolk|Norfolk|norfolke|Norþfolc	<i>name</i><br><ol><li>Norfolk (a county of eastern England)</li></ol>
Northhumbre|Norðhumbre|Norþhumbre|Northumbre|Norþhumber	<i>name</i><br><ol><li>(rare) Northumbria (region)</li><li>(rare) The people of Northumbria; Northumbrians</li></ol>
Northumberlond|Norðhumberlonde|Norþ-humberlond|Northumbirlond|Northhumberlond|Northehumberlond|Norð-humberlond	<i>name</i><br><ol><li>Northumbria (former kingdom)</li><li>(rare) Northumberland (county)</li></ol>
Norwey|Norweye|Norwai|Norweiȝe|Norweie|Noreweie|Norwegan|Norweæiȝe|Northweiȝe|Norwei|Noreweiȝe|Norwæge|Norewey|Norweȝe	<i>name</i><br><ol><li>Norway</li></ol>
Nowel|Nowell|Noel|nowel|Newell	<i>name</i><br><ol><li>(rare) Christmas, Noel</li></ol><br><i>intj</i><br><ol><li>An gleeful exclamation upon hearing Jesus being born in representations of the event.</li><li>An general-purpose gleeful exclamation.</li></ol>
Nycol	<i>name</i><br><ol><li>Nicholas</li></ol>
Orkenye	<i>noun</i><br><ol><li>Orkney</li></ol>
Ostrich|Austrice|Osterike|Austrige|Ostrych	<i>name</i><br><ol><li>Austria (historic duchy)</li></ol>
Oxenford	<i>name</i><br><ol><li>Oxford</li></ol>
Pan	<i>name</i><br><ol><li>Pan (Greek god)</li></ol>
Parys|Parissh|Parysch|Parez|Perase|Paryss|Paris|paryse|parise	<i>name</i><br><ol><li>Paris (the capital and largest city of modern France)</li></ol>
Pask|Paske|Paskes|Pasque|Pasche|Pasch	<i>name</i><br><ol><li>Passover (Jewish feast, festival or holiday)</li><li>Easter (Christian holy day)</li><li>A return of Jesus Christ.</li><li>A lamb eaten at Passover or Easter; a Paschal Lamb.</li><li>(rare) The pain endured by Jesus Christ.</li></ol>
Paske day|Pach day|Pasch day|Passh day|Pask Day|Pasche day	<i>name</i><br><ol><li>Passover (Jewish holy day)</li><li>Easter Sunday (Christian holy day)</li></ol>
Passkedaȝȝ	<i>name</i><br><ol><li>(Ormulum) Alternative form of Paske day</li></ol>
Pendragon	<i>noun</i><br><ol><li>(Arthurian legend) Epithet of Uther, the father of King Arthur.</li></ol>
Pentecoste|Pentecostes|pentycoste|pentycost|pentecoste|Pentcost|Pentecost|pentecostes	<i>name</i><br><ol><li>Pentecost (Christian holiday)</li><li>Pentecost (specific day 49 days after Jesus' resurrection)</li><li>Shavuot (Jewish holiday)</li></ol>
Pentecosten	<i>name</i><br><ol><li>(Early Middle English) Alternative form of Pentecoste</li></ol>
Peter|Peteres|Petres|Petris|Petir|peters	<i>name</i><br><ol><li>Peter</li></ol>
Petres peny|peters pans|Petres panes|Peteres peni|Petir peny|Petris pens|Petres peni|Peterespeny|Petir Pens|Peires panes|Peter pens|Peter his peny	<i>name</i><br><ol><li>Peter's pence, alms-fee (tax due to Rome collected from English homes)</li></ol>
Phebe	<i>name</i><br><ol><li>(mythology) The Greek Titan and goddess of the Moon; Phoebe.</li><li>(astronomy, sometimes capitalised) The celestial body closest to the Earth, considered to be a planet in the Ptolemic system as well as the boundary between the Earth and the heavens; the Moon.</li></ol>
Phebus	<i>name</i><br><ol><li>(mythology) In Greek mythology, the god governing the sun; Phoebus, Apollo.</li><li>(astronomy, sometimes uncapitalised) The brightest and warmest celestial body, considered to be a planet in the Ptolemic system; the Sun.</li></ol>
Pikeringe	<i>name</i><br><ol><li>Pickering</li></ol>
Pluto|Plute|Poluto	<i>name</i><br><ol><li>(mythology) The Roman god governing the underworld; Pluto.</li></ol>
Pompey	<i>name</i><br><ol><li>Pompey</li></ol>
Portesmuða	<i>name</i><br><ol><li>Portsmouth (a city in southern England)</li></ol>
Portyngale	<i>name</i><br><ol><li>Portugal (a country in Europe)</li></ol>
Pruce	<i>name</i><br><ol><li>Prussia</li></ol>
Purueye	<i>name</i><br><ol><li>Purvey</li></ol>
Rede See|Red See|rede See|rede se|Reede See	<i>name</i><br><ol><li>the Red Sea (especially in a biblical context)</li></ol>
Rome	<i>name</i><br><ol><li>Rome (a city, the capital of the Papacy; ancient capital of the Roman Empire)</li><li>The Roman Empire.</li></ol>
Rone|Roone|Ron	<i>name</i><br><ol><li>Rouen (French city)</li></ol>
Rychemund|Rychemond|Richemonde	<i>name</i><br><ol><li>Richmond (a town in Yorkshire, England)</li></ol>
Sampson|Samson|Sampsoun	<i>name</i><br><ol><li>Samson (biblical character)</li><li>a patrynomic surname transferred from the given name.</li></ol>
Saterday	<i>noun</i><br><ol><li>Saturday</li></ol>
Sathan|satone|sathone|saton|sathane|sattan|sathon|Satan	<i>name</i><br><ol><li>Satan, the Devil</li><li>(rare) A figure of temptation.</li></ol>
Saturne|Satorne|Satourne|Satournus|Saturnes|Saturnus|Satorn|Satourn	<i>name</i><br><ol><li>(mythology) The Roman god governing agriculture and fertility; Saturn.</li><li>(astronomy) The planet once believed to be furthest from the earth: Saturn.</li></ol>
Schyre Thursday|schyrthorsday|Schirthursday|Schireþorsday|schire Thursday|Shir Þursdaie|schirþursday|Schire Þorisday|schyre þursday|Shorthursday	<i>name</i><br><ol><li>Maundy Thursday.</li><li>The celebrations that occur at Maundy Thursday.</li></ol>
Sclave|Sclaves|sclave	<i>noun</i><br><ol><li>Slav (member of the Slavic peoples)</li></ol>
Seint Graal|sengreal|Sankegreal|sangrayle|Sankgreall|Seyn Greall|Seynt Graal	<i>name</i><br><ol><li>The Holy Grail; Sangrail.</li><li>(rare) The book of the Grail.</li></ol>
Sirie	<i>name</i><br><ol><li>Syria</li></ol>
Sol	<i>noun</i><br><ol><li>the Sun.</li></ol>
Southwerk	<i>name</i><br><ol><li>Southwark (a borough of London, England)</li></ol>
Spaignarde|Spaignardes	<i>noun</i><br><ol><li>A person from Spain or of Spanish descent.</li></ol>
Spayne|Spayn|Spaynes|Spaigne|Spaine|Speyne	<i>name</i><br><ol><li>Spain; the Iberian Peninsula, especially Castile.</li></ol>
Spynx|Spinx	<i>noun</i><br><ol><li>The Sphinx.</li></ol>
Stafford	<i>name</i><br><ol><li>A placename</li></ol>
Stoycis	<i>noun</i><br><ol><li>stoics</li></ol>
Suffolk|suþfolk|Suthfok|Southfolc|Suthfolk|Southfolk|Suthfolke|suffolke|souþfolc	<i>name</i><br><ol><li>Suffolk (a county of eastern England)</li></ol>
Sunnenday	<i>noun</i><br><ol><li>Sunday</li></ol>
Symon	<i>noun</i><br><ol><li>Simon</li></ol>
Temese|Tæmese|Temze|Tamis|Tammes|Temes|Temse|Tamise|Themese|Thamyse|Tempse|Themse|Themise|Tames|Tamese|Temeze	<i>name</i><br><ol><li>The Thames (river in SE England, notably having London on its bank)</li></ol>
Termagaunt|termagaunt|tervagaunt|Tervagaunt|tirmagaunt|Tervagant	<i>name</i><br><ol><li>Termagant</li></ol>
Tewesday	<i>noun</i><br><ol><li>Tuesday</li></ol>
Thursday	<i>name</i><br><ol><li>Thursday</li></ol>
Turke|Turkes	<i>noun</i><br><ol><li>Turk</li></ol>
Turkeis	<i>adj</i><br><ol><li>Turkish</li></ol>
