cakā́ra	<i>romanization</i><br><ol><li>Romanization of चकार</li></ol>
अंसकूट|अंसकूटः|अंसकूटात्|a-stem|अंसकूटेषु|अंसकूटेभिः1|áṃsakūṭa|अंसकूटैः|अंसकूटाय|अंसकूटासः1|अंसकूटयोः|अंसकूटान्|अंसकूटेभ्यः|अंसकूटेन|अंसकूटस्य|अंसकूटौ|अंसकूटम्|अंसकूटाः|अंसकूटानाम्|अंसकूटाभ्याम्|अंसकूटे	<i>noun</i><br><ol><li>(anatomy) shoulder</li><li>(zoology) a bull's hump, protuberance between an ox's shoulders</li></ol>
अंसत्र|अंसत्राय|अंसत्राणि|अंसत्रात्|अंसत्राणाम्|अंसत्रेभ्यः|a-stem|अंसत्रेभिः1|अंसत्रयोः|अंसत्रम्|अंसत्राभ्याम्|अंसत्रे|अंसत्रैः|अंसत्रस्य|अंसत्रेषु|अंसत्रा1|अंसत्रेण|áṃsatra	<i>noun</i><br><ol><li>armour protecting the shoulders, pauldron</li><li>a bow</li></ol>
अंसपृष्ठ|अंसपृष्ठैः|अंसपृष्ठानाम्|अंसपृष्ठा1|अंसपृष्ठम्|अंसपृष्ठे|अंसपृष्ठेन|a-stem|अंसपृष्ठानि|अंसपृष्ठेभिः1|अंसपृष्ठाय|अंसपृष्ठात्|अंसपृष्ठस्य|अंसपृष्ठेभ्यः|अंसपृष्ठाभ्याम्|áṃsapṛṣṭha|अंसपृष्ठयोः|अंसपृष्ठेषु	<i>noun</i><br><ol><li>(anatomy) back of the shoulder</li></ol>
अंसफलक|aṃsaphalaká|अंसफलकम्|अंसफलकाभ्याम्|अंसफलकाय|अंसफलकानाम्|अंसफलकस्य|अंसफलकेन|a-stem|अंसफलकेभिः1|अंसफलकयोः|अंसफलके|अंसफलकेषु|अंसफलकैः|अंसफलका1|अंसफलकेभ्यः|अंसफलकात्|अंसफलकानि	<i>noun</i><br><ol><li>(anatomy) shoulder-blade</li></ol>
अंसल|aṃsala	<i>adj</i><br><ol><li>lusty</li><li>strong</li></ol>
अंहस्|अंहोभिः|अंहसे|अंहसोः|अंहः|अंहोभ्यः|áṃhas|अंहसि|as-stem|अंहसी|अंहसा|अंहांसि|अंहःसु|अंहोभ्याम्|अंहसः|अंहसाम्	<i>noun</i><br><ol><li>anxiety, trouble, distress, affliction</li></ol>
अंहु|u-stem|अंहूनाम्|अंहौ|अंहोः|अंह्वाम्2|अंहुनि|अंहुषु|अंह्वे3|अंहुभ्यः|अंहूः|अंहुः|अंह्वा|अंह्वा1|अंह्वे1|अंहुनः1|अंह्वोः|अंह्वा2|अंहवे|áṃhu|अंहवः|अंहुम्|अंहूनि1|अंहुनोः|अंहून्|अंह्वः3|अंह्वै2|अंह्वे2|अंह्वः2|अंहो|अंह्वाः2|अंहुना|अंहुभिः|अंहुभ्याम्|अंहुनी|अंहू	<i>adj</i><br><ol><li>narrow</li></ol><br><i>noun</i><br><ol><li>anxiety, distress</li></ol>
अंह्रि|अंह्रिभ्याम्|अंह्रये|अंह्रे|अंह्रिभ्यः|अंह्रिम्|अंह्रिः|अंह्रयः|अंह्रिणा|अंह्रीन्|अंह्र्योः|अंह्रौ|अंह्रेः|अंह्रीणाम्|अंह्री|अंह्रिषु|aṃhri|i-stem|अंह्रिभिः	<i>noun</i><br><ol><li>foot</li><li>root of a tree</li></ol>
अऋणिन्|aṛṇin	<i>adj</i><br><ol><li>free from debt; unindebted (L.)</li></ol>
अक|अकानि|अकस्य|अकेभिः1|áka|अकम्|अकेन|अकाभ्याम्|अकाय|अकयोः|a-stem|अका1|अकैः|अकात्|अकेषु|अकानाम्|अके|अकेभ्यः	<i>noun</i><br><ol><li>pain, unhappiness</li><li>sin</li></ol>
अकथित|अकथितायाम्|अकथिताः|a-stem|अकथितेन|अकथितात्|अकथिताभ्यः|अकथिताभिः|अकथिता1|अकथितम्|अकथिता|अकथितयोः|अकथितेषु|अकथितासः1|अकथिते|अकथितस्य|अकथितानाम्|अकथितासु|अकथितौ|akathita|अकथिताभ्याम्|ā-stem|अकथितायै|अकथितेभ्यः|अकथितया|अकथितान्|अकथितानि|अकथिताम्|अकथितायाः|अकथितैः|अकथिताय|अकथितेभिः1|अकथितः	<i>adj</i><br><ol><li>untold, unspoken, unsaid, unmentioned, undiscussed</li></ol>
अकनिष्ठ|akaniṣṭha	<i>adj</i><br><ol><li>of whom none is the youngest (i.e. younger than the others)</li></ol><br><i>noun</i><br><ol><li>a class of Buddhist deities</li></ol>
अकन्या|अकन्यया|अकन्यानाम्|akanyā|अकन्याः|अकन्ययोः|अकन्यासु|अकन्ये|अकन्या1|ā-stem|अकन्याम्|अकन्यायै|अकन्यायाम्|अकन्यायाः|अकन्याभ्यः|अकन्याभ्याम्|अकन्याभिः	<i>noun</i><br><ol><li>(Classical Sanskrit) not a virgin; a female who has lost her virginity or has had sexual intercourse</li></ol>
अकम्प्य|akampya	<i>adj</i><br><ol><li>not to be shaken</li></ol>
अकर्तृ|akartṛ	<i>noun</i><br><ol><li>not an agent</li><li>not active</li></ol>
अकर्मक|अकर्मकयोः|अकर्मकायाः|अकर्मकायाम्|अकर्मकाभिः|a-stem|अकर्मकाय|अकर्मकम्|अकर्मकासु|अकर्मकाः|अकर्मकैः|अकर्मकेभ्यः|अकर्मकाभ्यः|अकर्मकौ|अकर्मका|ā-stem|अकर्मकाम्|अकर्मके|अकर्मकेण|अकर्मकायै|अकर्मकात्|अकर्मकान्|a-karmaka|अकर्मकः|अकर्मकाभ्याम्|अकर्मकाणि|अकर्मकया|अकर्मकेषु|अकर्मकस्य|अकर्मकाणाम्	<i>adj</i><br><ol><li>(grammar) intransitive</li></ol>
अकर्मन्|अकर्म्णि|अकर्मभ्याम्|अकर्मभिः|अकर्मसु|अकर्मभ्यः|अकर्म्णा|अकर्म्णोः|akarman|अकर्म्णाम्|अकर्मणी|अकर्म्णे|अकर्म्णः|अकर्म|n-stem|अकर्माणि	<i>adj</i><br><ol><li>not working</li><li>not performing good works, wicked</li><li>inefficient</li><li>(grammar) intransitive</li></ol><br><i>noun</i><br><ol><li>absence of work</li><li>observances</li><li>improper work, crime</li></ol>
अकाम|akāma	<i>adj</i><br><ol><li>without desire or wish</li><li>unintentional, reluctant</li><li>(grammar) the Sandhi which causes the dropping of a final r before a succeeding r</li></ol>
अकार|अकारस्य|अकाराय|akāra|अकारात्|अकाराः|अकारौ|अकारेषु|अकारैः|अकारानाम्|a-stem|अकारः|अकारेभ्यः|अकारेन|अकारान्|अकारे|अकाराभ्याम्|अकारम्|अकारयोः	<i>noun</i><br><ol><li>the Devanagari letter अ</li><li>the vowel sound /ɐ/</li></ol>
अकारण|akāraṇa	<i>adj</i><br><ol><li>causeless</li></ol><br><i>noun</i><br><ol><li>absence of a cause</li></ol>
अकारणम्|akāraṇam	<i>adv</i><br><ol><li>causelessly</li></ol>
अकारणात्|akāraṇāt	<i>adv</i><br><ol><li>causelessly</li></ol>
अकारणे|akāraṇe	<i>adv</i><br><ol><li>causelessly</li></ol>
अकारणेन|akāraṇena	<i>adv</i><br><ol><li>causelessly</li></ol>
अकार्य|अकार्येन|अकार्ये|अकार्यानाम्|अकार्ययोः|अकार्यस्य|a-stem|अकार्यैः|अकार्यात्|अकार्येभ्यः|अकार्येषु|अकार्याय|अकार्यम्|अकार्यानि|akārya|अकार्याभ्याम्	<i>adj</i><br><ol><li>not to be done, improper</li></ol><br><i>noun</i><br><ol><li>criminal action</li></ol>
अकाल|अकालया|akāla|अकालैः|a-stem|अकालाम्|अकालायाम्|अकाले|अकालायै|अकालः|अकालेन|अकालासः1|अकालेषु|अकालाभिः|अकालाभ्याम्|अकालात्|अकालानि|ā-stem|अकालाभ्यः|अकालम्|अकालायाः|अकालानाम्|अकाला|अकालेभिः1|अकालान्|अकालाः|अकालौ|अकालयोः|अकालस्य|अकालेभ्यः|अकालाय|अकाला1|अकालासु	<i>adj</i><br><ol><li>unseasonable</li></ol><br><i>noun</i><br><ol><li>a wrong or bad time</li></ol>
अकालतस्|akālatas	<i>adv</i><br><ol><li>unseasonably</li></ol>
अकाले|akāle	<i>adv</i><br><ol><li>unseasonably</li></ol>
अकिञ्चन|अकिञ्चनायाः|अकिञ्चनौ|अकिञ्चनैः|अकिञ्चनात्|अकिञ्चनयोः|a-stem|अकिञ्चनासु|अकिञ्चने|अकिञ्चनेभ्यः|अकिञ्चनाभिः|अकिञ्चनस्य|अकिञ्चनेषु|अकिञ्चनया|अकिञ्चनाभ्याम्|अकिञ्चनेन|अकिञ्चनः|akiñcana|ā-stem|अकिञ्चनाय|अकिञ्चनानाम्|अकिञ्चनानि|अकिञ्चनायै|अकिञ्चनायाम्|अकिञ्चनाः|अकिञ्चनान्|अकिञ्चनम्|अकिञ्चनाभ्यः|अकिञ्चनाम्|अकिञ्चना	<i>adj</i><br><ol><li>without anything, utterly destitute</li><li>disinterested</li></ol><br><i>noun</i><br><ol><li>that which is worth nothing</li></ol>
अकीर्ति|akīrti	<i>noun</i><br><ol><li>ill fame, notoriety, disrepute, ill repute, disgrace</li></ol>
अकीर्तिकर|akīrtikara	<i>adj</i><br><ol><li>causing disgrace, disparaging, insulting</li></ol>
अकुशल|akuśala	<i>noun</i><br><ol><li>demerit, sin, evil word</li></ol><br><i>adj</i><br><ol><li>unhappy, inauspicious, evil, unwell</li></ol>
अकूपार|अकूपारासु|अकूपारस्य|अकूपारायाः|अकूपाराभिः|a-stem|अकूपाराभ्याम्|अकूपारयोः|अकूपारया|अकूपारात्|अकूपारम्|अकूपारैः|अकूपाराणि|अकूपारायाम्|ā-stem|अकूपारः|अकूपारा|अकूपारेभ्यः|अकूपाराम्|अकूपारेषु|अकूपारेण|अकूपारौ|अकूपाराः|अकूपाराय|अकूपारायै|अकूपारान्|अकूपारे|अकूपाराणाम्|अकूपाराभ्यः|á-kūpāra	<i>adj</i><br><ol><li>unbounded</li></ol><br><i>noun</i><br><ol><li>sea</li><li>the mythical tortoise that upholds the world</li><li>name of a man</li><li>name of an aditya</li></ol>
अकृत|अकृतानि|akṛta|अकृताभ्याम्|अकृताय|अकृतैः|अकृतेभ्यः|a-stem|अकृतम्|अकृतस्य|अकृतानाम्|अकृतेषु|अकृते|अकृतयोः|अकृतात्|अकृतेन	<i>adj</i><br><ol><li>undone, not committed</li><li>not made, uncreated</li><li>unprepared, incomplete</li><li>one who has done no works</li></ol><br><i>noun</i><br><ol><li>an act never before committed</li></ol>
अकृतज्ञ|akṛtajña	<i>adj</i><br><ol><li>ungrateful</li></ol>
अकृता|अकृतायै|अकृताम्|अकृताभ्याम्|अकृताः|ákṛtā|अकृताभिः|ā-stem|अकृतया|अकृताभ्यः|अकृतायाम्|अकृतानाम्|अकृते|अकृतयोः|अकृतायाः|अकृतासु	<i>noun</i><br><ol><li>a daughter who has not been made पुत्रिका (putrikā), or a sharer in the privileges of a son</li></ol>
अकृतार्थ|akṛtārtha	<i>adj</i><br><ol><li>having one's objective unaccomplished, unsuccessful</li></ol>
अकृत्य|अकृत्येन|अकृत्यानि|अकृत्यात्|अकृत्यानाम्|अकृत्याय|अकृत्यम्|अकृत्यैः|अकृत्येभ्यः|अकृत्यस्य|a-stem|अकृत्ययोः|अकृत्याभ्याम्|akṛtya|अकृत्ये|अकृत्येषु	<i>adj</i><br><ol><li>not to be done, criminal</li></ol><br><i>noun</i><br><ol><li>crime</li></ol>
अकृष्ट|akṛṣṭa	<i>adj</i><br><ol><li>unploughed, untilled</li><li>not drawn</li></ol><br><i>noun</i><br><ol><li>unploughed land</li></ol>
अकेश|akeśa	<i>adj</i><br><ol><li>hairless</li></ol>
अक्का|akkā|अक्कायाः|अक्कानाम्|अक्कयोः|अक्काम्|अक्कासु|ā-stem|अक्कायाम्|अक्काभिः|अक्के|अक्काभ्यः|अक्कायै|अक्कया|अक्काः|अक्काभ्याम्	<i>noun</i><br><ol><li>mother (used contemptuously)</li></ol>
अक्त|अक्तायाः|अक्ताय|अक्तः|अक्ताभ्याम्|अक्तायाम्|अक्तायै|a-stem|अक्ताः|अक्तेभ्यः|अक्तया|अक्तानि|अक्तेन|अक्तैः|अक्ता|अक्तासु|अक्तात्|अक्ताभिः|akta|अक्तम्|ā-stem|अक्तान्|अक्तौ|अक्तेषु|अक्ते|अक्ताम्|अक्ताभ्यः|अक्तयोः|अक्तस्य|अक्तानाम्	<i>adj</i><br><ol><li>driven</li></ol>
अक्तु|अक्तून्|u-stem|अक्तुम्|अक्त्वः2|अक्तुभ्याम्|अक्तुना|अक्तुः|अक्त्वा1|अक्तू|अक्त्वोः|अक्तूनाम्|अक्तुभिः|अक्तुषु|अक्तो|अक्तौ|अक्तुभ्यः|अक्त्वे2|अक्तवः|अक्तवे|aktú|अक्तोः	<i>noun</i><br><ol><li>tinge, ray, light</li><li>dark tinge, darkness, night</li></ol><br><i>adv</i><br><ol><li>at night, by night</li></ol>
अक्तुभिस्|aktubhis	<i>adv</i><br><ol><li>at night</li></ol>
अक्तोस्|aktos	<i>adv</i><br><ol><li>at night</li></ol>
अक्रूर|akrūra	<i>adj</i><br><ol><li>not cruel, gentle</li></ol>
अक्लान्त|अक्लान्ता1|अक्लान्तेभ्यः|अक्लान्तायाम्|a-stem|अक्लान्ते|अक्लान्ताः|अक्लान्तानाम्|अक्लान्ताभ्याम्|अक्लान्तया|अक्लान्ताभिः|अक्लान्तासः1|अक्लान्ताभ्यः|अक्लान्तेन|अक्लान्तयोः|अक्लान्ताम्|अक्लान्ताय|अक्लान्तायाः|aklānta|अक्लान्तेभिः1|अक्लान्तैः|अक्लान्तात्|अक्लान्तानि|ā-stem|अक्लान्तासु|अक्लान्तान्|अक्लान्तः|अक्लान्तेषु|अक्लान्तायै|अक्लान्तम्|अक्लान्ता|अक्लान्तौ|अक्लान्तस्य	<i>adj</i><br><ol><li>unfatigued, tireless</li></ol>
अक्लिष्ट|akliṣṭa	<i>adj</i><br><ol><li>untroubled</li><li>undisturbed</li><li>unwearied</li></ol>
अक्ष|अक्षैः|अक्षाभ्याम्|अक्षयोः|अक्षौ|अक्षेषु|अक्षात्|a-stem|अक्षाय|अक्षेण|अक्षे|अक्षम्|अक्षान्|अक्षस्य|ákṣa|अक्षाः|अक्षः|अक्षाणाम्|अक्षेभ्यः	<i>noun</i><br><ol><li>axle, axis</li><li>wheel, car, cart</li><li>the beam of a balance or string which holds the pivot of the beam</li><li>snake</li><li>terrestrial latitude</li><li>the collar-bone</li><li>the temporal bone</li></ol>
अक्षत|अक्षतम्|अक्षतैः|अक्षताय|a-stem|अक्षताः|अक्षतेषु|अक्षतौ|ákṣata|अक्षताभ्याम्|अक्षतः|अक्षतयोः|अक्षतस्य|अक्षतानि|akṣata|अक्षत|अक्षतात्|अक्षतेन|अक्षतानाम्|अक्षतेभ्यः|अक्षते|अक्षतान्	<i>adj</i><br><ol><li>not crushed</li><li>uninjured, unbroken, whole</li></ol><br><i>noun</i><br><ol><li>eunuch</li><li>unhusked barley-corn(s)</li></ol>
अक्षता|अक्षतासु|अक्षतया|अक्षताम्|अक्षतयोः|ákṣatā|अक्षतानाम्|ā-stem|अक्षतायाम्|अक्षता1|अक्षताभ्यः|अक्षतायै|अक्षतायाः|अक्षताः|अक्षताभिः|अक्षते|अक्षताभ्याम्	<i>noun</i><br><ol><li>virgin</li></ol>
अक्षन्|akṣan	<i>noun</i><br><ol><li>an organ of sense</li></ol>
अक्षम|akṣama	<i>adj</i><br><ol><li>unable to endure, impatient</li><li>incompetent, incapable</li><li>envious</li></ol>
अक्षमा|akṣamā	<i>noun</i><br><ol><li>impatience, envy</li><li>incompetence, inability</li></ol>
अक्षम्य|अक्षम्याय|akṣamya|अक्षम्याभ्याम्|अक्षम्यायै|a-stem|अक्षम्यौ|अक्षम्याभिः|अक्षम्यायाम्|अक्षम्याभ्यः|अक्षम्येषु|अक्षम्याणाम्|अक्षम्याः|अक्षम्यात्|अक्षम्याम्|अक्षम्यायाः|अक्षम्या|अक्षम्यासु|अक्षम्यासः1|अक्षम्यम्|अक्षम्यः|अक्षम्याणि|अक्षम्येण|अक्षम्यान्|अक्षम्ययोः|अक्षम्यस्य|अक्षम्ये|ā-stem|अक्षम्या1|अक्षम्येभ्यः|अक्षम्यैः|अक्षम्येभिः1|अक्षम्यया	<i>adj</i><br><ol><li>unforgivable, unpardonable</li></ol>
अक्षय|akṣaya|अक्षयायाः|अक्षये|अक्षया|अक्षयात्|अक्षयायै|a-stem|अक्षयैः|अक्षयाभिः|अक्षयासु|अक्षयेन|अक्षयाः|अक्षयः|अक्षयानाम्|अक्षययोः|अक्षयान्|अक्षयाभ्यः|अक्षयया|अक्षयाम्|ā-stem|अक्षयानि|अक्षयम्|अक्षयौ|अक्षयेभ्यः|अक्षयाय|अक्षयायाम्|अक्षयाभ्याम्|अक्षयेषु|अक्षयस्य	<i>adj</i><br><ol><li>exempt from decay, undecaying</li><li>eternal</li><li>imperishable</li><li>inexhaustible</li><li>undying</li></ol>
अक्षयता|akṣayatā	<i>noun</i><br><ol><li>imperishableness</li></ol>
अक्षयत्व|akṣayatva	<i>noun</i><br><ol><li>imperishability</li></ol>
अक्षया|akṣayā	<i>noun</i><br><ol><li>the seventh day of a lunar month, if it falls on Sunday or Monday</li><li>the fourth, if it falls on Wednesday</li></ol>
अक्षय्य|akṣayyá	<i>adj</i><br><ol><li>undecaying</li></ol><br><i>intj</i><br><ol><li>"May thy prosperity be undecaying! " (a form of blessing addressed to a वैश्य (vaiśya))</li></ol>
अक्षर|अक्षरेभिः1|अक्षरम्|अक्षरः|a-stem|अक्षराय|अक्षरात्|अक्षरेण|अक्षरा1|अक्षराः|अक्षरौ|अक्षराणाम्|अक्षरे|अक्षरायाः|अक्षरयोः|अक्षरेषु|अक्षरायाम्|अक्षरस्य|अक्षराम्|ā-stem|अक्षरा|अक्षरेभ्यः|अक्षरान्|अक्षरासु|अक्षरायै|अक्षराभ्याम्|अक्षरैः|अक्षराभिः|अक्षराभ्यः|akṣára|akṣara|अक्षराणि|अक्षरया	<i>adj</i><br><ol><li>imperishable</li><li>unalterable</li></ol><br><i>noun</i><br><ol><li>syllable</li><li>the syllable om</li><li>letter</li><li>vowel</li><li>sound</li><li>word</li><li>a name of Brahma</li><li>water</li><li>final beatitude, religious austerity, a sacrifice (lexicography)</li><li>Achyranthes aspera (devil's horsewhip)</li><li>sword (lexicography)</li><li>Siva (lexicography)</li><li>Vishnu (lexicography)</li></ol>
अक्षरसमाम्नाय|akṣarasamāmnāya	<i>noun</i><br><ol><li>alphabet (Pat., BhP.)</li></ol>
अक्षरा|ákṣarā|अक्षरायै|अक्षराभ्याम्|अक्षरायाम्|अक्षराम्|अक्षरायाः|अक्षराभिः|अक्षराः|अक्षराभ्यः|ā-stem|अक्षरे|अक्षरानाम्|अक्षरया|अक्षरासु|अक्षरयोः	<i>noun</i><br><ol><li>word</li><li>speech</li></ol>
अक्षहृदय|akṣahṛdaya	<i>noun</i><br><ol><li>innermost nature of dice, perfect skill in gambling</li></ol>
अक्षान्ति|akṣānti	<i>noun</i><br><ol><li>impatience, jealousy, intolerance</li></ol>
अक्षार|akṣāra	<i>adj</i><br><ol><li>free from alkali or factitious salt</li></ol>
अक्षि|अक्षिषु|अक्षी|अक्षिभ्याम्|अक्ष्णोः|ákṣi|अक्षीणी|अक्षिभिः|अक्षन्|अक्षिभ्यः|अक्ष्योः|अक्ष्णि|अक्ष्यौ|अक्षीणि|akṣan|अक्ष्णा|अक्ष्णे|अक्षोः|अक्षाणि|अक्षे|अक्षिणी|अक्ष्णाम्|अक्ष्णाः	<i>noun</i><br><ol><li>eye</li><li>the number two</li><li>(in dual form) the sun and moon</li></ol>
अक्षित|अक्षितेषु|अक्षिताभ्यः|अक्षितायाः|a-stem|अक्षिताः|अक्षिता|अक्षितेभिः1|अक्षितौ|अक्षिताम्|अक्षितायाम्|अक्षिताभिः|अक्षितासु|अक्षितात्|अक्षितः|अक्षितेभ्यः|अक्षितान्|अक्षिता1|अक्षिताय|अक्षितस्य|ā-stem|अक्षितायै|अक्षितानि|अक्षितया|अक्षितम्|अक्षितासः1|अक्षिताभ्याम्|ákṣita|अक्षितेन|अक्षितयोः|अक्षिते|अक्षितैः|अक्षितानाम्	<i>adj</i><br><ol><li>imperishable, everlasting, undying, undecaying, unfailing</li></ol>
अक्षितोति|अक्षितोत्यः2|अक्षितोत्या1|अक्षितोतयः|अक्षितोतिभ्यः|अक्षितोतये|अक्षितोतिषु|अक्षितोतिभिः|अक्षितोत्योः|अक्षितोतीनाम्|अक्षितोतिः|अक्षितोतौ|अक्षितोती|i-stem|ákṣitoti|अक्षितोतिभ्याम्|अक्षितोत्ये2|अक्षितोतेः|अक्षितोतिम्|अक्षितोतीन्|अक्षितोतिना|अक्षितोते	<i>name</i><br><ol><li>(Vedic religion, Hinduism) an epithet of Indra</li></ol>
अक्षिपुट|akṣipuṭa	<i>noun</i><br><ol><li>eyelid</li></ol>
अक्षुण्ण|अक्षुण्णम्|अक्षुण्णासः1|अक्षुण्णानि|a-stem|अक्षुण्णा1|अक्षुण्णे|अक्षुण्णाभ्याम्|अक्षुण्णाभ्यः|अक्षुण्णेन|अक्षुण्णात्|अक्षुण्णयोः|अक्षुण्णः|अक्षुण्णेभिः1|अक्षुण्णासु|अक्षुण्णाय|अक्षुण्णैः|अक्षुण्णस्य|अक्षुण्णेभ्यः|akṣuṇṇa|अक्षुण्णाम्|अक्षुण्णौ|अक्षुण्णाभिः|ā-stem|अक्षुण्णायाम्|अक्षुण्णाः|अक्षुण्णायै|अक्षुण्णायाः|अक्षुण्णानाम्|अक्षुण्णान्|अक्षुण्णा|अक्षुण्णेषु|अक्षुण्णया	<i>adj</i><br><ol><li>unbroken, uncurtailed</li><li>not conquered or defeated, successful</li><li>unusual, strange</li><li>not practised or followed</li><li>inexperienced</li></ol>
अक्षुण्णता|अक्षुण्णताभ्याम्|अक्षुण्णतानाम्|अक्षुण्णता1|अक्षुण्णतायै|अक्षुण्णतासु|अक्षुण्णताः|akṣuṇṇatā|अक्षुण्णते|अक्षुण्णताम्|अक्षुण्णतायाम्|ā-stem|अक्षुण्णतायाः|अक्षुण्णतया|अक्षुण्णतयोः|अक्षुण्णताभिः|अक्षुण्णताभ्यः	<i>noun</i><br><ol><li>the state of being unbroken or continuous; continuity</li><li>lack of experience; inexperience</li></ol>
अक्षोभ|akṣobha	<i>noun</i><br><ol><li>tranquility, calmness</li><li>post to which an elephant is tied</li></ol><br><i>adj</i><br><ol><li>unagitated, unmoved</li></ol>
अक्षोभ्य|akṣobhya	<i>adj</i><br><ol><li>immovable, imperturbable</li></ol>
अक्षौहिणी|akṣauhiṇī	<i>noun</i><br><ol><li>an army consisting of ten anikinis, or 21,870 elephants, 21,870 chariots, 65,610 horses, and 109,350 foot</li></ol>
अक्ष्|akṣ	<i>root</i><br><ol><li>to attain</li><li>to reach</li></ol>
अक्ष्णया|akṣṇayā	<i>adj</i><br><ol><li>diagonally, transversely</li><li>wrongly</li></ol>
