Almaañ	<i>name</i><br><ol><li>Germany</li></ol>
bindakat	<i>noun</i><br><ol><li>writer</li></ol>
bisaab|form bisaab bi	<i>noun</i><br><ol><li>roselle</li></ol>
bokk	<i>verb</i><br><ol><li>to belong to; to be part of</li><li>to share</li></ol>
boroom	<i>noun</i><br><ol><li>head of a group</li></ol>
boroom kër	<i>noun</i><br><ol><li>head of household, usually male</li></ol>
boroom njabot	<i>noun</i><br><ol><li>head of the children, in reference to a mother figure.</li></ol>
bukki|form bukki bi	<i>noun</i><br><ol><li>hyena</li></ol>
bulo	<i>verb</i><br><ol><li>to be blue</li></ol>
bunt	<i>noun</i><br><ol><li>door</li></ol>
bunta	<i>noun</i><br><ol><li>door</li><li>department</li></ol>
butit|form butit bi	<i>noun</i><br><ol><li>intestine</li></ol>
buum	<i>noun</i><br><ol><li>rope, cord</li></ol>
buy|form buy bi	<i>noun</i><br><ol><li>baobab fruit</li><li>sweet drink made of this fruit by adding water, sugar, milk, and other ingredients</li></ol>
bànjóoli|form bànjóoli bi	<i>noun</i><br><ol><li>ostrich</li></ol>
bàq|form bàq gi	<i>noun</i><br><ol><li>stomach</li></ol>
bàyyima|form bàyyima bi	<i>noun</i><br><ol><li>domestic animal, beast of burden</li></ol>
bëgg	<i>verb</i><br><ol><li>to want</li><li>to like; to love</li></ol>
bër|form bër bi	<i>verb</i><br><ol><li>(transitive) to close school for a vacation or holiday</li></ol><br><i>noun</i><br><ol><li>A kind of fish.</li></ol>
bët|gët|form gët yi|form bët bi	<i>noun</i><br><ol><li>eye</li></ol>
bëy|béy|form bëy wi|form béy wi	<i>noun</i><br><ol><li>goat</li></ol>
bëñ|form bëñ bi	<i>noun</i><br><ol><li>tooth</li></ol>
caabi|form caabi ji	<i>noun</i><br><ol><li>key</li></ol>
caaf	<i>noun</i><br><ol><li>Roasted peanuts</li></ol>
caaxoñ	<i>noun</i><br><ol><li>gills</li></ol>
ceeb|form ceeb bi	<i>noun</i><br><ol><li>rice</li></ol>
ceebu jën	<i>noun</i><br><ol><li>thieboudienne</li></ol>
cere|form cere ji	<i>noun</i><br><ol><li>couscous</li></ol>
ci saa si	<i>adv</i><br><ol><li>immediately, at once, right away</li></ol>
coblet|form coblet gi	<i>noun</i><br><ol><li>wagtail</li></ol>
coof	<i>noun</i><br><ol><li>a kind of fish</li><li>boyfriend</li></ol>
coro	<i>noun</i><br><ol><li>girlfriend</li></ol>
cosaan|form cosaan li	<i>noun</i><br><ol><li>tradition, custom</li><li>origin, history</li></ol>
cubalo	<i>noun</i><br><ol><li>fisherman</li></ol>
cus|form cus wi	<i>noun</i><br><ol><li>nipple</li></ol>
cuub	<i>noun</i><br><ol><li>dye</li></ol>
cuuraay|form cuuraay li	<i>noun</i><br><ol><li>incense</li></ol>
daaw	<i>noun</i><br><ol><li>last year</li></ol>
dajale	<i>verb</i><br><ol><li>to collect, gather sth</li></ol>
daje	<i>verb</i><br><ol><li>to meet (each other), come together, gather</li></ol>
daqaar|form daqaar ji	<i>noun</i><br><ol><li>tamarind</li></ol>
dara	<i>noun</i><br><ol><li>nothing</li></ol>
darkasa|form darkasa bi	<i>noun</i><br><ol><li>cashew apple</li></ol>
dayoo	<i>noun</i><br><ol><li>limit</li></ol>
def	<i>verb</i><br><ol><li>to do</li></ol>
dekka	<i>noun</i><br><ol><li>village, town</li></ol>
dem	<i>verb</i><br><ol><li>to go</li></ol>
der|form der wi	<i>noun</i><br><ol><li>skin</li></ol>
deret|form deret ji|form dereet ji|dereet	<i>noun</i><br><ol><li>blood</li></ol>
dex	<i>noun</i><br><ol><li>river</li></ol>
dibéer	<i>noun</i><br><ol><li>Sunday</li></ol>
dimbal	<i>noun</i><br><ol><li>help</li></ol>
dinaa	<i>pron</i><br><ol><li>I (future) (first person singular terminative pronoun)</li></ol>
dinga	<i>pron</i><br><ol><li>you (future) (second person singular terminative pronoun)</li></ol>
diw|form diw gi	<i>noun</i><br><ol><li>oil, fat, butter, ointment</li></ol>
domp	<i>verb</i><br><ol><li>to pinch</li></ol>
doom|form doom ji|form doom bi	<i>noun</i><br><ol><li>child, offspring</li><li>fruit, seed</li><li>tablet, pill</li></ol>
dox	<i>verb</i><br><ol><li>to walk</li></ol>
doxantoondoo	<i>verb</i><br><ol><li>to go on a walk together</li></ol>
doxantu	<i>verb</i><br><ol><li>to take a walk, to go for a walk</li></ol>
dugub	<i>noun</i><br><ol><li>millet</li></ol>
duñoor	<i>noun</i><br><ol><li>custard apple</li></ol>
dàngin|form dàngin gi	<i>noun</i><br><ol><li>gorilla</li></ol>
déedéet	<i>particle</i><br><ol><li>no</li></ol>
déem|form déem gi	<i>noun</i><br><ol><li>jujube</li></ol>
dégg	<i>verb</i><br><ol><li>to hear</li><li>to understand</li></ol>
déwén	<i>noun</i><br><ol><li>nextyear</li></ol>
dëj	<i>noun</i><br><ol><li>funeral</li></ol>
dëjj	<i>noun</i><br><ol><li>cunt</li></ol>
dëkk|form dëkk bi	<i>noun</i><br><ol><li>city, town</li></ol><br><i>verb</i><br><ol><li>to live in</li></ol>
dëkkandoo	<i>noun</i><br><ol><li>neighbor</li></ol>
dënn|form dënn bi	<i>noun</i><br><ol><li>chest</li></ol>
dërëm|form dërëm bi	<i>noun</i><br><ol><li>five francs</li></ol>
esaans	<i>noun</i><br><ol><li>petrol, gasoline</li></ol>
faar|form faar gi	<i>noun</i><br><ol><li>rib</li></ol>
fajar|form fajar ji	<i>noun</i><br><ol><li>dawn</li><li>(Islam) fajr (dawn prayer)</li></ol>
fajkat	<i>noun</i><br><ol><li>doctor</li></ol>
fanweer	<i>noun</i><br><ol><li>thirty</li></ol>
fas|form fas wi	<i>noun</i><br><ol><li>horse</li></ol>
fat	<i>verb</i><br><ol><li>to shelter</li></ol>
fatt	<i>verb</i><br><ol><li>to plug</li></ol>
fey	<i>verb</i><br><ol><li>to pay</li><li>to extinguish; to turn off</li><li>to respond to a greeting</li></ol>
fii	<i>pron</i><br><ol><li>this place</li></ol>
fukk	<i>num</i><br><ol><li>ten</li></ol>
fukk ak benn	<i>num</i><br><ol><li>eleven</li></ol>
fukk ak juróom	<i>num</i><br><ol><li>fifteen</li></ol>
fukk ak juróom benn	<i>num</i><br><ol><li>sixteen</li></ol>
fukk ak juróom ñaar	<i>num</i><br><ol><li>seventeen</li></ol>
fukk ak juróom ñeent	<i>num</i><br><ol><li>nineteen</li></ol>
fukk ak juróom ñett	<i>num</i><br><ol><li>eighteen</li></ol>
fukk ak ñaar	<i>num</i><br><ol><li>twelve</li></ol>
fukk ak ñeent	<i>num</i><br><ol><li>fourteen</li></ol>
fukk ak ñett	<i>num</i><br><ol><li>thirteen</li></ol>
gaawu	<i>noun</i><br><ol><li>Saturday</li></ol>
gan|form gan gi	<i>noun</i><br><ol><li>stranger</li><li>guest</li></ol>
ganaar|form ginaar gi|form ganaar gi|ginaar	<i>noun</i><br><ol><li>chicken</li></ol>
garab|form garab gi|form garab bi	<i>noun</i><br><ol><li>plant, tree</li><li>medicine</li></ol>
gaynde|form gaynde gi	<i>noun</i><br><ol><li>lion</li></ol>
geeta	<i>noun</i><br><ol><li>herd</li></ol>
gerte|form gerte gi	<i>noun</i><br><ol><li>peanut</li></ol>
giléem|form giléem gi|gëléem|form gëléem gi	<i>noun</i><br><ol><li>camel</li></ol>
gis	<i>verb</i><br><ol><li>to see</li></ol>
golo|form golo gi	<i>noun</i><br><ol><li>monkey</li></ol>
goro	<i>noun</i><br><ol><li>in-law</li></ol>
gox	<i>noun</i><br><ol><li>continent</li></ol>
goŋ	<i>noun</i><br><ol><li>baboon</li></ol>
guddi	<i>noun</i><br><ol><li>night</li></ol>
gunóor|form gunóor gi	<i>noun</i><br><ol><li>insect (especially a beetle)</li></ol>
guy|form guy gi	<i>noun</i><br><ol><li>baobab</li></ol>
guyaab|form guyaab bi	<i>noun</i><br><ol><li>guava</li></ol>
géer|form géer gi	<i>noun</i><br><ol><li>A "noble"; someone who belongs to the highest tier in society.</li></ol>
gémmiñ|form gémmiñ gi	<i>noun</i><br><ol><li>mouth</li></ol>
génn	<i>verb</i><br><ol><li>to go out</li></ol>
géwal|géwél|form géwal bi|form géwél bi|form géwël bi|géwël	<i>noun</i><br><ol><li>griot</li></ol>
gëm	<i>verb</i><br><ol><li>to believe</li></ol>
gëmm	<i>verb</i><br><ol><li>to close one's eyes</li></ol>
góor|form góor gi	<i>noun</i><br><ol><li>man, male</li></ol>
góór-góórlu	<i>verb</i><br><ol><li>to do one's best</li></ol>
inchaalaaxu	<i>intj</i><br><ol><li>(Islam) God willing, inshallah</li></ol>
indi	<i>verb</i><br><ol><li>to bring</li></ol>
jaam|form jaam ji	<i>noun</i><br><ol><li>a slave; someone belonging to the lowest tier of society</li></ol>
jaan	<i>noun</i><br><ol><li>snake</li></ol>
jaay	<i>verb</i><br><ol><li>to sell</li></ol>
jabar|form jabar bi|form jabar ji	<i>noun</i><br><ol><li>wife</li></ol>
jamano|form jamono ji|jamono|form jamano ji	<i>noun</i><br><ol><li>period, times, era (period of time)</li></ol>
janax|form jinax ji|form janax ji|jinax	<i>noun</i><br><ol><li>mouse, rat</li></ol>
jarbaat	<i>noun</i><br><ol><li>niece, nephew</li></ol>
jataay	<i>noun</i><br><ol><li>advice</li></ol>
jaxaay|form jaxaay ji	<i>noun</i><br><ol><li>eagle</li></ol>
jibar|form jabar bi|form jibar bi|jabar	<i>noun</i><br><ol><li>charlatan</li></ol>
jigéen|form jigéen ji	<i>noun</i><br><ol><li>woman, female</li></ol>
jox	<i>verb</i><br><ol><li>(ditransitive) to give sb sth</li></ol>
joxe	<i>verb</i><br><ol><li>(transitive) to give sth</li><li>(ditransitive, transitive) to give (sb) sth at a specific place, in a specific manner, or with a specific instrument</li></ol>
juddu	<i>verb</i><br><ol><li>to be born</li></ol>
jumtukaay	<i>noun</i><br><ol><li>tool</li></ol>
junni	<i>num</i><br><ol><li>thousand</li></ol>
jur	<i>verb</i><br><ol><li>to father; to beget</li><li>to give birth to</li><li>to bear fruit; to produce</li></ol>
juróom	<i>num</i><br><ol><li>five</li></ol>
juróom benn	<i>num</i><br><ol><li>six</li></ol>
juróom ñaar	<i>num</i><br><ol><li>seven</li></ol>
juróom ñeent	<i>num</i><br><ol><li>nine</li></ol>
juróom ñett	<i>num</i><br><ol><li>eight</li></ol>
jàmm|form jàmm ji	<i>noun</i><br><ol><li>peace</li></ol>
jàng	<i>verb</i><br><ol><li>(transitive, intransitive) to learn (sth)</li><li>(transitive, intransitive) to read (sth)</li></ol>
jàngal	<i>verb</i><br><ol><li>(ditransitive, transitive) to teach sb (sth)</li></ol>
jàngale	<i>verb</i><br><ol><li>(transitive, intransitive) to teach (sth)</li><li>(ditransitive, transitive, intransitive) to teach (sb sth) at a specific place, in a specific manner, or with a specific instrument</li></ol>
jàngalekat|form jàngalekat bi	<i>noun</i><br><ol><li>teacher</li></ol>
jëkkër|form jëkkër ji	<i>noun</i><br><ol><li>husband</li></ol>
jën	<i>noun</i><br><ol><li>fish</li></ol>
jóg	<i>verb</i><br><ol><li>to stand up</li></ol>
jóge	<i>verb</i><br><ol><li>to come from (a place, country)</li></ol>
kaani|form kaani gi	<i>noun</i><br><ol><li>chile</li></ol>
kaani-salaat|form kaani-salaat gi	<i>noun</i><br><ol><li>bell pepper</li></ol>
kanaara|form kanaara gi	<i>noun</i><br><ol><li>duck</li></ol>
kancóoli|form kancóoli gi	<i>noun</i><br><ol><li>Gambian pouched rat (Cricetomys gambianus)</li></ol>
karoot|form karoot bi	<i>noun</i><br><ol><li>carrot</li></ol>
kaw	<i>noun</i><br><ol><li>village, countryside</li></ol>
kaye	<i>noun</i><br><ol><li>notebook</li></ol>
kañ	<i>adv</i><br><ol><li>(interrogative) when</li></ol>
kaña|form kaña gi	<i>noun</i><br><ol><li>rat</li></ol>
kii	<i>pron</i><br><ol><li>this person</li></ol>
ko	<i>pron</i><br><ol><li>him/her/it (third-person singular object pronoun)</li></ol>
koko|form koko bi	<i>noun</i><br><ol><li>coconut</li></ol>
komkombar|form komkombar bi	<i>noun</i><br><ol><li>cucumber</li></ol>
kooba|form kooba gi	<i>noun</i><br><ol><li>roan antelope</li></ol>
kuddu|form kuddu gi	<i>noun</i><br><ol><li>spoon</li></ol>
kund|form kund bi	<i>noun</i><br><ol><li>honey badger, ratel</li></ol>
kuti|form kuti bi	<i>noun</i><br><ol><li>puppy</li></ol>
kuuy|form kuuy mi	<i>noun</i><br><ol><li>ram</li></ol>
kàddu	<i>noun</i><br><ol><li>speech, word, sentence, phrase</li></ol>
kànja|kànje|form kànje gi|form kànja gi	<i>noun</i><br><ol><li>okra</li></ol>
kéwél|form kéwél gi	<i>noun</i><br><ol><li>gazelle</li></ol>
këf|form këf ki	<i>noun</i><br><ol><li>thing</li></ol>
kër|form kër gi	<i>noun</i><br><ol><li>house</li></ol>
la	<i>pron</i><br><ol><li>you (second-person singular object pronoun)</li></ol>
lal	<i>noun</i><br><ol><li>bed</li></ol>
leen	<i>pron</i><br><ol><li>you (second-person plural object pronoun)</li><li>them (third-person plural object pronoun)</li></ol>
lekk	<i>verb</i><br><ol><li>to eat</li></ol>
leraw|form leraw bi	<i>noun</i><br><ol><li>manatee</li></ol>
lex|form lex bi	<i>noun</i><br><ol><li>cheek (part of the face)</li></ol>
liir|form liir bi	<i>noun</i><br><ol><li>baby</li></ol>
limoŋ|form limoŋ bi	<i>noun</i><br><ol><li>lemon</li></ol>
lonkoo	<i>noun</i><br><ol><li>connection</li><li>cooperation</li></ol>
lor|form lor wi	<i>noun</i><br><ol><li>saliva</li></ol>
loxo|form loxo bi	<i>noun</i><br><ol><li>arm, hand</li></ol>
lujum|form lujum yi	<i>noun</i><br><ol><li>vegetable</li></ol>
làkk	<i>verb</i><br><ol><li>(intransitive) to be unintelligible or speak incomprehensibly</li><li>(transitive, intransitive) to speak a language other than Wolof</li></ol>
làmb|form làmb ji	<i>noun</i><br><ol><li>a wrestling match or session.</li></ol>
làmmiñ|form làmmiñ wi	<i>noun</i><br><ol><li>tongue</li></ol>
léebéer|form léebéer bi	<i>noun</i><br><ol><li>hippopotamus</li></ol>
léegi	<i>adv</i><br><ol><li>now</li></ol>
lëg|form lëg gi	<i>noun</i><br><ol><li>hare</li></ol>
lóriye|form lóriye bi	<i>noun</i><br><ol><li>laurel</li></ol>
ma	<i>pron</i><br><ol><li>me (first-person singular object pronoun)</li></ol>
maalo	<i>noun</i><br><ol><li>(Gambia) rice</li></ol>
maam|form maam ji	<i>noun</i><br><ol><li>grandparent</li></ol>
maangi	<i>pron</i><br><ol><li>I (first person singular perfect presentative pronoun)</li></ol>
maangiy	<i>pron</i><br><ol><li>I (First person singular, imperfect presentative pronoun)</li></ol>
mag|form mag ji	<i>noun</i><br><ol><li>older sibling</li></ol>
mala|form mala mi	<i>noun</i><br><ol><li>animal</li></ol>
man	<i>pron</i><br><ol><li>I (first-person singular subject pronoun)</li></ol>
mar	<i>noun</i><br><ol><li>thirst</li></ol>
mbaa	<i>particle</i><br><ol><li>Placed at the beginning or end of a sentence to indicate a question where the speaker explicitly hopes for a positive answer.</li></ol>
mbaal	<i>noun</i><br><ol><li>net</li></ol>
mbaam	<i>noun</i><br><ol><li>donkey</li><li>pig</li></ol>
mbaam-sëf|form mbaam-sëf mi	<i>noun</i><br><ol><li>donkey, ass</li></ol>
mbaam-xuux|form mbaam-xuux mi	<i>noun</i><br><ol><li>pig</li></ol>
mbaam-àll|form mbaam-àll mi	<i>noun</i><br><ol><li>warthog</li></ol>
mbaar	<i>noun</i><br><ol><li>shelter</li></ol>
mbagg|form mbagg mi	<i>noun</i><br><ol><li>shoulder</li></ol>
mbay	<i>noun</i><br><ol><li>agriculture</li></ol>
mbill|form mbill mi	<i>noun</i><br><ol><li>kob or reedbuck</li></ol>
mbokk|form mbokk yi	<i>noun</i><br><ol><li>relative</li></ol>
mbonaat	<i>noun</i><br><ol><li>tortoise</li></ol>
mbonkana	<i>noun</i><br><ol><li>whale</li></ol>
mbootaay	<i>noun</i><br><ol><li>organization</li></ol>
mboq|form mboq mi	<i>noun</i><br><ol><li>maize</li></ol>
mbote|form mbote mi|mburtu|form mburtu mi	<i>noun</i><br><ol><li>lamb</li></ol>
mbott|form mbott mi	<i>noun</i><br><ol><li>toad</li></ol>
mbubb|form mbubb mi	<i>noun</i><br><ol><li>boubou (type of robe worn by men in Senegal)</li></ol>
mburu	<i>noun</i><br><ol><li>bread</li></ol>
mbédd|form mbédd mi	<i>noun</i><br><ol><li>street, road</li></ol>
mbër|form mbër mi	<i>noun</i><br><ol><li>wrestling</li></ol>
meew|form meew mi	<i>noun</i><br><ol><li>milk</li></ol>
melax	<i>noun</i><br><ol><li>shine, sparkle</li></ol>
metit	<i>noun</i><br><ol><li>pain</li></ol>
meññeef	<i>noun</i><br><ol><li>fruit</li></ol>
minise	<i>noun</i><br><ol><li>carpenter</li></ol>
moom	<i>pron</i><br><ol><li>he/she/it (third-person singular subject pronoun)</li></ol>
mungi	<i>pron</i><br><ol><li>he, she, it (third person singular presentative pronoun)</li></ol>
mungiy	<i>pron</i><br><ol><li>He, She, it (third person singular, imperfect presentative pronoun)</li></ol>
muus|form muus mi	<i>noun</i><br><ol><li>cat</li></ol>
muxat	<i>noun</i><br><ol><li>fool</li></ol>
màndarin|form màndarin bi	<i>noun</i><br><ol><li>mandarin orange</li></ol>
màngo|form màngo bi	<i>noun</i><br><ol><li>mango</li></ol>
móol	<i>noun</i><br><ol><li>fisherman</li></ol>
naa	<i>pron</i><br><ol><li>I (first person singular terminative pronoun)</li></ol>
naag	<i>noun</i><br><ol><li>enclosure, pen</li></ol>
naaj	<i>noun</i><br><ol><li>sun</li></ol>
naaje|form naaje bi	<i>noun</i><br><ol><li>pumpkin</li></ol>
naajo	<i>noun</i><br><ol><li>pumpkin, squash</li></ol>
naan	<i>verb</i><br><ol><li>to drink</li></ol>
naana|form naana ji	<i>noun</i><br><ol><li>mint</li></ol>
naanaa|form naanaa bi	<i>noun</i><br><ol><li>mint</li></ol><br><i>verb</i><br><ol><li>to go on a walk together</li></ol>
naat|form naat bi	<i>noun</i><br><ol><li>guinea fowl</li></ol>
nag|form nag wi	<i>noun</i><br><ol><li>cow, cattle</li></ol>
naka	<i>adv</i><br><ol><li>(interrogative) how is, how are</li></ol>
nan	<i>adv</i><br><ol><li>(interrogative) how</li></ol>
nar	<i>verb</i><br><ol><li>to lie</li></ol>
nawe|form nawe bi	<i>noun</i><br><ol><li>turnip</li></ol>
nawet|form nawet bi	<i>noun</i><br><ol><li>rainy season</li><li>shuttle (sliding thread holder in a sewing machine)</li></ol><br><i>verb</i><br><ol><li>to spend the rainy season (somewhere)</li></ol>
ndab|form ndab li	<i>noun</i><br><ol><li>calabash</li></ol>
ndam	<i>noun</i><br><ol><li>victory</li></ol>
ndaw|form ndaw si|form ndaw li|form ndaw gi	<i>noun</i><br><ol><li>youth, young man</li><li>messenger</li><li>young woman</li></ol>
ndax|ndaxte	<i>particle</i><br><ol><li>Placed at the beginning of a sentence to indicate a question.</li></ol><br><i>conj</i><br><ol><li>because</li><li>so that</li></ol>
ndey	<i>noun</i><br><ol><li>mother, or one's maternal aunt</li></ol>
ndobin|form ndobin gi	<i>noun</i><br><ol><li>ground hornbill</li></ol>
ndox|form ndox mi	<i>noun</i><br><ol><li>water</li></ol>
ndës|form ndës gi	<i>noun</i><br><ol><li>mat</li></ol>
nekk	<i>verb</i><br><ol><li>to be in, to be at</li></ol>
nelaw	<i>verb</i><br><ol><li>to sleep</li></ol>
ngelaw|form ngelaw li	<i>noun</i><br><ol><li>wind</li></ol><br><i>verb</i><br><ol><li>be windy</li></ol>
ngoon	<i>noun</i><br><ol><li>afternoon</li></ol>
ngor	<i>noun</i><br><ol><li>honor</li></ol>
nguur	<i>noun</i><br><ol><li>government</li></ol>
ngénté|form ngénté li	<i>noun</i><br><ol><li>naming ceremony</li></ol>
nijjaay	<i>noun</i><br><ol><li>uncle</li></ol>
nit|form nit ki	<i>noun</i><br><ol><li>person</li></ol>
njabot	<i>noun</i><br><ol><li>children, said in relation to the mother</li></ol>
njamala|form njamala gi	<i>noun</i><br><ol><li>giraffe</li></ol>
njaxat|form njaxat bi	<i>noun</i><br><ol><li>aardvark</li></ol>
njiit	<i>noun</i><br><ol><li>chief</li></ol>
njomboor|form njomboor ji	<i>noun</i><br><ol><li>rabbit</li></ol>
njugub|form njugub bi	<i>noun</i><br><ol><li>bat</li></ol>
nob	<i>verb</i><br><ol><li>to love</li></ol>
nopp|form nopp bi	<i>noun</i><br><ol><li>ear</li></ol>
noppa	<i>noun</i><br><ol><li>ear</li></ol>
nu	<i>pron</i><br><ol><li>we (first-person plural object pronoun)</li></ol>
nun|ñun	<i>pron</i><br><ol><li>we (first-person plural subject pronoun)</li></ol>
nungi	<i>pron</i><br><ol><li>We (First person plural, perfect presentative pronoun)</li></ol>
nungiy	<i>pron</i><br><ol><li>We (First person plural, imperfect presentative pronoun)</li></ol>
