(h)eakkë	<i>adv</i><br><ol><li>suddenly</li></ol>
(h)uvjë|huv̯j̯ëptāk̯ëk|huvjës̯ën|huv̯j̯ëjnë|huv̯j̯ëm|huv̯j̯ëjtē|huvjënē|uv̯j̯ën|uv̯j̯ëstē|uv̯j̯ëjstē|huvjë|uv̯j̯ësnē|uv̯j̯ëptāk̯ëk|huv̯j̯ëk|huv̯j̯ëjnē|huv̯j̯ëjstē|huv̯j̯ëstē|uvjënē|huvjëtē|uv̯j̯ëk|uv̯j̯ëjnë|huv̯j̯ën|uvjë|uv̯j̯ëjnē|uv̯j̯ëjtē|uvjës̯ën|huv̯j̯ësnē|uvjëtē|uv̯j̯ëm|huv̯j̯ëj|uv̯j̯ëj	<i>noun</i><br><ol><li>down (soft feathers)</li></ol>
(h)ëpsētēk	<i>verb</i><br><ol><li>to smell (something)</li></ol>
(h)ājkkë|āj̯k̯k̯ëj|ājkkënē|hāj̯k̯k̯ësnē|hāj̯k̯k̯ëk|hāj̯k̯k̯ëstē|hāj̯k̯k̯ëjnë|hāj̯k̯k̯ëm|āj̯k̯k̯ëjnē|ājkkës̯ën|āj̯k̯k̯ëm|hāj̯k̯k̯ëptāk̯ëk|āj̯k̯k̯ëptāk̯ëk|hāj̯k̯k̯ëj|hājkkë|āj̯k̯k̯ëk|hāj̯k̯k̯ën|ājkkëtē|āj̯k̯k̯ëjnë|hāj̯k̯k̯ëjnē|āj̯k̯k̯ëstē|hāj̯k̯k̯ëjtē|āj̯k̯k̯ëjtē|ājkkë|āj̯k̯k̯ëjstē|āj̯k̯k̯ën|hājkkëtē|hājkkënē|āj̯k̯k̯ësnē|hāj̯k̯k̯ëjstē|hājkkës̯ën	<i>noun</i><br><ol><li>large tree, oak</li></ol>
(h)ālō	<i>adj</i><br><ol><li>slanted</li></ol>
(h)ānēs	<i>adj</i><br><ol><li>stingy, mean</li></ol>
(h)ārtō|hār̯t̯ōj|ārtōtē|ār̯t̯ōjnē|hār̯t̯ōptāk̯ëk|ār̯t̯ōjtē|hār̯t̯ōn|hār̯t̯ōjtē|hārtōnē|hārtō|hār̯t̯ōjstē|hārtus̯ën|hār̯t̯ujnë|ārtō|hārtōtē|ār̯t̯ōm|ārtus̯ën|ār̯t̯ujnë|ār̯t̯ōj|hār̯t̯ōstē|ārtōnē|hār̯t̯ōsnē|ār̯t̯ōn|hār̯t̯ōm|ār̯t̯ōptāk̯ëk|ār̯t̯ōstē|ār̯t̯ōjstē|hār̯t̯ōjnē|ār̯t̯ōk|ār̯t̯ōsnē|hār̯t̯ōk	<i>noun</i><br><ol><li>shoulder</li></ol>
(h)āvtë|hāv̯t̯ën|āv̯t̯ëptāk̯ëk|hāv̯t̯ëjstē|āv̯t̯ëjtē|āv̯t̯ëjnē|hāv̯t̯ëm|hāv̯t̯ëstē|hāv̯t̯ëjnë|hāv̯t̯ësnē|āvtë|āvtënē|hāvtës̯ën|āv̯t̯ëj|āv̯t̯ëm|hāvtëtē|āv̯t̯ëjnë|āv̯t̯ësnē|āvtës̯ën|āv̯t̯ëk|hāv̯t̯ëjnē|hāvtë|āv̯t̯ëjstē|āvtëtē|hāvtënē|hāv̯t̯ëptāk̯ëk|āv̯t̯ën|hāv̯t̯ëjtē|hāv̯t̯ëj|hāv̯t̯ëk|āv̯t̯ëstē	<i>noun</i><br><ol><li>eider</li></ol>
(h)āvtē|āv̯t̯ēstē|hāv̯t̯ēptāk̯ëk|hāvtē|hāvtētē|hāv̯t̯ijnē|āv̯t̯ijtē|hāvtēnē|hāv̯t̯ēk|āvtās̯ën|hāv̯t̯ijnë|āv̯t̯ijstē|āv̯t̯ijnë|āv̯t̯ēn|āv̯t̯ēptāk̯ëk|āv̯t̯ij|āvtētē|hāv̯t̯ēm|hāv̯t̯ijtē|āv̯t̯ēm|hāv̯t̯ijstē|hāv̯t̯ij|hāv̯t̯ēstē|āv̯t̯ēk|āvtē|āv̯t̯ijnē|hāvtās̯ën|āvtēnē|āv̯t̯ēsnē|hāv̯t̯ēsnē|hāv̯t̯ēn	<i>noun</i><br><ol><li>pit</li><li>grave</li></ol>
(k)ruonë	<i>adj</i><br><ol><li>green</li></ol>
(k)rānō|rān̯ujnë|krān̯ōptāk̯ëk|rān̯ōn|krān̯ōjtē|krān̯ōn|rān̯ōjtē|rān̯ōk|krānōnē|rān̯ōjstē|rān̯ōjnē|krānus̯ën|krān̯ōjstē|rān̯ōsnē|krān̯ujnë|rān̯ōstē|krān̯ōsnē|krānō|rān̯ōm|krān̯ōjnē|krān̯ōk|rānus̯ën|krān̯ōstē|krān̯ōm|rān̯ōptāk̯ëk|rān̯ōj|krān̯ōj|rānōnē|rānō|rānōtē|krānōtē	<i>noun</i><br><ol><li>hanging decoration</li></ol>
(k)rāsē|krās̯ijstē|krās̯ijtē|rāsās̯ën|krās̯ij|krās̯ēm|rās̯ijtē|krās̯ijnē|krāsē|krāsēnē|rās̯ijstē|rās̯ēsnē|rās̯ēk|rās̯ijnē|rāsēnē|krās̯ēptāk̯ëk|krās̯ēk|krās̯ēn|krāsās̯ën|rās̯ēptāk̯ëk|rās̯ēm|rāsētē|rās̯ēstē|krās̯ijnë|krās̯ēstē|krāsētē|rās̯ijnë|rās̯ēn|rāsē|rās̯ij|krās̯ēsnē	<i>noun</i><br><ol><li>plant</li><li>flower</li><li>grass</li></ol>
(p)ruvijëtēk	<i>verb</i><br><ol><li>to rub</li></ol>
(p)rāntē|rān̯t̯ijstē|rān̯t̯ēk|rān̯t̯ijnë|prān̯t̯ijtē|prān̯t̯ijnē|prān̯t̯ijstē|rān̯t̯ēm|prān̯t̯ijnë|prān̯t̯ēstē|prān̯t̯ēsnē|prāntētē|prāntēnē|prān̯t̯ēm|rān̯t̯ēn|rān̯t̯ij|rān̯t̯ijtē|rān̯t̯ēstē|prān̯t̯ēk|prāntās̯ën|rāntē|prān̯t̯ij|rāntās̯ën|rāntēnē|prān̯t̯ēptāk̯ëk|rān̯t̯ēsnē|prān̯t̯ēn|rān̯t̯ijnē|rāntētē|prāntē|rān̯t̯ēptāk̯ëk	<i>noun</i><br><ol><li>ember</li></ol>
(s)kumppā	<i>noun</i><br><ol><li>wolf</li></ol>
(s)lāppō	<i>noun</i><br><ol><li>sinew thread</li></ol>
(s)tālō|tāl̯ōjstē|tāl̯ōj|stāl̯ōm|stāl̯ōsnē|stālōtē|tāl̯ōjnē|tālō|tāl̯ujnë|tāl̯ōptāk̯ëk|stālōnē|tāl̯ōsnē|stāl̯ōptāk̯ëk|stāl̯ōstē|stāl̯ōjtē|stālus̯ën|tālōnē|stāl̯ōjnē|tālus̯ën|tāl̯ōk|stāl̯ōjstē|stāl̯ujnë|tāl̯ōstē|stāl̯ōj|tāl̯ōm|tāl̯ōjtē|tālōtē|tāl̯ōn|stāl̯ōn|stālō|stāl̯ōk	<i>noun</i><br><ol><li>giant</li></ol>
(t)rāstēs	<i>noun</i><br><ol><li>thrush</li></ol>
ceakkē|ceakkētē|ceak̯k̯ijnë|ceakkās̯ën|ceak̯k̯ēsnē|ceakkēnē|ceak̯k̯ijstē|ceak̯k̯ijnē|ceak̯k̯ēn|ceak̯k̯ēstē|ceak̯k̯ijtē|ceak̯k̯ēm|ceak̯k̯ij|ceak̯k̯ēptāk̯ëk|ceak̯k̯ēk	<i>noun</i><br><ol><li>cut, slash</li></ol>
ceavē|ceav̯ijstē|ceav̯ijnē|ceavās̯ën|ceavēnē|ceav̯ēptāk̯ëk|ceav̯ēk|ceav̯ijnë|ceav̯ēn|ceavētē|ceav̯ēm|ceav̯ijtē|ceav̯ij|ceav̯ēstē|ceav̯ēsnē	<i>noun</i><br><ol><li>snow that is dense enough to carry a reindeer</li></ol>
ceaŋkëjëtēk	<i>verb</i><br><ol><li>to put up, to set up</li></ol>
ceaŋkōtēk	<i>verb</i><br><ol><li>to set up</li></ol>
cicë|cic̯ëjtē|cicës̯ën|cic̯ëjnë|cic̯ëm|cic̯ëstē|cicëtē|cic̯ëptāk̯ëk|cicënē|cic̯ëjnē|cic̯ën|cic̯ëj|cic̯ëjstē|cic̯ësnē|cic̯ëk	<i>noun</i><br><ol><li>fishnet dye</li></ol>
cicāńčë|cic̯āń̯č̯ëptāk̯ëk|cic̯āńčënē|cic̯āń̯č̯ëstē|cic̯āń̯č̯ëk|cic̯āń̯č̯ëjtē|cic̯āń̯č̯ëj|cic̯āń̯č̯ëjnē|cic̯āńčëtē|cic̯āń̯č̯ën|cic̯āń̯č̯ëjnë|cic̯āń̯č̯ësnē|cic̯āńčës̯ën|cic̯āńčë|cic̯āń̯č̯ëjstē|cic̯āń̯č̯ëm	<i>noun</i><br><ol><li>songbird</li></ol>
cipcētēk	<i>verb</i><br><ol><li>to pinch, to squeeze</li></ol>
cirkōtēk	
cirëtēk	<i>verb</i><br><ol><li>to buzz</li></ol>
cissëtēk	<i>verb</i><br><ol><li>to pee</li></ol>
civnë|civ̯n̯ësnē|civnës̯ën|civ̯n̯ëptāk̯ëk|civ̯n̯ën|civnënē|civ̯n̯ëj|civ̯n̯ëjnē|civ̯n̯ëjstē|civ̯n̯ëjnë|civ̯n̯ëjtē|civnëtē|civ̯n̯ëstē|civ̯n̯ëm|civ̯n̯ëk	<i>noun</i><br><ol><li>burnt smell</li></ol>
coakē	<i>noun</i><br><ol><li>low water level</li></ol>
coalkkētēk	<i>verb</i><br><ol><li>to click, to clatter</li></ol>
coapcē|coapcās̯ën|coap̯c̯ēm|coapcēnē|coap̯c̯ijnë|coap̯c̯ijstē|coap̯c̯ēptāk̯ëk|coap̯c̯ijtē|coap̯c̯ēk|coap̯c̯ēn|coap̯c̯ēsnē|coap̯c̯ij|coapcētē|coap̯c̯ēstē|coap̯c̯ijnē	<i>noun</i><br><ol><li>foothold</li></ol>
covnëtēk	<i>verb</i><br><ol><li>to wake up (someone)</li></ol>
coŋkëtēk	<i>verb</i><br><ol><li>to cram, to stuff</li></ol>
cuoccē	<i>noun</i><br><ol><li>seine knot</li></ol>
cuomcē	<i>noun</i><br><ol><li>dust</li></ol>
cuompōj	<i>noun</i><br><ol><li>frog</li></ol>
cuoncë|cuoncënē|cuon̯c̯ëj|cuon̯c̯ësnē|cuon̯c̯ëjtē|cuoncës̯ën|cuon̯c̯ën|cuon̯c̯ëjnē|cuon̯c̯ëk|cuoncëtē|cuon̯c̯ëm|cuon̯c̯ëjstē|cuon̯c̯ëstē|cuon̯c̯ëptāk̯ëk|cuon̯c̯ëjnë	<i>noun</i><br><ol><li>skin</li></ol>
cuopkënëtēk	<i>verb</i><br><ol><li>to break, to shatter, to fall apart</li></ol>
cuopkës	<i>adv</i><br><ol><li>in pieces, into pieces</li></ol>
cuoppë|cuop̯p̯ësnē|cuop̯p̯ëjstē|cuop̯p̯ëptāk̯ëk|cuop̯p̯ën|cuop̯p̯ëm|cuop̯p̯ëk|cuoppënē|cuop̯p̯ëjtē|cuop̯p̯ëj|cuop̯p̯ëstē|cuoppës̯ën|cuop̯p̯ëjnë|cuoppëtē|cuop̯p̯ëjnē	<i>noun</i><br><ol><li>fish meat</li></ol>
cëkëjëttētēk	<i>verb</i><br><ol><li>to light, to kindle (fire)</li></ol>
cëkëtēk	<i>verb</i><br><ol><li>to smoulder</li></ol>
cëmpē|cëmpētē|cëmpēnē|cëm̯p̯ēm|cëm̯p̯ēk|cëm̯p̯ijstē|cëm̯p̯ijtē|cëm̯p̯ēstē|cëm̯p̯ijnē|cëmpās̯ën|cëm̯p̯ēsnē|cëm̯p̯ēptāk̯ëk|cëm̯p̯ēn|cëm̯p̯ijnë|cëm̯p̯ij	
cëvcētēk	<i>verb</i><br><ol><li>to stop</li><li>to block, to bar</li></ol>
cëŋkëtēk	<i>verb</i><br><ol><li>to support, to prop up</li></ol>
cëŋkē|cëŋ̯k̯ēk|cëŋkās̯ën|cëŋ̯k̯ēptāk̯ëk|cëŋ̯k̯ijtē|cëŋ̯k̯ij|cëŋ̯k̯ēm|cëŋkēnē|cëŋ̯k̯ijstē|cëŋ̯k̯ijnē|cëŋ̯k̯ijnë|cëŋ̯k̯ēsnē|cëŋ̯k̯ēstē|cëŋ̯k̯ēn|cëŋkētē	<i>noun</i><br><ol><li>prop, support</li></ol>
cākkëtēk	<i>verb</i><br><ol><li>to moan</li></ol>
cākētēk	<i>verb</i><br><ol><li>to push</li><li>to place</li></ol>
cāpëtēk	<i>verb</i><br><ol><li>to chop up</li></ol>
cāŋmētēk	<i>verb</i><br><ol><li>to hit</li></ol>
eaccētēk	<i>verb</i><br><ol><li>to love</li></ol>
eakkēntē	<i>noun</i><br><ol><li>evening</li></ol>
eakē|eakās̯ën|eakēnē|eak̯ēstē|eak̯ēk|eak̯ēm|eakētē|eak̯ijstē|eak̯ēn|eak̯ij|eak̯ijtē|eak̯ijnē|eak̯ēsnē|eak̯ēptāk̯ëk|eak̯ijnë	<i>noun</i><br><ol><li>paternal uncle older than one's father</li></ol>
ealjō|eal̯j̯ōn|eal̯j̯ōm|eal̯j̯ōptāk̯ëk|eal̯j̯ōjtē|eal̯j̯ujnë|eal̯j̯ōsnē|eal̯j̯ōstē|eal̯j̯ōjstē|ealjus̯ën|eal̯j̯ōk|ealjōnē|ealjōtē|eal̯j̯ōj|eal̯j̯ōjnē	<i>noun</i><br><ol><li>dedication</li><li>zeal</li></ol>
ealējē|ealēj̯ējstē|ealēj̯ēm|ealējēnē|ealējās̯ën|ealēj̯ēsnē|ealēj̯ēstē|ealēj̯ējtē|ealēj̯ējnë|ealēj̯ēj|ealēj̯ēk|ealēj̯ējnē|ealēj̯ēptāk̯ëk|ealējētē|ealēj̯ēn	<i>noun</i><br><ol><li>living creature</li></ol>
ealēmē|ealēm̯ēstē|ealēm̯ēj|ealēm̯ēsnē|ealēm̯ēptāk̯ëk|ealēmās̯ën|ealēm̯ēm|ealēm̯ējstē|ealēmētē|ealēm̯ējnē|ealēm̯ējnë|ealēmēnē|ealēm̯ēk|ealēm̯ēn|ealēm̯ējtē	<i>noun</i><br><ol><li>life</li></ol>
ealētēk	<i>verb</i><br><ol><li>to live</li></ol>
ealō|eal̯ōjstē|ealus̯ën|ealōtē|eal̯ōptāk̯ëk|eal̯ōjnē|eal̯ujnë|eal̯ōk|eal̯ōsnē|eal̯ōstē|eal̯ōn|eal̯ōm|ealōnē|eal̯ōjtē|eal̯ōj	<i>noun</i><br><ol><li>reindeer herd</li></ol>
eampēr|eam̯p̯ār̯s̯ën|eampār̯ësnē|eampār̯ëjstē|eam̯p̯ēr|eam̯p̯ērtē|eampār̯ëjnē|eampār̯ën|eampār̯ëjnë|eampār̯ëptāk̯ëk|eampār̯ëk|eampār̯ëjtē|eampār̯ëm|eampār̯ëj|eampār̯ëstē|eam̯p̯ērnē	<i>noun</i><br><ol><li>bucket</li></ol>
eamē|eam̯ijstē|eam̯ijtē|eam̯ēn|eam̯ij|eam̯ēsnē|eamās̯ën|eam̯ijnë|eamēnē|eam̯ēk|eam̯ēstē|eamētē|eam̯ēptāk̯ëk|eam̯ijnē|eam̯ēm	<i>noun</i><br><ol><li>mother</li></ol>
eannē|ean̯n̯ijstē|ean̯n̯ēptāk̯ëk|ean̯n̯ij|ean̯n̯ēn|eannās̯ën|eannētē|ean̯n̯ēk|eannēnē|ean̯n̯ēsnē|ean̯n̯ijnē|ean̯n̯ijtē|ean̯n̯ēstē|ean̯n̯ēm|ean̯n̯ijnë	<i>noun</i><br><ol><li>mother</li></ol>
eanëkën	<i>adv</i><br><ol><li>much, a lot</li></ol>
eanëm|ean̯ëmtē|eanëm̯ësnē|ean̯ëmnē|eanëm̯ëjstē|eanëm̯ëjnē|ean̯ëm̯s̯ën|eanëm̯ëptāk̯ëk|eanëm̯ëk|eanëm̯ëstē|eanëm̯ëjnë|ean̯ëm|eanëm̯ëm|eanëm̯ën|eanëm̯ëjtē|eanëm̯ëj	<i>noun</i><br><ol><li>land</li></ol>
eanē|ean̯ēptāk̯ëk|ean̯ēsnē|ean̯ēstē|ean̯ijstē|ean̯ēk|ean̯ijnē|ean̯ij|eanēnē|ean̯ēn|eanētē|ean̯ijtē|ean̯ijnë|ean̯ēm|eanās̯ën	<i>noun</i><br><ol><li>mother</li></ol>
eanō|ean̯ōn|ean̯ōjstē|ean̯ōsnē|eanōtē|eanōnē|ean̯ōj|eanus̯ën|ean̯ōm|ean̯ōstē|ean̯ujnë|ean̯ōk|ean̯ōptāk̯ëk|ean̯ōjtē|ean̯ōjnē	<i>noun</i><br><ol><li>large river</li></ol>
eanōj|eanuj̯ëptāk̯ëk|eanuj̯ëj|eanuj̯ëjnē|eanuj̯ëjtē|ean̯uj̯s̯ën|ean̯ōj|eanuj̯ëk|eanuj̯ëstē|eanuj̯ësnē|eanuj̯ëjnë|eanuj̯ëm|eanuj̯ën|eanuj̯ëjstē|ean̯ōjtē|ean̯ōjnē	<i>noun</i><br><ol><li>maternal uncle</li></ol>
earttē|ear̯t̯t̯ēk|ear̯t̯t̯ijnë|ear̯t̯t̯ij|earttās̯ën|ear̯t̯t̯ēptāk̯ëk|ear̯t̯t̯ēsnē|ear̯t̯t̯ijnē|ear̯t̯t̯ēm|ear̯t̯t̯ēstē|ear̯t̯t̯ijstē|earttētē|ear̯t̯t̯ijtē|ear̯t̯t̯ēn|earttēnē	<i>noun</i><br><ol><li>side, flank</li></ol>
easkē|eas̯k̯ēptāk̯ëk|eas̯k̯ēk|eas̯k̯ēstē|eas̯k̯ijnë|eas̯k̯ēsnē|eas̯k̯ij|easkās̯ën|eas̯k̯ijtē|eas̯k̯ijnē|eas̯k̯ēm|easkēnē|eas̯k̯ijstē|eas̯k̯ēn|easkētē	<i>noun</i><br><ol><li>just now</li></ol>
eačē|eač̯ēsnē|eač̯ijstē|eač̯ēptāk̯ëk|eač̯ij|eač̯ēstē|eač̯ijtē|eačēnē|eač̯ēm|eač̯ijnë|eač̯ijnē|eač̯ēk|eačētē|eačās̯ën|eač̯ēn	<i>noun</i><br><ol><li>father</li></ol>
feavlē	<i>noun</i><br><ol><li>hole in a hide left after cutting off a leg</li></ol>
fierōtēk	<i>verb</i><br><ol><li>to stir, to whisk</li></ol>
fietër	<i>noun</i><br><ol><li>waist of pants</li></ol>
fāccë|fāc̯c̯ësnē|fāccës̯ën|fāccënē|fāc̯c̯ëstē|fāc̯c̯ëj|fāc̯c̯ëjnë|fāc̯c̯ëptāk̯ëk|fāc̯c̯ëjnē|fāc̯c̯ën|fāc̯c̯ëjstē|fāccëtē|fāc̯c̯ëjtē|fāc̯c̯ëm|fāc̯c̯ëk	<i>noun</i><br><ol><li>mitten</li></ol>
fālēs	<i>noun</i><br><ol><li>whale</li></ol>
fārvō	<i>noun</i><br><ol><li>loop</li></ol>
fārō|fārōtē|fār̯ōn|fār̯ōptāk̯ëk|fār̯ōm|fār̯ōk|fār̯ōjstē|fār̯ōsnē|fār̯ōstē|fār̯ōj|fārus̯ën|fār̯ujnë|fār̯ōjnē|fār̯ōjtē|fārōnē	<i>noun</i><br><ol><li>trip, journey</li><li>travel companion</li></ol>
fāttē	<i>noun</i><br><ol><li>stomach</li></ol>
ijë|ijënē|ij̯ën|ij̯ëjnē|ij̯ësnē|ij̯ëjtē|ij̯ëstē|ij̯ëm|ij̯ëjstē|ij̯ëjnë|ijëtē|ij̯ëk|ij̯ëptāk̯ëk|ij̯ëj|ijës̯ën	<i>noun</i><br><ol><li>night</li></ol>
ikō	<i>adv</i><br><ol><li>at night</li></ol>
imē|imētē|im̯ijnē|im̯ēptāk̯ëk|im̯ijstē|im̯ēn|imēnē|im̯ijtē|im̯ēstē|imās̯ën|im̯ēm|im̯ijnë|im̯ēsnē|im̯ij|im̯ēk	<i>noun</i><br><ol><li>wife of one's uncle</li></ol>
irës	<i>adj</i><br><ol><li>shy</li><li>panicky</li></ol>
itētēk	<i>verb</i><br><ol><li>to appear</li></ol>
ivnē	<i>noun</i><br><ol><li>colour</li></ol>
iδēntē|iδ̯ēn̯t̯ējstē|iδ̯ēn̯t̯ēptāk̯ëk|iδ̯ēntētē|iδ̯ēn̯t̯ēstē|iδ̯ēn̯t̯ēm|iδ̯ēn̯t̯ēn|iδ̯ēn̯t̯ēsnē|iδ̯ēntē|iδ̯ēntās̯ën|iδ̯ēn̯t̯ējnē|iδ̯ēn̯t̯ēj|iδ̯ēn̯t̯ēk|iδ̯ēn̯t̯ējnë|iδ̯ēn̯t̯ējtē|iδ̯ēntēnē	<i>noun</i><br><ol><li>morning</li></ol>
jeakēl|jeak̯ēlnē|jeakāl̯ësnē|jeak̯āl̯s̯ën|jeakāl̯ëjnë|jeakāl̯ëm|jeak̯ēl|jeakāl̯ën|jeakāl̯ëjtē|jeakāl̯ëstē|jeakāl̯ëjstē|jeakāl̯ëjnē|jeakāl̯ëj|jeakāl̯ëptāk̯ëk|jeakāl̯ëk|jeak̯ēltē	<i>noun</i><br><ol><li>lichen</li></ol>
jeakētēk	<i>verb</i><br><ol><li>to be watertight</li></ol>
jealëkkës	<i>adj</i><br><ol><li>clear (of the sky)</li><li>serene</li></ol>
jearkë	<i>noun</i><br><ol><li>weather conditions</li></ol>
jeaŋkē|jeaŋ̯k̯ēk|jeaŋ̯k̯ijstē|jeaŋkās̯ën|jeaŋ̯k̯ij|jeaŋ̯k̯ēsnē|jeaŋkēnē|jeaŋ̯k̯ēstē|jeaŋ̯k̯ēptāk̯ëk|jeaŋ̯k̯ijtē|jeaŋkētē|jeaŋ̯k̯ēn|jeaŋ̯k̯ijnē|jeaŋ̯k̯ijnë|jeaŋ̯k̯ēm	<i>noun</i><br><ol><li>marsh, swamp</li></ol>
jieckë|jieckëtē|jiec̯k̯ëjnē|jiec̯k̯ëjtē|jiec̯k̯ëstē|jiec̯k̯ëk|jiec̯k̯ën|jiec̯k̯ësnē|jieckës̯ën|jiec̯k̯ëm|jiec̯k̯ëj|jiec̯k̯ëptāk̯ëk|jieckënē|jiec̯k̯ëjnë|jiec̯k̯ëjstē	<i>noun</i><br><ol><li>burl</li></ol>
jielō|jiel̯ōm|jiel̯ōptāk̯ëk|jiel̯ōn|jiel̯ōstē|jielōnē|jielōtē|jiel̯ōsnē|jiel̯ōk|jiel̯ōjtē|jiel̯ōj|jiel̯ōjnē|jiel̯ōjstē|jiel̯ujnë|jielus̯ën	<i>noun</i><br><ol><li>cleft</li></ol>
jienë|jien̯ëptāk̯ëk|jien̯ëj|jien̯ën|jien̯ëm|jien̯ëk|jien̯ësnē|jien̯ëjstē|jien̯ëjnë|jien̯ëjtē|jien̯ëstē|jienënē|jienëtē|jienës̯ën|jien̯ëjnē	<i>noun</i><br><ol><li>sound</li></ol>
